Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
*Arizona,73.00%,4.10%,4.60%,2.80%,0.20%,11.90%,3.40%,29.60%,,,,,,,,,,,,,,,,,
Aguila,64.66%,1.00%,3.63%,0.38%,0.25%,28.07%,2.01%,69.42%,,,,,,,,,,,,,,,,,
Ajo,78.70%,0.24%,6.88%,0.30%,0.08%,9.15%,4.64%,37.57%,$25,618.00,$29,310.00,$28,000.00,$18,571.00,$14,548.00,16.50%,22.30%,36.50%,9.00%,,,,,,,,
Ak-Chin Indian Community,,,89.40%,,,,,,,,,,,,,,,,,,,,,,
Ak-Chin Village,4.04%,0.30%,91.63%,,,3.29%,0.75%,8.97%,$23,897.00,$28,125.00,$19,545.00,$21,875.00,$8,389.00,24.80%,26.80%,34.60%,22.20%,,,,,,,,
Alamo Lake,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Chuk,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Chukson,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Molina,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,,,,,,,,,,,,,,,,,,,,,,,,,
Amado,70.91%,0.36%,1.09%,0.73%,,26.18%,0.73%,43.27%,$20,417.00,$82,922.00,$22,946.00,$26,563.00,$21,452.00,7.10%,8.80%,27.30%,0.00%,,,,,,,,
Anegam,,,,,,,,,,,,,,,,,,,,,,,,,
Antares,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem,89.70%,2.90%,0.60%,2.60%,,2.10%,3.00%,9.20%,,,,,,,,,,,,,,,,,
Apache County,23.30%,0.20%,72.90%,0.30%,,1.30%,2.00%,5.80%,$30,184.00,$36,915.00,$38,451.00,$31,557.00,$12,294.00,26.90%,34.40%,41.80%,29.20%,,,,,,,,
Apache Junction,89.50%,1.20%,1.10%,0.80%,0.10%,4.90%,2.40%,14.40%,,,,,,,,,,,,,,,,,
Arivaca Junction,,,,,,,,,,,,,,,,,,,,,,,,,
Arivaca,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona City,85.54%,1.14%,2.19%,0.39%,0.07%,8.05%,2.62%,16.56%,$37,432.00,$41,500.00,$33,611.00,$25,614.00,$19,037.00,5.30%,6.20%,6.60%,6.70%,,,,,,,,
Arizona Village,7.41%,0.28%,89.46%,,,1.99%,0.85%,24.22%,$26,406.00,$23,571.00,$26,875.00,$21,667.00,$9,591.00,23.00%,22.40%,22.50%,50.00%,,,,,,,,
Arlington,69.07%,0.52%,1.55%,,,24.23%,4.64%,29.90%,,,,,,,,,,,,,,,,,
Ash Fork,96.28%,,1.31%,,,1.53%,0.88%,51.42%,$30,893.00,$36,875.00,$23,854.00,$21,094.00,$11,802.00,16.50%,20.40%,27.10%,18.40%,,,,,,,,
Avenue B and C,,,,,,,,,,,,,,,,,,,,,,,,,
Avondale,63.27%,5.20%,1.28%,1.89%,0.14%,24.32%,3.89%,46.23%,$49,153.00,$51,084.00,$35,134.00,$27,487.00,$16,919.00,10.30%,13.80%,17.20%,16.70%,,,,,,,,
Avra Valley,84.02%,1.81%,1.67%,0.38%,0.04%,9.65%,2.44%,20.72%,$35,459.00,$36,981.00,$30,643.00,$20,110.00,$13,175.00,9.00%,11.50%,12.80%,5.60%,,,,,,,,
Aztec,,,,,,,,,,,,,,,,,,,,,,,,,
Bagdad,86.60%,0.50%,3.00%,0.30%,0.10%,6.30%,3.30%,24.40%,$58,277.00,$61,850.00,$50,000.00,$40,506.00,$24,370.00,1.30%,2.80%,4.80%,9.50%,,,,,,,,
Bear Flat,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Valley,,,,,,,,,,,,,,,,,,,,,,,,,
Benson,89.32%,0.72%,1.29%,0.47%,0.13%,5.69%,2.38%,19.85%,$28,289.00,$36,364.00,$34,013.00,$18,964.00,$17,315.00,6.20%,13.70%,26.10%,9.90%,,,,,,,,
Beyerville,,,,,,,,,,,,,,,,,,,,,,,,,
Bisbee,84.12%,0.46%,1.22%,0.49%,0.07%,11.07%,2.58%,34.38%,$27,942.00,$36,685.00,$29,573.00,$23,269.00,$17,129.00,12.90%,17.50%,23.20%,9.00%,,,,,,,,
Bitter Springs,1.28%,,98.72%,,,,,0.73%,$24,886.00,$30,217.00,$11,477.00,$14,038.00,$7,985.00,25.00%,29.60%,25.20%,0.00%,,,,,,,,
Black Canyon City,95.85%,0.15%,1.22%,0.19%,0.04%,0.74%,1.82%,3.41%,$32,908.00,$41,193.00,$36,310.00,$22,750.00,$20,117.00,7.60%,12.90%,16.90%,9.70%,,,,,,,,
Blackwater,0.99%,0.20%,94.64%,,,3.37%,0.79%,15.08%,$33,438.00,$28,854.00,$35,909.00,$31,250.00,$8,674.00,30.10%,26.90%,21.80%,63.00%,,,,,,,,
