,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abingdon,98.12%,0.55%,0.25%,0.11%,,0.17%,0.80%,1.14%,$35,642.00,$40,337.00,$31,042.00,$20,343.00,$15,711.00,6.20%,9.90%,11.10%,13.50%
Abington Township, Mercer County, Illinois,,,,,,,,,,,,,,,,,
Adair, Illinois,,,,,,,,,,,,,,,,,
Adams County,93.70%,3.50%,0.20%,0.70%,,0.40%,1.60%,1.20%,$43,824.00,$55,791.00,$38,830.00,$29,371.00,$24,308.00,8.30%,12.30%,17.50%,8.10%
Adams Township, LaSalle County, Illinois,,,,,,,,,,,,,,,,,
Adams, Illinois,,,,,,,,,,,,,,,,,
Addieville,98.50%,,0.75%,,,,0.75%,0.37%,$46,667.00,$51,875.00,$35,625.00,$20,000.00,$16,415.00,1.40%,2.70%,3.10%,6.10%
Addison,75.39%,2.51%,0.35%,7.94%,0.01%,11.39%,2.40%,28.40%,$54,090.00,$59,007.00,$39,718.00,$27,815.00,$21,201.00,7.20%,9.60%,13.20%,7.30%
Addison Township, DuPage County, Illinois,,,,,,,,,,,,,,,,,
Adeline,97.12%,,0.72%,,,2.16%,,2.88%,$59,583.00,$61,250.00,$44,688.00,$36,250.00,$20,301.00,4.50%,2.80%,0.00%,33.30%
Aden, Illinois,,,,,,,,,,,,,,,,,
Adenmoor, Illinois,,,,,,,,,,,,,,,,,
Adrian, Illinois,,,,,,,,,,,,,,,,,
Aetna Township, Logan County, Illinois,,,,,,,,,,,,,,,,,
Afolkey, Illinois,,,,,,,,,,,,,,,,,
Afton Center, Illinois,,,,,,,,,,,,,,,,,
Afton Township, DeKalb County, Illinois,,,,,,,,,,,,,,,,,
Agnew, Illinois,,,,,,,,,,,,,,,,,
Ahern, Illinois,,,,,,,,,,,,,,,,,
Aiken, Illinois,,,,,,,,,,,,,,,,,
Akin, Illinois,,,,,,,,,,,,,,,,,
Akron Township, Peoria County, Illinois,,,,,,,,,,,,,,,,,
Alba Township, Henry County, Illinois,,,,,,,,,,,,,,,,,
Albany,98.66%,0.67%,,,,0.22%,0.45%,0.56%,$46,719.00,$51,333.00,$40,521.00,$20,938.00,$18,780.00,3.70%,5.30%,7.70%,0.90%
Albany Township, Whiteside County, Illinois,,,,,,,,,,,,,,,,,
Albers,98.86%,0.11%,0.23%,,,0.34%,0.46%,0.80%,$46,964.00,$57,625.00,$36,316.00,$26,250.00,$19,017.00,2.70%,4.00%,5.90%,5.90%
Albion,98.71%,0.16%,0.10%,0.57%,,0.21%,0.26%,0.57%,$29,476.00,$36,917.00,$26,182.00,$17,375.00,$14,747.00,8.60%,12.20%,19.00%,9.30%
Alden Township, McHenry County, Illinois,,,,,,,,,,,,,,,,,
Alden, Illinois,,,,,,,,,,,,,,,,,
Aledo,98.50%,0.60%,0.00%,0.30%,,0.10%,0.40%,1.20%,,,,,,,,,
Alexander County,60.90%,35.40%,0.30%,0.20%,0.10%,1.40%,1.70%,1.90%,$28,833.00,$44,699.00,$35,880.00,$25,743.00,$15,858.00,11.80%,20.10%,33.10%,14.70%
Alexander, Illinois,,,,,,,,,,,,,,,,,
Alexis,99.65%,,,,,0.12%,0.23%,2.20%,$36,705.00,$46,364.00,$32,419.00,$19,000.00,$17,059.00,4.00%,5.90%,4.00%,3.80%
Algonquin,94.26%,0.92%,0.10%,2.35%,0.01%,1.20%,1.16%,4.07%,$99,873.00,$110,737.00,$60,473.00,$36,624.00,$29,820.00,1.00%,1.70%,1.50%,4.60%
Algonquin Township, McHenry County, Illinois,,,,,,,,,,,,,,,,,
