State,First / Middle Name,Last Name,Year,Office,Party,Result
Alabama,David C.,Abel,2002,28th House District,(R),lost
Alabama,Tom,Abernathy,1954,Governor,(R),lost
Alabama,,Abernathy,2006,88th House District,(D),lost
Alabama,Joe D.,Acker,2002,16th House District,(R),lost
Alabama,Lyn Curtis,Adams,2002,Lieutenant Governor,(L),lost
Alabama,Lyn Curtis,Adams,2006,31st Senate District,(R),lost
Alabama,Tijuana,Adetunji,2014,78th House District,(R),lost
Alabama,Tijuana,Adetunji,2018,78th House District,(I),lost
Alabama,Will,Ainsworth,2014,27th House District,(R),won
Alabama,Will,Ainsworth,2018,Lieutenant Governor,(R),won
Alabama,Lula,Albert-Kaigler,2014,Secretary of State,(D),lost
Alabama,,Albright,2006,67th House District,(F),lost
Alabama,Greg,Albritton,2002,64th House District,(R),won
Alabama,Greg,Albritton,2014,22nd Senate District,(R),won
Alabama,Greg,Albritton,2018,22nd Senate District,(R),won
Alabama,Louise,Alexander,2014,56th House District,(D),won
Alabama,Louise,Alexander,2018,56th House District,(D),won
Alabama,Gerald,Allen,2002,62nd House District,(R),won
Alabama,Gerald,Allen,2006,62nd House District,(R),won
Alabama,Gerald,Allen,2010,21st Senate District,(R),won
Alabama,Gerald,Allen,2014,21st Senate District,(R),won
Alabama,Gerald,Allen,2018,21st Senate District,(R),won
Alabama,Glenn L.,Allen,2010,75th House District,(D),won
Alabama,Jean,Allen,2002,21st Senate District,(L),lost
Alabama,Wes,Allen,2018,89th House District,(R),won
Alabama,Lee,Alley,2002,Agriculture Commissioner,(R),lost
Alabama,Mabel S.,Amos,1970,Secretary of State,(D),won
Alabama,James H.,Anderson,2010,Attorney General,(D),lost
Alabama,Steve,Andrews,2002,2nd Senate District,(R),lost
Alabama,Bill,Armistead,2002,Lieutenant Governor,(R),lost
Alabama,Nicki,Arnold‐Swindle,2018,36th House District,(D),lost
Alabama,Spencer,Bachus,1990,Attorney General,(R),lost
Alabama,Gregory Eric,Bacon,2002,7th Senate District,(L),lost
Alabama,Phillip,Bahakel,2014,52nd House District,(R),lost
Alabama,Alan,Baker,2006,66th House District,(R),won
Alabama,Alan,Baker,2010,66th House District,(R),won
Alabama,Alan,Baker,2014,66th House District,(R),won
Alabama,Alan,Baker,2018,66th House District,(R),won
Alabama,Charley,Baker,1994,Auditor,(D),lost
Alabama,Joseph,Baker III,2018,54th House District,(I),lost
Alabama,Locy 'Sunny',Baker,2002,85th House District,(D),lost
Alabama,Locy 'Sunny',Baker,2006,85th House District,(D),won
Alabama,Mike,Ball,2002,10th House District,(R),won
Alabama,Mike,Ball,2006,10th House District,(R),won
Alabama,Mike,Ball,2010,10th House District,(R),won
Alabama,Mike,Ball,2014,10th House District,(R),won
Alabama,Mike,Ball,2018,10th House District,(R),won
Alabama,Salvatore,Bambinelli,2014,47th House District,(D),lost
Alabama,George Tootie,Bandy,2002,83rd House District,(D),won
Alabama,George Tootie,Bandy,2006,83rd House District,(D),won
Alabama,George Tootie,Bandy,2010,83rd House District,(D),won
Alabama,George Tootie,Bandy,2014,83rd House District,(D),won
Alabama,,Barbee,2006,44th House District,(D),lost
Alabama,Will,Barfoot,2018,25th Senate District,(R),won
Alabama,Steven C.,Barnes,2002,3rd House District,(R),lost
Alabama,Don,Barnwell,2014,17th House District,(D),lost
Alabama,Lowell,Barron,2002,8th Senate District,(D),won
Alabama,Lowell,Barron,2006,8th Senate District,(D),won
Alabama,Lowell,Barron,2010,8th Senate District,(D),lost
Alabama,Deborah,Barros,2018,7th Senate District,(D),lost
Alabama,Jim,Barton,2002,104th House District,(R),won
Alabama,Jim,Barton,2006,104th House District,(R),won
Alabama,Jim,Barton,2010,104th House District,(R),won
Alabama,,Baswell-Guthrie,2006,7th Senate District,(R),lost
Alabama,Richard,Baughn,2010,14th House District,(R),won
Alabama,Bill,Baxley,1986,Governor,(D),lost
Alabama,Lucy,Baxley,1994,Treasurer,(D),won
Alabama,Lucy,Baxley,1998,Treasurer,(D),won
Alabama,Lucy,Baxley,2002,Lieutenant Governor,(D),won
Alabama,Lucy,Baxley,2006,Governor,(D),lost
Alabama,Garry,Bearden,2010,36th House District,(D),lost
Alabama,Billy,Beasley,2002,84th House District,(D),won
Alabama,Billy,Beasley,2006,84th House District,(D),won
Alabama,Billy,Beasley,2010,28th Senate District,(D),won
Alabama,Billy,Beasley,2014,28th Senate District,(D),won
Alabama,Billy,Beasley,2018,28th Senate District,(D),won
Alabama,Jere,Beasley,1970,Lieutenant Governor,(D),won
Alabama,Scott,Beason,2002,51st House District,(R),won
Alabama,Scott,Beason,2006,17th Senate District,(R),won
Alabama,Scott,Beason,2010,17th Senate District,(R),won
Alabama,Warren Harris,Beck,2002,87th House District,(R),won
Alabama,Warren Harris,Beck,2006,87th House District,(R),won
Alabama,Paul,Beckman,2010,88th House District,(R),won
Alabama,Paul,Beckman,2014,88th House District,(R),won
Alabama,David,Beddingfield,2014,24th House District,(D),lost
Alabama,Roger,Bedford Jr.,2002,6th Senate District,(D),won
Alabama,Roger,Bedford Jr.,2006,6th Senate District,(D),won
Alabama,Roger,Bedford Jr.,2010,6th Senate District,(D),won
Alabama,Roger,Bedford Jr.,2014,6th Senate District,(D),lost
Alabama,Elaine,Beech,2010,65th House District,(D),won
Alabama,Elaine,Beech,2014,65th House District,(D),won
Alabama,Elaine,Beech,2018,65th House District,(D),lost
Alabama,Nancy Carlton,Bendinger,2018,27th Senate District,(D),lost
Alabama,Chris 'Chip',Beeker,2014,Public Service Commission - Place 2,(R),won
Alabama,Cindy,Bell,2014,16th Senate District,(D),lost
Alabama,,Benefield,2006,13th Senate District,(D),won
Alabama,Bryan,Bennett,2014,7th Senate District,(D),lost
Alabama,Christie,Bennett,2002,96th House District,(L),lost
Alabama,Jim,Bennett,1994,Secretary of State,(D),won
Alabama,Jim,Bennett,1998,Secretary of State,(R),won
Alabama,Robert Julian,Bentley,2002,63rd House District,(R),won
Alabama,Robert Julian,Bentley,2006,63rd House District,(R),won
Alabama,Robert Julian,Bentley,2010,Governor,(R),won
Alabama,Robert Julian,Bentley,2014,Governor,(R),won
Alabama,Will,Benton,2018,62nd House District,(D),lost
Alabama,Mitchell,BeShears,2002,12th House District,(R),lost
Alabama,Andrew Andy,Betterton,2014,2nd House District,(D),lost
Alabama,Jack,Biddle III,2002,17th Senate District,(R),won
Alabama,Wayne E.,Biggs,2014,98th House District,(R),lost
Alabama,Donald J.,Billoni,2002,83rd House District,(L),lost
Alabama,Charles,Bishop,1998,Agriculture Commissioner,(D),won
Alabama,,Bishop,2006,5th Senate District,(R),won
Alabama,Lucius,Black,2002,71st House District,(D),won
Alabama,Marcel,Black,2002,3rd House District,(D),won
Alabama,Marcel,Black,2006,3rd House District,(D),won
Alabama,Marcel,Black,2010,3rd House District,(D),won
Alabama,Marcel,Black,2014,3rd House District,(D),won
Alabama,Stephen Foster,Black,2002,Treasurer,(D),lost
Alabama,Chris,Blackshear,2018,80th House District,(R),won
Alabama,Slade,Blackwell,2010,15th Senate District,(R),won
Alabama,Slade,Blackwell,2014,15th Senate District,(R),won
Alabama,,Blocker,2006,92nd House District,(R),lost
Alabama,Mark,Bodenhausen,2002,Secretary of State,(L),lost
Alabama,Daniel H.,Boman,2010,16th House District,(R),won
Alabama,Daniel H.,Boman,2014,16th House District,(D),lost
Alabama,Jim,Bonner,2010,6th Senate District,(R),lost
Alabama,Alan,Boothe,2002,89th House District,(D),won
Alabama,Alan,Boothe,2006,89th House District,(D),won
Alabama,Alan,Boothe,2010,89th House District,(D),won
Alabama,Alan,Boothe,2014,89th House District,(R),won
Alabama,Young Jacob,Boozer III,2010,Treasurer,(R),won
Alabama,Young Jacob,Boozer III,2014,Treasurer,(R),won
Alabama,Daniel V.,Bowden,2002,28th Senate District,(L),lost
Alabama,Barbara Bigsby,Boyd,2002,32nd House District,(D),won
Alabama,Barbara Bigsby,Boyd,2006,32nd House District,(D),won
Alabama,Barbara Bigsby,Boyd,2010,32nd House District,(D),won
Alabama,Barbara Bigsby,Boyd,2014,32nd House District,(D),won
Alabama,Barbara Bigsby,Boyd,2018,32nd House District,(D),won
Alabama,Elijah,Boyd,2018,10th House District,(L),lost
Alabama,Will,Boyd,2018,Lieutenant Governor,(D),lost
Alabama,,Boyd,2006,11th House District,(D),lost
Alabama,Martin,Boyers,1982,Governor,(SW),lost
Alabama,Kenneth,Brackins,2018,7th House District,(D),lost
Alabama,Napoleon,Bracy Jr.,2010,98th House District,(D),won
Alabama,Napoleon,Bracy Jr.,2014,98th House District,(D),won
Alabama,Napoleon,Bracy Jr.,2018,98th House District,(D),won
Alabama,Ralph,Bradford Sr.,2002,11th Senate District,(R),lost
Alabama,Byrne,Bradley,2002,32nd Senate District,(R),won
Alabama,Drama,Breland,2010,8th House District,(D),lost
Alabama,Scott,Brewer,2018,33rd House District,(D),lost
Alabama,Dick L.,Brewbaker,2002,75th House District,(R),won
Alabama,Dick L.,Brewbaker,2010,25th Senate District,(R),won
Alabama,Dick L.,Brewbaker,2014,25th Senate District,(R),won
Alabama,DuWayne,Bridges,2002,38th House District,(R),won
Alabama,DuWayne,Bridges,2006,38th House District,(R),won
Alabama,DuWayne,Bridges,2010,38th House District,(R),won
Alabama,Eddie,Britton,2018,18th House District,(D),lost
Alabama,,Brook,2006,1st Senate District,(R),lost
Alabama,Ben,Brooks,2006,35th Senate District,(R),lost
Alabama,Ben,Brooks,2010,35th Senate District,(R),won
Alabama,Pete,Brooks,2002,40th House District,(R),lost
Alabama,,Brooks,2006,13th House District,(D),won
Alabama,Glen,Browder,1986,Secretary of State,(D),won
Alabama,Chip,Brown,2018,105th House District,(R),won
Alabama,Koven L.,Brown,2010,40th House District,(R),won
Alabama,Koven L.,Brown,2014,40th House District,(R),won
Alabama,Koven L.,Brown,2018,40th House District,(R),won
Alabama,Roger,Broxton,2002,92nd House District,(R),lost
Alabama,,Bruner,2006,12th House District,(R),lost
Alabama,Zack,Buckner,2014,74th House District,(D),lost
Alabama,,Burden,2006,2nd Senate District,(R),lost
Alabama,Greg,Burdine,2010,1st House District,(D),won
Alabama,Greg,Burdine,2014,1st House District,(D),won
Alabama,David,Burkette,2018,26th Senate District,(D),won
Alabama,Rick,Burnham,2018,21st Senate District,(D),lost
Alabama,Josh,Burns,2014,37th House District,(D),lost
Alabama,Wally,Burns,2010,30th House District,(D),lost
Alabama,James E.,Buskey,2002,99th House District,(D),won
Alabama,James E.,Buskey,2006,99th House District,(D),won
Alabama,James E.,Buskey,2010,99th House District,(D),won
Alabama,James E.,Buskey,2014,99th House District,(D),won
Alabama,Paul,Bussman,2010,4th Senate District,(R),won
Alabama,Paul,Bussman,2014,4th Senate District,(R),won
Alabama,Mack N.,Butler,2014,30th House District,(R),won
Alabama,Tom,Butler,2002,2nd Senate District,(D),won
Alabama,Tom,Butler,2006,2nd Senate District,(D),won
Alabama,Tom,Butler,2010,2nd Senate District,(D),lost
Alabama,Tom,Butler,2018,2nd Senate District,(R),won
Alabama,Mac,Buttram,2010,12th House District,(R),won
Alabama,Terry,Butts,1998,Attorney General,(D),lost
Alabama,Scott A.,Buzbee,2010,35th Senate District,(D),lost
Alabama,Bradley Roberts,Byrne,2006,32nd Senate District,(R),won
Alabama,,Cagle,2006,5th Senate District,(D),lost
Alabama,George M.,Callahan,2002,35th Senate District,(R),lost
Alabama,Bill Joe,Camp,1990,Secretary of State,(D),won
Alabama,,Camp,2006,95th House District,(D),lost
Alabama,Ray,Campbell,2002,7th House District,(I),lost
Alabama,Greg,Canfield,2006,48th House District,(R),won
Alabama,Greg,Canfield,2010,48th House District,(R),won
Alabama,Charlene,Cannon,2010,45th House District,(D),lost
Alabama,,Carlton,2006,38th House District,(D),lost
Alabama,Ralph,Carmichael,2014,103rd House District,(R),lost
Alabama,Jim,Carns,2002,48th House District,(R),won
Alabama,Jim,Carns,2014,48th House District,(R),won
Alabama,Jim,Carns,2018,48th House District,(R),won
Alabama,Joe,Carothers,2002,86th House District,(D),won
Alabama,Joe,Carothers,2006,86th House District,(D),lost
Alabama,Merritt,Carothers,2010,86th House District,(D),won
Alabama,Carl,Carter,2018,11th Senate District,(D),lost
Alabama,Tommy,Carter,2002,5th House District,(D),won
Alabama,John L.,Cashin,1970,Governor,(ND),lost
Alabama,Allen,Caton,2002,42nd House District,(R),lost
Alabama,Allen,Caton,2006,42nd House District,(R),lost
Alabama,Twinkle Andress,Cavanaugh,2010,Public Service Commission - Place 1,(R),won
Alabama,Clyde,Chambliss Jr.,2014,30th Senate District,(R),won
Alabama,Clyde,Chambliss Jr.,2018,30th Senate District,(R),won
Alabama,Frank,Chandler,2006,61st House District,(R),lost
Alabama,Frank,Chandler,2010,61st House District,(R),lost
Alabama,Wayne,Chandler,2002,36th House District,(D),lost
Alabama,Beth,Chapman,2002,Auditor,(R),won
Alabama,Beth,Chapman,2006,Secretary of State,(R),won
Alabama,Beth,Chapman,2010,Secretary of State,(R),won
Alabama,,Chappell,2006,25th Senate District,(D),lost
Alabama,Rex,Cheatham,2014,8th House District,(D),lost
Alabama,Donnie,Chesteen,2010,87th House District,(R),won
Alabama,Donnie,Chesteen,2014,87th House District,(R),won
Alabama,Donnie,Chesteen,2018,29th Senate District,(R),won
Alabama,Prince,Chestnut,2018,67th House District,(D),won
Alabama,Bill,Clark,2002,98th House District,(D),won
Alabama,,Clark,2006,79th House District,(L),lost
Alabama,Charlotte,Clark‐Frieson,2018,37th House District,(D),lost
Alabama,Adline C.,Clarke,2014,97th House District,(D),won
Alabama,Adline C.,Clarke,2018,97th House District,(D),won
Alabama,Janie Baker,Clarke,2006,Auditor,(D),lost
Alabama,Horace,Clemmons,2014,8th Senate District,(D),lost
Alabama,Steve,Clouse,2002,93rd House District,(R),won
Alabama,Steve,Clouse,2006,93rd House District,(R),won
Alabama,Steve,Clouse,2010,93rd House District,(R),lost
Alabama,Steve,Clouse,2014,93rd House District,(R),won
Alabama,Steve,Clouse,2018,93rd House District,(R),won
Alabama,Frank E.,Cobb,2002,40th House District,(I),lost
Alabama,Ronnie G.,Coffman,2002,5th House District,(R),lost
Alabama,Ronnie G.,Coffman,2006,5th House District,(R),lost
Alabama,Linda,Coleman,2002,60th House District,(D),won
Alabama,Linda,Coleman,2006,20th Senate District,(D),won
Alabama,Linda,Coleman,2010,20th Senate District,(D),won
Alabama,Linda,Coleman,2014,20th Senate District,(D),won
Alabama,Linda,Coleman,2018,20th Senate District,(D),won
Alabama,Merika,Coleman,2002,57th House District,(D),won
Alabama,Merika,Coleman,2006,57th House District,(D),won
Alabama,Merika,Coleman,2010,57th House District,(D),won
Alabama,Merika,Coleman,2014,57th House District,(D),won
Alabama,Merika,Coleman,2018,57th House District,(D),won
Alabama,Suzanna,Coleman,2018,15th House District,(D),lost
Alabama,Cedric,Coley,2014,69th House District,(IND),lost
Alabama,Roy,Coley,2002,9th House District,(R),lost
Alabama,Jack Spencer,Collier,2002,105th House District,(R),won
Alabama,Jack Spencer,Collier,2006,105th House District,(R),won
Alabama,Jack Spencer,Collier,2010,105th House District,(R),won
Alabama,Terri,Collins,2010,8th House District,(R),won
Alabama,Terri,Collins,2014,8th House District,(R),won
Alabama,Terri,Collins,2018,8th House District,(R),won
Alabama,David,Colston,2010,69th House District,(D),won
Alabama,Tommy,Combs,2002,13th House District,(R),lost
Alabama,Jan,Cook,1986,Auditor,(D),won
Alabama,Jan,Cook,2010,Public Service Commission - Place 1,(D),lost
Alabama,Ted,Copland,2014,40th House District,(D),lost
Alabama,Don,Cotton,2010,92nd House District,(I),lost
Alabama,Jerome B.,Couch,1970,Governor,(Proh.),lost
Alabama,Hobson,Cox,2002,25th Senate District,(D),lost
Alabama,Danny,Crawford,2018,5th House District,(R),won
Alabama,Wayne J.,Creed,2002,37th House District,(R),lost
Alabama,Cory,Creel,2018,88th House District,(D),lost
Alabama,John G.,Crommelin,1970,Lieutenant Governor,(I),lost
Alabama,John S.,Crowder,1950,Governor,(R),lost
Alabama,Ron,Crumpton,2014,11th Senate District,(D),lost
Alabama,Jo Ann,Cummings,2018,4th House District,(D),lost
Alabama,Clara,Curtis,2002,33rd House District,(D),lost
Alabama,Clara,Curtis,2006,33rd House District,(D),lost
Alabama,Mike,Curtis,2006,2nd House District,(D),won
Alabama,Mike,Curtis,2010,2nd House District,(D),lost
Alabama,Mike,Curtis,2014,1st Senate District,(D),lost
Alabama,Anthony,Daniels,2014,53rd House District,(D),won
Alabama,Anthony,Daniels,2018,53rd House District,(D),won
Alabama,David S.,Darby,2010,92nd House District,(D),won
Alabama,Richard,Dare,1978,Governor,(Determination),lost
Alabama,Christopher,Davis,2018,80th House District,(D),lost
Alabama,Randy,Davis,2002,96th House District,(R),won
Alabama,Randy,Davis,2006,96th House District,(R),won
Alabama,Randy,Davis,2010,96th House District,(R),won
Alabama,Randy,Davis,2014,96th House District,(R),won
Alabama,Tom,Davis,1998,Treasurer,(R),lost
Alabama,Sheldon A.,Day,2002,22nd Senate District,(R),lost
Alabama,,Day,2006,3rd Senate District,(D),lost
Alabama,Steven M.,Dean,2010,35th House District,(R),lost
Alabama,Lindsey,Deckard,2018,16th Senate District,(D),lost
Alabama,Paul,DeMarco,2006,46th House District,(R),won
Alabama,Paul,DeMarco,2010,46th House District,(R),won
Alabama,Bobby,Denton,2002,1st Senate District,(D),won
Alabama,Bobby,Denton,2006,1st Senate District,(D),won
Alabama,Gerald,Dial,2002,13th Senate District,(D),won
Alabama,Gerald,Dial,2010,13th Senate District,(R),won
Alabama,Gerald,Dial,2014,13th Senate District,(R),won
Alabama,Will,Dismukes,2018,88th House District,(R),won
Alabama,Larry,Dixon,2002,25th Senate District,(R),won
Alabama,Larry,Dixon,2006,25th Senate District,(R),won
Alabama,,Dixon,2006,17th House District,(R),lost
Alabama,Bobby,Dolan III,2018,1st House District,(I),lost
Alabama,Jeff,Dolbare,2002,65th House District,(D),won
Alabama,Tom,Dooley,2010,Board of Education - District 4,(R),won
Alabama,Beau,Doolittle,2014,35th Senate District,(D),lost
Alabama,Kimberly Harbin,Drake,2010,Board of Education - District 6,(D),lost
Alabama,Owen,Drake,2006,45th House District,(R),won
Alabama,Owen,Drake,2010,45th House District,(R),won
Alabama,Owen,Drake,2014,45th House District,(R),won
Alabama,Owen,Drake,2018,45th House District,(R),won
Alabama,Allen Eugene,Driggers,2002,27th House District,(L),lost
Alabama,Barbara,Drummond,2014,103rd House District,(D),won
Alabama,Barbara,Drummond,2018,103rd House District,(D),won
Alabama,Mervin,Dudley,2010,80th House District,(R),lost
Alabama,Jerry,Dugan,2002,21st House District,(R),lost
Alabama,,Duke,2006,23rd Senate District,(R),lost
Alabama,Bill J.,Dukes,2002,8th House District,(D),won
Alabama,Bill J.,Dukes,2006,8th House District,(D),won
Alabama,Pat,Duncan,1994,Auditor,(R),won
Alabama,Pat,Duncan,1998,Auditor,(R),lost
Alabama,Priscilla,Dunn,2002,56th House District,(D),won
Alabama,Priscilla,Dunn,2006,56th House District,(D),won
Alabama,Priscilla,Dunn,2010,19th Senate District,(D),won
Alabama,Priscilla,Dunn,2014,19th Senate District,(D),won
Alabama,Priscilla,Dunn,2018,19th Senate District,(D),won
Alabama,Terry,Dunn,2010,Public Service Commission - Place 2,(R),won
Alabama,John Randall,Dutton,2002,5th Senate District,(D),lost
Alabama,John,Dyer,1982,Governor,(Proh.),lost
Alabama,Arlene Cunningham,Easley,2018,104th House District,(D),lost
Alabama,Brett,Easterbrook,2018,65th House District,(R),won
Alabama,Jeff,Echols,2002,45th House District,(L),lost
Alabama,Doris,Edmonds,2002,9th Senate District,(R),lost
Alabama,Charles,Elliott,2010,Board of Education - District 6,(R),lost
Alabama,Chris,Elliott,2018,32nd Senate District,(R),won
Alabama,,Ellis,2006,79th House District,(D),lost
Alabama,Corley,Ellis,2018,41st House District,(R),won
Alabama,Terry,Ellis,1990,Auditor,(D),won
Alabama,Jeff,Enfinger,2002,7th Senate District,(D),won
Alabama,Jeff,Enfinger,2010,7th Senate District,(D),lost
Alabama,Christopher John,England,2006,70th House District,(D),won
Alabama,Christopher John,England,2010,70th House District,(D),won
Alabama,Christopher John,England,2014,70th House District,(D),won
Alabama,Christopher John,England,2018,70th House District,(D),won
Alabama,Hank E.,Erwin Jr.,2002,14th Senate District,(R),won
Alabama,Hank E.,Erwin Jr.,2006,14th Senate District,(R),won
Alabama,Sundra,Escott,2002,20th Senate District,(D),won
Alabama,Tracy,Estes,2018,17th House District,(R),won
Alabama,Jimmy,Evans,1990,Attorney General,(D),won
Alabama,Jimmy,Evans,1994,Attorney General,(D),lost
Alabama,Shawn,Fargerson,2002,6th House District,(R),lost
Alabama,Allen,Farley,2010,15th House District,(R),won
Alabama,Allen,Farley,2014,15th House District,(R),won
Alabama,Allen,Farley,2018,15th House District,(R),won
Alabama,David,Faulkner,2014,46th House District,(R),won
Alabama,David,Faulkner,2018,46th House District,(R),won
Alabama,Joe,Faust Sr.,2002,94th House District,(R),won
Alabama,Joe,Faust Sr.,2006,94th House District,(R),won
Alabama,Joe,Faust Sr.,2010,94th House District,(R),won
Alabama,Joe,Faust Sr.,2014,94th House District,(R),won
Alabama,Joe,Faust Sr.,2018,94th House District,(R),won
Alabama,Angela,Fears,2014,32nd House District,(I),lost
Alabama,Jerry L.,Fielding,2010,11th Senate District,(D),won
Alabama,James C.,Fields Jr.,2010,12th House District,(D),lost
Alabama,James C.,Fields Jr.,2014,Lieutenant Governor,(D),lost
Alabama,Rashawn,Figures,2010,99th House District,(I),lost
Alabama,Vivian Davis,Figures,2002,33rd Senate District,(D),won
Alabama,Vivian Davis,Figures,2006,33rd Senate District,(D),won
Alabama,Vivian Davis,Figures,2010,33rd Senate District,(D),won
Alabama,Vivian Davis,Figures,2014,33rd Senate District,(D),won
Alabama,Vivian Davis,Figures,2018,33rd Senate District,(D),won
Alabama,Bob,Fincher,2010,37th House District,(R),lost
Alabama,Bob,Fincher,2014,37th House District,(R),won
Alabama,Bob,Fincher,2018,37th House District,(R),won
Alabama,Chad,Fincher,2006,102nd House District,(R),won
Alabama,Chad,Fincher,2010,102nd House District,(R),won
Alabama,Jason,Fisher,2018,32nd Senate District,(D),lost
Alabama,Lea,Fite,2002,40th House District,(D),won
Alabama,Lea,Fite,2006,40th House District,(D),won
Alabama,Darren,Flott,2014,98th House District,(I),lost
Alabama,George,Flowers,2010,29th Senate District,(R),lost
Alabama,Emory,Folmar,1982,Governor,(R),lost
Alabama,James E.,Folsom Jr.,1986,Lieutenant Governor,(D),won
Alabama,James E.,Folsom Jr.,1990,Lieutenant Governor,(D),won
Alabama,James E.,Folsom Jr.,1994,Governor,(D),lost
Alabama,James E.,Folsom Jr.,2006,Lieutenant Governor,(D),won
Alabama,James E.,Folsom Jr.,2010,Lieutenant Governor,(D),lost
Alabama,James E.,Folsom Sr.,1946,Governor,(D),won
Alabama,James E.,Folsom Sr.,1954,Governor,(D),won
Alabama,Craig,Ford,2002,28th House District,(D),won
Alabama,Craig,Ford,2006,28th House District,(D),won
Alabama,Craig,Ford,2010,28th House District,(D),won
Alabama,Craig,Ford,2014,28th House District,(D),won
Alabama,Craig,Ford,2018,10th Senate District,(I),lost
Alabama,Johnny,Ford,2002,82nd House District,(D),won
Alabama,Berry,Forte,2010,84th House District,(D),won
Alabama,Berry,Forte,2014,84th House District,(D),won
Alabama,Berry,Forte,2018,84th House District,(D),won
Alabama,Darius,Foster,2014,56th House District,(R),lost
Alabama,Joey,Franklin,2002,1st House District,(L),lost
Alabama,Betty,Frazier,2002,6th Senate District,(R),lost
Alabama,Ed,Frazier,2002,14th House District,(R),lost
Alabama,Dewayne,Freeman,1998,Lieutenant Governor,(D),lost
Alabama,Jerry,Freeman,2010,1st Senate District,(R),lost
Alabama,Bob,French,1970,Lieutenant Governor,(R),lost
Alabama,Steve,French,2002,15th Senate District,(R),won
Alabama,Steve,French,2006,15th Senate District,(R),won
Alabama,Matt,Fridy,2014,73rd House District,(R),won
Alabama,Matt,Fridy,2018,73rd House District,(R),won
Alabama,Bill,Fuller,2014,13th Senate District,(I),lost
Alabama,Mark,Gaines,2002,46th House District,(R),won
Alabama,Blaine,Galliher,2002,30th House District,(R),won
Alabama,Blaine,Galliher,2006,30th House District,(R),won
Alabama,Blaine,Galliher,2010,30th House District,(R),won
Alabama,Gabe,Garland,2002,Treasurer,(L),lost
Alabama,Ray,Garner,2002,25th House District,(R),won
Alabama,Danny,Garrett,2014,44th House District,(R),won
Alabama,Danny,Garrett,2018,44th House District,(R),won
Alabama,Victor,Gaston,2002,100th House District,(R),won
Alabama,Victor,Gaston,2006,100th House District,(R),won
Alabama,Victor,Gaston,2010,100th House District,(R),won
Alabama,Victor,Gaston,2014,100th House District,(R),won
Alabama,Victor,Gaston,2018,100th House District,(R),won
Alabama,Vickie,Gavin,1994,Secretary of State,(R),lost
Alabama,Carolyn,Gibson,2002,Auditor,(D),lost
Alabama,Scott,Gilliland,2010,Secretary of State,(D),lost
Alabama,H. Mac,Gipson,2002,88th House District,(R),won
Alabama,H. Mac,Gipson,2006,88th House District,(R),won
Alabama,Juandalynn LeLe,Givan,2010,60th House District,(D),won
Alabama,Juandalynn LeLe,Givan,2014,60th House District,(D),won
Alabama,Juandalynn LeLe,Givan,2018,60th House District,(D),won
Alabama,Sam,Givhan,2018,7th Senate District,(R),won
Alabama,Michael J.,Gladden,2014,29th House District,(D),lost
Alabama,,Glenn,2006,20th Senate District,(R),lost
Alabama,Rusty,Glover,2006,34th Senate District,(R),won
Alabama,Rusty,Glover,2010,34th Senate District,(R),won
Alabama,Rusty,Glover,2014,34th Senate District,(R),won
Alabama,Kathy White,Goodwin,2010,9th House District,(D),lost
Alabama,Vaughn,Goodwin,2010,4th House District,(D),lost
Alabama,,Gordon,2006,98th House District,(D),won
Alabama,Charlie,Graddick,1994,Lieutenant Governor,(R),lost
Alabama,Betty Carol,Graham,2002,81st House District,(D),won
Alabama,Betty Carol,Graham,2006,81st House District,(D),won
Alabama,Betty Carol,Graham,2010,81st House District,(D),won
Alabama,Loretta G.,Grant,2014,69th House District,(R),lost
Alabama,Tanner,Grant,2002,76th House District,(R),lost
Alabama,Ronald,Grantland,2002,9th House District,(D),won
Alabama,Ronald,Grantland,2006,9th House District,(D),won
Alabama,Greg,Graves,2002,4th Senate District,(L),lost
Alabama,Jenn,Gray,2018,45th House District,(D),lost
Alabama,Jeremy,Gray,2018,83rd House District,(D),won
Alabama,Preston R.,Gray Jr.,2002,12th Senate District,(D),lost
Alabama,Larry,Greenwood,2014,31st Senate District,(D),lost
Alabama,Lynn,Greer,2002,2nd House District,(R),won
Alabama,Lynn,Greer,2010,2nd House District,(R),won
Alabama,Lynn,Greer,2014,2nd House District,(R),won
Alabama,Lynn,Greer,2018,2nd House District,(R),won
Alabama,Todd,Greeson,2002,24th House District,(R),won
Alabama,Todd,Greeson,2006,24th House District,(R),won
Alabama,Todd,Greeson,2010,24th House District,(R),won
Alabama,,Grewelle,2006,73rd House District,(D),lost
Alabama,Rolf Parker,Griffith Jr.,2006,7th Senate District,(D),won
Alabama,Rolf Parker,Griffith Jr.,2014,Governor,(D),lost
Alabama,David,Grimes,2002,73rd House District,(R),won
Alabama,David,Grimes,2006,73rd House District,(R),won
Alabama,David,Grimes,2010,73rd House District,(R),lost
Alabama,David,Grimes,2014,77th House District,(R),lost
Alabama,Charley,Grimsley,2010,Treasurer,(D),lost
Alabama,Dexter,Grimsley,2010,85th House District,(D),won
Alabama,Dexter,Grimsley,2014,85th House District,(D),won
Alabama,Dexter,Grimsley,2018,85th House District,(D),won
Alabama,Garlan,Gudger,2018,4th Senate District,(R),won
Alabama,Ken,Guin,2002,14th House District,(D),won
Alabama,Ken,Guin,2006,14th House District,(D),won
Alabama,Ken,Guin,2010,14th House District,(D),lost
