Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Banks,72.50%,20.00%,,,,4.17%,3.33%,5.00%,$23,958.00,$25,000.00,$24,583.00,$21,875.00,$10,416.00,22.20%,20.80%,8.30%,30.80%
Banner Township, Ashley County,,,,,,,,,,,,,,,,,
Banner Township, Saline County,,,,,,,,,,,,,,,,,
Barber Township, Logan County,,,,,,,,,,,,,,,,,
Barham Township, Franklin County,,,,,,,,,,,,,,,,,
Barling,87.05%,1.39%,1.87%,5.10%,0.02%,2.04%,2.54%,3.98%,$37,605.00,$41,421.00,$28,218.00,$22,936.00,$16,485.00,10.00%,11.90%,15.80%,14.30%
Barnes Township, County,,,,,,,,,,,,,,,,,
Barnett Township, Van Buren County,,,,,,,,,,,,,,,,,
Barraque Township, Jefferson County,,,,,,,,,,,,,,,,,
Barren Fork Township Izard, County,,,,,,,,,,,,,,,,,
Barren Township, Independence County,,,,,,,,,,,,,,,,,
Barren Township, Jackson County,,,,,,,,,,,,,,,,,
Bartholomew Township, Drew County,,,,,,,,,,,,,,,,,
Bartholomew Township, Lincoln County,,,,,,,,,,,,,,,,,
Barton Township County,,,,,,,,,,,,,,,,,
Bass Little Township, Sebastian County,,,,,,,,,,,,,,,,,
Bassett,94.81%,,,,,,5.19%,0.60%,$31,607.00,$32,813.00,$28,750.00,$21,250.00,$13,464.00,18.40%,23.60%,36.10%,9.50%
Batavia Township, Boone County,,,,,,,,,,,,,,,,,
Bateman Township, Jackson County,,,,,,,,,,,,,,,,,
Batesville,83.20%,4.30%,0.60%,1.50%,0.30%,1.40%,2.00%,4.60%,$33,133.00,$42,634.00,$31,068.00,$20,506.00,$17,753.00,11.10%,14.50%,15.10%,16.60%
Batson Township, Johnson County,,,,,,,,,,,,,,,,,
Bauxite Township, Saline County,,,,,,,,,,,,,,,,,
Bauxite,97.45%,,0.69%,0.23%,,,1.62%,2.31%,$35,347.00,$37,153.00,$28,500.00,$24,167.00,$14,406.00,8.50%,11.00%,15.40%,11.30%
Baxter County,95.96%,0.16%,0.56%,0.41%,0.04%,,1.25%,1.66%,$29,106.00,$34,578.00,$25,976.00,$18,923.00,$16,859.00,7.90%,11.10%,14.70%,8.90%
Bay,95.39%,2.94%,0.17%,,,0.78%,0.72%,1.50%,$29,828.00,$35,833.00,$28,594.00,$19,732.00,$12,743.00,13.30%,15.50%,21.50%,19.70%
Bayliss Township, Pope County,,,,,,,,,,,,,,,,,
Bayou Meto Township County,,,,,,,,,,,,,,,,,
Bayou Township, Ashley County,,,,,,,,,,,,,,,,,
Bayou Township, Baxter County,,,,,,,,,,,,,,,,,
Bear Creek No. 4 Township, Searcy County,,,,,,,,,,,,,,,,,
Bear Creek No. 5 Township, Searcy County,,,,,,,,,,,,,,,,,
Bear Creek No. 6 Township, Searcy County,,,,,,,,,,,,,,,,,
Bear Creek Township, Sevier County,,,,,,,,,,,,,,,,,
Bearden Township, Marion County,,,,,,,,,,,,,,,,,
Bearden,65.07%,32.44%,0.18%,0.09%,,1.07%,1.16%,1.51%,$26,420.00,$30,573.00,$28,611.00,$14,886.00,$12,904.00,18.30%,21.70%,29.70%,19.20%
Bearhouse Township, Ashley County,,,,,,,,,,,,,,,,,
Bearhouse Township, Drew County,,,,,,,,,,,,,,,,,
Beatie Township, Benton County,,,,,,,,,,,,,,,,,
Beaver Township, Carroll County,,,,,,,,,,,,,,,,,
Beaver Township, Saline County,,,,,,,,,,,,,,,,,
Beaver,96.84%,,,,,2.11%,1.05%,2.11%,$23,438.00,$25,417.00,$25,417.00,$26,250.00,$11,665.00,13.00%,16.20%,0.00%,0.00%
Bedford Township, Cross County,,,,,,,,,,,,,,,,,
Beebe,90.87%,5.86%,0.47%,0.63%,0.04%,0.55%,1.58%,1.34%,$35,252.00,$41,307.00,$31,143.00,$20,881.00,$16,989.00,6.60%,11.20%,13.00%,17.00%
Beech Creek Township, Ashley County,,,,,,,,,,,,,,,,,
Beech Township, Miller County,,,,,,,,,,,,,,,,,
Beedeville,95.24%,3.81%,0.95%,,,,,,$34,375.00,$37,500.00,$24,500.00,$11,607.00,$24,995.00,15.40%,10.90%,14.30%,4.80%
Belcher Township, Prairie County,,,,,,,,,,,,,,,,,
Bella Vista,97.87%,0.18%,0.69%,0.27%,0.01%,0.20%,0.78%,1.01%,$44,090.00,$48,233.00,$34,547.00,$24,690.00,$25,406.00,1.50%,2.50%,3.70%,1.00%
Bellefonte Township, Boone County,,,,,,,,,,,,,,,,,
Bellefonte,97.80%,,,,,,1.30%,,$27,917.00,$30,729.00,$24,500.00,$18,000.00,$12,958.00,13.70%,18.20%,32.40%,3.60%
Belleville,81.67%,0.81%,,7.55%,,5.66%,4.31%,6.47%,$25,625.00,$27,875.00,$18,750.00,$18,036.00,$10,482.00,20.90%,22.10%,38.00%,22.50%
Ben Lomond Township, Sevier County,,,,,,,,,,,,,,,,,
Ben Lomond,92.06%,1.59%,5.56%,,,,0.79%,0.79%,$26,875.00,$43,750.00,$64,375.00,$23,750.00,$14,580.00,15.60%,19.50%,26.50%,19.50%
Benedict Township, Faulkner County,,,,,,,,,,,,,,,,,
Bennett Township, Clay County,,,,,,,,,,,,,,,,,
Bentley Township, Conway County,,,,,,,,,,,,,,,,,
Benton County,76.18%,1.27%,1.69%,2.85%,0.30%,,,15.49%,$40,281.00,$45,235.00,$30,327.00,$22,469.00,$19,377.00,7.30%,10.10%,13.80%,7.30%
Benton Township, Faulkner County,,,,,,,,,,,,,,,,,
Benton Township, Fulton County,,,,,,,,,,,,,,,,,
Benton,92.81%,4.46%,0.39%,0.56%,0.05%,0.75%,1.19%,1.90%,$41,503.00,$51,064.00,$32,493.00,$22,386.00,$19,797.00,5.80%,8.60%,9.90%,11.50%
Bentonville,90.92%,0.88%,1.33%,2.40%,0.04%,2.68%,1.76%,6.07%,$39,936.00,$46,558.00,$31,816.00,$23,761.00,,7.50%,10.30%,13.70%,10.90%
Bergman,96.81%,,0.49%,0.25%,0.25%,0.49%,1.72%,0.74%,$31,250.00,$37,708.00,$27,778.00,$18,958.00,$13,928.00,7.30%,10.60%,9.80%,21.40%
Berryville,81.70%,0.50%,0.80%,0.90%,0.40%,13.20%,2.60%,24.70%,,,,,,,,,
Bethel Heights,92.16%,,1.54%,2.52%,,1.82%,1.96%,3.36%,$48,750.00,$51,172.00,$33,438.00,$26,625.00,$19,001.00,1.90%,4.90%,1.80%,11.40%
Bethesda Township, Ouachita County,,,,,,,,,,,,,,,,,
Beverly Township, Sebastian County,,,,,,,,,,,,,,,,,
Bidville Township, Crawford County,,,,,,,,,,,,,,,,,
Big Bottom Township, Independence County,,,,,,,,,,,,,,,,,
Big Creek Township, Craighead County,,,,,,,,,,,,,,,,,
Big Creek Township, Fulton County,,,,,,,,,,,,,,,,,
Big Creek Township, Hot Spring County,,,,,,,,,,,,,,,,,
Big Creek Township, Lee County,,,,,,,,,,,,,,,,,
