Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Caney Township, County,,,,,,,,,,,,,,,,,
Caney Township, Little River County,,,,,,,,,,,,,,,,,
Caney Township, Montgomery County,,,,,,,,,,,,,,,,,
Caney Township, Nevada County,,,,,,,,,,,,,,,,,
Caraway,97.63%,,0.07%,0.07%,,1.33%,0.89%,2.89%,$22,279.00,$26,600.00,$25,809.00,$17,000.00,$11,647.00,21.90%,26.30%,37.10%,35.60%
Cargile Township, Van Buren County,,,,,,,,,,,,,,,,,
Carlisle Township, Lonoke County,,,,,,,,,,,,,,,,,
Carlisle,86.28%,12.46%,0.52%,0.22%,,,0.52%,0.56%,$30,086.00,$39,853.00,$30,292.00,$20,563.00,$15,725.00,10.50%,15.50%,16.30%,26.70%
Carlton Township, Chicot County,,,,,,,,,,,,,,,,,
Caroline Township, Lonoke County,,,,,,,,,,,,,,,,,
Carpenter Township, Clay County,,,,,,,,,,,,,,,,,
Carroll County,93.63%,0.11%,0.88%,0.41%,0.08%,3.34%,1.55%,9.74%,$27,924.00,$33,218.00,$21,896.00,$18,159.00,$16,003.00,11.00%,15.50%,20.70%,13.60%
Carroll Township, Ouachita County,,,,,,,,,,,,,,,,,
Carrollton Township, Boone County,,,,,,,,,,,,,,,,,
Carrollton Township, Carroll County,,,,,,,,,,,,,,,,,
Carson Township County,,,,,,,,,,,,,,,,,
Carter Township, Ashley County,,,,,,,,,,,,,,,,,
Carthage,16.29%,82.80%,,,,0.68%,0.23%,3.39%,$23,750.00,$33,750.00,$22,188.00,$18,229.00,$11,466.00,19.30%,24.00%,29.20%,33.30%
Casa Township, Perry County,,,,,,,,,,,,,,,,,
Casa,100.00%,,,,,,,,,,,,,,,,
Cash,98.98%,0.68%,,0.34%,,,,0.68%,$22,500.00,$24,722.00,$26,136.00,$17,188.00,$11,888.00,10.00%,17.80%,31.10%,8.30%
Caswell Township, Calhoun County,,,,,,,,,,,,,,,,,
Catholic Point Township, Conway County,,,,,,,,,,,,,,,,,
Caulksville,96.14%,1.72%,1.29%,,,,0.86%,0.86%,$30,000.00,$33,250.00,$30,729.00,$18,125.00,$21,428.00,13.90%,13.70%,18.20%,18.60%
Cauthron Township, Logan County,,,,,,,,,,,,,,,,,
Cauthron Township, Scott County,,,,,,,,,,,,,,,,,
Cave City,97.84%,0.57%,0.72%,0.05%,,,0.82%,1.18%,$23,163.00,$27,292.00,$21,397.00,$17,424.00,$11,925.00,17.00%,21.30%,26.30%,15.60%
Cave Springs,93.02%,0.09%,3.54%,0.27%,,1.54%,1.54%,2.18%,$37,500.00,$42,813.00,$29,167.00,$22,574.00,$17,946.00,7.20%,9.10%,11.90%,10.50%
Cave Township, Sharp County,,,,,,,,,,,,,,,,,
Cedar Creek Township, Crawford County,,,,,,,,,,,,,,,,,
Cedar Creek Township, Marion County,,,,,,,,,,,,,,,,,
Cedar Falls Township, Conway County,,,,,,,,,,,,,,,,,
Cedar Township, Carroll County,,,,,,,,,,,,,,,,,
Cedar Township, Polk County,,,,,,,,,,,,,,,,,
Cedar Township, Scott County,,,,,,,,,,,,,,,,,
Cedarville Township, Crawford County,,,,,,,,,,,,,,,,,
Cedarville,94.53%,0.18%,2.74%,0.26%,,0.18%,2.12%,0.97%,$30,952.00,$33,409.00,$30,385.00,$16,538.00,$14,346.00,10.70%,15.80%,19.90%,19.40%
Center Point Township, Howard County,,,,,,,,,,,,,,,,,
Center Post Township, Cleburne County,,,,,,,,,,,,,,,,,
Center Ridge,,,,,,,,,,,,,,,,,
Center Township, Montgomery County,,,,,,,,,,,,,,,,,
Center Township, Polk County,,,,,,,,,,,,,,,,,
Center Township, Pope County,,,,,,,,,,,,,,,,,
Center Township, Prairie County,,,,,,,,,,,,,,,,,
Center Township, Sebastian County,,,,,,,,,,,,,,,,,
Center Township, Washington County,,,,,,,,,,,,,,,,,
Centerton,96.37%,0.14%,0.93%,0.19%,,0.70%,1.68%,4.05%,$46,600.00,$50,000.00,$31,216.00,$22,731.00,$17,530.00,6.20%,7.70%,10.10%,5.80%
Centerville Township, Yell County,,,,,,,,,,,,,,,,,
Central City,96.23%,1.51%,,,,0.94%,1.32%,1.69%,$38,173.00,$43,958.00,$31,964.00,$20,875.00,$15,892.00,7.80%,15.80%,20.30%,7.90%
Chalk Bluff Township, Clay County,,,,,,,,,,,,,,,,,
Champagnolle Township, Calhoun County,,,,,,,,,,,,,,,,,
Charleston,95.58%,0.07%,0.64%,0.34%,,1.48%,1.89%,2.06%,$30,824.00,$39,598.00,$27,917.00,$18,512.00,$14,912.00,8.60%,14.40%,17.10%,16.60%
Cherokee City,,,,,,,,,,,,,,,,,
Cherokee Township, Benton County,,,,,,,,,,,,,,,,,
Cherokee Township, Sharp County,,,,,,,,,,,,,,,,,
Cherokee Village,97.14%,0.17%,0.65%,0.24%,0.02%,0.11%,1.68%,0.62%,$27,997.00,$29,636.00,$22,639.00,$18,571.00,$17,105.00,9.90%,13.40%,29.20%,5.60%
Cherry Hill Township, Perry County,,,,,,,,,,,,,,,,,
Cherry Valley,92.33%,5.97%,0.57%,0.14%,,,0.99%,0.28%,$27,313.00,$31,094.00,$26,324.00,$20,114.00,$16,592.00,18.10%,18.50%,27.80%,19.80%
Chester Township County,,,,,,,,,,,,,,,,,
Chester Township, Crawford County,,,,,,,,,,,,,,,,,
Chester Township, Dallas County,,,,,,,,,,,,,,,,,
Chester,89.90%,,10.10%,,,,,2.02%,$27,500.00,$31,667.00,$26,250.00,$14,583.00,$11,269.00,23.10%,38.90%,48.60%,25.00%
Chickasawba Township County,,,,,,,,,,,,,,,,,
Chicot County,43.24%,53.96%,0.13%,0.40%,0.02%,1.41%,0.85%,2.88%,$22,024.00,$27,960.00,$25,899.00,$17,115.00,$12,825.00,23.10%,28.60%,38.30%,20.70%
Chidester,37.01%,62.39%,0.30%,,,,0.30%,,$21,397.00,$29,000.00,$27,656.00,$20,250.00,$13,425.00,21.80%,27.30%,42.40%,20.80%
Choctaw Township, Lincoln County,,,,,,,,,,,,,,,,,
Choctaw Township, Van Buren County,,,,,,,,,,,,,,,,,
Chrisp Township, White County,,,,,,,,,,,,,,,,,
Claiborne Township, Izard County,,,,,,,,,,,,,,,,,
Clarendon,68.47%,30.20%,0.46%,0.05%,,,0.82%,2.35%,$22,927.00,$30,250.00,$25,972.00,$18,125.00,$11,902.00,20.80%,28.90%,44.40%,26.50%
Clark County,74.28%,22.02%,0.46%,0.62%,0.04%,1.37%,1.20%,2.40%,$28,845.00,$37,092.00,$28,692.00,$19,886.00,$14,533.00,13.50%,19.10%,20.90%,18.40%
Clark Township, Clay County,,,,,,,,,,,,,,,,,
Clark Township, Greene County,,,,,,,,,,,,,,,,,
Clark Township, Logan County,,,,,,,,,,,,,,,,,
Clark Township, Pike County,,,,,,,,,,,,,,,,,
Clark Township, Pope County,,,,,,,,,,,,,,,,,
Clarksville,87.60%,3.46%,0.44%,0.47%,0.03%,6.15%,1.85%,15.26%,$24,548.00,$30,758.00,$22,052.00,$19,764.00,$16,305.00,16.20%,20.30%,24.80%,13.40%
Clay County,98.08%,0.19%,0.69%,0.08%,,0.15%,0.81%,0.80%,$25,345.00,$32,558.00,$24,375.00,$17,146.00,$14,512.00,13.40%,17.50%,21.20%,22.70%
Clay Township, Bradley County,,,,,,,,,,,,,,,,,
Clay Township, Howard County,,,,,,,,,,,,,,,,,
Clay Township, White County,,,,,,,,,,,,,,,,,
Clayton Township, Cleburne County,,,,,,,,,,,,,,,,,
Clayton Township, Desha County,,,,,,,,,,,,,,,,,
Clear Creek Township, Drew County,,,,,,,,,,,,,,,,,
Clear Creek Township, Hot Spring County,,,,,,,,,,,,,,,,,
Clear Creek Township, Sevier County,,,,,,,,,,,,,,,,,
Clear Lake Township County,,,,,,,,,,,,,,,,,
Cleburne County,98.20%,0.12%,0.47%,0.15%,0.02%,0.15%,0.89%,1.17%,$31,531.00,$37,273.00,$28,844.00,$19,672.00,$17,250.00,9.00%,13.10%,17.10%,11.90%
Cleburne Township, Monroe County,,,,,,,,,,,,,,,,,
Cleburne Township, Phillips County,,,,,,,,,,,,,,,,,
Cleveland County,84.79%,13.22%,0.32%,0.14%,0.04%,0.68%,0.83%,1.62%,$32,405.00,$38,164.00,$31,282.00,$21,172.00,$15,362.00,11.40%,15.20%,21.50%,15.70%
Cleveland Township, Clay County,,,,,,,,,,,,,,,,,
Cleveland Township, Fulton County,,,,,,,,,,,,,,,,,
Cleveland Township, Little River County,,,,,,,,,,,,,,,,,
Cleveland Township, Lonoke County,,,,,,,,,,,,,,,,,
Cleveland Township, Miller County,,,,,,,,,,,,,,,,,
Cleveland Township, Ouachita County,,,,,,,,,,,,,,,,,
Cleveland Township, Phillips County,,,,,,,,,,,,,,,,,
Cleveland Township, White County,,,,,,,,,,,,,,,,,
Clifton Township, Faulkner County,,,,,,,,,,,,,,,,,
Clinton,95.71%,0.04%,0.74%,0.13%,,1.31%,2.06%,2.67%,$22,206.00,$30,792.00,$24,750.00,$19,152.00,$15,514.00,15.70%,17.90%,21.70%,16.70%
Coal Hill,95.50%,,0.40%,,,1.90%,2.20%,2.70%,$23,490.00,$34,250.00,$23,077.00,$16,544.00,$13,540.00,16.60%,21.10%,23.50%,22.90%
Coal Township, Scott County,,,,,,,,,,,,,,,,,
Cobb Township, Franklin County,,,,,,,,,,,,,,,,,
Coffey Township, White County,,,,,,,,,,,,,,,,,
Coin Township, Carroll County,,,,,,,,,,,,,,,,,
Coldwater Township, Cross County,,,,,,,,,,,,,,,,,
Coldwell Township, White County,,,,,,,,,,,,,,,,,
Cole Township, Sebastian County,,,,,,,,,,,,,,,,,
College Station,1.48%,95.78%,0.13%,0.78%,,,1.83%,0.78%,$14,191.00,$14,464.00,$25,893.00,$17,000.00,$9,498.00,60.20%,53.10%,76.30%,28.30%
Collier Township, Greene County,,,,,,,,,,,,,,,,,
Collins Township, Drew County,,,,,,,,,,,,,,,,,
Colt,94.02%,5.43%,,,,0.54%,,0.54%,,,,,,,,,
Columbia County,62.08%,36.06%,0.26%,0.34%,0.03%,0.46%,0.77%,1.05%,$27,640.00,$36,271.00,$31,313.00,$20,099.00,$15,322.00,15.80%,21.10%,28.70%,20.00%
Columbia Township, Randolph County,,,,,,,,,,,,,,,,,
Colville Township, Benton County,,,,,,,,,,,,,,,,,
Cominto Township, Drew County,,,,,,,,,,,,,,,,,
Compton Township, Yell County,,,,,,,,,,,,,,,,,
Concord,98.82%,,0.78%,,,,0.39%,1.96%,$29,844.00,$35,625.00,$27,708.00,$8,906.00,$13,283.13,9.30%,13.10%,15.60%,12.80%
Convenience Township, Pope County,,,,,,,,,,,,,,,,,
Conway County,84.27%,13.05%,0.50%,0.23%,0.03%,0.74%,1.18%,1.77%,$31,209.00,$38,179.00,$28,199.00,$20,134.00,$16,056.00,12.20%,16.10%,21.90%,13.10%
Conway,77.40%,15.60%,0.40%,1.90%,0.10%,2.40%,2.20%,5.10%,$42,640.00,$63,860.00,,,$18,509.00,9.30%,16.30%,15.00%,10.80%
Corinth,96.92%,,,,,3.08%,,24.62%,$28,125.00,$44,375.00,$16,607.00,$19,167.00,$10,926.00,9.10%,10.60%,0.00%,5.90%
Cornie Township, Union County,,,,,,,,,,,,,,,,,
Corning,97.77%,0.33%,0.60%,0.24%,,0.11%,0.95%,0.38%,$21,200.00,$29,485.00,$22,095.00,$16,383.00,$12,953.00,18.90%,23.20%,29.00%,29.60%
Cotter,97.07%,,0.87%,0.22%,,,1.85%,1.52%,$22,857.00,$34,375.00,$26,298.00,$17,266.00,$15,893.00,11.90%,16.80%,18.30%,13.30%
Cotton Plant Township, County,,,,,,,,,,,,,,,,,
Council Township, Lee County,,,,,,,,,,,,,,,,,
County Line Township, Howard County,,,,,,,,,,,,,,,,,
Cove City Township, Crawford County,,,,,,,,,,,,,,,,,
Cove Creek Township, Washington County,,,,,,,,,,,,,,,,,
Cove Township, Polk County,,,,,,,,,,,,,,,,,
Cove,94.78%,,3.92%,,,0.26%,1.04%,1.04%,$17,368.00,$21,875.00,$16,964.00,$17,500.00,$8,310.00,25.00%,28.80%,35.00%,16.90%
Cow Lake Township, Jackson County,,,,,,,,,,,,,,,,,
Coy,86.21%,13.79%,,,,,,2.59%,,,,,,,,,
Craig Township, Van Buren County,,,,,,,,,,,,,,,,,
Craighead County,89.27%,7.78%,0.33%,0.60%,0.02%,0.93%,1.06%,2.12%,$32,425.00,$40,688.00,$30,366.00,$21,109.00,$17,091.00,11.60%,15.40%,19.40%,13.40%
Cravens Township, Franklin County,,,,,,,,,,,,,,,,,
Crawford County,92.19%,0.87%,2.01%,1.19%,0.02%,1.48%,2.24%,3.27%,$32,871.00,$36,741.00,$29,581.00,$20,352.00,$15,015.00,10.90%,14.20%,19.30%,13.70%
Crawford Township, Washington County,,,,,,,,,,,,,,,,,
Crawford Township, Yell County,,,,,,,,,,,,,,,,,
Crawfordsville,49.81%,49.42%,,0.19%,,,0.58%,1.17%,$26,518.00,$31,667.00,$31,250.00,$19,205.00,$12,176.00,19.40%,21.10%,27.90%,16.40%
Crittenden County,50.91%,47.05%,0.24%,0.47%,0.02%,0.66%,0.64%,1.42%,$30,109.00,$34,982.00,$31,299.00,$21,783.00,$14,424.00,21.00%,25.30%,35.30%,23.70%
Crockett Township County,,,,,,,,,,,,,,,,,
Crockett Township, Marion County,,,,,,,,,,,,,,,,,
Crook Township, Drew County,,,,,,,,,,,,,,,,,
Crooked Creek Township, Lonoke County,,,,,,,,,,,,,,,,,
Crooked Creek Township, Marion County,,,,,,,,,,,,,,,,,
Crosby Township, White County,,,,,,,,,,,,,,,,,
Cross County,74.80%,23.70%,0.23%,0.31%,0.01%,0.21%,0.74%,0.93%,,,,,,,,,
Cross Township, Carroll County,,,,,,,,,,,,,,,,,
Crossett,59.50%,39.02%,0.07%,0.46%,0.02%,0.30%,0.64%,1.10%,$31,193.00,,$43,698.00,$32,149.00,$18,288.00,13.70%,16.80%,29.10%,12.00%
Crowley Township, Greene County,,,,,,,,,,,,,,,,,
Culpepper Township, Van Buren County,,,,,,,,,,,,,,,,,
Current River Township, Randolph County,,,,,,,,,,,,,,,,,
Cushman Township, Independence County,,,,,,,,,,,,,,,,,
Cushman,96.53%,,1.08%,,,,2.39%,1.08%,$25,000.00,$29,125.00,$22,266.00,$16,625.00,$11,836.00,15.10%,20.80%,22.90%,29.20%
Cut Off Township, Miller County,,,,,,,,,,,,,,,,,
Cypert Township, White County,,,,,,,,,,,,,,,,,
Cypress Ridge Township, Monroe County,,,,,,,,,,,,,,,,,
Cypress Township, Faulkner County,,,,,,,,,,,,,,,,,
Cypress Township, Phillips County,,,,,,,,,,,,,,,,,
Daisy,96.61%,1.69%,,,,,1.69%,,$26,607.00,$26,250.00,$23,125.00,$13,750.00,$11,896.00,,27.40%,33.30%,0.00%
Dallas County,56.96%,40.98%,0.24%,0.23%,,1.01%,0.59%,1.92%,$26,608.00,$32,630.00,$28,538.00,$17,884.00,$14,610.00,13.30%,18.90%,23.80%,20.00%
Dallas Township, Calhoun County,,,,,,,,,,,,,,,,,
Dalton Township, Randolph County,,,,,,,,,,,,,,,,,
Damascus,97.71%,0.98%,0.33%,,,,0.98%,1.31%,$28,977.00,$38,750.00,$28,214.00,$16,458.00,$18,342.00,1.30%,8.00%,0.00%,22.20%
Danley Township, Faulkner County,,,,,,,,,,,,,,,,,
Danville Township, Yell County,,,,,,,,,,,,,,,,,
Danville,65.22%,1.84%,0.59%,1.30%,,29.35%,1.71%,43.48%,$26,506.00,$29,185.00,$17,122.00,$16,604.00,$12,533.00,17.50%,21.20%,26.90%,9.50%
Dardanelle Township, Yell County,,,,,,,,,,,,,,,,,
Dardanelle,75.24%,4.64%,0.54%,0.43%,0.09%,16.65%,2.41%,21.48%,$25,727.00,$30,457.00,$21,138.00,$17,370.00,$14,583.00,14.90%,19.60%,26.50%,14.00%
Darysaw Township, Grant County,,,,,,,,,,,,,,,,,
Datto,100.00%,,,,,,,1.03%,$28,750.00,$34,375.00,$26,250.00,$17,250.00,$12,790.00,0.00%,8.00%,0.00%,41.20%
Davidson Township, Sharp County,,,,,,,,,,,,,,,,,
Davis Township, Van Buren County,,,,,,,,,,,,,,,,,
Days Creek Township, Miller County,,,,,,,,,,,,,,,,,
Dayton Township, Sebastian County,,,,,,,,,,,,,,,,,
De Bastrop Township, Ashley County,,,,,,,,,,,,,,,,,
De Queen,66.40%,6.07%,2.38%,0.21%,0.10%,23.07%,1.77%,38.59%,$25,707.00,$31,582.00,$21,542.00,$17,367.00,$12,968.00,21.30%,26.90%,36.70%,18.50%
De Roan Township, Hempstead County,,,,,,,,,,,,,,,,,
De Roche Township, Hot Spring County,,,,,,,,,,,,,,,,,
De Soto Township, Marion County,,,,,,,,,,,,,,,,,
De View Township, County,,,,,,,,,,,,,,,,,
Dean Springs Township, Crawford County,,,,,,,,,,,,,,,,,
Decatur Township, Benton County,,,,,,,,,,,,,,,,,
Decatur,80.97%,,5.48%,0.46%,,10.12%,2.97%,16.51%,$29,844.00,$33,333.00,$22,115.00,$19,125.00,$11,618.00,16.30%,18.30%,23.20%,22.10%
Dekalb Township, Grant County,,,,,,,,,,,,,,,,,
Delaplaine,89.76%,,,,,,10.24%,,$31,000.00,$27,500.00,$27,083.00,$15,625.00,$13,076.00,0.00%,0.80%,0.00%,0.00%
Delaware Township, Logan County,,,,,,,,,,,,,,,,,
Delight,95.50%,0.96%,3.22%,0.32%,,,,0.32%,$23,977.00,$33,125.00,$26,375.00,$20,938.00,$12,749.00,17.60%,26.00%,37.80%,29.40%
Dell,89.64%,1.20%,,0.40%,,7.97%,0.80%,7.97%,$26,607.00,$31,667.00,$26,250.00,$21,250.00,$15,762.00,10.60%,12.10%,13.30%,12.00%
Demun Township, Randolph County,,,,,,,,,,,,,,,,,
Denmark Township, White County,,,,,,,,,,,,,,,,,
Dennard,,,,,,,,,,,,,,,,,
Denning,95.19%,0.37%,0.74%,1.85%,,,1.85%,2.22%,$23,750.00,$32,708.00,$19,792.00,$17,344.00,$12,487.00,22.80%,21.80%,18.40%,9.80%
Dent Township, County,,,,,,,,,,,,,,,,,
Dent Township, Lawrence County,,,,,,,,,,,,,,,,,
Denton Township, Scott County,,,,,,,,,,,,,,,,,
Departee Township, Independence County,,,,,,,,,,,,,,,,,
Dermott,25.24%,73.27%,0.15%,0.30%,,0.06%,0.97%,0.76%,$17,857.00,$22,214.00,$21,134.00,$17,318.00,$9,998.00,25.90%,32.50%,43.00%,22.40%
Des Arc Township, Prairie County,,,,,,,,,,,,,,,,,
Des Arc Township, White County,,,,,,,,,,,,,,,,,
Des Arc,83.03%,14.80%,1.30%,0.31%,,0.62%,0.93%,1.29%,$23,750.00,$28,264.00,$26,250.00,$17,500.00,$14,629.00,16.30%,20.00%,32.20%,12.90%
Desha County,50.50%,46.33%,0.35%,0.30%,0.03%,1.73%,0.76%,3.16%,$24,121.00,$30,028.00,$29,623.00,$18,913.00,$13,446.00,23.60%,28.90%,39.60%,24.00%
DeValls Bluff,67.82%,31.80%,,0.13%,,,0.26%,0.13%,$21,534.00,$32,708.00,$28,088.00,$16,771.00,$13,582.00,18.40%,23.60%,28.70%,22.10%
DeWitt,77.93%,20.92%,0.17%,0.23%,,0.20%,0.56%,0.53%,$30,921.00,$42,917.00,$30,536.00,$25,240.00,$18,993.00,10.60%,18.20%,25.00%,14.40%
Diamond City,96.71%,,0.55%,,,,2.74%,1.37%,$23,704.00,$27,946.00,$24,659.00,$17,708.00,$13,968.00,16.20%,18.80%,35.00%,7.20%
Diamond Township, Sebastian County,,,,,,,,,,,,,,,,,
Diaz,69.63%,28.35%,0.47%,,,0.55%,1.01%,1.17%,$34,792.00,$38,646.00,$31,339.00,$19,853.00,$15,867.00,11.70%,14.60%,20.50%,17.10%
Dickerson-Hill Township, Johnson County,,,,,,,,,,,,,,,,,
Dickson Township, Benton County,,,,,,,,,,,,,,,,,
Dierks,95.93%,0.57%,1.14%,0.08%,,1.46%,0.81%,1.95%,$27,900.00,$31,667.00,$26,765.00,$18,125.00,$13,515.00,9.80%,12.60%,14.50%,22.10%
Dillard Township, Howard County,,,,,,,,,,,,,,,,,
Dixon Township, Monroe County,,,,,,,,,,,,,,,,,
Dobson Township, Poinsett County,,,,,,,,,,,,,,,,,
Dodd City Township, Marion County,,,,,,,,,,,,,,,,,
Dogwood Township, White County,,,,,,,,,,,,,,,,,
Donald Township, Franklin County,,,,,,,,,,,,,,,,,
Donaldson,97.85%,,0.61%,,,,1.53%,0.61%,$22,813.00,$28,500.00,$29,250.00,$20,500.00,$13,307.00,15.00%,17.10%,25.30%,10.70%
Dora Township, Crawford County,,,,,,,,,,,,,,,,,
Dortch Township, Lonoke County,,,,,,,,,,,,,,,,,
Dota Township, Independence County,,,,,,,,,,,,,,,,,
Dover Township, Hot Spring County,,,,,,,,,,,,,,,,,
Dover Township, Pope County,,,,,,,,,,,,,,,,,
Dover,97.37%,0.23%,0.68%,0.15%,,0.60%,0.98%,1.96%,$27,697.00,$33,879.00,$25,625.00,$19,073.00,$13,261.00,10.60%,14.60%,13.90%,14.00%
Dowell Township, Lawrence County,,,,,,,,,,,,,,,,,
Drew County,70.30%,27.16%,0.25%,0.42%,0.02%,1.00%,0.85%,1.76%,$28,627.00,$37,317.00,$30,794.00,$20,707.00,$16,264.00,13.10%,18.20%,21.90%,21.80%
Driggs Township, Logan County,,,,,,,,,,,,,,,,,
Dry Fork Township, Carroll County,,,,,,,,,,,,,,,,,
Dry Run Township, Dallas County,,,,,,,,,,,,,,,,,
Drytown Township, Izard County,,,,,,,,,,,,,,,,,
Duckett Township, Howard County,,,,,,,,,,,,,,,,,
Dudley Lake Township, Jefferson County,,,,,,,,,,,,,,,,,
Dumas,26.62%,70.02%,0.08%,0.50%,,2.00%,0.78%,3.19%,$25,754.00,$32,255.00,$28,396.00,$19,363.00,$12,727.00,22.60%,28.80%,39.90%,23.40%
Duncan Township, Monroe County,,,,,,,,,,,,,,,,,
Dunnington Township, Jefferson County,,,,,,,,,,,,,,,,,
Durham Township, Washington County,,,,,,,,,,,,,,,,,
Dutch Creek Township, Yell County,,,,,,,,,,,,,,,,,
Dutch Mills Township, Washington County,,,,,,,,,,,,,,,,,
Duty Township, Lawrence County,,,,,,,,,,,,,,,,,
Dyer Township, Crawford County,,,,,,,,,,,,,,,,,
Dyer Township, Saline County,,,,,,,,,,,,,,,,,
Dyer,96.24%,0.17%,1.20%,0.85%,,,1.54%,0.17%,$23,438.00,$28,500.00,$28,523.00,$21,500.00,$13,206.00,22.60%,34.10%,52.70%,32.10%
Dyess Township County,,,,,,,,,,,,,,,,,
Dyess,83.20%,1.20%,,,,,2.00%,13.70%,$25,000.00,$26,447.00,$22,500.00,$18,229.00,$11,047.00,25.30%,25.10%,26.60%,37.70%
Eagle Township, Bradley County,,,,,,,,,,,,,,,,,
Eagle Township, Faulkner County,,,,,,,,,,,,,,,,,
Eagle Township, Lonoke County,,,,,,,,,,,,,,,,,
Eagle Township, Pike County,,,,,,,,,,,,,,,,,
Eagle Township, Polk County,,,,,,,,,,,,,,,,,
Earle,23.45%,75.23%,0.20%,0.43%,,0.10%,0.59%,0.53%,$20,344.00,$22,775.00,$26,510.00,$18,011.00,$13,260,000.00,40.20%,45.40%,58.70%,36.60%
East Camden,70.18%,26.83%,0.22%,,,1.11%,1.66%,3.33%,$30,804.00,$40,568.00,$27,500.00,$20,114.00,$13,272.00,9.20%,11.90%,11.40%,9.10%
East End,95.87%,0.87%,0.66%,0.87%,0.05%,0.32%,1.35%,1.28%,$46,678.00,$49,649.00,$31,396.00,$24,831.00,$19,198.00,4.30%,6.10%,8.30%,7.70%
East Fork Township, Faulkner County,,,,,,,,,,,,,,,,,
East Roanoke Township, Randolph County,,,,,,,,,,,,,,,,,
East Sullivan Township, Sharp County,,,,,,,,,,,,,,,,,
Eaton Township, Lawrence County,,,,,,,,,,,,,,,,,
Ecore Fabre Township, Ouachita County,,,,,,,,,,,,,,,,,
Edmondson,27.49%,71.15%,0.58%,,,0.19%,0.58%,0.39%,$28,056.00,$30,000.00,$29,000.00,$17,917.00,$14,143.00,21.50%,24.60%,31.90%,22.20%
Egypt Township, Ashley County,,,,,,,,,,,,,,,,,
Egypt,97.03%,,,,,,2.97%,0.99%,$18,750.00,$24,063.00,$19,583.00,$16,250.00,$9,828.00,22.60%,29.90%,55.60%,13.80%
El Dorado Township, Union County,,,,,,,,,,,,,,,,,
El Dorado,45.10%,49.90%,0.30%,0.71%,0.80%,0.39%,0.86%,1.04%,$27,045.00,$34,753.00,$30,876.00,$19,211.00,$16,332.00,20.00%,24.60%,36.30%,13.80%
El Paso Township, White County,,,,,,,,,,,,,,,,,
Elaine,39.08%,58.15%,,,,0.92%,1.85%,6.01%,$19,479.00,$22,813.00,$22,386.00,$18,056.00,$12,640.00,33.50%,41.10%,59.10%,26.50%
Eleven Point Township, Randolph County,,,,,,,,,,,,,,,,,
Elixir Township, Boone County,,,,,,,,,,,,,,,,,
Elkins Township, Washington County,,,,,,,,,,,,,,,,,
Elkins,96.56%,0.16%,1.76%,0.24%,0.08%,0.16%,1.04%,1.20%,$39,318.00,$45,750.00,$31,742.00,$22,008.00,$17,161.00,5.90%,6.50%,3.90%,19.10%
Ellis Township, Cross County,,,,,,,,,,,,,,,,,
Ellsworth Township, Logan County,,,,,,,,,,,,,,,,,
Elm Springs Township, Washington County,,,,,,,,,,,,,,,,,
Elm Springs,87.40%,1.20%,1.40%,2.90%,,2.00%,1.40%,8.50%,$40,703.00,$45,536.00,$30,550.00,$20,000.00,$17,551.00,8.60%,12.50%,19.80%,5.00%
Elon Township, Ashley County,,,,,,,,,,,,,,,,,
Emerson Township, Columbia County,,,,,,,,,,,,,,,,,
Emerson,66.00%,32.60%,,,,0.30%,,1.10%,$32,969.00,$40,000.00,$32,333.00,$17,500.00,$14,988.00,17.70%,27.20%,46.90%,16.30%
Emmet Township, Nevada County,,,,,,,,,,,,,,,,,
Emmet,77.67%,20.16%,0.40%,,,0.20%,1.58%,0.40%,$22,386.00,$26,250.00,$24,107.00,$22,250.00,$11,726.00,30.00%,33.40%,47.40%,20.00%
England,65.51%,33.18%,0.37%,0.10%,,0.10%,0.74%,0.84%,$28,516.00,$34,335.00,$26,449.00,$18,500.00,$14,095.00,14.70%,17.90%,21.90%,21.80%
Enola Township, Faulkner County,,,,,,,,,,,,,,,,,
Enola,99.47%,,,,,0.53%,,1.06%,$40,139.00,$41,591.00,$32,083.00,$28,750.00,$20,685.00,10.90%,11.80%,16.70%,17.90%
Esculapia Township, Benton County,,,,,,,,,,,,,,,,,
Etowah,94.81%,1.37%,1.64%,,,0.55%,1.64%,0.82%,$21,563.00,$23,750.00,$19,643.00,$17,679.00,$8,890.00,13.30%,19.10%,20.50%,23.60%
Eudora,13.94%,84.50%,0.04%,0.18%,,0.46%,0.89%,1.38%,$17,857.00,$19,840.00,$20,729.00,$15,262.00,$9,437.00,34.60%,36.50%,43.30%,30.00%
Eureka Springs,93.94%,0.04%,0.70%,0.79%,0.09%,2.28%,2.15%,3.99%,$25,547.00,$40,341.00,$27,188.00,$17,161.00,$18,439.00,4.40%,12.20%,8.70%,13.00%
Evening Shade Township, Greene County,,,,,,,,,,,,,,,,,
Evening Shade,98.49%,,,,,,1.51%,0.22%,$24,500.00,$31,111.00,$23,958.00,$15,833.00,$13,662.00,8.10%,10.90%,8.30%,23.20%
Everton,97.65%,,0.59%,0.59%,,,1.18%,3.53%,$18,438.00,$27,292.00,$25,625.00,$15,313.00,$14,274.00,16.30%,20.30%,26.10%,25.00%
