,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Bascom,100.00%,,,,,,,,$27,000.00,$30,208.00,$26,250.00,$15,000.00,$11,305.00,6.50%,6.30%,8.10%,11.80%,,,,,,,,
Bay County,84.17%,10.64%,0.78%,1.73%,0.08%,0.66%,1.94%,2.42%,$36,092.00,$42,729.00,$30,116.00,$21,676.00,$18,700.00,9.80%,13.00%,18.30%,11.00%,,,,,,,,
Bay Hill,85.11%,2.28%,0.17%,9.52%,,0.64%,2.28%,5.70%,$99,894.00,$101,246.00,$78,170.00,$38,889.00,$46,744.00,3.80%,4.30%,4.20%,2.70%,,,,,,,,
Bay Lake,,,,,,,,,$86,288.00,$86,288.00,$76,284.00,$21,667.00,$26,731.00,0.00%,0.00%,,,,,,,,,,
Bay Pines,97.91%,0.23%,0.20%,0.46%,,0.46%,0.75%,2.35%,$32,456.00,$38,412.00,$31,447.00,$24,886.00,$20,041.00,1.20%,3.50%,2.00%,4.40%,,,,,,,,
Bayonet Point,96.84%,0.67%,0.25%,0.60%,0.03%,0.62%,1.00%,3.50%,$28,920.00,$34,958.00,$27,210.00,$21,727.00,$16,904.00,8.10%,11.60%,22.30%,7.80%,,,,,,,,
Bayport,100.00%,,,,,,,,$30,250.00,$31,750.00,$0.00,$16,250.00,$11,396.00,0.00%,25.00%,0.00%,0.00%,,,,,,,,
Bayshore Gardens,89.87%,3.98%,0.38%,1.25%,0.10%,2.34%,2.09%,8.22%,$30,159.00,$37,294.00,$28,614.00,$22,656.00,$18,150.00,7.50%,10.10%,15.50%,8.50%,,,,,,,,
Beacon Square,95.32%,1.03%,0.34%,0.81%,,1.09%,1.40%,3.84%,$27,528.00,$33,125.00,$27,220.00,$21,792.00,$16,913.00,8.10%,9.50%,18.60%,8.30%,,,,,,,,
Bear Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Ridge,97.30%,0.78%,0.21%,0.67%,,0.47%,0.57%,2.92%,$47,200.00,$56,386.00,$36,215.00,$25,981.00,$26,716.00,3.40%,5.50%,4.30%,4.50%,,,,,,,,
