State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Iowa,,,,,,,192214,674913,1194020,1624615,1912297,2231853,2224771,2404021,2470939,2538268,2621000,2761000,2825041,2913808,2776755,2926324,3046355
Kansas,,,,,,,,,364399,996096,1428108,1470495,1690949,1769257,1880999,1801028,1915000,2178000,2249071,2363679,2477574,2688418,2853118
Kentucky,73677,220959,406511,564317,687917,779828,982405,1155684,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2957000,3047000,3219311,3660777,3685296,4041769,4339367
Louisiana,,,,153407,215739,352411,517762,708002,726915,939946,1118588,1381625,1656388,1798509,2101593,2363880,2701000,3270000,3643180,4205900,4219973,4468976,4533372
Maine,,,,298335,399455,501793,583169,628279,626915,648936,661086,694466,742371,768014,797423,847226,911000,974000,993663,1124660,1227928,1274923,1328361
Maryland,319728,349692,380546,407350,447040,470019,583034,687049,780894,934943,1042390,1188044,1295346,1449661,1631526,1821244,2376000,3116000,3922399,4216975,4781468,5296486,5773552
Massachusetts,475327,574564,700745,523287,610408,737699,994514,1231066,1457351,1783085,2238947,2805346,3366416,3852356,4249614,4316721,4690000,5167000,5689170,5737037,6016425,6349097,6547629
Michigan,,,,,,212267,397654,749113,1184059,1636937,2093890,2420982,2810173,3668412,4842325,5256106,6421000,7848000,8875083,9262078,9295297,9938444,9883640
Minnesota,,,,,,,,172023,439706,780773,1310283,1751394,2075708,2387125,2563953,2792300,2995000,3426000,3805069,4075970,4375099,4919479,5303925
Mississippi,,,,75448,136621,375651,606526,791305,827922,1131597,1289600,1551270,1797114,1790618,2009821,2183796,2169000,2180000,2216912,2520638,2573216,2844658,2967297
Missouri,,,,,140455,383702,682044,1182012,1721295,2168380,2679185,3106665,3293335,3404055,3629367,3784664,3946000,4331000,4677399,4916686,5117073,5595211,5988927
Montana,,,,,,,,,,,142924,243329,376053,548889,537606,559456,598000,678000,694409,786690,799065,902195,989415
Nebraska,,,,,,,,,122993,452402,1062656,1066300,1192214,1296372,1377963,1315834,1324000,1414000,1483791,1569825,1578385,1711263,1826341
Nevada,,,,,,,,,42491,62266,47355,42335,81875,77407,91058,110247,162000,280000,488738,800493,1201833,1998257,2700551
New Hampshire,141885,183858,214360,244161,269328,284574,317976,326064,318300,346991,376530,411588,430572,443083,465293,491524,531000,609000,737681,920610,1109252,1235786,1316470
New Jersey,184139,211149,245555,277575,320823,373306,489555,672035,906096,1131116,1444933,1883669,2537167,3155900,4041334,4160165,4860000,6099000,7168164,7364823,7730188,8414350,8791894
New Mexico,,,,,,,,,,,,,,360350,423317,531818,687000,958000,1016000,1302894,1515069,1819046,2059179
New York,340120,586050,959049,1372812,1918608,2428921,3097394,3880735,4382759,5082871,6003174,7268894,9113614,10385227,12588066,13479142,14830192,16827000,18241266,17558072,17990455,18976457,19378102
North Carolina,393751,478103,556526,638829,737987,753419,869039,992622,1071361,1399750,1617949,1893810,2206287,2559123,3170276,3571623,4060000,4563000,5082059,5881766,6628637,8049313,9535483
North Dakota,,,,,,,,,,,190983,319146,577056,646872,680845,641935,616000,634000,617761,652717,638800,642200,672591
Ohio,,,230760,581434,937903,1519467,1980329,2339511,2665260,3198062,3672329,4157545,4767121,5759394,6646697,6907612,7946627,9739000,10652017,10797630,10847115,11353140,11536504
Oklahoma,,,,,,,,,,,,,1657155,2028283,2396040,2336434,2193000,2333000,2559253,3025290,3145585,3450654,3751351
Oregon,,,,,,,,52465,90923,174768,317704,413536,672765,783389,953786,1089684,1532000,1773000,2091385,2633105,2842321,3421399,3831074
Pennsylvania,434373,602545,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258113,6302115,7665111,8720017,9631350,9900180,10498012,11343000,11793909,11863895,11881643,12281054,12702379
Rhode Island,68825,69122,76931,83059,97199,108830,147545,174620,217353,276531,345506,428556,542610,604397,687497,713346,779000,857000,949723,947154,1003464,1048319,1052567
South Carolina,249073,345591,415115,502741,581185,594398,668507,703708,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2119000,2392000,2590516,3121820,3486703,4012012,4625364
South Dakota,,,,,,,,,,,348600,401570,583888,636547,692849,642961,652000,682000,666257,690768,696004,754844,814180
Tennessee,,105602,261727,422813,681904,829210,1002717,1109801,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3304000,3573000,3924164,4591120,4877185,5689283,6346105
Texas,,,,,,,212592,604215,818579,1591749,2235527,3048710,3896542,4663228,5824715,6414824,7748000,9617000,11196730,14229191,16986510,20851820,25145561
Utah,,,,,,,,,,,,276749,373351,449396,507847,550310,696000,896000,1059273,1461037,1722850,2233169,2763885
Vermont,85539,154465,217713,235764,280652,291948,314120,315098,330551,332286,332422,343641,355956,352428,359611,359231,377000,391000,444732,511456,562758,608827,625741
Virginia,747610,886149,877683,938261,1044054,1025227,1119348,1596318,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3262000,3978000,4648494,5346818,6187358,7078515,8001024
Washington,,,,,,,,,,,357232,518103,1141990,1356621,1563396,1736191,2386000,2860000,3409169,4132156,4866692,5894121,6724540
West Virginia,,,,,,,,,442014,618457,762794,958800,1221119,1463701,1729205,1961974,2006000,1857000,1744237,1949644,1793477,1808344,1852994
Wisconsin,,,,,,,305391,775881,1054670,1315497,1693330,2069042,2333860,2632067,2939006,3137587,3449000,3964000,4417933,4705767,4891769,5363675,5686986
Wyoming,,,,,,,,,,,60705,92531,145965,194402,225565,250742,292000,338000,332416,469557,453588,493782,563626
