City,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Wichita,Kansas,,,,,,,,,,,,,,96,77,74,58,51,51,51,51,51,50
Covington,Kentucky,,,,,,,70,56,53,65,82,86,,,,,,,,,,,
Lexington,Kentucky,,,35,34,48,57,85,,,,,,,,,,,,,68,70,65,64
Louisville,Kentucky,,,,44,22,16,14,12,14,16,20,18,24,29,24,25,30,31,39,49,58,67,17
Newport,Kentucky,,,,,,,,92,98,98,,,,,,,,,,,,,
Baton Rouge,Louisiana,,,,,,,,,,,,,,,,,82,81,84,62,73,75,86
Lafayette,Louisiana,,,,,,,49,,,,,,,,,,,,,,,,
Metairie,Louisiana,,,,,,,,,,,,,,,,,,,,90,,,
New Orleans,Louisiana,,,7,5,5,3,5,6,9,10,12,12,15,17,16,15,16,15,19,21,24,31,53
Shreveport,Louisiana,,,,,,,,,,,,,,,,94,81,76,69,67,77,90,
Augusta,Maine,,,,,,77,82,,,,,,,,,,,,,,,,
Bangor,Maine,,,,,,43,46,57,81,,,,,,,,,,,,,,
Bath,Maine,,,,,,82,89,,,,,,,,,,,,,,,,
Gardiner,Maine,,,,,,84,,,,,,,,,,,,,,,,,
Portland,Maine,,27,18,15,16,25,31,32,41,53,83,78,91,,,,,,,,,,
Annapolis,Maryland,,,,,90,,,,,,,,,,,,,,,,,,
Baltimore,Maryland,5,3,3,2,2,2,2,4,6,7,7,6,7,8,8,7,6,6,7,10,12,17,22
Frederick,Maryland,,,,49,61,81,,,,,,,,,,,,,,,,,
Hagerstown,Maryland,,,,60,77,,,,,,,,,,,,,,,,,,
Andover,Massachusetts,,,,,60,80,,,,,,,,,,,,,,,,,
Barnstable,Massachusetts,,,,,,97,,,,,,,,,,,,,,,,,
Beverly,Massachusetts,22,,32,42,70,91,,,,,,,,,,,,,,,,,
Boston,Massachusetts,3,4,4,4,4,5,3,5,7,5,6,5,5,7,9,9,10,13,16,20,20,20,23
Brockton,Massachusetts,,,,,,,,,,,,92,96,,,,,,,,,,
Cambridge,Massachusetts,,,,,46,47,45,33,33,31,41,41,47,63,74,78,87,,,,,,
Charlestown,Massachusetts,,,29,30,26,32,39,35,47,,,,,,,,,,,,,,
Chelsea,Massachusetts,,,,,,,,72,79,88,,,,,,,,,,,,,
Chicopee,Massachusetts,,,,,,,80,,,,,,,,,,,,,,,,
Danvers,Massachusetts,,,,,65,85,86,,,,,,,,,,,,,,,,
Dorchester,Massachusetts,,,,,69,87,91,95,,,,,,,,,,,,,,,
Fall River,Massachusetts,,,,,68,60,57,66,50,37,40,33,42,54,71,73,93,,,,,,
Gloucester,Massachusetts,12,16,21,31,36,66,94,85,95,,,,,,,,,,,,,,
Haverhill,Massachusetts,,,,,,96,,94,,,,,,,,,,,,,,,
Holyoke,Massachusetts,,,,,,,,,,85,85,82,94,,,,,,,,,,
Lawrence,Massachusetts,,,,,,,81,51,45,46,64,57,63,73,,,,,,,,,
Lowell,Massachusetts,,,,,43,18,22,26,31,27,37,39,46,61,93,88,,,,,,,
Lynn,Massachusetts,,,37,39,45,39,48,47,49,48,51,55,59,69,87,95,,,,,,,
Marblehead,Massachusetts,10,19,23,32,55,74,,,,,,,,,,,,,,,,,
Middleborough,Massachusetts,16,23,34,37,56,83,,,,,,,,,,,,,,,,,
Nantucket,Massachusetts,,14,20,22,38,42,78,,,,,,,,,,,,,,,,
New Bedford,Massachusetts,21,24,26,45,35,31,42,40,62,75,72,58,53,53,75,80,97,,,,,,
Newburyport,Massachusetts,13,12,16,27,44,56,65,71,,,,,,,,,,,,,,,
Plymouth,Massachusetts,23,,36,40,58,78,,,,,,,,,,,,,,,,,
Roxbury,Massachusetts,,,,43,54,41,36,34,,,,,,,,,,,,,,,
Salem,Massachusetts,7,8,9,10,14,26,34,42,54,72,100,,,,,,,,,,,,
Sherburne,Massachusetts,15,,,,,,,,,,,,,,,,,,,,,,
Somerville,Massachusetts,,,,,,,,,,78,74,61,71,76,85,87,,,,,,,
Springfield,Massachusetts,,,,,41,35,56,59,51,55,65,60,60,51,52,58,61,72,85,,,,
Taunton,Massachusetts,18,,,38,47,52,62,58,78,91,,,,,,,,,,,,,
Worcester,Massachusetts,,,,,67,54,40,,30,,33,29,33,35,42,44,50,66,73,92,,,
Bay City,Michigan,,,,,,,,,,95,,,,,,,,,,,,,
Detroit,Michigan,,,,,,40,30,19,18,18,15,13,9,4,4,4,5,5,5,6,7,10,19
Flint,Michigan,,,,,,,,,,,,,,78,50,56,60,62,67,96,,,
Grand Rapids,Michigan,,,,,,,,,88,58,47,44,44,48,46,52,55,71,65,75,83,96,
Saginaw,Michigan,,,,,,,,,,,62,89,,,,,,,,,,,
Warren,Michigan,,,,,,,,,,,,,,,,,,,70,93,,,
Duluth,Minnesota,,,,,,,,,,,92,72,69,70,90,90,,,,,,,
Minneapolis,Minnesota,,,,,,,,,,38,18,19,18,18,15,16,17,25,32,34,42,46,49
Saint Paul,Minnesota,,,,,,,,89,71,45,23,23,26,30,31,33,35,40,46,54,57,,
St. Paul,Minnesota,,,,,,,,,,,,,,,,,,,,,,60,68
Jackson,Mississippi,,,,,,,,,,,,,,,,,,85,91,71,78,,
Natchez,Mississippi,,,,,89,,,,,,,,,,,,,,,,,,
Kansas City,Missouri,,,,,,,,,38,30,24,22,20,19,19,19,20,27,26,27,31,36,37
St. Joseph,Missouri,,,,,,,,,73,57,55,34,70,87,,,,,,,,,
St. Louis,Missouri,,,,,57,24,8,8,4,6,5,4,4,6,7,8,8,10,18,26,34,50,59
Lincoln,Nebraska,,,,,,,,,,,52,91,,,,,,96,92,81,81,77,73
Omaha,Nebraska,,,,,,,,,91,63,21,35,41,34,39,39,40,42,41,48,48,45,42
Henderson,Nevada,,,,,,,,,,,,,,,,,,,,,,,74
Las Vegas,Nevada,,,,,,,,,,,,,,,,,,,,89,63,32,30
North Las Vegas,Nevada,,,,,,,,,,,,,,,,,,,,,,,94
Reno,Nevada,,,,,,,,,,,,,,,,,,,,,,,90
Concord,New Hampshire,,,,,,86,77,86,,,,,,,,,,,,,,,
Dover,New Hampshire,,,,,52,63,83,,,,,,,,,,,,,,,,
Gilmanton,New Hampshire,30,,,,,,,,,,,,,,,,,,,,,,
Londonderry,New Hampshire,29,,,,,,,,,,,,,,,,,,,,,,
Manchester,New Hampshire,,,,,,,52,44,56,56,66,65,79,86,,,,,,,,,
Nashua,New Hampshire,,,,,,69,,91,,,,,,,,,,,,,,,
Portsmouth,New Hampshire,14,15,19,20,32,50,64,,,,,,,,,,,,,,,,
Bayonne,New Jersey,,,,,,,,,,,,,97,90,98,,,,,,,,
Camden,New Jersey,,,,,,,68,62,69,44,49,52,56,58,68,71,86,,,,,,
Elizabeth,New Jersey,,,43,52,76,,,80,64,69,79,74,74,72,73,81,92,,,,,,
Hoboken,New Jersey,,,,,,,,96,66,59,68,63,78,,,,,,,,,,
Jersey City,New Jersey,,,,,,,,28,17,17,19,17,19,22,23,30,37,47,54,61,67,73,76
New Brunswick,New Jersey,,,,,,,,83,99,,,,,,,,,,,,,,
Newark,New Jersey,,,,,21,23,19,11,13,15,17,16,14,15,18,18,21,30,36,46,56,64,69
Passaic,New Jersey,,,,,,,,,,,,,99,,,,,,,,,,
Paterson,New Jersey,,,,,,53,60,46,37,34,36,32,40,49,60,64,66,86,95,,,,
Trenton,New Jersey,,,42,46,71,,,53,58,64,50,53,52,55,65,67,80,,,,,,
Albuquerque,New Mexico,,,,,,,,,,,,,,,,,,60,58,44,38,35,32
Albany,New York,20,17,10,11,9,9,10,13,20,21,29,40,50,60,64,65,69,94,,,,,
Auburn,New York,,,,,,73,67,84,85,84,,,,,,,,,,,,,
Binghamton,New York,,,,,,,,,,,87,93,,,,,,,,,,,
Brooklyn,New York,,,33,24,18,7,7,3,3,3,4,,,,,,,,,,,,
Buffalo,New York,,,,,27,22,16,10,11,13,11,8,10,11,13,14,15,20,28,39,50,59,71
Cohoes,New York,,,,,,,,,97,,,,,,,,,,,,,,
Elmira,New York,,,,,,,,,93,97,99,,,,,,,,,,,,
Hudson,New York,31,28,38,33,53,72,,,,,,,,,,,,,,,,,
Lockport,New York,,,,,,,,87,,,,,,,,,,,,,,,
New York,New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Newburgh,New York,,,,,,,,76,86,,,,,,,,,,,,,,
Oswego,New York,,,,,,,55,55,63,92,,,,,,,,,,,,,
Poughkeepsie,New York,,,,,,,58,60,68,99,,,,,,,,,,,,,
Rochester,New York,25,,,,25,19,21,18,22,22,22,24,25,23,22,23,32,38,49,57,66,80,99
Schenectady,New York,,17,22,47,64,59,72,98,,,,,77,81,95,,,,,,,,
Syracuse,New York,,,,,,,28,30,29,32,31,30,34,37,40,41,47,53,66,86,,,
Troy,New York,,,,35,19,21,25,24,28,29,46,62,72,98,,,,,,,,,
Utica,New York,,,,57,29,29,38,39,46,52,67,66,73,74,89,92,,,,,,,
West Troy,New York,,,,,,,97,,,,,,,,,,,,,,,,
Williamsburgh,New York,,,,,,,23,,,,,,,,,,,,,,,,
Yonkers,New York,,,,,,,,,,,93,79,66,68,61,61,64,64,63,73,84,98,
Charlotte,North Carolina,,,,,,,,,,,,,,,,91,70,59,60,47,35,26,18
Durham,North Carolina,,,,,,,,,,,,,,,,,,,,,,,87
Fayetteville,North Carolina,,,,51,86,98,,,,,,,,,,,,,,,,,
Greensboro,North Carolina,,,,,,,,,,,,,,,,,,100,96,,88,78,70
New Bern,North Carolina,,,,48,72,,,,,,,,,,,,,,,,,,
Raleigh,North Carolina,,,,59,,,,,,,,,,,,,,,,,75,63,43
Wilmington,North Carolina,,,,61,73,76,99,100,,28,,,,,,,,,,,,,
Winston-Salem,North Carolina,,,,,,,,,,,,,,,,,,,,,,,84
Akron,Ohio,,,,,,,,,,,,87,81,32,35,38,39,45,52,59,71,82,
Canton,Ohio,,,,,,,,,,,,,,82,83,83,89,,,,,,
Chillicothe,Ohio,,,,,87,,,,,,,,,,,,,,,,,,
Cincinnati,Ohio,,,46,14,8,6,6,7,8,8,9,10,13,16,17,17,18,21,29,32,45,55,63
Cleveland,Ohio,,,,,,67,41,21,15,11,10,7,6,5,6,6,7,8,10,18,23,33,45
Columbus,Ohio,,,,,,70,37,49,42,33,30,28,29,28,28,26,28,28,21,19,16,15,15
Dayton,Ohio,,,,,84,68,61,45,44,47,45,45,43,43,41,40,44,49,59,70,89,,
Springfield,Ohio,,,,,,,,,,94,95,,,,,,,,,,,,
Steubenville,Ohio,,,,,85,99,,,,,,,,,,,,,,,,,
Toledo,Ohio,,,,,,,,68,40,35,34,26,30,26,27,34,36,39,34,40,49,57,67
Youngstown,Ohio,,,,,,,,,,,91,84,67,50,45,49,57,75,98,,,,
Oklahoma City,Oklahoma,,,,,,,,,,,,,87,80,43,42,45,37,37,31,29,29,31
Tulsa,Oklahoma,,,,,,,,,,,,,,97,58,62,51,50,43,38,43,44,47
Portland,Oregon,,,,,,,,,,,61,42,28,24,25,27,29,32,35,35,30,28,29
Allegheny,Pennsylvania,,,,,88,37,29,29,23,23,28,27,,,,,,,,,,,
Allentown,Pennsylvania,,,,,,,,,,,,,,95,97,97,100,,,,,,
Altoona,Pennsylvania,,,,,,,,,,,,96,,,,,,,,,,,
Carlisle,Pennsylvania,,,,58,74,93,,,,,,,,,,,,,,,,,
Easton,Pennsylvania,,,,,75,88,100,,,,,,,,,,,,,,,,
Erie,Pennsylvania,,,,,,,,,72,70,73,73,85,75,69,72,75,88,,,,,
Harrisburg,Pennsylvania,,,,55,63,71,93,70,57,60,75,77,88,92,,,,,,,,,
Johnstown,Pennsylvania,,,,,,,,,,,,,98,,,,,,,,,,
