County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
,,,,,,,,,,,,,,,,,,,
Madera,,1893,,,,,,"6,364","8,368","12,203","17,164","23,314","36,964","40,468","41,519","63,116","88,090","123,109","150,865"
Madera,Chowchilla,1923,,,,,,,,,847,"1,957","3,893","4,525","4,349","5,122","5,930","14,416","18,720"
Madera,Madera,1907,,,,,,,"2,404","3,444","4,665","6,457","10,497","14,430","16,044","21,732","29,281","43,207","61,416"
,,,,,,,,,,,,,,,,,,,
Marin,,1850,323,"3,334","6,903","11,324","13,072","15,702","25,114","27,342","41,648","52,907","85,619","146,820","208,652","222,592","230,096","247,289","252,409"
Marin,Belvedere,1896,,,,,,434,481,616,500,457,800,"2,148","2,599","2,401","2,147","2,125","2,068"
Marin,Corte Madera,1916,,,,,,,,607,"1,027","1,098","1,933","5,962","8,464","8,074","8,272","9,100","9,253"
Marin,Fairfax,1931,,,,,,,,,,"2,198","4,078","5,813","7,661","7,391","6,931","7,319","7,441"
Marin,Larkspur,1908,,,,,,,594,612,"1,241","1,558","2,905","5,710","10,487","11,064","11,070","12,014","11,926"
Marin,Mill Valley,1900,,,,,,,"2,551","2,554","4,164","4,847","7,331","10,411","12,942","12,967","13,038","13,600","13,903"
Marin,Novato,1960,,,,,,,,,,,,"17,881","31,006","43,916","47,585","47,630","51,904"
Marin,Ross,1908,,,,,,,556,727,"1,355","1,751","2,179","2,551","2,742","2,801","2,123","2,329","2,415"
Marin,San Anselmo,1907,,,,,,,"1,531","2,475","4,650","5,790","9,188","11,584","13,031","12,067","11,743","12,378","12,336"
Marin,San Rafael,1874,,,,"2,276","3,290","3,879","5,934","5,512","8,022","8,573","13,848","20,460","38,977","44,700","48,404","56,063","57,713"
Marin,Sausalito,1893,,,,,,"1,628","2,383","2,790","3,667","3,540","4,828","5,331","6,158","7,338","7,152","7,330","7,061"
Marin,Tiburon,1964,,,,,,,,,,,,,"6,209","6,685","7,532","8,666","8,962"
,,,,,,,,,,,,,,,,,,,
Mariposa,,1850,"4,379","6,243","4,572","4,339","3,787","4,720","3,956","2,775","3,233","5,605","5,145","5,064","6,015","11,108","14,302","17,130","18,251"
Mariposa,Hornitos,i. 1870/ d.1973,,,,350,276,205,160,100,62,159,126,73,,,,,
,,,,,,,,,,,,,,,,,,,
Mendocino,,1850,55,"3,967","7,545","12,800","17,612","20,465","23,929","24,116","23,505","27,864","40,854","51,059","51,101","66,738","80,345","86,265","87,841"
Mendocino,Fort Bragg,1889,,,,,,"1,590","2,408","2,616","3,022","3,235","3,826","4,433","4,455","5,019","6,078","6,814","7,273"
Mendocino,Point Arena,1908,,,,,,,497,394,385,374,372,596,424,425,407,474,449
Mendocino,Potter Valley,i. 1870/ d.1926,,,n/a,n/a,n/a,563,576,512,,,,,,,,,
Mendocino,Ukiah,1876,,,,933,"1,627","1,850","2,136","2,305","3,124","3,731","6,120","9,900","10,095","12,035","14,599","15,497","16,075"
Mendocino,Willits,1888,,,,,815,791,"1,153","1,468","2,691","1,625","2,691","3,410","3,091","4,008","5,027","5,073","4,888"
,,,,,,,,,,,,,,,,,,,
Merced,,1855,,"1,141","2,807","5,656","8,085","9,215","15,148","24,579","36,748","46,988","69,780","90,446","104,629","134,558","178,403","210,554","255,793"
Merced,Atwater,1922,,,,,,,,,917,"1,235","2,856","7,318","11,640","17,530","22,282","23,113","28,168"
Merced,Dos Palos,1935,,,,,,,,,,978,"1,394","2,028","2,496","3,121","4,196","4,581","4,950"
Merced,Gustine,1915,,,,,,,,716,"1,016","1,355","1,984","2,300","2,793","3,142","3,931","4,698","5,520"
Merced,Livingston,1922,,,,,,,,,803,895,"1,502","2,188","2,588","5,326","7,317","10,473","13,058"
Merced,Los Banos,1907,,,,,,,745,"1,276","1,875","2,214","3,868","5,272","9,188","10,341","14,519","25,869","35,972"
Merced,Merced,1889,,,,"1,446","2,009","1,969","3,102","3,974","7,066","10,135","15,278","20,068","22,670","36,499","56,216","63,893","78,958"
,,,,,,,,,,,,,,,,,,,
Modoc,,1874,,,,"4,399","4,986","5,076","6,191","5,425","8,038","8,713","9,678","8,308","7,469","8,610","9,678","9,449","9,686"
Modoc,Alturas,1901,,,,,,,916,979,"2,338","2,090","2,819","2,819","2,799","3,025","3,231","2,892","2,827"
,,,,,,,,,,,,,,,,,,,
Mono,,1861,,,430,"7,499","2,002","2,167","2,042",960,"1,360","2,299","2,115","2,213","4,016","8,577","9,956","12,853","14,202"
Mono,Mammoth Lakes,1984,,,,,,,,,,,,,,"3,929","4,785","7,093","8,234"
,,,,,,,,,,,,,,,,,,,
Monterey,,1850,"1,872","4,739","9,876","11,302","18,637","19,380","24,146","27,980","53,705","73,032","130,498","198,351","247,450","290,444","355,660","401,762","415,057"
Monterey,Carmel-By-The-Sea,1916,,,,,,,,638,"2,260","2,837","4,351","4,580","4,525","4,707","4,239","4,081","3,722"
Monterey,Del Rey Oaks,1953,,,,,,,,,,,,"1,831","1,823","1,557","1,661","1,650","1,624"
Monterey,Gonzales,1947,,,,,,,,,,,"1,821","2,138","2,575","2,891","4,660","7,564","8,187"
Monterey,Greenfield,1947,,,,,,,,,,,"1,309","1,680","2,608","4,181","7,464","12,648","16,330"
Monterey,King City,1911,,,,,,,,"1,048","1,483","1,768","2,347","2,937","3,717","5,495","7,634","11,204","12,874"
Monterey,Marina,1975,,,,,,,,,,,,,,"20,647","26,436","18,925","19,718"
Monterey,Monterey,1890,,,,,,"1,748","4,923","5,479","9,141","10,084","16,205","22,618","26,302","27,558","31,954","29,696","27,810"
Monterey,Pacific Grove,1889,,,,,"1,336","1,411","2,384","2,974","5,558","6,249","9,623","12,121","13,505","15,755","16,117","15,522","15,041"
Monterey,Salinas,1874,,,,"1,854","2,339","3,304","3,736","4,308","10,263","11,586","13,917","28,957","58,896","80,479","108,777","142,685","150,441"
Monterey,Sand City,1960,,,,,,,,,,,,,212,182,192,261,334
Monterey,Seaside,1954,,,,,,,,,,,,"19,353","35,935","36,567","38,901","33,097","33,025"
Monterey,Soledad,1921,,,,,,,,,594,861,"2,441","2,837","4,222","3,091","7,146","23,015","25,738"
,,,,,,,,,,,,,,,,,,,
Napa,,1850,405,"5,521","7,163","13,235","16,411","16,451","19,800","20,678","22,897","28,503","46,603","65,890","79,140","99,199","110,765","124,279","136,484"
Napa,American Canyon,1992,,,,,,,,,,,,,,,,"9,774","19,454"
Napa,Calistoga,1886,,,,,n/a,690,751,850,"1,000","1,124","1,418","1,514","1,882","3,879","4,468","5,190","5,155"
Napa,Napa,1872,,,,"3,731","4,395","4,036","5,791","6,757","6,437","7,740","13,579","22,170","35,978","50,879","61,842","72,585","76,915"
Napa,St. Helena,1876,,,,"1,339","1,705","1,582","1,603","1,346","1,701","1,758","2,297","2,722","3,173","4,898","4,990","5,950","5,814"
Napa,Yountville,1965,,,,,,,,,,,,,"2,332","2,893","3,259","3,297","2,933"
,,,,,,,,,,,,,,,,,,,
Nevada,,1851,,"16,446","19,134","20,823","17,369","17,789","14,955","10,850","10,596","19,283","19,888","20,911","26,346","51,645","78,510","92,033","98,764"
Nevada,Grass Valley,1893,,,,,,"4,719","4,520","4,006","3,817","5,701","5,283","4,876","5,149","6,697","9,048","10,922","12,860"
Nevada,Nevada City,1856,,n/a,n/a,"4,022","2,524","3,250","2,689","1,782","1,701","2,445","2,505","2,353","2,314","2,431","2,855","3,001","3,068"
Nevada,Truckee,1993,,,,,,,,,,,,,,,,"13,864","16,180"
,,,,,,,,,,,,,,,,,,,
Orange,,1889,,,,,"13,589","19,696","34,436","61,375","118,674","130,760","216,224","703,925","1,421,233","1,932,921","2,410,556","2,846,289","3,010,232"
Orange,Aliso Viejo,2001,,,,,,,,,,,,,,,,,"47,823"
Orange,Anaheim,1876,,,,833,"1,273","1,456","2,628","5,526","10,995","11,031","14,556","104,184","166,408","219,494","266,406","328,014","336,265"
Orange,Brea,1917,,,,,,,,"1,037","2,435","2,567","3,208","8,487","18,447","27,913","32,873","35,410","39,282"
Orange,Buena Park,1953,,,,,,,,,,,,"46,401","63,646","64,165","68,784","78,282","80,530"
Orange,Costa Mesa,1953,,,,,,,,,,,,"37,550","72,660","82,562","96,357","108,724","109,960"
Orange,Cypress,1956,,,,,,,,,,,,"1,753","31,569","40,738","42,655","46,229","47,802"
Orange,Dana Point,1989,,,,,,,,,,,,,,,"31,896","35,110","33,351"
Orange,Fountain Valley,1957,,,,,,,,,,,,"2,068","31,886","55,080","53,691","54,978","55,313"
Orange,Fullerton,1904,,,,,,,"1,725","4,415","10,860","10,442","13,958","56,180","85,987","102,246","114,144","126,003","135,161"
Orange,Garden Grove,1956,,,,,,,,,,,,"84,238","121,155","123,307","143,050","165,196","170,883"
Orange,Huntington Beach,1909,,,,,,,815,"1,687","3,690","3,738","5,237","11,492","115,960","170,505","181,519","189,594","189,992"
Orange,Irvine,1971,,,,,,,,,,,,,,"62,134","110,330","143,072","212,375"
Orange,La Habra,1925,,,,,,,,,"2,273","2,499","4,961","25,136","41,350","45,232","51,266","58,974","60,239"
Orange,La Palma,1955,,,,,,,,,,,,622,"9,687","15,399","15,392","15,408","15,568"
Orange,Laguna Beach,1927,,,,,,,,,"1,981","4,460","6,661","9,288","14,550","17,858","23,170","23,727","22,723"
Orange,Laguna Hills,1991,,,,,,,,,,,,,,,,"29,939","30,344"
Orange,Laguna Niguel,1989,,,,,,,,,,,,,,,"44,400","61,891","62,979"
Orange,Laguna Woods,1999,,,,,,,,,,,,,,,,"17,794","16,192"
Orange,Lake Forest,1991,,,,,,,,,,,,,,,,"58,707","77,264"
Orange,Los Alamitos,1960,,,,,,,,,,,,"4,312","11,346","11,529","11,676","11,536","11,449"
Orange,Mission Viejo,1988,,,,,,,,,,,,,,,"72,820","93,102","93,305"
Orange,Newport Beach,1906,,,,,,,445,894,"2,203","4,438","12,120","26,564","49,582","62,556","66,643","70,032","85,186"
Orange,Orange,1888,,,,,866,"1,216","2,920","4,884","8,066","7,901","10,027","26,444","77,365","91,450","110,658","128,868","136,416"
Orange,Placentia,1926,,,,,,,,,"1,606","1,472","1,682","5,861","21,948","35,041","41,259","46,488","50,533"
Orange,Rancho Santa Margarita,2000,,,,,,,,,,,,,,,,"47,214","47,853"
Orange,San Clemente,1928,,,,,,,,,667,479,"2,008","8,527","17,063","27,325","41,100","49,936","63,522"
Orange,San Juan Capistrano,1961,,,,,,,,,,,,,"3,781","18,959","26,183","33,826","34,593"
Orange,Santa Ana,1886,,,"1,145",711,"3,628","4,933","8,429","15,485","30,322","31,921","45,533","100,350","155,710","204,023","293,742","337,977","324,528"
Orange,Seal Beach,1915,,,,,,,,669,"1,156","1,553","3,553","6,994","24,441","25,975","25,098","24,157","24,168"
Orange,Stanton,i. 1911/ d.1924/ ri. 1956,,,,,,,,695,-3,-3,-3,"11,163","18,186","23,723","30,491","37,403","38,186"
Orange,Tustin,1927,,,,,,,,,926,953,"1,143","2,006","21,099","32,256","50,689","67,504","75,540"
Orange,Villa Park,1962,,,,,,,,,,,,,"2,723","7,137","6,299","5,952","5,812"
Orange,Westminster,1957,,,,,,,,,,,,"25,750","60,076","71,133","78,118","88,207","89,701"
Orange,Yorba Linda,1967,,,,,,,,,,,,,"11,856","28,254","52,422","58,918","64,234"
,,,,,,,,,,,,,,,,,,,
Placer,,1851,,"13,270","11,357","14,232","15,101","15,786","18,237","18,584","24,468","28,108","41,649","56,998","77,632","117,247","172,796","248,399","348,432"
Placer,Auburn,1888,,,,,"1,595","2,050","2,376","2,289","2,661","4,013","4,653","5,586","6,570","7,540","10,592","12,462","13,330"
Placer,Colfax,1910,,,,,,,621,573,912,794,820,915,798,981,"1,306","1,496","1,963"
Placer,Dutch Flat,i. ~1858/ d.1866,,n/a,,,,,,,,,,,,,,,
Placer,Lincoln,1890,,,,,961,"1,061","1,402","1,325","2,094","2,044","2,410","3,197","3,176","4,132","7,248","11,205","42,819"
Placer,Loomis,1984,,,,,,,,,,,,,,,"5,705","6,260","6,430"
Placer,Rocklin,1893,,,,,,"1,050","1,026",643,724,795,"1,155","1,495","3,039","7,344","19,033","36,330","56,974"
Placer,Roseville,1909,,,,,,,"2,608","4,477","6,425","6,653","8,723","13,421","18,221","24,347","44,685","79,921","118,788"
,,,,,,,,,,,,,,,,,,,
Plumas,,1854,,"4,363","4,489","6,180","4,933","4,657","5,259","5,681","7,913","11,548","13,519","11,620","11,707","17,340","19,739","20,824","20,007"
Plumas,Portola,1946,,,,,,,,,,,"2,261","1,874","1,625","1,885","2,193","2,227","2,104"
,,,,,,,,,,,,,,,,,,,
Riverside,,1893,,,,,,"17,897","34,696","50,297","81,024","105,524","170,046","306,191","456,916","663,199","1,170,413","1,545,387","2,189,641"
Riverside,Banning,1913,,,,,,,,"1,810","2,752","3,874","7,034","10,250","12,034","14,020","20,570","23,562","29,603"
Riverside,Beaumont,1912,,,,,,,,857,"1,332","2,208","3,152","4,288","5,484","6,818","9,685","11,384","36,877"
Riverside,Blythe,1916,,,,,,,,"1,622","1,020","2,355","4,089","6,023","7,047","6,805","8,428","20,463","20,817"
Riverside,Cabazon,i. 1955/ d.1972,,,,,,,,,,,,498,598,,,,
Riverside,Calimesa,1990,,,,,,,,,,,,,,,,"7,139","7,879"
Riverside,Canyon Lake,1990,,,,,,,,,,,,,,,,"9,952","10,561"
Riverside,Cathedral City,1981,,,,,,,,,,,,,,,"30,085","42,647","51,200"
Riverside,Coachella,1946,,,,,,,,,,,"2,755","4,854","8,353","9,129","16,896","22,724","40,704"
Riverside,Corona,1896,,,,,,"1,434","3,540","4,129","7,018","8,764","10,223","13,336","27,519","37,791","76,095","124,966","152,374"
Riverside,Desert Hot Springs,1963,,,,,,,,,,,,,"2,738","5,941","11,668","16,582","25,938"
Riverside,Hemet,1910,,,,,,,992,"1,480","2,235","2,595","3,386","5,416","12,252","22,454","36,094","58,812","78,657"
Riverside,Indian Wells,1967,,,,,,,,,,,,,760,"1,394","2,647","3,816","4,958"
Riverside,Indio,1930,,,,,,,,,,"2,296","5,300","9,745","14,459","21,611","36,793","49,116","76,036"
Riverside,La Quinta,1982,,,,,,,,,,,,,,,"11,215","23,694","37,467"
Riverside,Lake Elsinore,1888,,,,,n/a,279,488,633,"1,350","1,552","2,068","2,432","3,530","5,982","18,285","28,928","51,821"
Riverside,Menifee,2008,,,,,,,,,,,,,,,,,"77,519"
Riverside,Moreno Valley,1984,,,,,,,,,,,,,,,"118,779","142,381","193,365"
Riverside,Murrieta,1991,,,,,,,,,,,,,,,,"44,282","103,466"
Riverside,Norco,1964,,,,,,,,,,,,,"14,511","19,732","23,302","24,157","27,063"
Riverside,Palm Desert,1973,,,,,,,,,,,,,,"11,801","23,252","41,155","48,445"
Riverside,Palm Springs,1938,,,,,,,,,,"3,434","7,660","13,468","20,936","32,359","40,181","42,807","44,552"
Riverside,Perris,1911,,,,,,,,499,763,"1,011","1,807","2,950","4,228","6,827","21,460","36,189","68,386"
Riverside,Rancho Mirage,1973,,,,,,,,,,,,,,"6,281","9,778","13,249","17,218"
Riverside,Riverside,1883,,,,,"4,683","7,973","15,212","19,341","29,696","34,696","46,764","84,332","140,089","170,591","226,505","255,166","303,871"
Riverside,San Jacinto,1888,,,,,661,583,898,945,"1,346","1,356","1,778","2,553","4,385","7,098","16,210","23,779","44,199"
Riverside,Temecula,1989,,,,,,,,,,,,,,,"27,099","57,716","100,097"
Riverside,Wildomar,2008,,,,,,,,,,,,,,,,,"32,176"
,,,,,,,,,,,,,,,,,,,
Sacramento,,1850,"9,087","24,142","26,830","34,390","40,339","45,915","67,806","91,029","141,999","170,333","277,140","502,778","634,373","783,381","1,041,219","1,223,499","1,418,788"
Sacramento,Citrus Heights,1997,,,,,,,,,,,,,,,,"85,071","83,301"
Sacramento,Elk Grove,2000,,,,,,,,,,,,,,,,,"153,015"
Sacramento,Folsom,1946,,,,,,,,,,,"1,690","3,925","5,810","11,003","29,802","51,884","72,203"
Sacramento,Galt,1946,,,,,,,,,,,"1,333","1,868","3,200","5,514","8,889","19,472","23,647"
Sacramento,Isleton,1923,,,,,,,,,"2,090","1,837","1,597","1,039",909,914,833,828,804
Sacramento,North Sacramento,i. 1924/ d.1963,,,,,,,,,"2,097","3,053","6,029","12,922",,,,,
Sacramento,Rancho Cordova,2003,,,,,,,,,,,,,,,,,"64,776"
Sacramento,Sacramento,1850,"6,820","13,785","16,283","21,420","26,386","29,282","44,696","65,908","93,750","105,958","137,572","191,667","257,105","275,741","369,365","407,018","466,488"
,,,,,,,,,,,,,,,,,,,
San Benito,,1874,,,,"5,584","6,412","6,633","8,041","8,995","11,311","11,392","14,370","15,396","18,226","25,005","36,697","53,234","55,269"
San Benito,Hollister,1872,,,,"1,034","1,234","1,315","2,308","2,781","3,757","3,881","4,903","6,071","7,663","11,488","19,212","34,413","34,928"
San Benito,San Juan Bautista,1869,,,n/a,484,463,449,326,501,n/a,678,"1,031","1,046","1,164","1,276","1,570","1,549","1,862"
,,,,,,,,,,,,,,,,,,,
San Bernardino,,1853,,"5,551","3,988","7,786","25,497","27,929","56,706","73,401","133,900","161,108","281,642","503,591","682,233","895,016","1,418,380","1,709,434","2,035,210"
San Bernardino,Adelanto,1970,,,,,,,,,,,,,,"2,164","8,517","18,130","31,765"
San Bernardino,Apple Valley,1988,,,,,,,,,,,,,,,"46,079","54,239","69,135"
San Bernardino,Barstow,1947,,,,,,,,,,,"6,135","11,644","17,442","17,690","21,472","21,119","22,639"
San Bernardino,Big Bear Lake,1980,,,,,,,,,,,,,,,"5,351","5,438","5,019"
San Bernardino,Chino,1910,,,,,,,"1,444","2,132","3,118","4,204","5,784","10,305","20,411","40,165","59,682","67,168","77,983"
San Bernardino,Chino Hills,1991,,,,,,,,,,,,,,,,"66,787","74,799"
San Bernardino,Colton,1887,,,,,"1,315","1,285","3,980","4,282","8,014","9,686","14,465","18,666","20,016","21,310","40,213","47,662","52,154"
San Bernardino,Fontana,1952,,,,,,,,,,,,"14,659","20,673","36,991","87,535","128,929","196,069"
San Bernardino,Grand Terrace,1978,,,,,,,,,,,,,,"8,498","10,946","11,626","12,040"
San Bernardino,Hesperia,1988,,,,,,,,,,,,,,,"50,418","62,582","90,173"
San Bernardino,Highland,1987,,,,,,,,,,,,,,,"34,439","44,605","53,104"
San Bernardino,Loma Linda,1970,,,,,,,,,,,,,,"10,694","17,400","18,681","23,261"
San Bernardino,Montclair,1956,,,,,,,,,,,,"13,546","22,546","22,628","28,434","33,049","36,664"
San Bernardino,Needles,1913,,,,,,,,"2,807","3,144","3,624","4,051","4,590","4,051","4,120","5,191","4,830","4,844"
San Bernardino,Ontario,1891,,,,,,722,"4,274","7,280","13,583","14,197","22,872","46,617","64,118","88,820","133,179","158,007","163,924"
San Bernardino,Rancho Cucamonga,1977,,,,,,,,,,,,,,"55,250","101,409","127,743","165,269"
San Bernardino,Redlands,1888,,,,,"1,904","4,797","10,449","9,571","14,177","14,324","18,429","26,829","36,355","43,619","60,394","63,591","68,747"
San Bernardino,Rialto,1911,,,,,,,,961,"1,642","1,770","3,156","18,567","28,370","37,862","72,388","91,873","99,171"
San Bernardino,San Bernardino,1869,,,n/a,"1,678","4,012","6,150","12,779","18,721","37,481","43,646","63,058","91,922","106,869","118,794","164,164","185,401","209,924"
San Bernardino,Twentynine Palms,1987,,,,,,,,,,,,,,,"11,821","14,764","25,048"
San Bernardino,Upland,1906,,,,,,,"2,384","2,912","4,713","6,316","9,203","15,918","32,551","47,647","63,374","68,393","73,732"
San Bernardino,Victorville,1962,,,,,,,,,,,,,"10,845","14,220","40,674","64,029","115,903"
San Bernardino,Yucaipa,1989,,,,,,,,,,,,,,,"32,824","41,207","51,367"
San Bernardino,Yucca Valley,1991,,,,,,,,,,,,,,,,"16,865","20,700"
,,,,,,,,,,,,,,,,,,,
San Diego,,1850,798,"4,324","4,951","8,618","34,987","35,090","61,665","112,248","209,659","289,348","556,808","1,033,011","1,357,854","1,861,846","2,498,016","2,813,833","3,095,313"
San Diego,Carlsbad,1952,,,,,,,,,,,,"9,253","14,944","35,490","63,126","78,247","105,328"
San Diego,Chula Vista,1911,,,,,,,,"1,718","3,869","5,138","15,927","42,034","67,901","35,490","63,126","173,556","243,916"
San Diego,Coronado,1890,,,,,,935,"1,477","3,289","5,425","6,932","12,700","18,039","20,020","18,790","26,540","24,100","18,912"
San Diego,Del Mar,1959,,,,,,,,,,,,"3,124","3,956","5,017","4,860","4,389","4,161"
San Diego,El Cajon,1912,,,,,,,,469,"1,050","1,471","5,600","37,618","52,273","73,892","88,693","94,869","99,478"
San Diego,Encinitas,1986,,,,,,,,,,,,,,,"55,386","58,014","59,518"
San Diego,Escondido,1888,,,,,541,755,"1,334","1,789","3,421","4,560","6,544","16,377","36,792","64,355","108,635","133,559","143,911"
San Diego,Imperial Beach,1956,,,,,,,,,,,,"17,773","20,244","22,689","26,512","26,992","26,324"
San Diego,La Mesa,1912,,,,,,,,"1,004","2,513","3,925","10,946","30,441","39,178","50,308","52,931","54,749","57,065"
San Diego,Lemon Grove,1977,,,,,,,,,,,,,,"20,780","23,984","24,918","25,320"
San Diego,National City,1887,,,,,"1,353","1,086","1,733","3,116","7,301","10,344","21,199","32,771","43,184","48,772","54,249","54,260","58,582"
San Diego,Oceanside,1888,,,,,n/a,330,673,"1,161","3,508","4,651","12,881","24,971","40,494","76,698","128,398","161,029","167,086"
San Diego,Poway,1980,,,,,,,,,,,,,,,"43,516","48,044","47,811"
San Diego,San Diego,1850,n/a,731,"2,300","2,637","16,159","17,700","39,578","74,361","147,995","203,341","334,387","573,224","697,027","875,538","1,110,549","1,223,400","1,307,402"
San Diego,San Marcos,1963,,,,,,,,,,,,,"3,896","17,479","38,974","54,977","83,781"
San Diego,Santee,1980,,,,,,,,,,,,,,,"52,902","52,975","53,413"
San Diego,Solana Beach,1986,,,,,,,,,,,,,,,"12,962","12,979","12,867"
San Diego,Vista,1963,,,,,,,,,,,,,"24,688","35,834","71,872","89,857","93,834"
,,,,,,,,,,,,,,,,,,,
San Francisco,,1850,,"56,802","149,473","233,959","298,997","342,782","416,912","506,676","634,394","634,536","775,357","740,316","715,674","678,974","723,959","776,733","805,235"
San Francisco,San Francisco,1850,n/a,"56,802","149,473","233,959","298,997","342,782","416,912","506,676","634,394","634,536","775,357","740,316","715,674","678,974","723,959","776,733","805,235"
,,,,,,,,,,,,,,,,,,,
San Joaquin,,1850,"3,647","9,435","21,050","24,349","28,629","35,452","50,731","79,905","102,940","134,207","200,750","249,989","291,073","347,342","480,628","563,598","685,306"
San Joaquin,Escalon,1957,,,,,,,,,,,,"1,763","2,366","3,127","4,437","5,963","7,132"
San Joaquin,Lathrop,1989,,,,,,,,,,,,,,,"6,841","10,445","18,023"
San Joaquin,Lodi,1906,,,,,,,"2,697","4,850","6,788","11,079","13,798","22,229","28,691","35,221","51,874","56,999","62,134"
San Joaquin,Manteca,1918,,,,,,,,"1,286","1,614","1,981","3,804","8,242","13,845","24,925","40,773","49,258","67,096"
San Joaquin,Ripon,1945,,,,,,,,,,,"1,550","1,894","2,679","3,509","7,455","10,146","14,297"
San Joaquin,Stockton,1850,,"3,679","10,066","10,282","14,424","17,506","23,253","40,296","47,963","54,714","70,853","86,321","109,963","148,283","210,943","243,771","291,707"
San Joaquin,Tracy,1910,,,,,,,,"2,450","3,829","4,056","8,410","11,289","14,724","18,428","33,558","56,929","82,922"
,,,,,,,,,,,,,,,,,,,
San Luis Obispo,,1850,336,"1,782","4,772","9,142","16,072","16,637","19,383","21,893","29,613","33,246","51,417","81,044","105,690","155,435","217,162","246,681","269,637"
San Luis Obispo,Arroyo Grande,1911,,,,,,,,760,892,"1,090","1,723","3,291","7,454","11,290","14,378","15,851","17,252"
San Luis Obispo,Atascadero,1979,,,,,,,,,,,,,,"16,232","23,138","26,411","28,310"
San Luis Obispo,Grover Beach,1959,,,,,,,,,,,,"5,210","5,939","8,827","11,656","13,067","13,156"
San Luis Obispo,Morro Bay,1964,,,,,,,,,,,,,"7,109","9,064","9,664","10,350","10,234"
San Luis Obispo,Paso Robles,1889,,,,,827,"1,224","1,441","1,919","2,573","3,045","4,835","6,677","7,168","9,163","18,583","24,297","29,793"
San Luis Obispo,Pismo Beach,i. 1939/ d.1940/ ri. 1946,,,,,,,,,,,"1,425","1,762","4,043","5,364","7,669","8,551","7,655"
San Luis Obispo,San Luis Obispo,1856,,n/a,n/a,"2,243","2,995","3,021","5,157","5,895","8,276","8,881","14,180","20,437","28,036","34,252","41,958","44,174","45,119"
,,,,,,,,,,,,,,,,,,,
San Mateo,,1856,,"3,214","6,635","8,669","10,087","12,094","26,585","36,781","77,405","111,782","235,659","444,387","557,361","587,329","649,623","707,163","718,451"
San Mateo,Atherton,1923,,,,,,,,,"1,242","1,908","3,630","7,717","8,085","7,797","7,163","7,194","6,914"
San Mateo,Belmont,1926,,,,,,,,,984,"1,229","5,567","15,996","23,538","24,505","24,127","25,123","25,835"
San Mateo,Brisbane,1961,,,,,,,,,,,,,"3,003","2,969","2,952","3,597","4,282"
San Mateo,Burlingame,1908,,,,,,,"1,565","4,107","13,270","15,940","19,886","24,036","27,320","26,173","26,801","28,158","28,806"
San Mateo,Colma,1924,,,,,,,,,369,354,297,500,537,395,"1,103","1,187","1,792"
San Mateo,Daly City,1911,,,,,,,,"3,779","7,838","9,625","15,191","44,791","66,922","78,427","92,311","103,625","101,123"
San Mateo,East Palo Alto,1983,,,,,,,,,,,,,,,"23,451","29,506","28,155"
San Mateo,Foster City,1971,,,,,,,,,,,,,,"23,287","28,176","28,803","30,567"
San Mateo,Half Moon Bay,1959,,,,,,,,,,,,"1,957","4,023","7,282","8,886","11,842","11,324"
San Mateo,Hillsborough,1910,,,,,,,,931,"1,891","2,747","3,552","7,554","8,753","10,372","10,667","10,825","10,825"
San Mateo,Menlo Park,1927,,,,,,,,,"2,254","3,258","13,587","26,957","26,826","26,438","28,040","30,785","32,026"
San Mateo,Millbrae,1948,,,,,,,,,,,"8,972","15,873","20,920","20,058","20,412","20,718","21,532"
San Mateo,Pacifica,1957,,,,,,,,,,,,"20,995","36,020","36,866","37,670","38,390","37,234"
San Mateo,Portola Valley,1964,,,,,,,,,,,,,"4,996","3,939","4,194","4,462","4,353"
San Mateo,Redwood City,1867,,,727,"1,383","1,572","1,653","2,442","4,020","8,962","12,453","25,544","46,290","55,686","54,951","66,072","75,402","76,815"
San Mateo,San Bruno,1914,,,,,,,,"1,562","3,610","6,519","12,478","29,063","36,254","35,417","38,961","40,165","41,114"
San Mateo,San Carlos,1925,,,,,,,,,"1,132","3,520","14,371","21,370","26,053","24,710","26,167","27,718","28,406"
San Mateo,San Mateo,1894,,,,,,"1,832","4,384","5,979","13,444","19,403","41,782","69,870","78,991","77,640","85,486","92,482","97,207"
San Mateo,South San Francisco,1908,,,,,,,"1,989","4,411","6,193","6,629","19,351","39,418","46,646","49,393","54,312","60,552","63,632"
San Mateo,Woodside,1956,,,,,,,,,,,,"3,592","4,734","5,291","5,035","5,352","5,287"
,,,,,,,,,,,,,,,,,,,
Santa Barbara,,1850,"1,185","3,543","7,784","9,513","15,754","18,934","27,738","41,097","65,167","70,555","98,220","168,962","264,324","298,694","369,608","399,347","423,895"
Santa Barbara,Buellton,1992,,,,,,,,,,,,,,,,"3,828","4,828"
Santa Barbara,Carpinteria,1965,,,,,,,,,,,,,"6,982","10,835","13,747","14,194","13,040"
Santa Barbara,Goleta,2002,,,,,,,,,,,,,,,,,"29,888"
