County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
Fresno,Mendota,1942,,,,,,,,,,,"1,516","2,099","2,705","5,038","6,821","7,890","11,014"
Fresno,Orange Cove,1948,,,,,,,,,,,"2,395","2,885","3,392","4,026","5,604","7,722","9,078"
Fresno,Parlier,1921,,,,,,,,,564,776,"1,419","1,366","1,993","2,902","7,938","11,145","14,494"
Fresno,Reedley,1913,,,,,,,,"2,447","2,589","3,170","4,135","5,850","8,131","11,071","15,791","20,756","24,194"
Fresno,San Joaquin,1920,,,,,,,,,163,240,632,879,"1,506","1,930","2,311","3,270","4,001"
Fresno,Sanger,1911,,,,,,,,"2,578","2,967","4,017","6,400","8,072","10,088","12,542","16,839","18,931","24,270"
Fresno,Selma,1893,,,,,,"1,083","1,750","3,158","3,047","3,667","5,964","6,934","7,459","10,942","14,757","19,444","23,219"
,,,,,,,,,,,,,,,,,,,
Glenn,,1891,,,,,,"5,150","7,172","11,853","10,935","12,195","15,448","17,245","17,521","21,350","24,798","26,453","28,122"
Glenn,Orland,1909,,,,,,,836,"1,582","1,195","1,366","2,067","2,534","2,884","4,031","5,052","6,281","7,291"
Glenn,Willows,1886,,,,,"1,176",893,"1,139","2,190","2,024","2,215","3,019","4,139","4,085","4,777","5,988","6,220","6,166"
,,,,,,,,,,,,,,,,,,,
Humboldt,,1853,,"2,694","6,140","15,512","23,469","27,104","33,857","37,413","43,233","45,812","69,241","104,892","99,692","108,525","119,118","126,518","134,623"
Humboldt,Arcata,1858,,n/a,n/a,702,962,952,"1,121","1,486","1,709","1,855","3,729","5,235","8,985","12,850","15,197","16,651","17,231"
Humboldt,Blue Lake,1910,,,,,,,507,441,555,503,824,"1,234","1,112","1,201","1,235","1,135","1,253"
Humboldt,Eureka,1856,,n/a,n/a,"2,639","4,858","7,327","11,845","12,923","15,752","17,055","23,058","28,137","24,337","24,153","27,025","26,128","27,191"
Humboldt,Ferndale,1893,,,,,,846,905,919,889,901,"1,032","1,371","1,352","1,367","1,331","1,382","1,371"
Humboldt,Fortuna,1906,,,,,,,883,986,"1,239","1,413","1,762","3,523","4,203","7,591","8,788","10,497","11,926"
Humboldt,Rio Dell,1965,,,,,,,,,,,,,"2,817","2,687","3,012","3,174","3,368"
Humboldt,Trinidad,1870,,,,104,n/a,n/a,n/a,n/a,107,94,188,289,300,379,362,311,367
,,,,,,,,,,,,,,,,,,,
Imperial,,1907,,,,,,,"13,591","43,453","60,903","59,740","62,975","72,105","74,492","92,110","109,303","142,361","174,528"
Imperial,Brawley,1908,,,,,,,881,"5,389","10,439","11,718","11,922","12,703","13,746","14,946","18,923","22,052","24,953"
Imperial,Calexico,1908,,,,,,,797,"6,223","6,299","5,415","6,433","7,992","10,625","14,412","18,633","27,109","38,572"
Imperial,Calipatria,1919,,,,,,,,785,"1,554","1,799","1,428","2,548","1,824","2,636","2,690","7,289","7,705"
