Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acres Green,93.07%,0.62%,0.50%,2.03%,,1.68%,2.09%,5.40%,,,,,,,,,,,,,,,,,
Baca County,93.73%,0.04%,1.20%,0.15%,0.09%,2.99%,1.79%,7.02%,$28,099.00,$34,018.00,$23,169.00,$18,292.00,$15,068.00,12.90%,16.90%,21.60%,13.30%,,,,,,,,
Bark Ranch,,,,,,,,,,,,,,,,,,,,,,,,,
Basalt,91.53%,0.48%,0.52%,1.27%,0.11%,4.77%,1.31%,11.75%,$67,200.00,$73,375.00,$40,791.00,$30,532.00,$30,746.00,4.90%,6.30%,5.90%,6.80%,,,,,,,,
Battlement Mesa,94.94%,0.40%,0.69%,0.17%,0.11%,2.00%,1.69%,7.06%,$36,680.00,$42,331.00,$31,924.00,$21,798.00,$18,653.00,3.20%,6.00%,7.30%,4.20%,,,,,,,,
Bayfield,91.67%,0.19%,2.13%,0.13%,,3.36%,2.52%,10.46%,$39,336.00,$46,583.00,$34,464.00,$22,027.00,$17,324.00,2.90%,5.60%,3.80%,7.90%,,,,,,,,
Bennett,94.56%,0.49%,0.74%,0.30%,0.15%,1.63%,2.13%,4.45%,$46,600.00,$50,881.00,$38,672.00,$26,354.00,$17,905.00,3.70%,5.80%,5.90%,8.90%,,,,,,,,
Bent County,79.53%,3.65%,2.23%,0.57%,,10.25%,3.77%,30.24%,$28,125.00,$34,096.00,$22,755.00,$24,261.00,$13,567.00,16.60%,19.50%,27.40%,13.00%,,,,,,,,
Berkley,72.84%,1.09%,1.57%,4.71%,0.18%,15.60%,4.01%,43.22%,$36,945.00,$41,250.00,$30,951.00,$25,882.00,$17,295.00,6.20%,10.70%,9.70%,9.20%,,,,,,,,
Berthoud,93.10%,0.20%,0.90%,1.00%,0.20%,2.10%,8.60%,,$70,292.00,,$43,676.00,$29,861.00,$28,111.00,4.40%,,,,,,,,,,,
Bethune,73.78%,,0.89%,0.44%,,23.56%,1.33%,31.11%,$28,958.00,$30,833.00,$23,750.00,$16,250.00,$13,994.00,21.90%,27.80%,41.80%,0.00%,,,,,,,,
Beulah Valley,95.96%,0.26%,0.77%,,,1.46%,1.55%,6.01%,$46,369.00,$58,259.00,$37,031.00,$33,750.00,$23,252.00,1.60%,6.50%,7.20%,0.00%,,,,,,,,
Black Forest,95.08%,0.85%,0.66%,0.71%,0.04%,0.88%,1.77%,3.31%,$77,085.00,$80,556.00,$59,568.00,$32,043.00,$30,786.00,1.90%,2.90%,3.90%,2.30%,,,,,,,,
Black Hawk,84.75%,3.39%,0.85%,,,5.93%,5.08%,10.17%,$44,583.00,$52,500.00,$29,688.00,$20,833.00,$25,985.00,0.00%,0.00%,,,,,,,,,,
Blanca,53.45%,0.77%,1.28%,2.81%,,39.64%,2.05%,67.01%,$22,875.00,$22,411.00,$20,125.00,$15,833.00,$10,200.00,19.50%,21.60%,29.10%,11.30%,,,,,,,,
Blende,,,,,,,,,,,,,,,,,,,,,,,,,
Blue River,98.39%,,,0.15%,,0.44%,1.02%,2.04%,$61,964.00,$70,714.00,$34,844.00,$32,083.00,$28,411.00,2.80%,7.00%,1.70%,21.40%,,,,,,,,
Blue Sky,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,71.43%,,,7.14%,,,21.43%,,$63,750.00,$27,000.00,$0.00,$0.00,$66,857.00,0.00%,0.00%,,,,,,,,,,
Bonanza Mountain Estates,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,93.50%,0.62%,0.62%,,,1.55%,3.72%,31.58%,$26,250.00,$26,964.00,$26,563.00,$21,875.00,$18,628.00,7.80%,16.00%,28.90%,13.00%,,,,,,,,
Boulder County,88.54%,0.88%,0.61%,3.06%,0.06%,4.67%,2.18%,10.46%,,,,,,,,,,,,,,,,,
Bow Mar,97.76%,,,0.71%,,0.24%,1.30%,3.78%,$112,300.00,$119,377.00,$88,442.00,$61,667.00,$53,558.00,2.40%,3.40%,1.60%,2.20%,,,,,,,,
Branson,97.40%,,1.30%,,,,1.30%,19.48%,$24,583.00,$23,214.00,$19,167.00,$20,000.00,$14,933.00,26.90%,25.00%,33.30%,0.00%,,,,,,,,
Breckenridge,95.56%,0.37%,0.33%,1.04%,0.04%,1.12%,1.54%,5.44%,$43,938.00,$52,212.00,$29,571.00,$27,917.00,$29,675.00,5.20%,8.80%,1.70%,0.00%,,,,,,,,
Brick Center,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,76.91%,0.99%,1.47%,1.10%,0.04%,16.29%,3.20%,38.22%,$46,779.00,$53,286.00,$35,686.00,$27,103.00,$17,927.00,6.10%,9.40%,11.00%,8.60%,,,,,,,,
Brookside,96.35%,,0.46%,,,0.46%,2.74%,10.96%,$34,688.00,$40,833.00,$33,333.00,$26,875.00,$14,841.00,13.80%,13.70%,29.60%,0.00%,,,,,,,,
Broomfield,86.10%,1.10%,0.60%,6.10%,0.10%,,2.10%,11.10%,,,,,,,,,,,,,,,,,
Brush,75.81%,0.39%,0.51%,0.16%,0.04%,20.19%,2.91%,50.00%,$31,333.00,$39,094.00,$24,431.00,$20,371.00,$14,672.00,5.40%,10.40%,10.10%,13.10%,,,,,,,,
Buena Vista,96.81%,0.09%,0.64%,0.27%,,0.73%,1.46%,4.74%,$34,800.00,$40,455.00,$32,841.00,$25,486.00,$16,920.00,9.40%,11.70%,19.10%,5.70%,,,,,,,,
Burlington,84.30%,6.20%,1.20%,0.50%,0.10%,8.50%,0.90%,27.50%,$33,854.00,$42,500.00,$29,167.00,$19,018.00,$16,054.00,12.20%,14.80%,20.30%,15.80%,,,,,,,,
Byers,95.94%,,0.97%,,,1.30%,1.78%,3.89%,$43,750.00,$46,250.00,$40,556.00,$25,750.00,$17,924.00,6.00%,7.80%,7.50%,8.80%,,,,,,,,
Ca%C3%B1on City,93.15%,1.59%,1.04%,0.54%,0.06%,1.61%,2.01%,8.33%,$31,736.00,$42,917.00,$31,258.00,$21,849.00,$16,970.00,7.10%,11.50%,11.90%,9.60%,,,,,,,,
Calhan,96.99%,,0.22%,0.67%,,0.22%,1.90%,1.90%,$35,735.00,$50,000.00,$32,135.00,$24,659.00,$19,266.00,3.70%,8.20%,5.40%,12.00%,,,,,,,,
Campion,92.19%,0.11%,1.20%,0.82%,,3.28%,2.40%,7.48%,$51,813.00,$53,611.00,$42,563.00,$26,719.00,$21,812.00,2.50%,3.60%,0.00%,0.00%,,,,,,,,
Campo,95.33%,,3.33%,,,,1.33%,4.67%,$20,875.00,$21,375.00,$19,167.00,$19,375.00,$7,818.00,33.30%,45.60%,73.20%,8.30%,,,,,,,,
Capulin,,,,,,,,,,,,,,,,,,,,,,,,,
Carbondale,84.28%,0.65%,0.54%,0.69%,0.02%,11.80%,2.02%,32.12%,$52,429.00,$55,726.00,$33,025.00,$24,786.00,$20,383.00,9.80%,12.20%,13.00%,5.00%,,,,,,,,
Carriage Club,89.02%,2.59%,,5.39%,,1.50%,1.50%,3.59%,$101,402.00,$88,314.00,$74,750.00,$40,893.00,$31,852.00,3.00%,3.40%,2.80%,0.00%,,,,,,,,
Cascade-Chipita Park,94.91%,0.59%,0.82%,0.47%,0.12%,1.81%,1.29%,2.98%,$48,719.00,$58,393.00,$35,034.00,$30,647.00,$25,073.00,1.20%,3.80%,0.00%,0.00%,,,,,,,,
Castle Pines,92.60%,1.10%,0.20%,0.80%,0.10%,1.00%,2.30%,5.50%,$137,019.00,$147,473.00,$118,235.00,$71,399.00,$49,702.00,0.90%,1.70%,2.90%,0.00%,,,,,,,,
Castle Rock,90.70%,1.10%,0.60%,29.27%,0.10%,2.90%,2.80%,10.00%,$85,461.00,$95,973.00,$66,993.00,$47,087.00,$34,089.00,4.00%,6.20%,8.20%,6.20%,,,,,,,,
Castlewood,93.76%,1.07%,0.23%,2.80%,0.02%,0.84%,1.28%,4.29%,$80,983.00,$91,414.00,$66,250.00,$40,200.00,$37,891.00,1.70%,2.10%,2.00%,2.70%,,,,,,,,
Cathedral,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,,,,,,,,,,,,,,,,,,,,,,,,,
Cattle Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Cedaredge,96.01%,0.05%,0.38%,0.43%,0.16%,0.59%,2.37%,5.39%,$27,381.00,$35,052.00,$32,426.00,$21,500.00,$20,059.00,10.00%,14.90%,20.80%,10.40%,,,,,,,,
Center,10.30%,0.30%,1.00%,,,0.09%,0.09%,87.40%,$23,780.00,$26,143.00,$20,844.00,$18,036.00,$9,289.00,27.10%,27.50%,31.60%,22.80%,,,,,,,,
Central City,91.84%,0.19%,1.55%,1.17%,1.17%,2.52%,1.55%,9.32%,$30,921.00,$31,667.00,$32,917.00,$25,446.00,$26,465.00,7.40%,12.30%,8.30%,5.20%,,,,,,,,
Chacra,,,,,,,,,,,,,,,,,,,,,,,,,
