,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Abbott,96.00%,1.00%,,,,3.00%,,5.67%,$37,917.00,$55,625.00,$38,750.00,$20,000.00,$9,356.00,0.00%,19.70%,2.70%,13.00%
Abercrombie,,,,,,,,,,,,,,,,,
Abernathy,76.15%,2.47%,0.77%,0.14%,,18.63%,1.83%,43.15%,$31,377.00,$35,399.00,$25,635.00,$21,198.00,$17,515.00,0.00%,4.10%,8.30%,9.40%
Abilene,,,,,,,,,$33,007.00,$40,028.00,$28,078.00,$20,918.00,$16,577.00,10.90%,15.40%,18.60%,9.20%
Ables Springs,,,,,,,,,,,,,,,,,
Abram,,,,,,,,,,,,,,,,,
Acala,,,,,,,,,,,,,,,,,
Ace,,,,,,,,,,,,,,,,,
Ackerly,69.80%,,,,,28.98%,1.22%,48.98%,$27,222.00,$31,250.00,$36,667.00,$15,000.00,$12,081.00,20.00%,20.20%,25.70%,13.00%
Acton,,,,,,,,,,,,,,,,,
Acuff,,,,,,,,,,,,,,,,,
Adams,,,,,,,,,,,,,,,,,
Addison,67.79%,9.63%,0.41%,7.81%,0.11%,10.79%,3.46%,24.04%,$56,761.00,,,$45,655.00,,7.70%,13.10%,,
Adkins,,,,,,,,,,,,,,,,,
Adobe Walls,,,,,,,,,,,,,,,,,
Adrian,82.39%,,1.26%,,,16.35%,,21.38%,$27,083.00,$33,750.00,$33,333.00,$21,875.00,$29,751.00,0.00%,3.50%,33.30%,21.70%
Afton,,,,,,,,,,,,,,,,,
Agua Dulce, El Paso County,88.08%,1.76%,0.68%,,,7.45%,2.03%,95.12%,$16,696.00,$17,500.00,$16,667.00,$21,250.00,,41.40%,,35.80%,0.00%
Agua Dulce, Nueces County,79.38%,0.14%,0.68%,,,16.15%,3.66%,66.08%,$31,406.00,$33,750.00,$27,375.00,$18,875.00,$15,959.00,0.00%,10.00%,31.00%,21.00%
Agua Nueva,,,,,,,,,,,,,,,,,
Aiken, Floyd County,,,,,,,,,,,,,,,,,
Aiken, Shelby County,,,,,,,,,,,,,,,,,
Airport Heights,,,,,,,,,,,,,,,,,
Airport Road Addition,76.52%,0.76%,,,,21.97%,0.76%,90.15%,$31,250.00,$31,250.00,$20,568.00,$6,250.00,,44.70%,,64.80%,0.00%
Alamo,83.61%,0.21%,0.43%,0.09%,,13.73%,1.94%,78.10%,$23,928.00,$24,827.00,$17,476.00,$14,683.00,$15,894.00,0.00%,14.60%,48.00%,12.90%
Alamo Beach,,,,,,,,,,,,,,,,,
Alamo Heights,93.80%,0.56%,0.33%,0.85%,0.01%,2.81%,1.64%,13.55%,,,,,,,,,
Alanreed,,,,,,,,,,,,,,,,,
Albany,93.13%,0.68%,0.47%,,,4.84%,0.88%,8.07%,$31,563.00,$40,592.00,$28,846.00,$17,411.00,$25,266.00,0.00%,2.80%,10.10%,11.10%
Albert,,,,,,,,,,,,,,,,,
Aldine,59.30%,5.84%,0.69%,3.41%,0.07%,27.58%,3.10%,56.33%,$32,437.00,$35,518.00,$28,779.00,$19,936.00,$11,701.00,17.00%,18.60%,24.30%,19.30%
Aledo,97.22%,0.29%,0.41%,0.41%,,0.58%,1.10%,2.55%,$54,327.00,$56,897.00,$41,193.00,$29,671.00,,2.30%,,1.10%,6.60%
Alfred,,,,,,,,,,,,,,,,,
Algoa,,,,,,,,,,,,,,,,,
Alice,77.44%,0.86%,0.53%,0.75%,0.08%,17.92%,2.41%,78.05%,,,,,,,,,
Alice Acres,76.58%,,0.41%,,,21.59%,1.43%,94.91%,$17,336.00,$17,204.00,$17,361.00,$0.00,,27.30%,,36.10%,0.00%
Allamoore,,,,,,,,,,,,,,,,,
Allen,64.90%,8.40%,0.50%,13.90%,0.10%,2.90%,1.70%,16.20%,$93,392.00,$100,736.00,,,,,,,
Allenhurst,,,,,,,,,,,,,,,,,
Alleyton,,,,,,,,,,,,,,,,,
Allison,,,,,,,,,,,,,,,,,
Alpine,,,,,,,,,$23,979.00,$31,658.00,$27,720.00,$19,575.00,$13,587.00,15.50%,20.90%,22.30%,17.10%
Alta Loma,,,,,,,,,,,,,,,,,
Altair,,,,,,,,,,,,,,,,,
Alto Bonito Heights,,,,,,,,,,,,,,,,,
Altoga,,,,,,,,,,,,,,,,,
Alton,79.33%,0.05%,0.32%,,,19.02%,1.28%,97.90%,,,,,,,,,
Alton North,91.49%,0.02%,0.06%,0.08%,,7.76%,0.59%,97.51%,$17,461.00,$17,043.00,$12,098.00,$13,906.00,,54.60%,,56.20%,81.40%
Alum Creek,,,,,,,,,,,,,,,,,
Alvarado,81.30%,7.15%,0.61%,0.43%,,9.25%,1.28%,18.46%,$31,166.00,$36,471.00,$30,690.00,$22,181.00,$18,024.00,0.00%,1.20%,15.50%,17.40%
Alvin,82.28%,2.11%,0.49%,0.79%,0.06%,10.88%,3.40%,28.09%,$38,576.00,$43,987.00,$36,216.00,$22,580.00,$23,082.00,0.00%,3.10%,15.40%,10.10%
Amada Acres,,,,,,,,,,,,,,,,,
Amargosa,,,,,,,,,,,,,,,,,
Amarillo,,,,,,,,,$34,940.00,$42,536.00,$31,321.00,$22,562.00,$6,236.00,0.00%,25.30%,19.60%,9.30%
Amaya,,,,,,,,,,,,,,,,,
Ambrose,,,,,,,,,,,,,,,,,
Ames,7.04%,89.34%,0.28%,0.28%,,1.58%,1.48%,1.58%,$23,421.00,$26,429.00,$28,833.00,$21,250.00,$16,531.00,0.00%,6.40%,38.30%,27.70%
Amherst,68.90%,9.36%,0.25%,,,21.11%,0.38%,39.95%,$24,276.00,$25,714.00,$22,625.00,$19,063.00,,31.70%,,45.80%,8.40%
Amistad,,,,,,,,,,,,,,,,,
Ammannsville,,,,,,,,,,,,,,,,,
Amphion,,,,,,,,,,,,,,,,,
Amsterdam,,,,,,,,,,,,,,,,,
Anacua,,,,,,,,,,,,,,,,,
Anahuac,68.28%,20.23%,0.14%,0.68%,,9.05%,1.63%,12.99%,$40,924.00,$46,750.00,$34,904.00,$24,917.00,$23,245.00,0.00%,2.20%,18.00%,13.80%
Anarene,,,,,,,,,,,,,,,,,
Anderson,54.86%,40.47%,0.78%,,,2.72%,1.17%,4.67%,$33,409.00,$34,375.00,$24,135.00,$22,188.00,$18,281.00,0.00%,,9.10%,21.10%
Anderson County,66.44%,23.48%,0.64%,0.45%,0.03%,8.00%,0.96%,12.17%,$31,957.00,$37,513.00,$27,070.00,$21,577.00,$17,434.00,0.00%,10.60%,21.60%,16.60%
Anderson Mill,,,,,,,,,,,,,,,,,
Andrews,75.65%,2.04%,0.90%,0.71%,0.03%,17.72%,2.94%,41.95%,$32,774.00,$36,172.00,$31,527.00,$22,266.00,$20,405.00,0.00%,4.70%,22.50%,12.80%
Andrews County,77.08%,1.65%,0.88%,0.71%,0.02%,16.79%,2.87%,40.00%,$34,036.00,$37,017.00,$33,223.00,$21,846.00,$20,087.00,0.00%,10.80%,20.20%,12.70%
Angelina County,75.10%,14.72%,0.30%,0.67%,0.02%,7.77%,1.42%,14.35%,$33,806.00,$39,505.00,$30,373.00,$20,221.00,$20,024.00,0.00%,4.80%,21.90%,12.30%
Angleton,,,,,,,,,$42,184.00,$50,019.00,$39,711.00,$23,508.00,$17,915.00,8.90%,11.10%,14.40%,13.80%
Angus,88.32%,1.80%,,1.80%,0.60%,2.99%,4.49%,7.78%,$36,944.00,$38,472.00,$24,531.00,$20,179.00,$22,214.00,0.00%,0.00%,17.10%,26.90%
Anna,78.40%,7.70%,1.10%,0.80%,,8.60%,3.30%,20.90%,$58,730.00,$59,899.00,$41,989.00,$40,184.00,,11.90%,,,
Anson,,,,,,,,,$23,954.00,$30,284.00,$26,893.00,$19,038.00,$11,798.00,17.00%,19.80%,25.00%,18.80%
Antelope,,,,,,,,,,,,,,,,,
Antioch, Delta County,,,,,,,,,,,,,,,,,
Anton,71.92%,5.33%,,,,21.17%,1.58%,45.83%,$30,924.00,$36,250.00,$26,188.00,$18,036.00,$16,792.00,0.00%,9.10%,23.80%,21.50%
Apple Springs,,,,,,,,,,,,,,,,,
Appleby,90.77%,6.53%,,0.45%,,0.90%,1.35%,3.15%,$45,568.00,$53,929.00,$36,667.00,$23,375.00,,8.10%,,1.00%,5.00%
Aquilla,83.82%,,7.35%,,,8.09%,0.74%,11.76%,$39,500.00,$43,750.00,$37,708.00,$17,500.00,$16,848.00,2.30%,5.80%,23.50%,
Aransas County,87.44%,1.43%,0.58%,2.77%,0.05%,5.33%,2.39%,20.32%,$30,702.00,$34,915.00,$31,597.00,$20,289.00,$51,800.00,0.00%,4.10%,31.00%,10.20%
Aransas Pass,,,,,,,,,$27,376.00,$33,227.00,$29,383.00,$17,969.00,$12,964.00,18.30%,19.60%,23.50%,10.90%
Arcadia, Galveston County,,,,,,,,,,,,,,,,,
Arcadia, Shelby County,,,,,,,,,,,,,,,,,
Archer City,97.56%,,0.70%,,,0.81%,0.92%,2.33%,$29,886.00,$36,563.00,$29,524.00,$18,977.00,$9,695.00,0.00%,31.60%,13.80%,17.90%
Archer County,95.54%,0.08%,0.62%,0.12%,0.03%,2.28%,1.32%,4.87%,$38,514.00,$45,984.00,$31,386.00,$22,119.00,,9.00%,,9.90%,10.80%
Arcola,34.26%,34.16%,0.38%,2.19%,,27.10%,1.91%,51.91%,$31,607.00,$32,500.00,$26,818.00,$21,172.00,$16,240.00,0.00%,3.10%,34.30%,26.40%
Arden,,,,,,,,,,,,,,,,,
Argyle,95.90%,0.30%,0.50%,0.60%,0.00%,1.40%,1.30%,5.60%,,,,,,,,,
Arlington,,,,,,,,,$50,655.00,,$41,059.00,$35,265.00,$25,317.00,,,,
Armstrong,,,,,,,,,,,,,,,,,
Armstrong County,95.44%,0.28%,0.65%,,,2.79%,0.84%,5.40%,$38,194.00,$43,894.00,$30,114.00,$21,786.00,$23,666.00,0.00%,4.00%,15.80%,11.60%
Arp,95.34%,3.22%,0.11%,,,0.44%,0.89%,2.55%,$33,750.00,$38,807.00,$27,443.00,$22,202.00,$21,710.00,0.00%,2.10%,5.50%,6.20%
Arroyo Alto,51.56%,,,,,45.31%,3.12%,98.12%,,,,,,,,,
Arroyo Colorado Estates,98.15%,0.40%,,,,,1.46%,96.56%,,,,,,,,,
Arroyo Gardens,,,,,,,,,,,,,,,,,
Art,,,,,,,,,,,,,,,,,
Artesia Wells,,,,,,,,,,,,,,,,,
Arthur City,,,,,,,,,,,,,,,,,
Asherton,75.56%,0.15%,0.15%,0.07%,,21.39%,2.68%,94.78%,$20,417.00,$24,107.00,$23,281.00,$17,500.00,,35.80%,,40.80%,41.80%
Atascocita,67.80%,19.20%,0.50%,2.80%,0.30%,,2.90%,22.08%,$83,314.00,$176,821.00,$151,750.00,$134,036.00,$31,496.00,2.20%,3.10%,2.70%,3.20%
Atascosa,63.66%,0.54%,0.63%,0.42%,0.11%,34.63%,,82.05%,,,,,,,,,
Atascosa County,73.23%,0.60%,0.80%,0.31%,0.06%,21.53%,3.47%,58.56%,$33,081.00,$37,705.00,$27,702.00,$18,810.00,$17,801.00,0.00%,7.00%,25.60%,21.70%
Athens,72.14%,19.23%,0.31%,0.64%,0.06%,6.17%,1.45%,17.37%,$29,372.00,$35,359.00,$27,388.00,$19,375.00,$21,596.00,0.00%,7.40%,21.50%,16.70%
Atlanta,68.13%,29.23%,0.52%,0.37%,0.02%,0.49%,1.25%,1.72%,$27,188.00,$32,679.00,$29,286.00,$19,715.00,$17,583.00,0.00%,3.00%,33.40%,19.40%
Aubrey,92.50%,0.50%,0.70%,0.50%,,4.70%,1.10%,6.70%,$41,131.00,$46,190.00,$31,367.00,$23,594.00,$9,848.00,0.00%,15.40%,8.80%,10.10%
Aurora,94.49%,0.23%,1.99%,0.23%,,1.52%,1.52%,3.99%,$32,656.00,$36,731.00,$33,750.00,$22,361.00,$18,452.00,0.00%,4.30%,16.40%,18.30%
Austin,,,,,,,,,$42,689.00,$54,091.00,$35,545.00,$30,046.00,$24,163.00,0.00%,9.10%,16.50%,8.70%
Austin County,80.22%,10.64%,0.28%,0.29%,,6.99%,1.58%,16.13%,,,,,,,,,
Austonio,,,,,,,,,,,,,,,,,
Austwell,91.67%,1.56%,,,,6.77%,,57.29%,$23,750.00,$20,000.00,$37,917.00,$21,250.00,$9,741.00,0.00%,23.50%,44.40%,33.30%
Avalon,,,,,,,,,,,,,,,,,
Avery,96.54%,1.30%,0.22%,,,,1.95%,0.43%,$21,146.00,$27,917.00,$23,333.00,$16,346.00,$16,911.00,0.00%,5.80%,22.30%,30.50%
Avoca,,,,,,,,,,,,,,,,,
Axtell,,,,,,,,,,,,,,,,,
Azle,95.90%,0.22%,0.66%,0.51%,0.02%,1.41%,1.29%,4.20%,$43,304.00,$51,660.00,$37,522.00,$26,998.00,$20,817.00,6.90%,11.00%,9.10%,13.30%
B and E,,,,,,,,,,,,,,,,,
Bacliff,74.30%,3.50%,0.70%,2.80%,0.10%,15.90%,2.70%,37.10%,,,,,,,,,
Bacon,,,,,,,,,,,,,,,,,
Bagwell,,,,,,,,,,,,,,,,,
Bailey,90.61%,,0.94%,0.47%,,4.69%,3.29%,10.80%,$42,292.00,$42,500.00,$40,417.00,$25,417.00,,21.40%,,36.00%,13.30%
Bailey County,,,,,,,,,$27,901.00,$32,898.00,$25,150.00,$18,309.00,$12,979.00,13.50%,16.70%,20.40%,12.60%
Baird,90.51%,0.18%,0.31%,0.74%,0.06%,7.09%,1.11%,13.43%,$27,446.00,$35,000.00,$21,974.00,$16,298.00,$17,544.00,0.00%,2.30%,18.40%,12.50%
Bakersfield,,,,,,,,,,,,,,,,,
Balch Springs,62.90%,18.52%,0.98%,0.63%,0.03%,14.05%,2.89%,25.72%,$37,087.00,$38,750.00,$29,256.00,$26,611.00,$18,024.00,0.00%,7.20%,13.20%,9.50%
Balcones Heights,69.66%,5.37%,1.56%,1.13%,0.03%,17.41%,4.84%,69.60%,$21,452.00,$27,074.00,$21,209.00,$18,944.00,$17,150.00,0.00%,10.60%,23.60%,15.20%
Ballinger,79.68%,2.14%,0.71%,0.45%,,14.52%,2.50%,31.28%,$26,129.00,$31,393.00,$24,207.00,$18,951.00,$11,917.00,14.30%,17.20%,18.10%,25.00%
Balmorhea,58.82%,,,,,29.41%,11.76%,87.10%,$16,071.00,$20,179.00,$19,271.00,$13,958.00,,36.30%,,42.00%,21.30%
Bammel,,,,,,,,,,,,,,,,,
Bandera,94.98%,0.21%,0.52%,,,2.51%,1.78%,21.84%,$31,089.00,$36,500.00,$27,604.00,$17,813.00,$21,403.00,0.00%,3.60%,18.00%,17.10%
Bandera County,94.02%,0.33%,0.90%,0.28%,0.06%,2.55%,1.86%,13.51%,$39,013.00,$45,906.00,$31,733.00,$24,451.00,,10.80%,,12.20%,9.40%
Bandera Falls,,,,,,,,,,,,,,,,,
Bangs,86.91%,4.75%,0.37%,,,6.42%,1.54%,12.72%,$23,690.00,$30,208.00,$27,212.00,$19,141.00,$14,216.00,17.40%,20.00%,21.10%,27.80%
Banquete,,,,,,,,,,,,,,,,,
Barclay,,,,,,,,,,,,,,,,,
Bardwell,61.58%,17.50%,1.37%,,,18.52%,1.03%,47.51%,$31,250.00,$35,000.00,$28,125.00,$16,250.00,$15,920.00,0.00%,3.50%,26.80%,35.40%
Barker,,,,,,,,,,,,,,,,,
