,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Asotin County,94.30%,0.40%,1.40%,0.50%,0.20%,0.80%,2.40%,3.00%,$41,665.00,$52,250.00,$39,633.00,$28,475.00,$23,731.00,9.90%,13.50%,21.10%,6.70%
Attalia,,,,,,,,,,,,,,,,,
Auburn,82.80%,2.42%,2.54%,3.50%,0.51%,3.66%,4.56%,7.49%,$39,208.00,$45,426.00,$36,977.00,$27,476.00,,12.80%,,15.30%,8.80%
Austin,,,,,,,,,,,,,,,,,
Avon,,,,,,,,,,,,,,,,,
Ayer,,,,,,,,,,,,,,,,,
Babb,,,,,,,,,,,,,,,,,
Babcock,,,,,,,,,,,,,,,,,
Bacon,,,,,,,,,,,,,,,,,
Badger Wells,,,,,,,,,,,,,,,,,
Bagdad Junction,,,,,,,,,,,,,,,,,
Bagley Junction,,,,,,,,,,,,,,,,,
Baileysburg,92.58%,0.30%,1.05%,0.49%,0.04%,3.54%,2.00%,8.17%,$31,409.00,$40,714.00,$31,395.00,$21,339.00,$15,925.00,10.30%,13.30%,17.00%,9.60%
Bainbridge Island,92.88%,0.28%,0.62%,2.40%,0.11%,0.75%,2.96%,2.17%,,,,,,,,,
Baird,,,,,,,,,,,,,,,,,
Balford,,,,,,,,,,,,,,,,,
Ballow,,,,,,,,,,,,,,,,,
Bangor Base,76.73%,8.05%,1.28%,4.69%,0.79%,3.92%,4.55%,10.24%,,,,,,,,,
Banks,,,,,,,,,,,,,,,,,
Banks Lake South,99.38%,,,,,,0.62%,,$37,500.00,$38,750.00,$34,375.00,$28,750.00,$18,588.00,4.30%,8.70%,14.30%,8.80%
Barberton,93.72%,0.71%,0.65%,2.19%,0.15%,0.50%,2.08%,2.43%,$64,779.00,$67,054.00,$51,396.00,$30,085.00,$25,066.00,1.60%,2.50%,3.00%,9.00%
Barco,,,,,,,,,,,,,,,,,
Barham,,,,,,,,,,,,,,,,,
Baring,90.56%,,2.58%,0.86%,0.43%,,5.58%,2.15%,$40,875.00,$46,500.00,$38,125.00,$32,292.00,$22,571.00,6.90%,7.20%,5.40%,0.00%
Barney%s Junction,,,,,,,,,,,,,,,,,
Barstow,,,,,,,,,,,,,,,,,
Basin City,55.68%,,0.62%,0.31%,,20.76%,22.62%,76.14%,$29,444.00,$31,071.00,$23,438.00,$21,071.00,$8,461.00,22.90%,18.00%,16.10%,0.00%
Battle Ground,93.81%,0.49%,0.86%,0.72%,0.11%,1.72%,2.28%,4.14%,$45,070.00,$49,876.00,$41,133.00,$25,215.00,$23,627.00,0.00%,10.10%,11.10%,8.40%
Batum,,,,,,,,,,,,,,,,,
Bay Center,68.39%,,14.37%,0.57%,,9.20%,7.47%,10.34%,$38,409.00,$42,656.00,$33,125.00,$19,688.00,$19,325.00,10.90%,13.40%,14.30%,17.90%
Bay City,,,,,,,,,,,,,,,,,
Bay View,96.41%,,0.90%,0.30%,,0.30%,2.10%,2.40%,$27,250.00,$28,214.00,$31,917.00,$0.00,$14,782.00,0.00%,5.20%,0.00%,8.10%
Bayne,,,,,,,,,,,,,,,,,
Bayview (Island),,,,,,,,,,,,,,,,,
Bayview (Pierce),,,,,,,,,,,,,,,,,
Beach Haven,,,,,,,,,,,,,,,,,
Beacon Hill,,,,,,,,,,,,,,,,,
Beatrice,,,,,,,,,,,,,,,,,
Beaux Arts Village,97.07%,,0.33%,1.95%,0.33%,,0.33%,,$96,916.00,$110,038.00,$81,760.00,$41,250.00,$56,496.00,4.00%,4.20%,4.60%,2.90%
Beaver,,,,,,,,,,,,,,,,,
Bedal,,,,,,,,,,,,,,,,,
Beebe,,,,,,,,,,,,,,,,,
Belfair,,,,,,,,,,,,,,,,,
Bell Hill,95.21%,,1.50%,1.09%,0.27%,0.14%,1.78%,0.96%,$66,442.00,$85,595.00,$42,083.00,$25,250.00,$35,568.00,5.30%,8.50%,13.40%,6.80%
Bellevue,74.33%,1.99%,0.32%,17.39%,0.23%,2.54%,3.19%,5.32%,$62,338.00,$76,868.00,$56,456.00,$37,124.00,,5.70%,,5.70%,6.30%
Bellingham,84.90%,1.30%,1.30%,5.10%,0.30%,2.80%,4.30%,7.00%,,,,,,,,,
Belmont,,,,,,,,,,,,,,,,,
Belvedere,,,,,,,,,,,,,,,,,
Benge,,,,,,,,,,,,,,,,,
Benton City,84.34%,0.15%,1.14%,0.61%,0.04%,10.63%,3.09%,19.51%,$33,636.00,$43,036.00,$32,464.00,$22,137.00,$17,563.00,0.00%,12.50%,16.50%,2.00%
