,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Sunapee,97.60%,0.20%,0.30%,0.60%,0.03%,0.30%,1.00%,0.80%,,,,,,,,,
Surry,98.07%,,0.59%,0.30%,,0.15%,0.89%,1.49%,,,,,,,,,
Sutton,96.50%,0.30%,0.30%,0.80%,0.50%,0.30%,1.40%,1.10%,,,,,,,,,
Swanzey,96.00%,0.30%,0.20%,1.70%,0.03%,0.40%,1.40%,1.50%,,,,,,,,,
Tamworth,98.05%,0.16%,0.24%,0.20%,,0.36%,1.00%,0.64%,,,,,,,,,
Temple,98.00%,0.31%,0.31%,0.31%,,0.54%,0.54%,0.69%,,,,,,,,,
Thornton,97.61%,0.27%,0.11%,0.27%,0.05%,0.33%,1.36%,0.71%,,,,,,,,,
Tilton,96.20%,0.40%,0.20%,1.40%,0.00%,0.20%,1.70%,1.10%,,,,,,,,,
Troy,97.00%,0.80%,0.70%,0.90%,,0.05%,0.50%,1.30%,,,,,,,,,
Tuftonboro,98.32%,,0.23%,0.23%,,0.05%,1.16%,0.42%,,,,,,,,,
Unity,99.35%,0.07%,,0.13%,,,0.46%,0.72%,,,,,,,,,
Wakefield,98.21%,0.09%,0.45%,0.19%,,0.19%,0.87%,0.56%,,,,,,,,,
Walpole,97.30%,0.30%,0.20%,0.50%,0.00%,0.20%,1.50%,1.30%,,,,,,,,,
Warner,97.90%,0.40%,0.40%,0.20%,,0.30%,0.80%,1.80%,,,,,,,,,
Warren,96.57%,0.22%,0.33%,0.11%,,0.22%,2.43%,0.55%,,,,,,,,,
Washington,98.21%,,0.34%,,,,1.45%,1.45%,,,,,,,,,
Waterville Valley,97.28%,,,1.95%,,0.78%,0.00%,1.56%,,,,,,,,,
Weare,98.25%,0.17%,0.22%,0.42%,,0.22%,0.72%,0.69%,,,,,,,,,
Webster,98.86%,0.06%,0.06%,0.38%,,0.06%,0.57%,0.13%,,,,,,,,,
Wentworth,97.62%,0.38%,,0.25%,,0.13%,1.63%,0.38%,,,,,,,,,
Westmoreland,97.82%,0.34%,0.29%,0.80%,,0.34%,0.40%,0.92%,,,,,,,,,
Whitefield,95.60%,0.30%,0.40%,0.70%,0.00%,1.30%,1.60%,2.00%,,,,,,,,,
Wilmot,98.25%,0.09%,0.09%,0.61%,0.09%,,0.87%,0.26%,,,,,,,,,
Wilton,97.10%,0.50%,0.20%,0.50%,0.00%,0.20%,1.50%,1.40%,,,,,,,,,
Winchester,96.10%,0.50%,0.50%,0.60%,0.00%,0.50%,1.80%,1.80%,,,,,,,,,
Windham,95.20%,0.40%,0.20%,2.90%,0.10%,0.20%,1.10%,1.60%,,,,,,,,,
Windsor,97.01%,1.49%,,,,,1.49%,0.50%,,,,,,,,,
Wolfeboro,97.60%,0.20%,0.20%,0.80%,0.02%,0.20%,1.00%,1.30%,,,,,,,,,
Woodstock,96.90%,0.10%,0.20%,0.90%,0.10%,0.10%,1.80%,0.30%,,,,,,,,,
