,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Scituate,98.13%,0.29%,0.07%,0.58%,0.03%,0.32%,0.58%,0.75%,,,,,,,,,
Slatersville,,,,,,,,,,,,,,,,,
Smithfield,95.70%,1.20%,0.15%,1.31%,0.03%,0.58%,1.03%,2.17%,,,,,,,,,
South Kingstown,91.11%,1.57%,1.61%,3.08%,0.05%,0.73%,1.86%,1.77%,,,,,,,,,
The Anchorage,,,,,,,,,,,,,,,,,
The Hummocks,,,,,,,,,,,,,,,,,
Tiverton,97.79%,0.37%,0.21%,0.49%,0.07%,0.26%,0.81%,0.99%,$45,683.00,$57,375.00,$39,786.00,$28,256.00,$22,238.00,3.70%,5.10%,2.90%,12.20%
Valley Falls,95.88%,0.83%,0.11%,0.52%,,1.42%,1.24%,3.94%,$46,163.00,$52,414.00,$35,334.00,$25,422.00,$20,373.00,3.80%,5.00%,4.70%,10.60%
Wakefield-Peacedale,90.34%,2.01%,3.08%,1.23%,,0.56%,2.79%,1.56%,,,,,,,,,
Warren,96.82%,0.83%,0.23%,0.50%,0.04%,0.29%,1.29%,0.93%,,,,,,,,,
Warwick,95.21%,1.16%,0.25%,1.49%,0.02%,0.59%,1.28%,1.60%,,,,,,,,,
Washington County,93.80%,1.20%,0.90%,1.60%,,0.70%,1.80%,2.40%,,,,,,,,,
Watch Hill,,,,,,,,,,,,,,,,,
Weekapaug,,,,,,,,,,,,,,,,,
West Greenwich,97.70%,0.28%,0.24%,0.57%,,0.24%,0.98%,0.69%,,,,,,,,,
West Warwick,93.78%,1.11%,0.35%,1.42%,0.02%,1.44%,1.88%,3.10%,$39,505.00,$47,674.00,$35,128.00,$26,720.00,$20,250.00,9.20%,11.20%,17.90%,11.00%
Westerly,94.65%,0.82%,0.55%,2.40%,,0.34%,1.24%,1.16%,$42,860.00,$53,130.00,$37,213.00,$26,096.00,$23,180.00,4.30%,6.80%,9.20%,7.80%
Wickford,,,,,,,,,,,,,,,,,
Woonsocket,83.14%,4.44%,0.32%,4.06%,0.03%,4.86%,3.14%,9.32%,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,,
