,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Bourne,97.72%,0.39%,0.53%,0.71%,0.01%,0.99%,0.65%,0.46%,,,,,,,,,
Bourne (CDP),98.66%,0.28%,0.18%,0.42%,,0.17%,0.49%,0.59%,$104,830.00,$160,417.00,$88,661.00,$62,981.00,$83,055.00,0.20%,0.40%,0.30%,0.60%
Boxborough,88.82%,0.33%,1.00%,8.48%,,0.37%,1.97%,1.13%,,,,,,,,,
Boxford,97.37%,0.34%,0.11%,1.21%,0.03%,0.29%,0.64%,0.85%,,,,,,,,,
Boxford (CDP),96.84%,0.34%,,1.37%,0.00%,0.47%,0.98%,0.98%,$108,778.00,$116,810.00,$72,426.00,$38,073.00,$51,977.00,0.00%,1.00%,0.00%,5.10%
Boylston,96.71%,0.67%,0.22%,1.37%,,0.25%,0.77%,0.57%,,,,,,,,,
Braintree,93.96%,1.18%,0.11%,3.14%,0.03%,0.64%,0.95%,1.16%,,,,,,,,,
Brewster,97.24%,0.76%,0.23%,0.76%,0.03%,0.35%,0.63%,1.06%,,,,,,,,,
Brewster (CDP),97.33%,1.08%,0.54%,0.59%,0.05%,0.18%,0.23%,1.18%,$40,815.00,$53,333.00,$41,143.00,$31,471.00,$24,350.00,3.10%,6.50%,9.00%,4.20%
Bridgewater,87.28%,4.04%,2.23%,1.08%,0.02%,6.23%,1.12%,2.75%,,,,,,,,,
Bridgewater (CDP),80.46%,1.97%,0.12%,1.85%,0.06%,14.12%,1.43%,3.26%,$46,237.00,$55,511.00,$41,834.00,$27,096.00,$20,301.00,3.20%,7.50%,7.70%,11.10%
Brimfield,97.69%,0.51%,0.36%,0.06%,0.06%,0.72%,0.60%,1.29%,,,,,,,,,
Bristol County,88.40%,3.30%,0.40%,1.90%,,3.40%,2.60%,6.00%,,,,,,,,,
Brockton,46.70%,31.20%,0.36%,2.30%,0.04%,10.32%,7.78%,10.00%,,,,,,,,,
Brookfield,98.10%,0.20%,0.52%,0.29%,,0.03%,0.85%,0.59%,,,,,,,,,
