,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Housatonic,96.48%,1.27%,,0.37%,0.07%,0.82%,0.97%,1.35%,$35,625.00,$35,324.00,$38,462.00,$24,917.00,$16,636.00,9.90%,10.90%,14.20%,2.60%
Hubbardston,98.39%,0.15%,0.08%,0.49%,,0.28%,0.61%,1.33%,,,,,,,,,
Hudson,94.12%,0.91%,0.13%,1.40%,0.06%,1.40%,1.98%,3.06%,,,,,,,,,
Hudson (CDP),93.91%,0.88%,0.15%,1.22%,0.03%,1.64%,2.18%,3.48%,$55,063.00,$67,643.00,$43,815.00,$35,068.00,$25,167.00,3.30%,5.30%,4.00%,10.50%
Hull,96.95%,0.46%,0.31%,0.89%,0.05%,0.46%,0.89%,1.09%,$52,377.00,$62,294.00,$43,030.00,$34,738.00,$26,331.00,5.60%,8.30%,12.70%,9.50%
Huntington,97.56%,0.41%,0.18%,0.41%,,0.28%,1.15%,1.84%,,,,,,,,,
Huntington (CDP),,,,,,,,,,,,,,,,,
Ipswich,97.60%,0.39%,0.08%,0.80%,0.01%,0.33%,0.79%,1.04%,,,,,,,,,
Ipswich (CDP),96.78%,0.38%,0.14%,0.99%,,0.55%,1.15%,1.11%,$40,482.00,$56,803.00,$39,148.00,$33,036.00,$23,954.00,7.10%,11.00%,16.90%,10.00%
Kingston,97.30%,0.10%,0.30%,2.30%,0.10%,0.70%,0.80%,0.60%,,,,,,,,,
Kingston (CDP),96.51%,1.36%,0.17%,0.56%,,0.61%,0.80%,0.48%,$48,607.00,$57,723.00,$40,151.00,$26,957.00,$22,425.00,4.60%,4.80%,4.90%,7.00%
Lakeville,97.29%,0.31%,0.14%,0.59%,0.01%,0.50%,1.16%,1.06%,,,,,,,,,
Lancaster,86.40%,7.70%,0.10%,1.70%,,2.50%,1.60%,8.10%,,,,,,,,,
Lanesborough,97.36%,0.70%,0.03%,0.80%,0.03%,0.17%,0.90%,0.67%,,,,,,,,,
Lawrence,48.64%,7.60%,0.81%,2.65%,0.10%,36.67%,,73.80%,,,,,,,,,
Lee,96.93%,0.62%,0.15%,0.95%,0.02%,0.74%,0.60%,2.49%,,,,,,,,,
Lee (CDP),95.50%,1.39%,0.15%,0.89%,0.05%,1.24%,0.79%,4.50%,$32,183.00,$41,588.00,$32,188.00,$25,741.00,$18,069.00,7.00%,13.30%,9.70%,4.10%
Leicester,96.29%,1.28%,0.31%,0.74%,0.06%,0.31%,1.01%,1.75%,,,,,,,,,
Lenox,98.57%,0.30%,0.08%,0.02%,0.04%,0.41%,0.57%,1.91%,,,,,,,,,
Lenox (CDP),97.66%,0.60%,0.06%,0.78%,,0.36%,0.54%,1.74%,$35,662.00,$60,893.00,$41,875.00,$35,208.00,$23,810.00,3.60%,12.30%,6.70%,12.30%
Leominster,81.50%,3.70%,0.15%,2.44%,0.06%,4.32%,2.21%,11.00%,,,,,,,,,
Leverett,95.31%,0.24%,0.54%,1.38%,,1.62%,0.90%,1.44%,,,,,,,,,
Lexington,75.50%,1.50%,0.10%,19.90%,0.00%,0.50%,2.60%,2.30%,,,,,,,,,
Leyden,98.45%,0.39%,0.26%,0.13%,,,0.78%,0.26%,,,,,,,,,
Lincoln,87.16%,4.84%,0.38%,4.17%,0.02%,1.33%,2.09%,2.97%,,,,,,,,,
Littleton,96.49%,0.34%,0.07%,1.71%,0.02%,0.33%,1.03%,0.97%,,,,,,,,,
Littleton Common,97.02%,0.28%,0.07%,1.31%,0.04%,0.25%,1.03%,1.21%,$60,323.00,$69,375.00,$46,806.00,$38,571.00,$26,966.00,4.70%,5.20%,1.90%,4.90%
Longmeadow,95.42%,0.69%,0.05%,2.90%,0.06%,0.26%,0.62%,1.09%,$109,586.00,$115,578.00,$68,238.00,$40,890.00,$48,949.00,1.00%,2.10%,0.30%,8.30%
Lowell,60.30%,6.80%,0.30%,20.20%,,8.80%,3.60%,,,,,,,,,,
Ludlow,95.78%,2.19%,0.27%,0.68%,0.03%,1.09%,0.00%,6.47%,,,,,,,,,
Lunenburg,97.01%,0.69%,0.20%,0.78%,0.02%,0.26%,1.04%,1.15%,,,,,,,,,
Lunenburg (CDP),96.81%,0.35%,0.24%,1.06%,,0.12%,1.42%,1.06%,$54,429.00,$58,203.00,$52,026.00,$32,139.00,$31,759.00,1.90%,0.80%,1.00%,0.00%
Lynnfield,94.70%,0.50%,,3.30%,0.00%,0.40%,1.00%,1.70%,$136,101.00,$95,804.00,$82,386.00,$50,589.00,$50,916.00,,,,
Madaket,,,,,,,,,,,,,,,,,
Malden,52.50%,14.80%,0.14%,20.10%,0.06%,2.10%,3.46%,8.60%,,,,,,,,,
Manchester-by-the-Sea,97.60%,0.10%,0.20%,0.90%,,0.10%,1.10%,1.50%,,,,,,,,,
Mansfield,94.30%,2.18%,0.21%,1.93%,0.02%,0.43%,0.94%,1.41%,,,,,,,,,
Mansfield Center,94.43%,2.39%,0.23%,1.48%,0.04%,0.51%,0.93%,1.73%,$51,082.00,$68,191.00,$42,151.00,$36,015.00,$25,693.00,3.20%,6.00%,3.40%,14.70%
Marblehead,97.60%,0.40%,0.10%,1.00%,0.10%,0.20%,0.70%,0.90%,,,,,,,,,
Marion,92.17%,1.58%,0.10%,0.35%,0.08%,3.46%,2.26%,0.55%,,,,,,,,,
Marion Center,97.84%,0.42%,0.08%,0.17%,,1.25%,0.25%,0.33%,$59,583.00,$82,503.00,$41,587.00,$36,875.00,$40,856.00,3.30%,1.70%,0.00%,0.00%
Marlborough,87.70%,2.17%,0.20%,3.76%,0.04%,3.27%,2.86%,6.06%,,,,,,,,,
Marshfield,92.69%,3.54%,0.11%,0.37%,0.02%,0.52%,0.76%,2.67%,,,,,,,,,
Marshfield (CDP),97.83%,0.52%,0.14%,0.45%,0.02%,0.21%,0.82%,0.68%,$60,037.00,$74,531.00,$50,632.00,$33,802.00,$25,656.00,4.10%,6.50%,5.80%,7.40%
Marshfield Hills,98.27%,0.34%,0.25%,0.34%,,0.21%,0.59%,0.59%,$162,197.00,$189,564.00,$98,635.00,$82,225.00,$132,484.00,0.00%,0.30%,6.50%,14.00%
Mashpee,84.13%,4.28%,6.08%,1.22%,0.06%,1.27%,2.94%,2.24%,,,,,,,,,
Mashpee Neck,92.90%,2.66%,0.89%,0.89%,0.11%,0.44%,2.11%,0.55%,,,,,,,,,
Mattapoisett,96.10%,1.30%,0.10%,0.60%,0.00%,1.20%,1.20%,,,,,,,,,,
Mattapoisett Center,96.12%,0.98%,0.07%,0.91%,,1.21%,0.71%,0.78%,,,,,,,,,
Maynard,92.70%,1.70%,0.10%,2.70%,,1.30%,1.50%,3.70%,$77,622.00,$104,398.00,,,,3.80%,5.60%,7.40%,6.00%
Medfield (CDP),96.21%,0.52%,0.07%,2.22%,,0.24%,0.73%,0.85%,$83,358.00,$96,945.00,$62,210.00,$46,406.00,$36,647.00,1.50%,2.40%,2.30%,2.30%
Medford,78.60%,8.80%,0.20%,6.90%,0.01%,2.80%,2.70%,4.40%,,,,,,,,,
Medway,97.50%,0.57%,0.10%,0.96%,0.02%,0.16%,0.67%,0.84%,,,,,,,,,
Melrose,91.10%,2.40%,0.10%,3.80%,,0.90%,1.70%,2.50%,,,,,,,,,
Mendon,97.99%,0.40%,,0.59%,,0.15%,0.87%,0.96%,,,,,,,,,
Merrimac,98.27%,0.39%,0.11%,0.28%,,0.29%,0.65%,0.90%,,,,,,,,,
Methuen,89.35%,1.35%,0.22%,2.38%,0.01%,4.87%,1.82%,9.64%,,,,,,,,,
Middleborough,96.10%,1.30%,0.30%,0.40%,0.10%,0.60%,1.30%,0.80%,,,,,,,,,
Middleborough Center,95.01%,1.71%,0.30%,0.64%,0.03%,0.65%,1.66%,1.01%,$45,906.00,$52,340.00,$38,422.00,$28,194.00,$18,920.00,6.30%,8.60%,11.40%,6.80%
Middlefield,98.89%,0.18%,0.18%,,,0.18%,0.55%,0.55%,,,,,,,,,
Middlesex County,80.00%,4.70%,0.20%,9.30%,,3.30%,2.50%,6.50%,,,,,,,,,
Middleton,95.43%,1.65%,0.05%,1.11%,0.05%,0.27%,1.43%,6.26%,,,,,,,,,
Milford,92.95%,1.35%,0.11%,1.76%,0.06%,1.99%,1.77%,4.36%,,,,,,,,,
Milford (CDP),92.53%,1.42%,0.12%,1.82%,0.07%,2.13%,1.91%,4.66%,$47,090.00,$58,321.00,$41,250.00,$30,541.00,$22,813.00,6.10%,7.60%,9.60%,10.60%
Millbury,97.19%,0.53%,0.15%,1.02%,0.03%,0.23%,0.84%,1.02%,,,,,,,,,
Millers Falls,96.18%,0.28%,1.03%,0.37%,,0.09%,2.05%,1.12%,$37,337.00,$41,711.00,$34,886.00,$24,375.00,$17,768.00,1.80%,4.80%,4.80%,9.00%
Millis,96.94%,0.71%,0.14%,1.14%,,0.24%,0.84%,0.94%,,,,,,,,,
Millis-Clicquot,96.83%,1.02%,0.09%,1.17%,,0.13%,0.76%,0.89%,$57,909.00,$64,750.00,$51,238.00,$37,750.00,$27,483.00,4.60%,4.00%,5.40%,0.00%
Millville,97.72%,0.77%,0.04%,0.18%,,0.26%,1.03%,0.62%,,,,,,,,,
Milton,77.40%,14.30%,0.10%,4.10%,0.00%,0.60%,2.50%,3.30%,,,,,,,,,
Monomoscoy Island,97.37%,,1.32%,1.32%,,,,,$37,589.00,$34,444.00,$36,250.00,$18,333.00,$19,927.00,,,,
Monroe,100.00%,,,,,,,,,,,,,,,,
Monson,97.69%,0.67%,0.23%,0.31%,0.01%,0.23%,0.86%,1.17%,,,,,,,,,
Monson Center,96.43%,1.14%,0.19%,0.57%,0.05%,0.38%,1.24%,1.33%,$40,000.00,$45,795.00,$34,375.00,$25,244.00,$18,526.00,4.40%,4.20%,1.40%,3.30%
Montague,95.13%,0.84%,0.39%,0.93%,0.11%,0.68%,1.92%,2.56%,,,,,,,,,
Monterey,96.90%,0.54%,0.21%,0.32%,0.21%,0.75%,1.07%,1.50%,,,,,,,,,
Montgomery,98.01%,,0.31%,0.31%,,0.31%,1.07%,0.76%,,,,,,,,,
Monument Beach,96.47%,0.86%,0.12%,0.66%,,0.74%,1.15%,0.94%,$148,564.00,$191,774.00,$98,433.00,$80,650.00,$103,231.00,0.10%,0.40%,0.08%,0.09%
Mount Washington,100.00%,,,,,,,,,,,,,,,,
Nahant,97.11%,0.39%,0.08%,1.07%,0.06%,0.47%,0.83%,1.07%,$64,052.00,$76,926.00,$52,045.00,$46,522.00,$41,807.00,1.40%,2.60%,2.70%,2.00%
Nantucket,87.60%,6.80%,0.10%,1.20%,,2.60%,1.80%,9.40%,,,,,,,,,
Nantucket (CDP),82.61%,12.32%,0.03%,0.91%,,1.57%,2.56%,1.75%,$52,893.00,$64,239.00,$40,410.00,$29,031.00,$29,497.00,1.90%,9.10%,2.20%,5.40%
Natick,85.40%,2.00%,0.10%,7.20%,0.00%,0.50%,2.00%,,,,,,,,,,
Needham,92.30%,1.40%,0.20%,7.10%,,0.60%,1.60%,2.10%,,,,,,,,,
New Ashford,95.55%,0.81%,,3.24%,,,0.40%,,,,,,,,,,
New Bedford,72.17%,9.69%,0.10%,1.00%,0.05%,13.51%,3.92%,16.11%,,,,,,,,,
New Braintree,99.14%,0.22%,0.11%,0.11%,,,0.43%,0.32%,,,,,,,,,
New Marlborough,97.52%,1.67%,,0.13%,,0.13%,0.54%,1.14%,,,,,,,,,
New Salem,95.48%,0.75%,0.54%,0.75%,,0.32%,2.15%,0.86%,,,,,,,,,
New Seabury,95.83%,0.37%,0.12%,0.61%,,0.86%,2.21%,1.10%,$85,594.00,$94,028.00,$60,441.00,$29,333.00,$59,130.00,1.80%,1.50%,0.00%,3.80%
Newbury,98.32%,0.37%,0.13%,0.45%,0.01%,0.28%,0.43%,0.91%,,,,,,,,,
Newburyport,90.20%,3.60%,0.10%,0.61%,0.01%,0.16%,1.20%,2.70%,,,,,,,,,
Newton,79.60%,2.50%,0.07%,11.50%,0.03%,0.71%,1.46%,4.10%,,,,,,,,,
Norfolk,88.97%,4.90%,0.31%,1.18%,0.02%,3.43%,1.20%,4.88%,,,,,,,,,
Norfolk County,82.30%,5.70%,0.20%,8.60%,,1.30%,1.90%,3.30%,,,,,,,,,
North Adams,93.00%,1.80%,0.40%,1.10%,0.20%,0.80%,2.80%,2.40%,,,,,,,,,
North Amherst,75.76%,4.44%,0.25%,13.09%,0.22%,3.11%,3.14%,6.43%,$28,063.00,$43,423.00,$37,202.00,$29,079.00,$14,336.00,12.80%,33.60%,19.50%,2.20%
North Andover,93.67%,0.72%,0.05%,3.96%,0.01%,0.74%,0.85%,1.99%,,,,,,,,,
North Attleborough,95.97%,0.92%,0.12%,1.71%,0.02%,0.45%,0.81%,1.32%,,,,,,,,,
North Brookfield,97.65%,0.34%,0.26%,0.21%,,0.36%,1.17%,1.09%,,,,,,,,,
North Brookfield (CDP),97.59%,0.36%,0.28%,,,0.51%,1.27%,1.35%,$39,267.00,$46,563.00,$39,911.00,$29,850.00,$18,841.00,7.70%,9.30%,14.20%,6.30%
North Eastham,98.12%,0.26%,0.16%,0.42%,0.05%,0.05%,0.94%,0.84%,$34,390.00,$42,794.00,$32,143.00,$38,889.00,$20,797.00,6.90%,8.10%,8.20%,14.40%
North Falmouth,95.95%,1.04%,0.15%,0.83%,,0.92%,1.10%,0.92%,$57,841.00,$74,458.00,$53,125.00,$35,417.00,$31,462.00,2.90%,4.90%,8.30%,2.50%
North Lakeville,96.37%,0.22%,0.18%,1.07%,0.04%,0.90%,1.21%,1.03%,$61,176.00,$67,026.00,$51,094.00,$31,813.00,$27,906.00,1.20%,2.20%,3.00%,4.00%
North Pembroke,97.12%,0.45%,,1.00%,,0.41%,1.03%,0.72%,$73,542.00,$78,635.00,$55,938.00,$38,190.00,$33,093.00,4.90%,5.70%,6.50%,12.70%
North Plymouth,93.46%,1.95%,0.28%,0.58%,,1.03%,2.70%,1.00%,$35,561.00,$38,380.00,$35,372.00,$26,920.00,$17,508.00,11.20%,14.40%,19.30%,15.50%
North Reading,97.53%,0.40%,0.04%,1.30%,0.01%,0.24%,0.48%,0.74%,,,,,,,,,
North Scituate,97.81%,0.22%,0.04%,0.41%,0.04%,0.93%,0.55%,0.95%,$79,556.00,$92,074.00,$65,385.00,$43,839.00,$32,098.00,1.40%,2.30%,0.80%,6.80%
North Seekonk,97.61%,0.42%,0.15%,1.23%,,0.35%,0.23%,1.04%,$42,176.00,$52,643.00,$39,438.00,$27,875.00,$20,303.00,2.30%,1.90%,0.00%,1.60%
North Westport,97.66%,0.24%,0.09%,0.64%,0.02%,0.40%,0.95%,0.75%,$45,433.00,$55,881.00,$40,532.00,$30,125.00,$20,790.00,3.40%,6.70%,8.50%,9.00%
Northampton,87.70%,2.70%,0.30%,4.10%,0.10%,2.40%,2.70%,6.80%,,,,,,,,,
Northborough,93.01%,0.65%,0.08%,5.05%,0.07%,0.36%,0.78%,1.28%,,,,,,,,,
Northborough (CDP),93.62%,0.69%,0.11%,4.20%,0.08%,0.32%,0.97%,1.21%,$67,292.00,$81,414.00,$54,333.00,$38,576.00,$28,600.00,1.60%,3.10%,1.80%,13.10%
Northbridge,96.00%,0.70%,0.10%,1.00%,0.00%,0.70%,1.50%,3.10%,,,,,,,,,
Northfield,98.51%,0.10%,0.20%,0.20%,,0.03%,0.95%,0.58%,,,,,,,,,
Northfield (CDP),97.90%,0.09%,0.53%,0.26%,,,1.23%,0.79%,$45,580.00,$56,146.00,$41,603.00,$27,308.00,$23,920.00,1.00%,3.90%,3.00%,9.40%
Northwest Harwich,94.13%,1.15%,0.22%,0.07%,0.10%,2.87%,1.45%,1.27%,$41,250.00,$53,533.00,$41,170.00,$29,321.00,$22,602.00,1.50%,3.90%,1.80%,7.70%
Norton,92.15%,1.16%,0.13%,1.00%,0.01%,4.47%,1.08%,1.14%,,,,,,,,,
Norton Center,65.66%,1.57%,0.27%,1.45%,,29.37%,1.68%,3.48%,$66,176.00,$84,624.00,$44,609.00,$36,736.00,$16,533.00,0.00%,8.80%,0.00%,0.00%
Norwell,97.58%,0.37%,0.05%,1.16%,,0.16%,0.68%,0.63%,,,,,,,,,
Norwood,90.51%,2.31%,0.09%,5.06%,0.01%,0.77%,1.25%,1.65%,$58,421.00,$70,164.00,$50,597.00,$34,312.00,$27,720.00,2.70%,4.40%,6.50%,3.90%
Oak Bluffs,86.72%,4.31%,1.51%,0.67%,,2.50%,4.28%,1.19%,,,,,,,,,
Oakham,98.33%,0.36%,0.12%,0.60%,,0.24%,0.36%,1.02%,,,,,,,,,
Ocean Bluff-Brant Rock,98.35%,0.29%,0.08%,0.29%,,0.29%,0.69%,0.53%,$56,840.00,$60,552.00,$42,388.00,$35,902.00,$24,292.00,3.10%,5.30%,7.60%,3.40%
Ocean Grove,97.28%,0.43%,0.10%,0.27%,,0.23%,1.69%,0.37%,$43,527.00,$50,777.00,$36,919.00,$22,875.00,$20,007.00,6.60%,7.70%,9.60%,14.90%
Onset,7.74%,74.46%,0.23%,1.24%,,13.08%,3.25%,1.78%,$31,250.00,$36,739.00,$37,629.00,$26,903.00,$18,088.00,13.00%,23.60%,43.80%,14.00%
Orange,96.29%,1.06%,0.23%,0.48%,0.01%,0.59%,1.34%,1.65%,,,,,,,,,
Orange (CDP),95.87%,1.22%,0.25%,0.61%,0.03%,0.58%,1.44%,1.77%,$35,826.00,$43,704.00,$33,769.00,$22,279.00,$15,550.00,5.30%,9.10%,7.90%,15.90%
Orleans,97.57%,0.58%,0.17%,0.54%,,0.14%,0.99%,0.77%,,,,,,,,,
Orleans (CDP),97.09%,0.52%,0.17%,0.64%,,0.35%,1.22%,1.92%,$30,238.00,$44,130.00,$39,792.00,$25,921.00,$23,033.00,1.80%,6.90%,0.00%,5.70%
Otis,96.56%,0.59%,0.29%,0.88%,,0.37%,1.32%,0.29%,,,,,,,,,
Oxford,96.62%,0.87%,0.25%,0.84%,0.02%,0.32%,1.07%,1.97%,,,,,,,,,
Oxford (CDP),97.36%,0.51%,0.29%,0.46%,,0.20%,1.19%,0.64%,$50,866.00,$58,030.00,$42,306.00,$28,611.00,$21,149.00,5.80%,9.80%,17.70%,5.50%
Palmer,96.82%,0.75%,0.23%,0.56%,,0.44%,1.19%,1.23%,,,,,,,,,
Paxton,96.69%,0.68%,0.09%,1.07%,,0.57%,0.89%,1.55%,,,,,,,,,
Peabody,90.40%,2.40%,,1.90%,,3.80%,6.30%,1.60%,,,,,,,,,
Pelham,95.08%,1.43%,,1.07%,,0.64%,1.78%,1.85%,,,,,,,,,
Pembroke,97.89%,0.50%,0.07%,0.51%,0.01%,0.28%,0.74%,0.53%,,,,,,,,,
Pepperell,95.61%,0.56%,0.04%,1.07%,,2.71%,0.00%,2.25%,,,,,,,,,
Pepperell (CDP),96.31%,0.68%,0.20%,1.23%,,0.28%,1.31%,0.72%,$45,984.00,$52,165.00,$39,375.00,$32,634.00,$21,069.00,5.10%,8.60%,6.70%,9.60%
Peru,97.93%,0.24%,0.12%,0.49%,,0.12%,1.10%,0.12%,,,,,,,,,
Petersham,97.20%,0.68%,0.76%,0.25%,,0.08%,1.02%,1.10%,$47,833.00,$58,125.00,$39,265.00,$26,354.00,$24,222.00,2.00%,5.80%,4.20%,1.50%
Phillipston,97.72%,0.37%,0.12%,0.37%,,,1.42%,0.43%,,,,,,,,,
Pinehurst,94.93%,1.02%,0.16%,2.39%,0.03%,0.19%,1.28%,1.30%,$73,713.00,$76,369.00,$49,811.00,$37,983.00,$25,334.00,3.90%,3.80%,3.90%,3.80%
Pittsfield,86.90%,4.99%,0.14%,1.16%,0.04%,0.77%,1.64%,5.04%,,,,,,,,,
Plainfield,98.13%,,0.34%,0.17%,,,1.36%,0.68%,,,,,,,,,
Plainville,96.77%,0.70%,,1.63%,,0.25%,0.65%,0.95%,,,,,,,,,
Plymouth,93.80%,2.00%,0.30%,0.90%,0.10%,0.90%,1.48%,1.80%,,,,,,,,,
Plymouth Center,93.81%,2.30%,0.31%,0.94%,0.03%,0.89%,1.72%,1.20%,$39,759.00,$52,429.00,$40,404.00,$30,431.00,$21,693.00,6.60%,7.40%,11.30%,3.90%
Plymouth County,85.50%,7.20%,0.20%,1.20%,,3.20%,2.60%,3.20%,,,,,,,,,
Plympton,96.85%,0.99%,0.61%,0.34%,,0.53%,0.68%,0.42%,,,,,,,,,
Pocasset,96.26%,1.27%,0.52%,0.26%,,0.52%,1.16%,0.37%,$97,523.00,$162,596.00,$103,889.00,$71,971.00,$106,866.00,0.70%,1.80%,0.90%,0.20%
Popponesset,100.00%,,,,,,,,$48,250.00,$49,350.00,$51,023.00,$23,661.00,$27,805.00,0.00%,0.00%,,
Popponesset Island,100.00%,,,,,,,,$65,179.00,,,,$48,815.00,,0.00%,,
Princeton,96.75%,0.30%,0.33%,0.95%,,0.63%,1.04%,1.46%,,,,,,,,,
Provincetown,91.50%,4.00%,0.60%,0.60%,,1.60%,1.70%,4.80%,,,,,,,,,
Provincetown (CDP),87.53%,7.49%,0.31%,0.50%,,1.13%,3.04%,2.10%,$32,731.00,$39,786.00,$30,655.00,$25,595.00,$26,878.00,8.70%,15.50%,21.60%,17.30%
Quincy,65.50%,4.60%,0.16%,24.00%,0.02%,0.85%,1.76%,4.60%,,,,,,,,,
Randolph,41.60%,38.30%,0.30%,12.40%,0.00%,3.70%,3.50%,6.40%,$55,255.00,$61,942.00,$41,719.00,$32,500.00,$23,413.00,5.50%,6.50%,4.50%,5.00%
Randolph,41.60%,38.30%,0.30%,12.40%,0.00%,3.70%,3.50%,6.40%,,,,,,,,,
Raynham,96.54%,1.04%,0.06%,0.69%,0.03%,0.71%,0.94%,0.83%,,,,,,,,,
Raynham Center,96.20%,1.05%,0.03%,1.13%,0.08%,0.61%,0.91%,0.74%,$64,464.00,$66,531.00,$43,718.00,$32,772.00,$24,131.00,3.70%,2.30%,2.00%,4.90%
Reading,92.40%,0.80%,0.10%,4.20%,0.03%,0.21%,0.65%,1.50%,,,,,,,,,
Reading,92.40%,0.80%,0.10%,4.20%,0.03%,0.21%,0.65%,1.50%,,,,,,,,,
Rehoboth,97.70%,0.35%,0.30%,0.52%,0.01%,0.26%,0.86%,0.50%,,,,,,,,,
Revere,62.40%,4.90%,0.40%,5.60%,0.03%,11.70%,3.30%,24.40%,,,,,,,,,
Richmond,97.63%,1.00%,0.50%,0.44%,0.06%,0.37%,0.00%,0.56%,,,,,,,,,
Rochester,96.64%,0.63%,0.20%,0.35%,,1.16%,1.03%,0.37%,,,,,,,,,
Rockland,90.81%,5.71%,0.15%,1.08%,,0.79%,1.47%,1.02%,,,,,,,,,
Rockport,97.73%,0.27%,0.22%,0.45%,0.30%,0.51%,0.79%,1.07%,,,,,,,,,
Rockport (CDP),97.91%,0.25%,0.14%,0.46%,0.02%,0.37%,0.84%,0.98%,$47,360.00,$67,621.00,$48,088.00,$38,485.00,$29,506.00,4.10%,2.90%,2.50%,4.30%
Rowe,99.72%,,,,,0.28%,0.00%,1.14%,,,,,,,,,
Rowley,98.38%,0.24%,0.25%,0.45%,,0.27%,0.40%,0.85%,,,,,,,,,
Rowley (CDP),98.33%,0.35%,0.49%,0.56%,,,0.28%,0.49%,$47,031.00,$58,500.00,$42,470.00,$28,487.00,$21,343.00,2.20%,4.40%,0.00%,19.00%
Royalston,98.64%,0.08%,,0.56%,,0.16%,0.56%,1.12%,,,,,,,,,
Russell,97.70%,0.70%,0.20%,0.30%,,0.10%,1.00%,2.60%,,,,,,,,,
Russell (CDP),,,,,,,,,,,,,,,,,
Rutland,96.58%,1.04%,0.14%,0.46%,,0.44%,1.34%,1.32%,,,,,,,,,
Rutland (CDP),97.14%,1.32%,,0.09%,,0.41%,1.04%,1.27%,$62,287.00,$66,950.00,$44,559.00,$35,319.00,$21,792.00,0.90%,3.80%,1.40%,7.90%
Sagamore,98.93%,0.61%,0.45%,0.76%,0.03%,0.10%,0.12%,0.66%,$103,385.00,$158,611.00,$84,688.00,$66,639.00,$22,650.00,0.03%,0.10%,0.10%,0.30%
Salem,81.50%,4.90%,0.22%,2.60%,0.05%,6.74%,2.47%,15.60%,,,,,,,,,
Salisbury,97.55%,0.41%,0.31%,0.34%,0.09%,0.26%,1.05%,1.18%,,,,,,,,,
Salisbury (CDP),97.23%,0.54%,0.27%,0.49%,0.16%,0.33%,0.98%,1.47%,$41,961.00,$51,806.00,$41,910.00,$32,373.00,$21,345.00,8.00%,4.70%,13.80%,4.60%
Sandisfield,96.84%,0.49%,0.12%,0.12%,,0.36%,2.06%,0.97%,,,,,,,,,
Sandwich,97.75%,0.38%,0.31%,0.54%,0.01%,0.32%,0.69%,0.80%,,,,,,,,,
Sandwich (CDP),98.04%,0.23%,0.13%,0.49%,0.03%,0.46%,0.62%,0.65%,$56,184.00,$63,789.00,$40,417.00,$32,963.00,$30,817.00,2.30%,4.50%,5.80%,2.60%
Saugus,91.90%,2.10%,0.10%,2.70%,0.00%,1.60%,1.60%,4.00%,,,,,,,,,
Savoy,97.45%,0.71%,0.43%,,,0.28%,1.13%,0.71%,,,,,,,,,
Scituate,96.10%,0.80%,0.10%,0.80%,0.01%,1.40%,0.90%,0.83%,,,,,,,,,
Scituate (CDP),95.76%,1.03%,0.06%,0.53%,,1.32%,1.30%,0.77%,$62,392.00,$75,848.00,$53,125.00,$38,910.00,$29,845.00,2.00%,3.80%,2.40%,5.50%
Seabrook,99.58%,0.21%,,,,0.21%,,,$70,536.00,$78,540.00,$50,208.00,$43,646.00,$29,097.00,0.00%,1.50%,0.00%,0.00%
Seconsett Island,100.00%,,,,,,,,,,,,,,,,
Seekonk,96.57%,0.52%,0.28%,0.95%,0.00%,0.51%,1.18%,0.74%,,,,,,,,,
Sharon (CDP),92.41%,2.46%,0.24%,3.10%,0.02%,0.49%,1.30%,1.13%,$74,648.00,$84,747.00,$66,289.00,$45,800.00,$34,453.00,2.50%,2.90%,4.00%,4.70%
Sheffield,95.80%,1.10%,0.20%,0.30%,,1.30%,1.30%,3.20%,,,,,,,,,
Shelburne,97.28%,0.49%,0.44%,0.24%,0.05%,0.39%,1.12%,0.58%,,,,,,,,,
Shelburne Falls,96.92%,0.26%,0.67%,0.67%,0.05%,0.46%,0.97%,0.82%,$36,333.00,$41,250.00,$32,403.00,$26,534.00,$18,367.00,7.40%,10.10%,9.50%,9.60%
Sherborn,96.50%,0.38%,0.05%,2.40%,,0.26%,0.40%,1.12%,,,,,,,,,
Shirley,83.90%,6.72%,0.47%,2.10%,0.08%,5.12%,1.62%,6.86%,,,,,,,,,
Shirley (CDP),92.15%,3.99%,0.07%,1.82%,,0.42%,1.54%,2.03%,$40,956.00,$56,950.00,$40,742.00,$32,143.00,$22,256.00,5.40%,6.20%,4.50%,0.00%
Shutesbury,93.70%,1.05%,0.55%,1.27%,,0.44%,2.98%,2.15%,,,,,,,,,
Siasconset,,,,,,,,,,,,,,,,,
Smith Mills,95.62%,0.27%,0.27%,1.06%,0.05%,1.31%,1.42%,1.33%,$41,272.00,$50,558.00,$40,558.00,$25,788.00,$20,820.00,6.60%,6.40%,7.90%,3.30%
Somerset,98.22%,0.16%,0.12%,0.53%,0.02%,0.15%,0.79%,0.49%,$51,770.00,$60,067.00,$42,036.00,$29,851.00,$22,420.00,3.20%,4.00%,1.80%,8.70%
Somerville,69.10%,6.80%,0.30%,8.70%,0.06%,4.96%,3.60%,0.00%,,,,,,,,,
South Amherst,71.66%,7.01%,0.22%,10.82%,0.12%,5.40%,4.78%,9.82%,,,,,,,,,
South Ashburnham,96.84%,0.79%,,0.30%,,0.39%,1.68%,2.76%,$50,121.00,$52,258.00,$35,139.00,$31,250.00,$18,324.00,8.30%,10.60%,10.90%,27.40%
