Type,State,Subdivision,1790pop,1800pop,1810pop,1820pop,1830pop,1840pop,1850pop,1860pop,1870pop,1880pop,1890pop,1900pop,1910pop,1920pop,1930pop,1940pop,1950pop,1960pop,1970pop,1980pop,1990pop,2000pop,2010pop
County,New York,Tompkins,,,,20681,36545,37948,38746,31409,33178,34445,32923,33830,33647,35285,41490,42340,59122,66164,76879,87085,94097,96501,101564
County,New York,Ulster,29370,24855,26576,30934,36550,45822,59384,76381,84075,85838,87062,88422,91769,74979,80155,87017,92621,118804,141241,158158,165304,177749,182493
County,New York,Warren,,,,9453,11796,13422,17199,21434,22592,25179,27866,29943,32223,31673,34174,36035,39205,44002,49402,54854,59209,63303,65707
County,New York,Washington,14077,35574,44289,38831,42635,41080,44750,45904,49568,47871,45690,45624,47778,44888,46482,46726,47144,48476,52725,54795,59330,61042,63216
County,New York,Wayne,,,,,33643,42057,44953,47762,47710,51700,49729,48660,50179,48827,49995,52747,57323,67989,79404,84581,89123,93765,93772
County,New York,Westchester,23978,27428,30272,32638,36456,48686,58263,99497,131348,108988,146772,184257,283055,344436,520947,573558,625816,808891,894104,866599,874866,923459,949113
County,New York,Wyoming,,,,,,,31981,31968,29164,30907,31193,30413,31880,30314,28764,31394,32822,34793,37688,39895,42507,43424,42155
County,New York,Yates,,,,,19009,20444,20590,20290,19595,21087,21001,20318,18642,16641,16848,16381,17615,18614,19831,21459,22810,24621,25348
State,North Carolina,–,395005,478103,555500,638829,737987,753419,869039,992622,1071361,1399750,1617947,1893810,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9656180
County,North Carolina,Alamance,,,,,,,11444,11852,11874,14613,18271,25665,28712,32718,42140,57427,71220,85674,96362,99319,108213,130800,153291
County,North Carolina,Alexander,,,,,,,5220,6022,6868,8355,9430,10960,11592,12212,12922,13454,14554,15625,19466,24999,27544,33603,37087
County,North Carolina,Alleghany,,,,,,,,3590,3691,5486,6523,7759,7745,7403,7186,8341,8155,7734,8134,9587,9590,10677,11052
County,North Carolina,Anson,5235,8146,8831,12534,14095,15077,13489,13664,12428,17994,20027,21870,25465,28334,29349,28443,26781,24962,23488,25649,23474,25275,26143
County,North Carolina,Ashe,,2783,3694,4335,6987,7467,8777,7956,9573,14437,15628,19581,19074,21001,21019,22664,21878,19768,19571,22325,22209,24384,27143
County,North Carolina,Avery,,,,,,,,,,,,,,10335,11803,13561,13352,12009,12655,14409,14867,17167,17572
County,North Carolina,Beaufort,5405,6242,7203,9850,10969,12225,13816,14766,13011,17474,21072,26404,30877,31024,35026,36431,37134,36014,35980,40355,42283,44958,47691
County,North Carolina,Bertie,12462,11249,11218,10805,12262,12175,12851,14310,12950,16399,19176,20538,23039,23993,25844,26201,26439,24350,20528,21024,20388,19773,20874
County,North Carolina,Bladen,5100,7028,5671,7276,7811,8022,9767,11995,12831,16158,16763,17677,18006,19761,22389,27156,29703,28881,26477,30491,28663,32278,35190
County,North Carolina,Brunswick,3070,4110,4778,5480,6516,5265,7272,8406,7754,9389,10900,12657,14432,14876,15818,17125,19238,20278,24223,35777,50985,73143,110097
County,North Carolina,Buncombe,,5812,9277,10542,16281,10084,13425,12654,15412,21909,35266,44288,49798,64148,97937,108755,124403,130074,145056,160934,174821,206330,241419
County,North Carolina,Burke,8106,9929,11007,13411,17888,15799,7772,9237,9777,12809,14939,17699,21408,23297,29410,38615,45518,52701,60364,72504,75744,89148,90904
County,North Carolina,Cabarrus,,5094,6158,7248,8810,9259,9747,10546,11954,14964,18142,22456,26240,33730,44331,59393,63783,68137,74629,85895,98935,131063,181468
County,North Carolina,Caldwell,,,,,,,6317,7497,8476,10291,12298,15694,20579,19984,28016,35795,43352,49552,56699,67746,70709,77415,82395
County,North Carolina,Camden,4022,4191,5347,6347,6733,5663,6049,5343,5361,6274,5667,5474,5640,5382,5461,5440,5223,5598,5453,5829,5904,6885,10014
County,North Carolina,Carteret,3734,4399,4823,5609,6597,6591,6939,8186,9010,9784,10825,11811,13776,15384,16900,18284,23059,30940,31603,41092,52556,59383,67373
County,North Carolina,Caswell,10096,8701,11757,13253,15185,14693,15269,16215,16081,17825,16028,15028,14858,15759,18214,20032,20870,19912,19055,20705,20693,23501,23403
County,North Carolina,Catawba,,,,,,,8862,10729,10984,14946,18689,22133,27918,33839,43991,51653,61794,73191,90873,105208,118412,141685,154181
County,North Carolina,Chatham,9161,11861,12977,12661,15405,16242,18449,19101,19723,23453,25413,23912,22635,23814,24177,24726,25392,26785,29554,33415,38759,49329,64195
County,North Carolina,Cherokee,,,,,,3427,6838,9166,8080,8182,9976,11860,14136,15242,16151,18813,18294,16335,16330,18933,20170,24298,27194
County,North Carolina,Chowan,4988,5132,5297,6464,6697,6690,6721,6842,6450,7900,9167,10258,11303,10649,11282,11572,12540,11729,10764,12558,13506,14526,14831
County,North Carolina,Clay,,,,,,,,,2461,3316,4197,4532,3909,4646,5434,6405,6006,5526,5180,6619,7155,8775,10563
County,North Carolina,Cleveland,,,,,,,10396,12348,12696,16571,20394,25078,29494,34272,51914,58055,64357,66048,72556,83435,84714,96287,97489
County,North Carolina,Columbus,,,3022,3912,4141,3941,5909,8597,8474,14439,17856,21274,28020,30124,37720,45663,50621,48973,46937,51037,49587,54749,57712
County,North Carolina,Craven,10474,10245,12676,13394,13734,13438,14709,16268,20516,19729,20533,24160,25594,29048,30665,31298,48823,58773,62554,71043,81613,91436,104786
County,North Carolina,Cumberland,8730,9264,9382,14446,14834,15284,20610,16369,17035,23836,27321,29249,35284,35064,45219,59320,96006,148418,212042,247160,274566,302963,324885
County,North Carolina,Currituck,5220,6928,6985,8098,7655,6703,7236,7415,5131,6476,6747,6529,7693,7268,6710,6709,6201,6601,6976,11089,13736,18190,23955
County,North Carolina,Dare,,,,,,,,,2778,3243,3768,4757,4841,5115,5202,6041,5405,5935,6995,13377,22746,29967,34307
County,North Carolina,Davidson,,,,,13389,14606,15320,16601,17414,20333,21702,23403,29404,35201,47865,53377,62244,79493,95627,113162,126677,147246,162695
County,North Carolina,Davie,,,,,,7574,7866,8494,9620,11096,11621,12115,13394,13578,14386,14909,15420,16728,18855,24599,27859,34835,41552
County,North Carolina,Dobbs,6994,,,,,,,,,,,,,,,,,,,,,,
County,North Carolina,Duplin,5663,6796,7863,9744,11291,11182,13514,15784,15542,18773,18690,22405,25442,30223,35103,39739,41074,40270,38015,40952,39995,49063,59542
County,North Carolina,Durham,,,,,,,,,,,18041,26233,35276,42219,67196,80244,101639,111995,132681,152785,181835,223314,273392
County,North Carolina,Edgecombe,10265,10421,12423,13276,14935,15708,17189,17376,22970,26181,24113,26591,32010,37995,47894,49162,51634,54226,52341,55988,56558,55606,56041
County,North Carolina,Forsyth,,,,,,,11168,12692,13050,18070,28434,35261,47311,77269,111681,126475,146135,189428,214348,243683,265878,306067,354952
County,North Carolina,Franklin,7502,8529,10166,9741,10665,10980,11713,14107,14134,20829,21090,25116,24692,26667,29456,30382,31341,28755,26820,30055,36414,47260,61140
County,North Carolina,Gaston,,,,,,,8073,9307,12602,14254,17764,27903,37063,51242,78093,87531,110836,127074,148415,162568,175093,190365,207031
County,North Carolina,Gates,5386,5881,5965,6837,7866,8161,8426,8443,7724,8897,10252,10413,10455,10537,10551,10060,9555,9254,8524,8875,9305,10516,12043
County,North Carolina,Graham,,,,,,,,,,2335,3313,4343,4749,4872,5841,6418,6886,6432,6562,7217,7196,7993,8802
County,North Carolina,Granville,10982,14015,15576,18222,19355,18817,21249,23396,24831,31286,24484,23263,25102,26846,28723,29344,31793,33110,32762,34043,38345,48498,59976
County,North Carolina,Greene,,4218,4867,4533,6413,6595,6619,7925,8687,10037,10039,12038,13083,16212,18656,18548,18024,16741,14967,16117,15384,18974,21556
County,North Carolina,Guilford,7300,9442,11420,14511,18737,19175,19754,20056,21736,23585,28052,39074,60497,79272,133010,153916,191057,246520,288590,317154,347420,421048,495279
County,North Carolina,Halifax,14310,13945,15620,17237,17739,16865,16589,19442,20408,30300,28908,30793,37646,43766,53246,56512,58377,58956,53884,55286,55516,57370,54173
County,North Carolina,Harnett,,,,,,,,8039,8895,10862,13700,15988,22174,28313,37911,44239,47605,48236,49667,59570,67822,91025,119256
County,North Carolina,Haywood,,,2780,4073,4578,4975,7074,5801,7921,10271,13346,16222,21020,23496,28273,34804,37631,39711,41710,46495,46942,54033,58855
County,North Carolina,Henderson,,,,,,5129,6853,10448,7706,10281,12589,14104,16262,18248,23404,26049,30921,36163,42804,58580,69285,89173,107927
County,North Carolina,Hertford,5949,6701,6052,7712,8537,7484,8142,9504,9273,11843,13851,14294,15436,16294,17542,19352,21453,22718,23529,23368,22523,22601,24433
County,North Carolina,Hoke,,,,,,,,,,,,,,11722,14244,14937,15756,16356,16436,20383,22856,33646,49272
County,North Carolina,Hyde,4204,4829,6029,4967,6184,6458,7636,7732,6445,7765,8903,9278,8840,8386,8550,7860,6479,5765,5571,5873,5411,5826,5822
County,North Carolina,Iredell,5430,8856,10972,13071,14918,15685,14719,15347,16931,22675,25462,29064,34315,37956,46693,50424,56303,62526,72197,82538,92931,122660,161202
County,North Carolina,Jackson,,,,,,,,5515,6683,7343,9512,11853,12998,13396,17519,19366,19261,17780,21593,25811,26846,33121,40285
County,North Carolina,Johnston,5691,6301,6867,9607,10938,10599,13726,15656,16897,23461,27239,32250,41401,48998,57621,63798,65906,62936,61737,70599,81306,121965,172595
County,North Carolina,Jones,4796,4339,4968,5216,5608,4945,5038,5730,5002,7491,7403,8226,8721,9912,10428,10926,11004,11005,9779,9705,9414,10381,10020
County,North Carolina,Lee,,,,,,,,,,,,,11376,13400,16996,18743,23522,26561,30467,36718,41374,49040,58752
County,North Carolina,Lenoir,,4005,5572,6799,7723,7605,7828,10220,10434,15344,14879,18639,22769,29555,35716,41211,45953,55276,55204,59819,57274,59648,59339
County,North Carolina,Lillington,,,,,,,,6286,,,,,,,,,,,,,,,
County,North Carolina,Lincoln,9246,12660,16359,18147,22455,25160,7746,8195,9573,11061,12586,15498,17132,17862,22872,24187,27459,28814,32682,42372,50319,63780,78932
County,North Carolina,Macon,,,,,5333,4869,6389,6004,6615,8064,10102,12104,12191,12887,13672,15880,16174,14935,15788,20178,23499,29811,34074
County,North Carolina,Madison,,,,,,,,5908,8192,12810,17805,20644,20132,20083,20306,22522,20522,17217,16003,16827,16953,19635,20816
County,North Carolina,Martin,6010,5629,5987,6320,8539,7637,8307,10195,9647,13140,15221,15383,17797,20828,23400,26111,27938,27139,24730,25948,25078,25593,24180
County,North Carolina,McDowell,,,,,,,6246,7120,7592,9836,10939,12567,13538,16763,20336,22996,25720,26742,30648,35135,35681,42151,45104
County,North Carolina,Mecklenburg,11360,10439,14272,16895,20073,18273,13914,17374,24299,34175,42673,55268,67031,80695,127971,151826,197052,272111,354656,404270,511433,695454,944373
County,North Carolina,Mitchell,,,,,,,,,4705,9435,12807,15221,17245,11278,13962,15980,15143,13906,13447,14428,14433,15687,15445
County,North Carolina,Montgomery,5039,7677,8430,8693,10919,10780,6872,7649,7487,9374,11239,14197,14967,14607,16218,16280,17260,18408,19267,22469,23346,26822,27667
County,North Carolina,Moore,3870,4767,6367,7128,7745,7988,9342,11427,12040,16821,20479,23622,17010,21388,28215,30969,33129,36733,39048,50505,59013,74769,89352
County,North Carolina,Nash,7390,6975,7268,8185,8490,9047,10657,11687,11077,17731,20707,25478,33727,41061,52782,55608,59919,61002,59122,67153,76677,87420,96116
County,North Carolina,New Hanover,6837,7060,11465,10866,10959,13312,17668,15429,27978,21376,24026,25785,32037,40620,43010,47935,63272,71742,82996,103471,120284,160307,206189
County,North Carolina,Northampton,9992,12353,13082,13242,13391,13369,13335,13372,14749,20032,21242,21150,22323,23184,27161,28299,28432,26811,24009,22584,20798,22086,21893
County,North Carolina,Onslow,5427,5623,6669,7016,7814,7527,8283,8856,7569,9829,10303,11940,14125,14703,15289,17939,42047,82706,103126,112784,149838,150355,179716
County,North Carolina,Orange,12216,16362,20135,23492,23908,24356,17055,16947,17507,23698,14948,14690,15064,17895,21171,23072,34435,42970,57707,77055,93851,118227,135755
County,North Carolina,Pamlico,,,,,,,,,,6323,7146,8045,9966,9060,9299,9706,9993,9850,9467,10398,11372,12934,13197
