,1850,1850,1860,1860,1870,1870,1880,1880,1890,1890,1900,1900,1910,1910,1920,1920,1930,1930,1940,1940,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,2000,2000,2010,2010
,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state
Kern,--,--,--,--,"2,925",0.52%,"5,601",0.65%,"9,808",0.81%,"16,480",1.11%,"37,715",1.59%,"54,843",1.60%,"82,570",1.45%,"135,124",1.96%,"228,309",2.16%,"291,984",1.86%,"329,162",1.65%,"403,089",1.70%,"543,477",1.83%,"661,645",1.95%,"839,631",2.25%
Kings,--,--,--,--,--,--,--,--,--,--,"9,871",0.66%,"16,230",0.68%,"22,031",0.64%,"25,385",0.45%,"35,168",0.51%,"46,768",0.44%,"49,954",0.32%,"64,610",0.32%,"73,738",0.31%,"101,469",0.34%,"129,461",0.38%,"152,982",0.41%
Lake,--,--,--,--,"2,969",0.53%,"6,596",0.76%,"7,101",0.59%,"6,017",0.41%,"5,526",0.23%,"5,402",0.16%,"7,166",0.13%,"8,069",0.12%,"11,481",0.11%,"13,786",0.09%,"19,548",0.10%,"36,366",0.15%,"50,631",0.17%,"58,309",0.17%,"64,665",0.17%
Lassen,--,--,--,--,"1,327",0.24%,"3,340",0.39%,"4,239",0.35%,"4,511",0.30%,"4,802",0.20%,"8,507",0.25%,"12,589",0.22%,"14,479",0.21%,"18,474",0.17%,"13,597",0.09%,"14,960",0.07%,"21,661",0.09%,"27,598",0.09%,"33,828",0.10%,"34,895",0.09%
Los Angeles,"3,530",3.81%,"11,333",2.98%,"15,309",2.73%,"33,381",3.86%,"101,454",8.36%,"170,298",11.47%,"504,131",21.20%,"936,455",27.33%,"2,208,492",38.90%,"2,785,643",40.33%,"4,151,687",39.22%,"6,038,771",38.42%,"7,041,980",35.29%,"7,477,421",31.59%,"8,863,164",29.78%,"9,519,338",28.10%,"9,818,605",26.36%
Madera,--,--,--,--,--,--,--,--,--,--,"6,364",0.43%,"8,368",0.35%,"12,203",0.36%,"17,164",0.30%,"23,314",0.34%,"36,964",0.35%,"40,468",0.26%,"41,519",0.21%,"63,116",0.27%,"88,090",0.30%,"123,109",0.36%,"150,865",0.40%
Marin,323,0.35%,"3,334",0.88%,"6,903",1.23%,"11,324",1.31%,"13,072",1.08%,"15,702",1.06%,"25,114",1.06%,"27,342",0.80%,"41,648",0.73%,"52,907",0.77%,"85,619",0.81%,"146,820",0.93%,"206,038",1.03%,"222,568",0.94%,"230,096",0.77%,"247,289",0.73%,"252,409",0.68%
Mariposa,"4,379",4.73%,"6,243",1.64%,"4,572",0.82%,"4,339",0.50%,"3,787",0.31%,"4,720",0.32%,"3,956",0.17%,"2,775",0.08%,"3,233",0.06%,"5,605",0.08%,"5,145",0.05%,"5,064",0.03%,"6,015",0.03%,"11,108",0.05%,"14,302",0.05%,"17,130",0.05%,"18,251",0.05%
Mendocino,55,0.06%,"3,967",1.04%,"7,545",1.35%,"12,800",1.48%,"17,612",1.45%,"20,465",1.38%,"23,929",1.01%,"24,116",0.70%,"23,505",0.41%,"27,864",0.40%,"40,854",0.39%,"51,059",0.32%,"51,101",0.26%,"66,738",0.28%,"80,345",0.27%,"86,265",0.25%,"87,841",0.24%
Merced,--,--,"1,141",0.30%,"2,807",0.50%,"5,656",0.65%,"8,085",0.67%,"9,215",0.62%,"15,148",0.64%,"24,579",0.72%,"36,748",0.65%,"46,988",0.68%,"69,780",0.66%,"90,446",0.58%,"104,629",0.52%,"134,560",0.57%,"178,403",0.60%,"210,554",0.62%,"255,793",0.69%
