State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,2012,President,Carroll,4947,5601,,,1,5,,,,,,,,,,,23,8,,,,,13,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Cass,2858,4217,,,9,4,,,,,,,,,,,21,5,,,,,15,46,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Cedar,4972,4529,,,1,0,,,,,,,,,,,14,5,,,,,15,72,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Cerro Gordo,13316,10128,,,7,6,,,,,,,,,,,44,12,,,,,48,147,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Cherokee,2634,3662,,,5,3,,,,,,,,,,,12,4,,,,,19,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Chickasaw,3554,2836,,,2,3,,,,,,,,,,,15,4,,,,,15,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Clarke,2189,2124,,,2,2,,,,,,,,,,,18,10,,,,,17,38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Clay,3385,4951,,,5,0,,,,,,,,,,,13,5,,,,,24,58,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Clayton,4806,4164,,,5,3,,,,,,,,,,,19,4,,,,,33,57,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Clinton,15141,9432,,,6,2,,,,,,,,,,,61,16,,,,,55,187,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Crawford,3066,3595,,,3,4,,,,,,,,,,,9,3,,,,,16,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Dallas,16576,20988,,,4,6,,,,,,,,,,,57,24,,,,,49,273,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Davis,1520,2138,,,1,2,,,,,,,,,,,32,4,,,,,10,38,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
