State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,1896,President,Adair,1946,2127,,1,,,,,28,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Adams,1701,1736,,3,,,,,22,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Allamakee,1897,2471,,4,,,,,95,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Appanoose,2940,3046,,8,,,,,19,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Audubon,1417,1705,,0,,,,,16,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Benton,2560,3604,,1,,,,,63,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Black Hawk,2167,4643,,1,,,,,158,,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Boone,2801,3741,,1,,,,,26,,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Bremer,1704,2116,,3,,,,,73,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Buchanan,2233,2865,,1,,,,,50,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Buena Vista,1178,2568,,3,,,,,22,,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Butler,1302,2670,,1,,,,,31,,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Calhoun,1280,2698,,0,,,,,24,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Carroll,2417,2066,,2,,,,,25,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cass,2240,2959,,2,,,,,58,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cedar,2128,2717,,2,,,,,78,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cerro Gordo,1408,3048,,1,,,,,38,,59,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Cherokee,1464,2343,,1,,,,,25,,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Chickasaw,2084,1967,,2,,,,,17,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clarke,1517,1646,,0,,,,,11,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clay,933,1880,,1,,,,,14,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clayton,2910,3302,,3,,,,,81,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Clinton,4590,5584,,68,,,,,83,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Crawford,2396,2189,,6,,,,,28,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Dallas,2316,3326,,3,,,,,36,,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Davis,2367,1652,,0,,,,,8,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Decatur,2362,2268,,1,,,,,35,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Delaware,1778,2799,,1,,,,,23,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Des Moines,3741,4549,,11,,,,,241,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Dickinson,517,1131,,0,,,,,17,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Dubuque,6510,5203,,11,,,,,153,,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Emmet,559,1429,,1,,,,,3,,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Fayette,2822,3522,,3,,,,,38,,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Floyd,1461,2749,,7,,,,,35,,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Franklin,894,2439,,1,,,,,17,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Fremont,2857,1948,,2,,,,,19,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Greene,1629,2606,,3,,,,,26,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Grundy,1206,1894,,1,,,,,21,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Guthrie,2220,2541,,1,,,,,19,,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Hamilton,1300,3074,,3,,,,,46,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Hancock,1007,1975,,3,,,,,12,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Hardin,1568,3575,,0,,,,,38,,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Harrison,3214,2839,,0,,,,,24,,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Henry,2092,2774,,3,,,,,45,,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Howard,1507,1929,,0,,,,,21,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Humboldt,783,2010,,1,,,,,10,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Ida,1421,1475,,2,,,,,15,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Iowa,1956,2391,,2,,,,,79,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Jackson,3279,3713,,1,,,,,40,,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Jasper,3019,2768,,0,,,,,60,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Jefferson,1772,2478,,2,,,,,36,,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Johnson,3170,2910,,6,,,,,90,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Jones,2143,3057,,3,,,,,54,,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Keokuk,2891,3166,,4,,,,,118,,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Kossuth,1861,2930,,2,,,,,50,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Lee,5153,4847,,4,,,,,120,,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Linn,5283,7335,,6,,,,,95,,99,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Louisa,1334,2035,,3,,,,,37,,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Lucas,1621,1859,,0,,,,,28,,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Lyon,1464,1568,,0,,,,,5,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Madison,2224,2313,,1,,,,,28,,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Mahaska,3974,4256,,8,,,,,56,,90,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Marion,3119,2741,,1,,,,,33,,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Marshall,2626,4541,,0,,,,,66,,102,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Mills,1958,2153,,0,,,,,18,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Mitchell,1031,2498,,1,,,,,31,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Monona,2558,1526,,0,,,,,13,,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Monroe,2086,1836,,6,,,,,35,,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Montgomery,1634,2927,,3,,,,,12,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Muscatine,2863,3627,,7,,,,,72,,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,O'Brien,1562,2421,,1,,,,,19,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Osceola,767,1094,,0,,,,,12,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Page,2390,3213,,0,,,,,22,,53,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Palo Alto,1547,1595,,1,,,,,12,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Plymouth,2392,2623,,2,,,,,47,,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Pocahontas,1377,1866,,0,,,,,16,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Polk,7087,11127,,12,,,,,111,,121,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Pottawattamie,5468,5810,,11,,,,,86,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Poweshiek,2013,2969,,0,,,,,42,,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Ringgold,1651,2209,,0,,,,,18,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Sac,1346,2513,,1,,,,,17,,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Scott,4032,6419,,156,,,,,278,,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Shelby,2175,2019,,6,,,,,11,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Sioux,1898,2841,,1,,,,,50,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Story,1589,3630,,0,,,,,22,,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Tama,2596,3054,,1,,,,,37,,41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Taylor,2293,2468,,1,,,,,7,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Union,2425,2196,,4,,,,,32,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Van Buren,2076,2478,,0,,,,,45,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Wapello,4041,4319,,7,,,,,112,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Warren,2214,2826,,1,,,,,20,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Washington,2292,2882,,2,,,,,51,,54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Wayne,2115,2101,,1,,,,,29,,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Webster,2557,3691,,1,,,,,45,,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Winnebago,714,1912,,0,,,,,10,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Winneshiek,2033,3422,,6,,,,,50,,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Woodbury,4876,6204,,4,,,,,117,,97,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Worth,584,1696,,0,,,,,15,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1896,President,Wright,1138,2992,,1,,,,,20,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Adair,1618,2327,,1,,,,,,7,60,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Adams,1428,1873,,5,,,,,,2,82,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Allamakee,1850,2659,,2,,,,,,3,30,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Appanoose,2690,3538,,4,,,,,,102,33,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Audubon,1301,1821,,1,,,,,,0,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Benton,2575,3609,,1,,,,,,57,101,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Black Hawk,2512,5010,,4,,,,,,13,237,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Boone,2264,4151,,4,,,,,,112,205,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Bremer,1929,2178,,0,,,,,,2,40,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Buchanan,2053,2958,,3,,,,,,3,171,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Buena Vista,936,2632,,0,,,,,,5,98,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Butler,1167,2902,,0,,,,,,3,70,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Calhoun,1224,2973,,0,,,,,,6,67,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Carroll,2434,2224,,1,,,,,,8,29,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Cass,2010,3128,,1,,,,,,4,40,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Cedar,2131,2740,,1,,,,,,4,88,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Cerro Gordo,1320,3345,,1,,,,,,11,132,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Cherokee,1253,2432,,1,,,,,,0,156,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Chickasaw,2063,2085,,2,,,,,,3,37,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Clarke,1322,1800,,0,,,,,,2,47,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Clay,781,2292,,0,,,,,,3,64,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Clayton,2884,3366,,2,,,,,,17,68,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Clinton,4758,5344,,47,,,,,,218,63,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Crawford,2578,2268,,1,,,,,,2,107,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Dallas,1940,3601,,1,,,,,,51,172,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Davis,2155,1656,,0,,,,,,2,41,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Decatur,2058,2415,,0,,,,,,6,42,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Delaware,1570,2805,,2,,,,,,17,54,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Des Moines,3909,4315,,11,,,,,,188,73,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Dickinson,445,1352,,0,,,,,,6,43,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Dubuque,6655,4752,,17,,,,,,75,56,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Emmet,595,1618,,1,,,,,,4,71,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Fayette,2708,3984,,3,,,,,,0,117,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Floyd,1295,2843,,0,,,,,,1,57,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Franklin,748,2537,,1,,,,,,2,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Fremont,2399,2170,,1,,,,,,3,73,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Greene,1360,2777,,1,,,,,,3,72,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Grundy,1203,2025,,0,,,,,,4,43,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Guthrie,1824,2806,,0,,,,,,5,74,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Hamilton,1134,3259,,1,,,,,,10,44,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Hancock,827,2186,,0,,,,,,1,50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Hardin,1268,3741,,2,,,,,,8,125,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Harrison,2837,3303,,0,,,,,,37,106,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Henry,1907,2794,,3,,,,,,10,125,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Howard,1420,1944,,0,,,,,,3,85,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Humboldt,595,2214,,0,,,,,,0,29,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Ida,1304,1599,,0,,,,,,4,40,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Iowa,1983,2336,,0,,,,,,12,92,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Jackson,2854,2964,,0,,,,,,1,30,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Jasper,3163,3894,,1,,,,,,20,98,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Jefferson,1612,2482,,1,,,,,,9,118,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Johnson,3182,3010,,1,,,,,,15,46,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Jones,2052,3021,,0,,,,,,0,72,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Keokuk,2669,3339,,3,,,,,,11,120,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Kossuth,1777,3122,,0,,,,,,3,46,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Lee,5182,4486,,3,,,,,,19,77,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1900,President,Linn,5019,7745,,7,,,,,,87,236,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
