State,Year,Office,County,D#,R#,Pop.#,Proh.#,Wor.#,Nat.#,GS#,Prog.#,U#,UL#,S#,FL#,SL#,SW#,Comm.#,AI#,I#,NA#,Ref.#,L#,NAll.#,Labor#,SD#,UR#,IND#,ST#,Cit.#,PF#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,Am.#,W/I#,Green,Pirate
Indiana,1888,President,Adams,2936,1277,,141,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Allen,9692,5455,,162,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Bartholomew,3109,2742,,69,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Benton,1425,1626,,62,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Blackford,1232,1141,,59,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Boone,3324,3441,,104,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Brown,1538,661,,63,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Carroll,2560,2607,,130,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Cass,4221,3822,,162,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clark,3788,3206,,46,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clay,3773,3711,,130,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Clinton,3278,3519,,137,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Crawford,1628,1445,,22,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Daviess,2689,2691,,6,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Dearborn,3531,2648,,57,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Decatur,2400,2663,,67,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,DeKalb,3160,2879,,141,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Delaware,2368,4227,,181,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Dubois,2986,1220,,17,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Elkhart,4464,4955,,322,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fayette,1471,1953,,24,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Floyd,3824,2947,,86,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fountain,2525,2608,,31,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Franklin,2872,1712,,37,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Fulton,2163,2053,,76,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Gibson,2721,2953,,238,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Grant,2990,3929,,373,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Greene,2659,2934,,36,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Hamilton,2412,3599,,390,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Hancock,2376,1986,,75,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Harrison,2529,2133,,26,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Hendricks,2083,3297,,241,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Henry,2277,3849,,230,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Howard,2202,3604,,227,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Huntington,3481,3559,,186,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Jackson,3235,2263,,19,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Jasper,1003,1604,,78,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Jay,2741,2811,,181,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Jefferson,2700,3321,,31,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Jennings,1598,2057,,25,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Johnson,2594,2168,,66,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Knox,3621,2922,,161,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Kosciusko,3081,4147,,197,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,LaGrange,1516,2262,,133,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Lake,2068,2543,,77,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,LaPorte,4607,3722,,93,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Lawrence,1814,2256,,9,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Madison,3928,3436,,199,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Marion,17515,17139,,399,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Marshall,3188,2582,,101,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Martin,1558,1391,,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Miami,3492,3042,,145,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Monroe,1815,2054,,84,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Montgomery,3763,4011,,89,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Morgan,2077,2500,,76,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Newton,860,1283,,68,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Noble,2979,3026,,137,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Ohio,585,726,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Orange,1654,1779,,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Owen,1918,1632,,70,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Parke,2159,2764,,178,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Perry,2007,1974,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Pike,2098,2197,,19,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Porter,2018,2427,,143,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Posey,2684,2369,,99,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Pulaski,1446,1223,,37,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Putnam,3016,2570,,96,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Randolph,2256,4629,,180,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Ripley,2381,2404,,40,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Rush,2292,2713,,146,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Saint Joseph,5257,4929,,198,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Scott,1030,743,,27,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Shelby,3409,2877,,180,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Spencer,2685,2733,,20,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Starke,904,834,,26,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Steuben,1348,2352,,118,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Sullivan,3382,1902,,38,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Switzerland,1637,1560,,5,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Tippecanoe,4281,5072,,120,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Tipton,2370,2042,,109,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Union,868,1108,,42,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Vanderburgh,5889,6027,,65,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Vermillion,1438,1730,,49,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Vigo,6102,6273,,52,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Wabash,2555,3986,,261,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Warren,1017,1847,,38,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Warrick,2557,2361,,62,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Washington,2389,1847,,14,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Wayne,3653,6138,,266,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Wells,2942,1926,,286,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,White,2017,1942,,69,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1888,President,Whitley,2325,2133,,148,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Adams,2906,1247,214,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Allen,10010,5486,449,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Bartholomew,3217,2297,45,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Benton,1391,1617,66,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Blackford,1340,1203,324,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Boone,3104,3136,367,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Brown,1378,656,93,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Carroll,2361,2230,237,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Cass,4006,3501,453,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Clark,4013,3280,48,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Clay,3558,3105,460,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Clinton,3006,3222,391,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Crawford,1529,1276,200,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Daviess,2498,2610,908,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Dearborn,3397,2274,52,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Decatur,2355,2519,84,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,DeKalb,2801,2499,746,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Delaware,2862,4908,335,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Dubois,2847,1081,160,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Elkhart,3530,3873,192,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Fayette,1495,1813,43,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Floyd,4219,2958,95,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Fountain,2331,2379,323,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Franklin,2859,1610,17,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Fulton,2247,2053,42,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Gibson,2460,2738,598,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Grant,3590,4916,394,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Greene,2488,2809,481,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Hamilton,2492,3627,122,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Hancock,2329,1932,198,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Harrison,2464,2114,183,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Hendricks,2028,3020,92,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Henry,1871,3336,614,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Howard,2331,3576,785,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Huntington,3460,3384,134,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Jackson,3363,2233,76,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Jasper,937,1364,362,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Jay,2359,2414,752,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Jefferson,2549,3135,123,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Jennings,1381,1785,396,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Johnson,2606,2093,243,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Knox,3417,2653,523,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Kosciusko,3064,3823,66,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,LaGrange,1438,2033,132,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Lake,3010,2958,45,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,LaPorte,4703,3548,102,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Lawrence,2134,2529,156,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Madison,5733,5387,329,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Marion,20426,19551,368,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Marshall,3113,2558,99,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Martin,1391,1283,194,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Miami,3433,2974,118,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Monroe,1937,2017,347,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Montgomery,3841,3837,84,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Morgan,2014,2377,173,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Newton,879,1191,125,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Noble,2879,2823,103,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Ohio,606,662,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Orange,1628,1653,212,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Owen,1738,1569,247,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Parke,1013,2503,266,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Perry,2074,1890,86,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Pike,1957,2038,234,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Porter,1937,2187,129,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Posey,2660,2077,379,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Pulaski,1352,986,245,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Putnam,2754,2289,193,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Randolph,1994,4058,406,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Ripley,2442,2250,235,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Rush,2210,2566,79,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Saint Joseph,6077,5220,107,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Scott,1043,727,42,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Shelby,3490,2664,107,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Spencer,2496,2478,169,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Starke,1003,850,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Steuben,1264,2100,196,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Sullivan,3159,1784,391,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Switzerland,1589,1497,52,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Tippecanoe,4386,4856,53,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Tipton,2008,1788,570,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Union,839,981,11,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Vanderburgh,6166,6175,285,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Vermillion,1437,1723,194,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Vigo,6599,6159,74,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Wabash,2413,3687,329,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Warren,979,1849,51,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Warrick,2166,2018,477,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Washington,2322,1833,257,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Wayne,3726,5714,203,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Wells,2725,1668,318,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,White,1896,1807,227,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1892,President,Whitley,2234,1958,30,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Adams,3340,1613,,31,,16,26,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Allen,9909,8467,,57,,13,149,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Bartholomew,3198,3264,,13,,19,28,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Benton,1582,1998,,24,,7,12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Blackford,2272,2154,,23,,44,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Boone,3800,3449,,27,,8,19,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Brown,1480,726,,15,,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Carroll,2764,2546,,36,,15,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Cass,4851,4392,,54,,45,26,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Clark,3785,3897,,22,,12,36,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Clay,4482,3823,,37,,31,11,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Clinton,3747,3607,,33,,55,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Crawford,1655,1490,,4,,2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Daviess,3785,3120,,19,,4,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Dearborn,3313,2714,,26,,5,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Decatur,2520,2848,,17,,23,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,DeKalb,3678,3137,,33,,13,25,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Delaware,4253,7340,,58,,94,20,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Dubois,3005,1215,,3,,6,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Elkhart,4986,6150,,152,,42,28,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Fayette,1609,2145,,11,,11,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Floyd,3544,3874,,21,,4,36,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Fountain,2997,2809,,22,,10,15,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Franklin,2844,1760,,12,,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Fulton,2409,2349,,10,,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Gibson,3622,3471,,42,,29,11,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Grant,5072,7723,,128,,143,21,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Greene,3344,3434,,21,,15,16,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Hamilton,2947,4643,,47,,113,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Hancock,2886,2236,,23,,13,15,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Harrison,2813,2486,,25,,13,12,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Hendricks,2365,3409,,33,,46,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Henry,2980,4001,,48,,54,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Howard,3191,4195,,86,,60,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Huntington,3750,4117,,54,,68,33,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Jackson,3574,2670,,19,,5,23,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Jasper,1608,2032,,27,,14,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1896,President,Jay,3680,3473,,62,,64,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
