State,Year,Office,County,D#,R#,CO1#,CO2#,CO3#,CC#,UIA#,ER#,CMT#,U#,Justice#,S#,Comm.#,Wor.#,SD#,PC#,Proh.#,Prog.#,SL#,FL#,PF#,SW#,AI#,Am#,IND#,I1#,I2#,I3#,I4#,I5#,Pop.#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,IA#,Cit.#,Am.#,I#,Year / Office,W/I#
Utah,1900,President,Millard,844,938,,,,,,,,,,,,,3,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Morgan,363,391,,,,,,,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Piute,280,330,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Rich,282,387,,,,,,,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Salt Lake,12840,13496,,,,,,,,,,,,,383,,110,,80,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,San Juan,72,81,,,,,,,,,,,,,0,,3,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Sanpete,2441,3575,,,,,,,,,,,,,21,,7,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Sevier,1261,1581,,,,,,,,,,,,,37,,2,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Summit,1763,1555,,,,,,,,,,,,,12,,2,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Tooele,1114,1259,,,,,,,,,,,,,15,,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Uintah,773,639,,,,,,,,,,,,,3,,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Utah,5391,5698,,,,,,,,,,,,,64,,23,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Wasatch,781,723,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Washington,1003,409,,,,,,,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1900,President,Wayne,282,324,,,,,,,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Utah,1900,President,Weber,4092,4585,,,,,,,,,,,,,38,,41,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Beaver,593,869,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Box Elder,1151,2400,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Cache,2948,4008,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Carbon,508,1224,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Davis,1255,1657,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
Utah,1904,President,Emery,583,905,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Garfield,252,679,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Grand,165,262,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Iron,442,741,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Juab,1206,1493,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Kane,102,399,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Millard,683,1001,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Morgan,315,492,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Piute,228,358,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Rich,240,439,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Salt Lake,8389,20665,,,,,,,,,,2691,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,San Juan,36,135,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Sanpete,1741,3829,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Sevier,930,1725,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
