State,Year,Office,County,D#,R#,CN#,U#,UL#,ND#,SD#,Proh.#,NProh.#,Pop.#,S#,Comm.#,SL#,SW#,Prog.#,Am.#,I#,Ref.#,NL#,G#,L#,FW#,CL#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,I1#,I2#,Comm.,C#,W/I6#,People's#,G,C,Year/Office,W/I#
Missouri,1888,President,Adair,1531,2228,,,36,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Andrew,1691,1976,,,8,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Atchison,1465,1554,,,308,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Audrain,3152,1506,,,23,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Barry,1963,1904,,,351,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Barton,1883,1543,,,412,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Bates,3556,2674,,,633,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Benton,1374,1704,,,53,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Bollinger,1302,1090,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Boone,4068,1512,,,26,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Buchanan,6369,5011,,,139,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Butler,1189,857,,,42,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Caldwell,1528,1853,,,175,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Callaway,3912,1624,,,9,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Camden,675,1056,,,225,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cape Girardeau,1894,2198,,,195,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Carroll,2906,2929,,,183,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Carter,455,292,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cass,3015,2095,,,20,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cedar,1434,1424,,,404,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Chariton,3452,2345,,,86,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Christian,795,1541,,,459,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clark,1791,1724,,,0,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clay,3628,1103,,,1,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Clinton,2167,1632,,,100,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cole,1824,1708,,,8,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Cooper,2685,2416,,,30,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Crawford,1172,1255,,,2,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dade,1479,1740,,,266,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dallas,706,1169,,,485,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Daviess,2320,2049,,,239,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,DeKalb,1573,1598,,,61,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dent,1172,957,,,55,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Douglas,477,1306,,,634,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Dunklin,1838,719,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Franklin,2579,3261,,,10,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Gasconade,556,1735,,,4,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Gentry,2039,1623,,,129,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Greene,3984,4934,,,722,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Grundy,1363,2344,,,37,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Harrison,1722,2418,,,147,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Henry,3289,2634,,,217,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Hickory,628,1076,,,164,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Holt,1433,1831,,,55,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Howard,2577,1278,,,1,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Howell,1506,1370,,,300,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Iron,1004,662,,,94,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Jackson,15663,14350,,,295,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Jasper,3684,4522,,,975,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Jefferson,2438,2228,,,13,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Johnson,3183,2895,,,82,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Knox,1661,1371,,,46,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Laclede,1030,1274,,,518,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Lafayette,3865,2819,,,95,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Lawrence,2181,2460,,,505,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Lewis,2268,1412,,,0,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Lincoln,2380,1628,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Linn,2588,2505,,,252,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Livingston,2082,2031,,,609,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Macon,3293,2850,,,164,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Madison,1118,685,,,35,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Maries,1055,539,,,38,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Marion,3365,2294,,,128,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,McDonald,1069,802,,,236,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Mercer,1097,1921,,,17,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Miller,1195,1596,,,39,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Mississippi,1312,787,,,2,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Moniteau,1436,1448,,,397,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Monroe,3873,983,,,12,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Montgomery,1989,1905,,,7,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Morgan,1362,1260,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,New Madrid,1114,352,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Newton,1969,1787,,,533,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Nodaway,2989,3016,,,446,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Oregon,1157,360,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Osage,1190,1446,,,0,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Ozark,434,884,,,172,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Pemiscot,599,168,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Perry,1283,1198,,,49,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Pettis,3369,3393,,,99,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Phelps,1183,685,,,305,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Pike,3493,2729,,,11,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Platte,2727,1010,,,1,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Polk,1794,2100,,,325,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Pulaski,1048,662,,,59,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Putnam,1045,1985,,,33,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Ralls,1942,816,,,4,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Randolph,3481,1890,,,120,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Ray,3181,1796,,,75,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Reynolds,862,259,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Ripley,805,507,,,77,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saint Charles,4386,2684,,,202,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saint Clair,1328,1042,,,20,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saint Francois,1680,1226,,,9,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saint Louis,1382,629,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saint Louis City,828,423,,,30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Sainte Genevieve,2105,1102,,,13,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saintne,2381,2668,,,12,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Saline,1697,1635,,,318,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Schuyler,2214,1445,,,56,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Scotland,2707,4416,,,1,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Scott,27401,33656,,,1796,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Shannon,1167,776,,,51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Shelby,1919,1064,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Stoddard,303,854,,,105,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Sullivan,1948,2021,,,6,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Taney,471,827,,,93,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Texas,1797,1161,,,335,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Vernon,4057,2252,,,256,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Warren,589,1498,,,46,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Washington,1336,1222,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Wayne,1428,1001,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,WebSainte,1286,1441,,,266,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Worth,789,771,,,137,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1888,President,Wright,771,1372,,,538,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Adair,1039,1953,,,,,,17,,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Andrew,1505,1834,,,,,,47,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Atchison,1147,1093,,,,,,64,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Audrain,3240,1408,,,,,,19,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Barry,1904,1940,,,,,,37,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Barton,1620,1335,,,,,,165,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Bates,3007,1928,,,,,,142,,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Benton,1058,1570,,,,,,17,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Bollinger,1338,1145,,,,,,3,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Boone,4054,1495,,,,,,30,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Buchanan,6949,5522,,,,,,59,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Butler,1233,1052,,,,,,8,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Caldwell,1388,1750,,,,,,27,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Callaway,3620,1453,,,,,,15,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Camden,602,1070,,,,,,9,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Cape Girardeau,1996,2203,,,,,,17,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Carroll,2969,2896,,,,,,68,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Carter,617,377,,,,,,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Cass,3027,1908,,,,,,72,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Cedar,1246,1354,,,,,,39,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Chariton,3463,2057,,,,,,17,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Christian,653,1559,,,,,,15,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Clark,1807,1684,,,,,,40,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Clay,3085,738,,,,,,71,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Clinton,2131,1503,,,,,,56,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Cole,1844,1752,,,,,,6,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Cooper,2484,2222,,,,,,6,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Crawford,1176,1269,,,,,,6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Dade,1101,1420,,,,,,61,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Dallas,586,1174,,,,,,8,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Daviess,2257,2019,,,,,,34,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,DeKalb,1372,1339,,,,,,32,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Dent,1268,896,,,,,,6,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Douglas,328,1309,,,,,,9,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Dunklin,2167,659,,,,,,4,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Franklin,2498,2987,,,,,,14,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Gasconade,602,1625,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Gentry,2003,1607,,,,,,58,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Greene,4051,4839,,,,,,176,,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Grundy,1375,2468,,,,,,34,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Harrison,1630,2474,,,,,,40,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Henry,3475,2563,,,,,,103,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Hickory,423,927,,,,,,19,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Holt,1427,1899,,,,,,60,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Howard,2570,1052,,,,,,33,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Howell,1642,1484,,,,,,53,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Iron,880,568,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Jackson,15825,11044,,,,,,219,,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Jasper,4805,5369,,,,,,155,,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Jefferson,2617,2207,,,,,,72,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Johnson,3109,2667,,,,,,61,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Knox,1472,968,,,,,,33,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Laclede,1223,1376,,,,,,16,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Lafayette,3922,2833,,,,,,35,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Lawrence,2428,2623,,,,,,60,,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Lewis,2220,1322,,,,,,37,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Lincoln,2508,1380,,,,,,15,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Linn,2523,2501,,,,,,67,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Livingston,2190,1958,,,,,,38,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Macon,3284,2746,,,,,,45,,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Madison,1010,635,,,,,,29,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Maries,1119,469,,,,,,4,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Marion,3634,2154,,,,,,90,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,McDonald,1026,835,,,,,,20,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Mercer,809,1643,,,,,,40,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Miller,1076,1497,,,,,,11,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Mississippi,1240,734,,,,,,12,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Moniteau,1340,1326,,,,,,15,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Monroe,3863,787,,,,,,18,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Montgomery,1916,1665,,,,,,76,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Morgan,1143,1088,,,,,,6,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,New Madrid,1215,361,,,,,,2,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Newton,1978,1883,,,,,,94,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Nodaway,2913,2878,,,,,,104,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Oregon,1118,318,,,,,,8,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Osage,1266,1378,,,,,,29,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Ozark,387,881,,,,,,9,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Pemiscot,700,133,,,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Perry,1464,1297,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Pettis,3680,3610,,,,,,84,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Phelps,1287,883,,,,,,10,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Pike,3655,2564,,,,,,34,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Platte,2664,885,,,,,,34,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Polk,1211,1918,,,,,,30,,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Pulaski,1046,663,,,,,,6,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Putnam,1131,2027,,,,,,25,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Ralls,1968,802,,,,,,11,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Randolph,3695,1709,,,,,,37,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Ray,3250,1643,,,,,,42,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Reynolds,903,281,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Ripley,812,446,,,,,,1,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saint Charles,4565,2622,,,,,,58,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saint Clair,1263,996,,,,,,14,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saint Francois,1369,940,,,,,,18,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saint Louis,1612,671,,,,,,7,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saint Louis City,1005,541,,,,,,8,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Sainte Genevieve,2252,1128,,,,,,41,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saintne,2485,2522,,,,,,11,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Saline,1572,1510,,,,,,20,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Schuyler,2141,1253,,,,,,16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Scotland,3116,4367,,,,,,39,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Scott,34669,35528,,,,,,247,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Shannon,1155,683,,,,,,0,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Shelby,2220,1218,,,,,,16,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Stoddard,279,805,,,,,,8,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Sullivan,2095,2173,,,,,,20,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Taney,459,791,,,,,,2,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Texas,1878,1294,,,,,,22,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Vernon,3627,1847,,,,,,102,,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Warren,685,1360,,,,,,9,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Washington,1303,1200,,,,,,9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Wayne,1393,964,,,,,,13,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,WebSainte,1273,1389,,,,,,17,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Worth,696,624,,,,,,59,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1892,President,Wright,786,1454,,,,,,15,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1896,President,Adair,2311,2402,,,,6,,25,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1896,President,Andrew,2191,2252,,,,25,,8,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1896,President,Atchison,2272,1587,,,,13,,32,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1896,President,Audrain,3984,1609,,,,24,,11,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1896,President,Barry,3151,2320,,,,6,,14,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
