State,Year,Office,County,D#,R#,Pop.#,Proh.#,S#,SW#,Comm.#,I1#,I2#,I3#,I4#,Prog.#,Liberty#,U#,C#,PF#,Ref.#,NL#,G#,L#,NA#,Labor#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,Am.#,W/I#
Idaho,1892,President,Ada,,1170,1597,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Alturas,,290,596,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Bear Lake,,114,220,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Bingham,,973,933,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Boise,,377,500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Cassia,,121,173,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Custer,,187,324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Elmore,,188,351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Idaho,,386,448,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Kootenai,,713,753,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Latah,,1242,1432,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Lemhi,,330,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Logan,,306,518,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Nez Perce,,345,428,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Oneida,,267,137,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Owyhee,,337,340,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Shoshone,,936,971,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1892,President,Washington,,317,555,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Ada,2072,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bannock,1581,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bear Lake,1077,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Bingham,1613,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Blaine,1345,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Boise,852,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Canyon,1314,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Cassia,624,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Custer,590,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Elmore,565,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Fremont,2153,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Idaho,1884,1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Kootenai,1871,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Latah,2004,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Lemhi,897,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Lincoln,355,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Nez Perce,2168,2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Oneida,1222,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Owyhee,884,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Shoshone,2994,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1900,President,Washington,1349,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Ada,1466,4536,42,164,318,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Bannock,1063,2826,2,3,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Bear Lake,769,1538,0,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Bingham,890,3186,15,22,365,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Blaine,775,1225,22,11,140,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Boise,639,1053,18,35,125,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Canyon,1025,3172,62,190,316,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Cassia,346,1185,9,5,59,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Custer,429,496,3,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Elmore,433,593,5,17,68,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Fremont,1278,3869,11,11,313,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Idaho,1381,2731,19,33,304,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Kootenai,1178,4165,27,132,664,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Latah,940,3287,31,138,283,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Lemhi,564,786,34,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Lincoln,262,688,0,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Nez Perce,1696,3956,20,160,448,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Oneida,906,2839,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Owyhee,393,663,22,9,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Shoshone,1116,3095,7,23,748,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1904,President,Washington,931,1894,4,36,256,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Ada,3721,4778,,224,276,,,3,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Bannock,1892,2690,,20,133,,,5,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Bear Lake,933,1460,,6,14,,,3,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Bingham,1749,3277,,41,390,,,11,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Blaine,1248,1197,,26,123,,,6,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Boise,862,877,,27,156,,,5,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Bonner,1223,2512,,68,448,,,15,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Canyon,2783,4023,,324,279,,,2,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Cassia,600,1049,,22,105,,,6,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Custer,598,521,,5,84,,,1,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Elmore,660,662,,37,194,,,3,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Fremont,2854,3920,,15,405,,,6,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Idaho,1833,2126,,86,397,,,6,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Kootenai,2206,4407,,284,1094,,,18,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Latah,1802,3101,,324,296,,,3,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Lemhi,777,809,,6,58,,,5,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Lincoln,804,1310,,33,262,,,2,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Nez Perce,2843,3871,,233,551,,,14,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Oneida,1512,2595,,11,98,,,1,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Owyhee,650,604,,13,69,,,4,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Shoshone,2109,3256,,33,512,,,2,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Twin Falls,1051,1757,,91,259,,,0,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1908,President,Washington,1452,1819,,57,197,,,3,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Ada,2569,3198,,116,599,,,,,,,3512,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Adams,417,598,,19,176,,,,,,,292,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Bannock,1486,2316,,8,412,,,,,,,599,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Bear Lake,916,1271,,1,32,,,,,,,274,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Bingham,814,1410,,0,266,,,,,,,453,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Blaine,996,988,,25,368,,,,,,,371,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Boise,743,651,,15,303,,,,,,,504,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Bonner,1055,711,,56,1058,,,,,,,1247,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Bonneville,864,1176,,20,350,,,,,,,628,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Canyon,2432,1842,,311,848,,,,,,,2846,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Cassia,846,1489,,20,365,,,,,,,471,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Clearwater,549,373,,22,284,,,,,,,345,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Custer,501,326,,4,122,,,,,,,236,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Elmore,536,415,,9,190,,,,,,,382,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Fremont,1911,3071,,11,750,,,,,,,1128,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Idaho,1679,989,,51,633,,,,,,,932,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Kootenai,2506,1690,,169,1030,,,,,,,1805,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Latah,1507,904,,278,588,,,,,,,1943,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Lemhi,910,669,,6,198,,,,,,,216,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Lewis,1131,436,,49,259,,,,,,,694,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Lincoln,1541,1191,,68,642,,,,,,,1645,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Nez Perce,1619,1011,,66,406,,,,,,,1064,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Oneida,1386,2373,,24,145,,,,,,,0,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Owyhee,567,515,,13,94,,,,,,,333,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Shoshone,1634,1399,,28,834,,,,,,,1159,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Twin Falls,1741,1074,,102,781,,,,,,,1650,,,,,,,,,,,,,,,,,,,
Idaho,1912,President,Washington,1065,724,,45,227,,,,,,,798,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Ada,5207,5299,359,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Adams,645,667,129,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Bannock,4084,2950,298,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Bear Lake,1566,1229,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Benewah,1374,935,337,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Bingham,2306,1885,145,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Blaine,1830,1231,173,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Boise,1048,657,113,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Bonner,2003,1417,409,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Bonneville,2341,1736,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Boundary,653,598,99,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Canyon,4478,3570,645,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Cassia,1629,1320,289,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Clearwater,678,839,242,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Custer,879,454,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Elmore,1104,658,82,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Franklin,1425,1089,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Fremont,2695,1654,194,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Gem,990,750,146,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Gooding,1089,1093,97,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Idaho,2265,1892,370,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Jefferson,1606,993,115,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Kootenai,2855,2741,714,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Latah,2811,2777,435,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Lemhi,1080,723,79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Lewis,1255,901,118,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Lincoln,1084,1121,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Madison,1371,1132,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Minidoka,1135,963,540,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Nez Perce,2675,1753,245,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Oneida,1298,1014,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Owyhee,775,594,82,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Power,1079,1024,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Shoshone,4239,2431,485,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Teton,726,650,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Twin Falls,3974,3083,592,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1916,President,Washington,1802,1545,109,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1920,President,Ada,4173,8419,,,,,,,,,,,,,,,,,,,,,8,19,,,,,,,
Idaho,1920,President,Adams,390,682,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Bannock,2986,4871,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Bear Lake,1138,1831,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Benewah,794,1351,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Bingham,1184,3293,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Blaine,561,1169,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Boise,373,588,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Bonner,1468,2217,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Bonneville,1419,3260,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Boundary,525,883,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Butte,316,646,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Camas,276,400,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,
Idaho,1920,President,Canyon,3375,5633,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Caribou,181,541,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Cassia,1178,2690,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Clark,184,594,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,
Idaho,1920,President,Clearwater,482,947,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,
Idaho,1920,President,Custer,394,808,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Elmore,867,1065,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Franklin,899,1612,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Fremont,1061,1994,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Gem,832,1404,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,
Idaho,1920,President,Gooding,789,1878,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Idaho,1128,2386,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Jefferson,741,1794,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Jerome,784,1738,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Kootenai,1818,3518,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Latah,1568,3855,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Lemhi,699,1289,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,
Idaho,1920,President,Lewis,712,1013,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,
Idaho,1920,President,Lincoln,427,755,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Madison,979,1883,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Minidoka,1107,1622,,,,,,,,,,,,,,,,,,,,,16,0,,,,,,,
Idaho,1920,President,Nez Perce,1548,2761,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,
Idaho,1920,President,Oneida,752,1500,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Owyhee,515,971,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Payette,785,1690,,,,,,,,,,,,,,,,,,,,,0,9,,,,,,,
Idaho,1920,President,Power,561,1155,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Shoshone,1733,3112,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Teton,409,906,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Twin Falls,2882,5894,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Valley,322,493,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1920,President,Washington,1264,1864,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
Idaho,1924,President,Ada,2255,7220,,,,,,,,,,3780,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Adams,208,422,,,,,,,,,,369,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Bannock,1612,4520,,,,,,,,,,3914,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Bear Lake,881,1611,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Benewah,318,1158,,,,,,,,,,989,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Bingham,696,2693,,,,,,,,,,1649,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Blaine,543,732,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Boise,198,388,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Bonner,543,1714,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Bonneville,431,2880,,,,,,,,,,2060,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Boundary,244,829,,,,,,,,,,692,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Butte,196,409,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Camas,113,226,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Canyon,965,3820,,,,,,,,,,5163,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Caribou,148,508,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Cassia,538,2031,,,,,,,,,,1336,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Clark,43,496,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Clearwater,322,946,,,,,,,,,,725,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Custer,394,585,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Elmore,381,789,,,,,,,,,,906,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Franklin,540,1361,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Fremont,530,1662,,,,,,,,,,1477,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Gem,380,1072,,,,,,,,,,1143,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Gooding,422,1097,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Idaho,779,1363,,,,,,,,,,1429,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Jefferson,305,1393,,,,,,,,,,1084,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Jerome,376,1117,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Kootenai,790,3289,,,,,,,,,,3256,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Latah,838,3053,,,,,,,,,,1949,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Lemhi,442,1005,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Lewis,601,650,,,,,,,,,,753,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Lincoln,154,692,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Madison,601,1417,,,,,,,,,,615,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Minidoka,204,1046,,,,,,,,,,1370,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Nez Perce,1212,2250,,,,,,,,,,1842,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Oneida,530,956,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Owyhee,309,564,,,,,,,,,,671,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Payette,401,1160,,,,,,,,,,887,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Power,314,757,,,,,,,,,,684,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Shoshone,835,3034,,,,,,,,,,2078,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Teton,186,665,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Twin Falls,1641,4630,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Valley,214,486,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,
Idaho,1924,President,Washington,623,1183,,,,,,,,,,1056,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Ada,3921,10279,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Adams,374,521,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Bannock,4602,5297,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Bear Lake,1146,1802,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Benewah,958,1343,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Bingham,1778,3236,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Blaine,780,849,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Boise,389,521,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Bonner,1603,2861,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Bonneville,2110,3218,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Boundary,607,1015,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Butte,301,493,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Camas,230,413,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Canyon,2187,7293,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Caribou,291,471,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Cassia,994,2388,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Clark,129,388,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Clearwater,852,1195,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Custer,516,647,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Elmore,739,1125,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Franklin,1193,1718,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Fremont,1933,1674,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Gem,646,1656,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Gooding,821,1852,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Idaho,1676,2099,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Jefferson,1350,1671,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Jerome,759,2050,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Kootenai,2020,4973,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Latah,1681,4472,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Lemhi,837,1139,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Lewis,793,1146,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Lincoln,358,865,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Madison,1228,1670,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Minidoka,1132,1832,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Nez Perce,2535,4054,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1928,President,Oneida,1020,1184,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
