State,Year,Office,County,D#,R#,GB#,ND#,SD#,Proh.#,Comm.#,SW#,SL#,S&L#,Labor#,Workers#,IG#,FP#,RTL#,Cit.#,S#,UL1#,UL2#,FL#,IL#,Pop.#,Prog.#,AL#,Courage#,C#,IND#,I#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,CON#,Builders#,SE#,IProg.#,WW#,Ind. Fus.#,M#,Anti-Proh.#,TR#,RTH#,PF#,CS#,W/I#,Sapient#,Freedom#,Anti-Proh#,Ind. Soc.#,Liberal#,Ind.#,SAM#,Unity#,Year / Office
New York,,,Monroe,112862,101253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,,,,,,,,,,,,,,,,,,,,,,,,,89,,208,,,,,,,2010 Attorney General
New York,,,Montgomery,5544,7353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,5,,12,,,,,,,2010 Attorney General
New York,,,Nassau,179281,197120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,,,,,,,,,,,,,,,,,,,,,,,,,58,,452,,,,,,,2010 Attorney General
New York,,,New York,273784,62877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776,,,,,,,,,,,,,,,,,,,,,,,,,162,,2948,,,,,,,2010 Attorney General
New York,,,Niagara,25279,34766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,,,,,,,,,,,,,,,,,,,,,,,,,0,,75,,,,,,,2010 Attorney General
New York,,,Oneida,29282,34630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,,26,,64,,,,,,,2010 Attorney General
New York,,,Onondaga,71636,62345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,79,,151,,,,,,,2010 Attorney General
New York,,,Ontario,14165,17819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,6,,36,,,,,,,2010 Attorney General
New York,,,Orange,44855,47392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,,,,,,,,,,,,,,,,,,,,,,,,,13,,102,,,,,,,2010 Attorney General
New York,,,Orleans,3547,6521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,,,,,2010 Attorney General
New York,,,Oswego,13004,15995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,,,,,,,,,,,,,,,,,,,,,,,,,26,,41,,,,,,,2010 Attorney General
New York,,,Otsego,8091,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,7,,25,,,,,,,2010 Attorney General
New York,,,Putnam,12556,17566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,4,,25,,,,,,,2010 Attorney General
New York,,,Queens,231618,88209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,,,,,,,,,,,,,,,,,,,,,,,,,123,,3231,,,,,,,2010 Attorney General
New York,,,Rensselaer,24832,25548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,,,,,,,,,0,,64,,,,,,,2010 Attorney General
New York,,,Richmond,32548,62102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,16,,414,,,,,,,2010 Attorney General
New York,,,Rockland,44377,38630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,34,,95,,,,,,,2010 Attorney General
New York,,,Saint Lawrence,14317,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,7,,25,,,,,,,2010 Attorney General
New York,,,Saratoga,33798,42569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065,,,,,,,,,,,,,,,,,,,,,,,,,25,,68,,,,,,,2010 Attorney General
New York,,,Schenectady,22733,22343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,29,,253,,,,,,,2010 Attorney General
New York,,,Schoharie,3933,5961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,,,,,,,2010 Attorney General
New York,,,Schuyler,2277,3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,,2010 Attorney General
New York,,,Seneca,4232,5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,3,,15,,,,,,,2010 Attorney General
New York,,,Steuben,9351,16134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,9,,23,,,,,,,2010 Attorney General
New York,,,Suffolk,172200,203204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,,,,,,,,,,,,,,,,,,,68,,418,,,,,,,2010 Attorney General
New York,,,Sullivan,9929,9864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,9,,39,,,,,,,2010 Attorney General
New York,,,Tioga,6026,9259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,9,,17,,,,,,,2010 Attorney General
New York,,,Tompkins,18503,8976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,15,,24,,,,,,,2010 Attorney General
New York,,,Ulster,30981,26253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,15,,82,,,,,,,2010 Attorney General
New York,,,Warren,8854,12369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,5,,8,,,,,,,2010 Attorney General
New York,,,Washington,7249,9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,5,,19,,,,,,,2010 Attorney General
New York,,,Wayne,9871,15470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,8,,27,,,,,,,2010 Attorney General
New York,,,Westchester,142320,111224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,,,,,,,,,,,,,,,,,,,,,,,,,0,,297,,,,,,,2010 Attorney General
New York,,,Wyoming,3675,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,2010 Attorney General
New York,,,Yates,2748,3912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,,,,,2010 Attorney General
New York,,,Albany,49484,46431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496,867,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,2010 Comptroller
New York,,,Allegany,3464,8630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,84,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Bronx,140142,24593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159,492,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,2010 Comptroller
