State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1984,Kent,President,11789,21531,,,,,,27,,,,,43,,,,7,6,,,,,,,,,,,,,,,,,
Delaware,1984,New Castle,President,76238,102322,,,,,,209,,,,,167,,,,90,51,,,,,,,,,,,,,,,,,
Delaware,1984,Sussex,President,13629,28337,,,,,,32,,,,,59,,,,24,11,,,,,,,,,,,,,,,,,
Delaware,1988,Kent,President,12996,19923,,,,,,149,,,,,,,,,45,,,,,,,,,,,,,,,,,,
Delaware,1988,New Castle,President,79147,92587,,,,,,897,,,,,,,,,372,,,,,,,,,,,,,,,,,,
Delaware,1988,Sussex,President,16504,27129,,,,,,116,,,,,,,,,26,,,,,,,,,,,,,,,,,,
Delaware,1992,Kent,President,15364,15562,,,,,,110,,,,,,,,,110,8916,,,,,,,,,,,,,,,,,
Delaware,1992,New Castle,President,91516,66311,,,,,,736,,,,,,,,,736,37581,,,,,,,,,,,,,,,,,
Delaware,1992,Sussex,President,19174,20440,,,,,,89,,,,,,,,,146,12716,,,,,,,,,,,,,,,,,
Delaware,1996,Kent,President,18327,15932,,,,,,189,4705,36,,,63,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,New Castle,President,98837,60943,,,,,,1667,17748,183,,,168,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Sussex,President,23191,22187,,,,,,196,6266,55,,,117,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Kent,President,22790,24081,,,,1082,,92,141,7,,,16,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,New Castle,President,127539,78587,,,,5767,,590,345,63,,,69,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Sussex,President,29739,34620,,,,1458,,92,291,,,,22,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Kent,President,23875,31578,,,,30,,74,,11,,,49,,,,,363,,,,,,,,,,,,,,,,,
Delaware,2004,New Castle,President,146179,93079,,,,184,,435,,72,,3,176,,,,,1336,,,,,,,1,,,,,,,,,,
Delaware,2004,Sussex,President,30098,47003,,,,36,,77,,17,,,64,,,,,454,,,,,,,,,,,,,,,,,
Delaware,2008,Kent,President,36392,29827,,,,70,,144,,,,4,107,,,,,381,,,,,,,,,,,,,,,,,
Delaware,2008,New Castle,President,178768,74608,,,,248,,796,,,,48,378,,,,,1571,,,,,,,204,,,,,,,,,,
Delaware,2008,Sussex,President,40299,47939,,,,67,,169,,,,6,141,,,,,449,,,,,,,,,,,,,,,,,
Delaware,2012,Kent,President,35527,32135,,,,333,,677,,,,,,,,,,,,,,,,,6,1,1,,,,,,,,
Delaware,2012,New Castle,President,167082,81230,,,,1198,,2486,,,,,,,,,,,,,,,,,12,4,,,,,,,,,
Delaware,2012,Sussex,President,39975,52119,,,,409,,719,,,,,,,,,,,,,,,,,5,2,,,,,,,,,
Delaware,2016,Kent,President,33351,36991,,,,1042,,109,,,,,,,,,,,,,,,,,341,109,16,,,,2,,1,,
Delaware,2016,New Castle,President,162919,85525,,,,3956,,514,,,,,,,,,,,,,,,,,895,514,47,5,3,3,1,2,,1,1
Delaware,2016,Sussex,President,39333,62611,,,,1105,,83,,,,,,,,,,,,,,,,,187,83,11,2,,,,,,,
Delaware,1940,Kent,US Senate,8695,8412,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,New Castle,US Senate,47143,43827,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Sussex,US Senate,12456,11560,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Kent,US Senate,5328,6785,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,New Castle,US Senate,25215,30237,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Sussex,US Senate,7779,9188,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Kent,US Senate,6858,7910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,New Castle,US Senate,34416,42239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
