State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1992,New Castle,Governor,124601,58609,,,,,,2369,,,,,,,2661,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Sussex,Governor,30030,18710,,,,,,384,,,,,,,516,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Kent,Governor,24946,14503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,New Castle,Governor,129512,50081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Sussex,Governor,33842,18070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Kent,Governor,27164,20073,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,New Castle,Governor,127112,81311,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Sussex,Governor,37419,27219,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Kent,Governor,22324,28562,,,,,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,New Castle,Governor,128953,99479,,,,,4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Sussex,Governor,34271,38967,,,,,3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Kent,Governor,41076,23646,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,New Castle,Governor,180240,62432,,,,,,,,,,,,1212,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Sussex,Governor,45545,40584,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Kent,Governor,40696,23846,,,,781,844,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Delaware,2012,New Castle,Governor,183858,53510,,,,2642,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Sussex,Governor,51439,36437,,,,1152,695,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Delaware,2016,Kent,Governor,35955,34777,,,,835,,805,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Delaware,2016,New Castle,Governor,165973,77839,,,,3884,,2978,,,,,,,,,,,,,,,,,,17,,,,,,,,,
Delaware,2016,Sussex,Governor,46476,54236,,,,1232,,794,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Delaware,1940,Kent,Lieutenant Governor,8445,8690,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,New Castle,Lieutenant Governor,45276,44693,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Sussex,Lieutenant Governor,12228,12044,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Kent,Treasurer,8830,8262,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,New Castle,Treasurer,46279,44648,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Sussex,Treasurer,12488,11841,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Kent,Auditor,8491,8622,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,New Castle,Auditor,46258,44687,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Sussex,Auditor,12699,11572,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Kent,Attorney General,5687,6414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,New Castle,Attorney General,24611,30577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Sussex,Attorney General,8169,8731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Kent,Treasurer,5906,6198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,New Castle,Treasurer,24991,30156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Sussex,Treasurer,8176,8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Kent,Auditor,5663,6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,New Castle,Auditor,24912,30170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Sussex,Auditor,7880,8980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Kent,Insurance Commissioner,5653,6374,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,New Castle,Insurance Commissioner,24737,30056,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1942,Sussex,Insurance Commissioner,8138,8627,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Kent,Lieutenant Governor,7596,7499,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,New Castle,Lieutenant Governor,44524,42595,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Sussex,Lieutenant Governor,10677,12250,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Kent,Treasurer,7697,7377,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,New Castle,Treasurer,44760,42341,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Sussex,Treasurer,10930,11980,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Kent,Auditor,7575,7503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,New Castle,Auditor,44470,42617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Sussex,Auditor,10719,12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Kent,Attorney General,7019,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,New Castle,Attorney General,33179,42618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Sussex,Attorney General,9700,12179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Kent,Treasurer,7140,7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,New Castle,Treasurer,33437,42278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Sussex,Treasurer,9670,12199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Kent,Auditor,6843,7822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,New Castle,Auditor,32643,42929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Sussex,Auditor,9577,12268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Kent,Insurance Commissioner,6899,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,New Castle,Insurance Commissioner,32831,42671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1946,Sussex,Insurance Commissioner,10230,11636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Kent,Lieutenant Governor,8747,8391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,New Castle,Lieutenant Governor,52642,44783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Sussex,Lieutenant Governor,13216,12371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Kent,Treasurer,8155,8901,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,New Castle,Treasurer,50521,46686,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Sussex,Treasurer,12413,13087,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Kent,Auditor,8622,8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,New Castle,Auditor,50494,46705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Sussex,Auditor,12256,13270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Kent,Attorney General,8696,8219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,New Castle,Attorney General,40039,45946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Sussex,Attorney General,12858,12763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Kent,Treasurer,8172,8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,New Castle,Treasurer,38028,47754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Sussex,Treasurer,12871,12793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Kent,Auditor,8620,8264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,New Castle,Auditor,38003,47890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Sussex,Auditor,13031,12702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Kent,Insurance Commissioner,8683,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,New Castle,Insurance Commissioner,37927,48012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1950,Sussex,Insurance Commissioner,12938,12706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Kent,Lieutenant Governor,10197,9351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,New Castle,Lieutenant Governor,57105,61168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Sussex,Lieutenant Governor,15998,16103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Kent,Treasurer,10450,9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,New Castle,Treasurer,56951,61104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Sussex,Treasurer,15537,16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Kent,Auditor,9857,9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,New Castle,Auditor,57032,60998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Sussex,Auditor,15510,16556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Kent,Attorney General,10259,6507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,New Castle,Attorney General,54472,46403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Sussex,Attorney General,15218,11523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Kent,Treasurer,10573,6155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,New Castle,Treasurer,54209,46485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Sussex,Treasurer,15340,11413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Kent,Auditor,9939,6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,New Castle,Auditor,54233,46542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Sussex,Auditor,14974,11795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Kent,Insurance Commissioner,10334,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,New Castle,Insurance Commissioner,54343,46400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Sussex,Insurance Commissioner,15160,11608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Kent,Lieutenant Governor,9802,9638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,New Castle,Lieutenant Governor,59554,67328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Sussex,Lieutenant Governor,14765,15288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Kent,Treasurer,9800,9638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,New Castle,Treasurer,58837,67665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Sussex,Treasurer,14685,15318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Kent,Auditor,10043,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,New Castle,Auditor,59570,66904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Sussex,Auditor,14725,15325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Kent,Attorney General,9157,8307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,New Castle,Attorney General,52054,56462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Sussex,Attorney General,13446,13302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Kent,Treasurer,9109,8440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,New Castle,Treasurer,53691,54536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Sussex,Treasurer,13814,13068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Kent,Auditor,9445,7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,New Castle,Auditor,54286,53664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Sussex,Auditor,13819,12937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Kent,Insurance Commissioner,9694,7740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,New Castle,Insurance Commissioner,55825,52248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Sussex,Insurance Commissioner,15019,11937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Kent,Lieutenant Governor,10941,10136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,New Castle,Lieutenant Governor,70529,70994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Sussex,Lieutenant Governor,16356,15541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Kent,Treasurer,11122,10091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,New Castle,Treasurer,71482,69644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Sussex,Treasurer,16376,15546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Kent,Auditor,10894,10263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,New Castle,Auditor,71362,69663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Sussex,Auditor,16339,15573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Kent,Attorney General,9106,8915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,New Castle,Attorney General,51804,55776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Sussex,Attorney General,14154,12975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Kent,Treasurer,7682,10242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,New Castle,Treasurer,54530,52808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Sussex,Treasurer,12438,14581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Kent,Auditor,10247,7633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,New Castle,Auditor,54010,53085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Sussex,Auditor,14711,12262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Kent,Insurance Commissioner,9870,8032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,New Castle,Insurance Commissioner,51665,55674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1962,Sussex,Insurance Commissioner,14508,12512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Kent,Lieutenant Governor,11861,9532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,New Castle,Lieutenant Governor,79565,65369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Sussex,Lieutenant Governor,17316,14774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Kent,Treasurer,12219,9357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,New Castle,Treasurer,81119,63397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Sussex,Treasurer,17770,14361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Kent,Auditor,12441,8946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,New Castle,Auditor,81069,63087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Sussex,Auditor,17754,14367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Kent,Attorney General,7960,11257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,New Castle,Attorney General,46642,70115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Sussex,Attorney General,12246,15223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Kent,Treasurer,9380,9518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,New Castle,Treasurer,46312,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Sussex,Treasurer,13138,14088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Kent,Auditor,8984,10034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,New Castle,Auditor,48640,66590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Sussex,Auditor,13280,14052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Kent,Insurance Commissioner,8504,10491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,New Castle,Insurance Commissioner,43210,72647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Sussex,Insurance Commissioner,12383,15052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Kent,Lieutenant Governor,12573,10647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,New Castle,Lieutenant Governor,73228,73720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Sussex,Lieutenant Governor,13620,17472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Kent,Treasurer,10621,12302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,New Castle,Treasurer,66360,79065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Sussex,Treasurer,13682,17083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Kent,Auditor,10188,12950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,New Castle,Auditor,63822,80757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Sussex,Auditor,13919,16840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Kent,Attorney General,10321,9443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,New Castle,Attorney General,48152,63517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Sussex,Attorney General,12757,12982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Kent,Treasurer,11562,8101,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,New Castle,Treasurer,52838,56953,,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Sussex,Treasurer,14754,11006,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Kent,Auditor,8849,10940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,New Castle,Auditor,48215,60745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Sussex,Auditor,12350,13045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Kent,Insurance Commissioner,8073,11837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,New Castle,Insurance Commissioner,40107,71275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Sussex,Insurance Commissioner,9760,16174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Kent,Lieutenant Governor,13262,12584,,,41,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,New Castle,Lieutenant Governor,74953,80260,,,227,,,,,,,,901,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Sussex,Lieutenant Governor,13855,17243,,,45,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Kent,Treasurer,13934,11859,,,61,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,New Castle,Treasurer,71980,84945,,,339,,,,,,,,1081,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Sussex,Treasurer,14752,15830,,,49,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Kent,Auditor,13259,13410,,,28,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,New Castle,Auditor,79599,77487,,,277,,,,,,,,886,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Sussex,Auditor,15036,15996,,,35,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Kent,Attorney General,12568,7177,,,70,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,New Castle,Attorney General,58005,49540,,,481,,,,,,,,1344,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Sussex,Attorney General,13631,10584,,,66,,,,,,,,1340,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Kent,Treasurer,9117,10793,,,541,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,New Castle,Treasurer,42464,64552,,,1454,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Sussex,Treasurer,11995,13357,,,397,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Kent,Auditor,10420,7562,,,73,,,,,,,,1918,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,New Castle,Auditor,47969,52789,,,483,,,,,,,,4669,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Sussex,Auditor,11479,12557,,,78,,,,,,,,1175,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Kent,Insurance Commissioner,8893,11594,,,166,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,New Castle,Insurance Commissioner,43451,63996,,,917,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,
Delaware,1974,Sussex,Insurance Commissioner,11250,14526,,,245,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,Kent,Lieutenant Governor,11904,15940,,,,,,193,,,,,76,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,New Castle,Lieutenant Governor,62143,92703,,,,,,1311,,,,,554,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,Sussex,Lieutenant Governor,14177,20184,,,,,,150,,,,,57,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,Kent,Attorney General,12789,11528,,,,,,147,,,,,79,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,New Castle,Attorney General,65322,63690,,,,,,500,,,,,633,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,Sussex,Attorney General,14806,16522,,,,,,135,,,,,71,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,Kent,Treasurer,11847,12241,,,,,,74,,,,,147,,,,45,,,,,,,,,,,,,,,,,,
Delaware,1982,New Castle,Treasurer,64269,64243,,,,,,596,,,,,525,,,,317,,,,,,,,,,,,,,,,,,
Delaware,1982,Sussex,Treasurer,14217,16697,,,,,,57,,,,,143,,,,44,,,,,,,,,,,,,,,,,,
Delaware,1982,Kent,Auditor,11979,11903,,,,,,93,,,,,129,,,,119,,,,,,,,,,,,,,,,,,
Delaware,1982,New Castle,Auditor,65881,59397,,,,,,738,,,,,658,,,,706,,,,,,,,,,,,,,,,,,
Delaware,1982,Sussex,Auditor,14274,16340,,,,,,94,,,,,142,,,,77,,,,,,,,,,,,,,,,,,
Delaware,1984,Kent,Lieutenant Governor,14499,16951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,New Castle,Lieutenant Governor,90269,80213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Sussex,Lieutenant Governor,16327,23502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Kent,Insurance Commissioner,15695,15597,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,New Castle,Insurance Commissioner,96124,68249,,,,,,,,,,,1685,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Sussex,Insurance Commissioner,16340,23338,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Kent,Attorney General,11163,10675,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,New Castle,Attorney General,53669,51847,,,,,,,,,,,783,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Sussex,Attorney General,14280,15675,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Kent,Treasurer,8124,13969,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,New Castle,Treasurer,35875,69437,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Sussex,Treasurer,11031,19256,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Kent,Auditor,11022,10687,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,
