State,Year,Office,Parish,D#,R#,Proh.#,Prog.#,Pop.#,S#,UP#,T#,AI#,SW#,Comm.#,I1#,I2#,Ref.#,NL#,NA#,L#,G#,S&L,PWF#,BL#,Cit.#,Nom.#,MPD#,JIA#,ER#,AF#,LEC#,WW#,EJO#,W/I#,CCS#,Vet.#,LFC#,IOC#,LTC#,SE#,O1#,O2#,O3#,O4#,O5#,O6#,O7#,D1#,D2#,D3#,D4#,R1#,R2#,I3#,I4#,I5#,I6#,I7#,I8#,D5#,D6#,D7#,R3#,O#,Unnamed: 13,Unnamed: 14
Louisiana,1996,President,Winn,3779,2803,,,,,,,18,,,,,735,56,,47,,,,,,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Acadia,8892,13814,,,,,,,255,11,,,,15,9,,15,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Allen,3914,4035,,,,,,,135,9,,,,44,10,,30,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Ascension,13385,16818,,,,,,,201,11,,,,31,11,,47,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Assumption,5222,4388,,,,,,,163,22,,,,93,20,,26,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Avoyelles,6701,7329,,,,,,,268,19,,,,101,28,,37,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Beauregard,3958,7862,,,,,,,122,6,,,,69,15,,18,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Bienville,3413,3269,,,,,,,152,13,,,,95,3,,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Bossier,11933,23224,,,,,,,184,9,,,,220,11,,39,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Caddo,47530,46807,,,,,,,338,26,,,,59,32,,113,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Calcasieu,33919,38086,,,,,,,529,27,,,,49,21,,110,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Caldwell,1359,2817,,,,,,,66,6,,,,33,5,,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Cameron,1435,2593,,,,,,,43,4,,,,59,0,,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Catahoula,1718,2912,,,,,,,64,4,,,,28,4,,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Claiborne,2721,3384,,,,,,,81,3,,,,48,4,,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Concordia,3569,4627,,,,,,,138,9,,,,78,6,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,De Soto,5036,5260,,,,,,,98,5,,,,101,17,,12,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,East Baton Rouge,76516,89128,,,,,,,687,82,,,,92,56,,323,2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,East Carroll,1876,1280,,,,,,,46,5,,,,10,3,,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,East Feliciana,3870,4051,,,,,,,79,13,,,,14,3,,9,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Evangeline,5763,7290,,,,,,,234,32,,,,73,34,,46,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Franklin,2792,5363,,,,,,,94,10,,,,27,11,,8,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Grant,2099,4784,,,,,,,60,3,,,,31,4,,17,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Iberia,11762,17236,,,,,,,352,36,,,,153,41,,75,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Iberville,8355,5573,,,,,,,217,34,,,,70,19,,60,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Jackson,2582,4347,,,,,,,79,7,,,,22,9,,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Jefferson,70411,105003,,,,,,,988,53,,,,82,54,,267,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Jefferson Davis,5162,6945,,,,,,,167,8,,,,88,6,,27,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,La Salle,27190,48491,,,,,,,618,32,,,,233,58,,161,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Lafayette,14627,18575,,,,,,,457,44,,,,231,21,,70,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Lafourche,1397,4564,,,,,,,54,4,,,,25,2,,5,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Lincoln,6851,9246,,,,,,,148,10,,,,132,15,,25,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Livingston,11008,24889,,,,,,,331,22,,,,147,25,,59,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Madison,2489,2127,,,,,,,61,3,,,,14,6,,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Morehouse,5289,6641,,,,,,,166,20,,,,71,16,,15,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Natchitoches,6924,7332,,,,,,,271,12,,,,166,11,,32,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Orleans,137630,39404,,,,,,,638,84,,,,83,62,,295,3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Ouachita,21457,35107,,,,,,,615,41,,,,315,46,,101,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Plaquemines,4425,6302,,,,,,,75,4,,,,8,4,,9,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Pointe Coupee,5813,4710,,,,,,,102,11,,,,46,16,,26,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Rapides,18898,28831,,,,,,,461,21,,,,257,28,,82,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Red River,2177,2200,,,,,,,68,6,,,,13,12,,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Richland,3282,4895,,,,,,,138,10,,,,87,7,,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Sabine,2846,5754,,,,,,,89,5,,,,66,8,,13,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Bernard,11682,16255,,,,,,,211,9,,,,17,18,,32,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Charles,8918,11981,,,,,,,181,12,,,,161,12,,30,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Helena,3059,1965,,,,,,,79,15,,,,36,14,,21,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint James,6523,3813,,,,,,,180,8,,,,100,8,,12,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint John the Baptist,9745,7423,,,,,,,212,17,,,,112,15,,25,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Landry,18067,15449,,,,,,,318,22,,,,32,15,,23,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Martin,9853,9961,,,,,,,406,46,,,,138,51,,55,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Mary,9851,11325,,,,,,,235,20,,,,98,24,,43,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Saint Tammany,22722,59193,,,,,,,434,18,,,,42,23,,106,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Tangipahoa,15843,20421,,,,,,,301,38,,,,60,22,,65,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Tensas,1580,1330,,,,,,,46,2,,,,22,2,,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Terrebonne,14414,21314,,,,,,,351,28,,,,196,19,,43,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Union,3205,5772,,,,,,,151,8,,,,119,7,,15,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Vermilion,8704,12495,,,,,,,392,16,,,,268,17,,36,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Vernon,4655,8794,,,,,,,123,10,,,,63,9,,22,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Washington,7399,8983,,,,,,,187,8,,,,135,20,,29,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Webster,7197,9420,,,,,,,183,9,,,,116,5,,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,West Baton Rouge,5058,4924,,,,,,,63,2,,,,13,6,,34,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,West Carroll,1319,3220,,,,,,,68,2,,,,26,2,,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,West Feliciana,2187,2512,,,,,,,52,7,,,,13,8,,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2000,President,Winn,2167,4028,,,,,,,51,10,,,,37,5,,11,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Acadia,8937,16083,8,,,,,,27,9,,,,,,,28,18,,18,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Allen,3791,5140,30,,,,,,64,10,,,,,,,16,7,,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Ascension,13955,24661,32,,,,,,62,34,,,,,,,77,34,,77,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Assumption,5585,4966,18,,,,,,66,12,,,,,,,5,13,,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Avoyelles,6976,8302,37,,,,,,81,17,,,,,,,21,11,,32,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Beauregard,3666,9470,10,,,,,,49,6,,,,,,,23,15,,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Bienville,3399,3612,13,,,,,,72,9,,,,,,,12,8,,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Bossier,12317,30040,22,,,,,,119,13,,,,,,,42,14,,30,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Caddo,51739,54292,22,,,,,,79,27,,,,,,,113,54,,51,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Calcasieu,32864,46075,14,,,,,,90,19,,,,,,,138,57,,74,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Caldwell,1384,3308,6,,,,,,28,5,,,,,,,3,0,,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Cameron,1367,3190,3,,,,,,39,1,,,,,,,6,4,,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Catahoula,1673,3219,8,,,,,,17,7,,,,,,,4,2,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Claiborne,2854,3704,3,,,,,,39,6,,,,,,,6,3,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Concordia,3446,5427,9,,,,,,47,6,,,,,,,15,5,,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,De Soto,5026,6211,14,,,,,,34,3,,,,,,,11,12,,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,East Baton Rouge,82298,99943,41,,,,,,159,56,,,,,,,311,114,,90,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,East Carroll,1980,1357,15,,,,,,12,7,,,,,,,3,2,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,East Feliciana,4091,5021,5,,,,,,21,4,,,,,,,13,7,,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Evangeline,5757,7949,35,,,,,,89,26,,,,,,,20,14,,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Franklin,2828,6141,24,,,,,,46,11,,,,,,,8,7,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Grant,1977,5911,6,,,,,,23,3,,,,,,,20,9,,8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Iberia,12426,19420,40,,,,,,138,20,,,,,,,25,31,,59,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Iberville,8259,6333,54,,,,,,58,25,,,,,,,14,12,,40,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Jackson,2525,5038,8,,,,,,30,9,,,,,,,4,11,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Jefferson,72136,117882,25,,,,,,144,42,,,,,,,315,97,,75,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Jefferson Davis,4745,8055,25,,,,,,70,11,,,,,,,13,16,,21,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,La Salle,31210,57732,76,,,,,,218,40,,,,,,,156,58,,75,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Lafayette,14417,22734,49,,,,,,320,26,,,,,,,39,39,,49,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Lafourche,1155,5015,8,,,,,,31,1,,,,,,,5,4,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Lincoln,7242,10791,24,,,,,,67,12,,,,,,,21,6,,14,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Livingston,9895,33976,46,,,,,,101,17,,,,,,,58,13,,31,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Madison,2334,2291,6,,,,,,15,5,,,,,,,2,4,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Morehouse,5336,7471,31,,,,,,54,10,,,,,,,9,9,,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Natchitoches,7398,9261,52,,,,,,87,21,,,,,,,31,14,,30,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Orleans,152610,42847,25,,,,,,136,54,,,,,,,380,135,,89,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Ouachita,22016,41750,57,,,,,,301,28,,,,,,,65,26,,53,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Plaquemines,4181,7866,5,,,,,,14,6,,,,,,,18,11,,6,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Pointe Coupee,5712,5429,18,,,,,,31,11,,,,,,,13,6,,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Rapides,18904,34492,87,,,,,,206,30,,,,,,,89,26,,58,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Red River,2140,2507,17,,,,,,14,9,,,,,,,4,4,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Richland,3082,5471,15,,,,,,49,9,,,,,,,3,4,,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Sabine,2743,6711,11,,,,,,41,7,,,,,,,9,7,,9,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Bernard,9956,19597,5,,,,,,29,5,,,,,,,37,18,,24,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Charles,8856,14747,34,,,,,,57,10,,,,,,,30,11,,18,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Helena,3173,2235,14,,,,,,23,12,,,,,,,11,6,,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint James,6407,4545,35,,,,,,34,13,,,,,,,9,10,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint John the Baptist,10305,9039,35,,,,,,75,13,,,,,,,20,22,,34,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Landry,18166,18315,8,,,,,,43,24,,,,,,,40,38,,30,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Martin,10321,12095,73,,,,,,112,43,,,,,,,37,16,,50,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Mary,9547,12877,25,,,,,,96,31,,,,,,,24,8,,18,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Saint Tammany,24665,75139,13,,,,,,102,14,,,,,,,136,52,,34,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Tangipahoa,15345,26181,36,,,,,,118,42,,,,,,,83,37,,99,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Tensas,1469,1453,9,,,,,,16,2,,,,,,,1,1,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Terrebonne,13684,26358,36,,,,,,225,26,,,,,,,37,19,,30,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Union,3089,7457,22,,,,,,82,10,,,,,,,14,15,,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Vermilion,9085,15069,38,,,,,,167,12,,,,,,,37,26,,19,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Vernon,4035,11032,16,,,,,,46,7,,,,,,,19,10,,15,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Washington,6554,11006,33,,,,,,111,11,,,,,,,17,14,,37,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Webster,6833,11070,40,,,,,,398,10,,,,,,,23,7,,20,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,West Baton Rouge,4932,5822,3,,,,,,9,5,,,,,,,15,8,,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,West Carroll,1231,3740,3,,,,,,36,3,,,,,,,6,2,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,West Feliciana,2214,2932,17,,,,,,11,5,,,,,,,5,6,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2004,President,Winn,2056,4366,17,,,,,,25,3,,,,,,,12,7,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Acadia,7028,19229,6,,,,,9,35,9,,117,,,,,,182,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Allen,2891,6333,3,,,,,10,23,5,,64,,,,,,92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Ascension,14625,31239,6,,,,,34,63,12,,214,,,,,,191,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Assumption,4756,5981,1,,,,,12,15,6,,53,,,,,,92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Avoyelles,6327,10236,3,,,,,17,29,14,,109,,,,,,146,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Beauregard,3071,10718,0,,,,,6,27,4,,99,,,,,,72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Bienville,3589,3776,0,,,,,9,10,6,,17,,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Bossier,12703,32713,3,,,,,13,42,5,,104,,,,,,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Caddo,55536,52228,6,,,,,27,91,26,,213,,,,,,195,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Calcasieu,30244,50449,10,,,,,19,114,37,,510,,,,,,331,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Caldwell,1118,3696,2,,,,,5,8,4,,24,,,,,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Cameron,613,3089,0,,,,,1,4,8,,37,,,,,,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Catahoula,1659,3486,3,,,,,7,6,6,,18,,,,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Claiborne,3025,3750,0,,,,,6,7,5,,8,,,,,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Concordia,3766,5668,0,,,,,6,16,6,,21,,,,,,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,De Soto,5242,6883,2,,,,,3,18,2,,29,,,,,,39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,East Baton Rouge,99652,95390,27,,,,,56,208,50,,578,,,,,,379,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,East Carroll,2267,1254,2,,,,,7,6,3,,6,,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,East Feliciana,4383,5432,3,,,,,4,25,6,,30,,,,,,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Evangeline,5853,9793,8,,,,,26,35,14,,67,,,,,,150,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Franklin,2961,6278,5,,,,,11,13,4,,25,,,,,,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,2008,President,Grant,1474,6907,0,,,,,3,8,10,,50,,,,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
