State,Year,Office,County,D#,R%,GB#,Wor.#,CL#,ST#,Cit.#,Justice#,Delta#,PF#,Proh.#,Pop.#,ND#,Comm.#,SL#,Prog.#,S&L#,S#,SW#,U#,UL#,AI#,IND#,I1#,I2#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,R#,I#,W/I#,CM#,Mod.#,Comp.#,Year / Office,Town,I3#,I4#
Rhode Island,,,Washington,8587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11062,,,,,,1962 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,7381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7892,,,,,,1962 Secretary of State,,,
Rhode Island,,,Kent,23622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21351,,,,,,1962 Secretary of State,,,
Rhode Island,,,Newport,11516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9745,,,,,,1962 Secretary of State,,,
Rhode Island,,,Providence,135903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76445,,,,,,1962 Secretary of State,,,
Rhode Island,,,Washington,8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10698,,,,,,1962 Secretary of State,,,
Rhode Island,,,Bristol,7382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7962,,,,,,1962 Treasurer,,,
Rhode Island,,,Kent,24792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20541,,,,,,1962 Treasurer,,,
Rhode Island,,,Newport,10515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11150,,,,,,1962 Treasurer,,,
Rhode Island,,,Providence,138149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73573,,,,,,1962 Treasurer,,,
Rhode Island,,,Washington,9143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10412,,,,,,1962 Treasurer,,,
Rhode Island,,,Bristol,8458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9001,,,,,,1964 Attorney General,,,
Rhode Island,,,Kent,27246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26287,,,,,,1964 Attorney General,,,
Rhode Island,,,Newport,14245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10223,,,,,,1964 Attorney General,,,
Rhode Island,,,Providence,147143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100205,,,,,,1964 Attorney General,,,
Rhode Island,,,Washington,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11556,,,,,,1964 Attorney General,,,
Rhode Island,,,Bristol,7616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10010,,,,,,1964 Lt. Gubernatorial,,,
Rhode Island,,,Kent,23880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29577,,,,,,1964 Lt. Gubernatorial,,,
Rhode Island,,,Newport,11853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12687,,,,,,1964 Lt. Gubernatorial,,,
Rhode Island,,,Providence,137177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110453,,,,,,1964 Lt. Gubernatorial,,,
Rhode Island,,,Washington,10502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12982,,,,,,1964 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7865,,,,,,1964 Secretary of State,,,
Rhode Island,,,Kent,30492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21288,,,,,,1964 Secretary of State,,,
Rhode Island,,,Newport,14680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9085,,,,,,1964 Secretary of State,,,
Rhode Island,,,Providence,164484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77258,,,,,,1964 Secretary of State,,,
Rhode Island,,,Washington,12367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10582,,,,,,1964 Secretary of State,,,
Rhode Island,,,Bristol,9751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7352,,,,,,1964 Treasurer,,,
Rhode Island,,,Kent,32175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20064,,,,,,1964 Treasurer,,,
Rhode Island,,,Newport,14747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8876,,,,,,1964 Treasurer,,,
Rhode Island,,,Providence,167947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73904,,,,,,1964 Treasurer,,,
Rhode Island,,,Washington,12714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10225,,,,,,1964 Treasurer,,,
Rhode Island,,,Bristol,5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10194,,,,,,1966 Attorney General,,,
Rhode Island,,,Kent,21369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29432,,,,,,1966 Attorney General,,,
Rhode Island,,,Newport,10121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11620,,,,,,1966 Attorney General,,,
Rhode Island,,,Providence,103509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107501,,,,,,1966 Attorney General,,,
Rhode Island,,,Washington,8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12911,,,,,,1966 Attorney General,,,
Rhode Island,,,Bristol,5597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10535,,,,,,1966 Lt. Gubernatorial,,,
Rhode Island,,,Kent,19112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31582,,,,,,1966 Lt. Gubernatorial,,,
Rhode Island,,,Newport,8637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13085,,,,,,1966 Lt. Gubernatorial,,,
Rhode Island,,,Providence,98861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111711,,,,,,1966 Lt. Gubernatorial,,,
Rhode Island,,,Washington,8157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13303,,,,,,1966 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,6699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9187,,,,,,1966 Secretary of State,,,
Rhode Island,,,Kent,23198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26622,,,,,,1966 Secretary of State,,,
Rhode Island,,,Newport,10570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10523,,,,,,1966 Secretary of State,,,
Rhode Island,,,Providence,117169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88071,,,,,,1966 Secretary of State,,,
Rhode Island,,,Washington,9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935,,,,,,1966 Secretary of State,,,
Rhode Island,,,Bristol,6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9233,,,,,,1966 Treasurer,,,
Rhode Island,,,Kent,22792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26826,,,,,,1966 Treasurer,,,
Rhode Island,,,Newport,10356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10488,,,,,,1966 Treasurer,,,
Rhode Island,,,Providence,110635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92408,,,,,,1966 Treasurer,,,
Rhode Island,,,Washington,8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11994,,,,,,1966 Treasurer,,,
Rhode Island,,,Bristol,7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11132,,,,,,1968 Attorney General,,,
Rhode Island,,,Kent,24299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34298,,,,,,1968 Attorney General,,,
Rhode Island,,,Newport,11905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14298,,,,,,1968 Attorney General,,,
Rhode Island,,,Providence,120301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121712,,,,,,1968 Attorney General,,,
Rhode Island,,,Washington,10251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15582,,,,,,1968 Attorney General,,,
Rhode Island,,,Bristol,8407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180,,,,,,1968 Lt. Gubernatorial,,,
Rhode Island,,,Kent,26838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31207,,,,,,1968 Lt. Gubernatorial,,,
Rhode Island,,,Newport,12461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13447,,,,,,1968 Lt. Gubernatorial,,,
Rhode Island,,,Providence,134901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103837,,,,,,1968 Lt. Gubernatorial,,,
Rhode Island,,,Washington,11060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14652,,,,,,1968 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,9520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8869,,,,,,1968 Secretary of State,,,
Rhode Island,,,Kent,29962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26529,,,,,,1968 Secretary of State,,,
Rhode Island,,,Newport,14203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11011,,,,,,1968 Secretary of State,,,
Rhode Island,,,Providence,147621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85387,,,,,,1968 Secretary of State,,,
Rhode Island,,,Washington,12165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13045,,,,,,1968 Secretary of State,,,
Rhode Island,,,Bristol,8833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9271,,,,,,1968 Treasurer,,,
Rhode Island,,,Kent,28960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27913,,,,,,1968 Treasurer,,,
Rhode Island,,,Newport,13452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632,,,,,,1968 Treasurer,,,
Rhode Island,,,Providence,139975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92456,,,,,,1968 Treasurer,,,
Rhode Island,,,Washington,11748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13461,,,,,,1968 Treasurer,,,
Rhode Island,,,Bristol,6489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10704,,,,,,1970 Attorney General,,,
Rhode Island,,,Kent,20906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34331,,,,,,1970 Attorney General,,,
Rhode Island,,,Newport,10512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12449,,,,,,1970 Attorney General,,,
Rhode Island,,,Providence,97871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118047,,,,,,1970 Attorney General,,,
Rhode Island,,,Washington,9429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14432,,,,,,1970 Attorney General,,,
Rhode Island,,,Bristol,9307,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,7213,,,,,,1970 Lt. Gubernatorial,,,
Rhode Island,,,Kent,31252,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,22121,,,,,,1970 Lt. Gubernatorial,,,
Rhode Island,,,Newport,12924,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,9043,,,,,,1970 Lt. Gubernatorial,,,
Rhode Island,,,Providence,133792,,,,,,,,,,,,,,,,,,1386,,,,,,,,,,,,,,,,69659,,,,,,1970 Lt. Gubernatorial,,,
Rhode Island,,,Washington,12322,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,10844,,,,,,1970 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,8841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7643,,,,,,1970 Secretary of State,,,
Rhode Island,,,Kent,28732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24344,,,,,,1970 Secretary of State,,,
Rhode Island,,,Newport,12217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9581,,,,,,1970 Secretary of State,,,
Rhode Island,,,Providence,128314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74416,,,,,,1970 Secretary of State,,,
Rhode Island,,,Washington,11719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11312,,,,,,1970 Secretary of State,,,
Rhode Island,,,Bristol,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7105,,,,,,1970 Treasurer,,,
Rhode Island,,,Kent,30481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22214,,,,,,1970 Treasurer,,,
Rhode Island,,,Newport,12554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8744,,,,,,1970 Treasurer,,,
Rhode Island,,,Providence,127765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72496,,,,,,1970 Treasurer,,,
Rhode Island,,,Washington,12296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10560,,,,,,1970 Treasurer,,,
Rhode Island,,,Bristol,7908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13015,,,,,,1972 Attorney General,,,
Rhode Island,,,Kent,25116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42461,,,,,,1972 Attorney General,,,
Rhode Island,,,Newport,12825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16750,,,,,,1972 Attorney General,,,
Rhode Island,,,Providence,111452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137151,,,,,,1972 Attorney General,,,
Rhode Island,,,Washington,10735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20492,,,,,,1972 Attorney General,,,
Rhode Island,,,Bristol,11586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8731,,,,,,1972 Lt. Gubernatorial,,,
Rhode Island,,,Kent,37416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28953,,,,,,1972 Lt. Gubernatorial,,,
Rhode Island,,,Newport,17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11363,,,,,,1972 Lt. Gubernatorial,,,
Rhode Island,,,Providence,154040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85459,,,,,,1972 Lt. Gubernatorial,,,
Rhode Island,,,Washington,15883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14809,,,,,,1972 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,10309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9488,,,,,,1972 Secretary of State,,,
Rhode Island,,,Kent,33127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30910,,,,,,1972 Secretary of State,,,
Rhode Island,,,Newport,15081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12610,,,,,,1972 Secretary of State,,,
Rhode Island,,,Providence,143448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90451,,,,,,1972 Secretary of State,,,
Rhode Island,,,Washington,14134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15766,,,,,,1972 Secretary of State,,,
Rhode Island,,,Bristol,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10043,,,,,,1972 Treasurer,,,
Rhode Island,,,Kent,33735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30855,,,,,,1972 Treasurer,,,
Rhode Island,,,Newport,14492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13299,,,,,,1972 Treasurer,,,
Rhode Island,,,Providence,134926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100405,,,,,,1972 Treasurer,,,
Rhode Island,,,Washington,14031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15874,,,,,,1972 Treasurer,,,
Rhode Island,,,Bristol,8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8566,,,,,,1974 Attorney General,,,
Rhode Island,,,Kent,27663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27692,,,,,,1974 Attorney General,,,
Rhode Island,,,Newport,12088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10432,,,,,,1974 Attorney General,,,
Rhode Island,,,Providence,109840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89080,,,,,,1974 Attorney General,,,
Rhode Island,,,Washington,12889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13435,,,,,,1974 Attorney General,,,
Rhode Island,,,Bristol,11226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806,,,,,,1974 Lt. Gubernatorial,,,
Rhode Island,,,Kent,39966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13052,,,,,,1974 Lt. Gubernatorial,,,
Rhode Island,,,Newport,14030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730,,,,,,1974 Lt. Gubernatorial,,,
Rhode Island,,,Providence,146773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,,,,1974 Lt. Gubernatorial,,,
Rhode Island,,,Washington,17206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7936,,,,,,1974 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,10485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129,,,,,,1974 Secretary of State,,,
Rhode Island,,,Kent,35949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15330,,,,,,1974 Secretary of State,,,
Rhode Island,,,Newport,14734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939,,,,,,1974 Secretary of State,,,
Rhode Island,,,Providence,136744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45735,,,,,,1974 Secretary of State,,,
Rhode Island,,,Washington,16373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8160,,,,,,1974 Secretary of State,,,
Rhode Island,,,Bristol,9207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6621,,,,,,1974 Treasurer,,,
Rhode Island,,,Kent,31591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20285,,,,,,1974 Treasurer,,,
Rhode Island,,,Newport,12980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7747,,,,,,1974 Treasurer,,,
Rhode Island,,,Providence,121980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62067,,,,,,1974 Treasurer,,,
Rhode Island,,,Washington,14298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10378,,,,,,1974 Treasurer,,,
Rhode Island,,,Bristol,12963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7134,,,,,,1976 Attorney General,,,
Rhode Island,,,Kent,44076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22590,,,,,,1976 Attorney General,,,
Rhode Island,,,Newport,20467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9162,,,,,,1976 Attorney General,,,
Rhode Island,,,Providence,173907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58287,,,,,,1976 Attorney General,,,
Rhode Island,,,Washington,21109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12513,,,,,,1976 Attorney General,,,
Rhode Island,,,Bristol,10970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8360,,,,,,1976 Lt. Gubernatorial,,,
Rhode Island,,,Kent,37596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26392,,,,,,1976 Lt. Gubernatorial,,,
Rhode Island,,,Newport,17481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11057,,,,,,1976 Lt. Gubernatorial,,,
Rhode Island,,,Providence,145676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78821,,,,,,1976 Lt. Gubernatorial,,,
Rhode Island,,,Washington,17091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15386,,,,,,1976 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,11628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7324,,,,,,1976 Secretary of State,,,
Rhode Island,,,Kent,40234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,,,,,,1976 Secretary of State,,,
Rhode Island,,,Newport,18178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9874,,,,,,1976 Secretary of State,,,
Rhode Island,,,Providence,157486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62283,,,,,,1976 Secretary of State,,,
Rhode Island,,,Washington,18574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13633,,,,,,1976 Secretary of State,,,
Rhode Island,,,Bristol,9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10130,,,,,,1976 Treasurer,,,
Rhode Island,,,Kent,34723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31523,,,,,,1976 Treasurer,,,
Rhode Island,,,Newport,15040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14393,,,,,,1976 Treasurer,,,
Rhode Island,,,Providence,143604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89583,,,,,,1976 Treasurer,,,
Rhode Island,,,Washington,15246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18140,,,,,,1976 Treasurer,,,
Rhode Island,,,Bristol,6997,,,,,,,,,,,,,,,,,,,,,,,933,,,,,,,,,,,7287,,,,,,1978 Attorney General,,,
Rhode Island,,,Kent,23777,,,,,,,,,,,,,,,,,,,,,,,3913,,,,,,,,,,,24291,,,,,,1978 Attorney General,,,
Rhode Island,,,Newport,11666,,,,,,,,,,,,,,,,,,,,,,,1641,,,,,,,,,,,9126,,,,,,1978 Attorney General,,,
Rhode Island,,,Providence,90675,,,,,,,,,,,,,,,,,,,,,,,14664,,,,,,,,,,,83254,,,,,,1978 Attorney General,,,
Rhode Island,,,Washington,11842,,,,,,,,,,,,,,,,,,,,,,,1855,,,,,,,,,,,13102,,,,,,1978 Attorney General,,,
Rhode Island,,,Bristol,7654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7042,,,,,,1978 Lt. Gubernatorial,,,
Rhode Island,,,Kent,27050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23561,,,,,,1978 Lt. Gubernatorial,,,
Rhode Island,,,Newport,12571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9047,,,,,,1978 Lt. Gubernatorial,,,
Rhode Island,,,Providence,105307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76397,,,,,,1978 Lt. Gubernatorial,,,
Rhode Island,,,Washington,13192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12862,,,,,,1978 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287,,,,,,1978 Secretary of State,,,
Rhode Island,,,Kent,30650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17670,,,,,,1978 Secretary of State,,,
Rhode Island,,,Newport,13471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7275,,,,,,1978 Secretary of State,,,
Rhode Island,,,Providence,124842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45056,,,,,,1978 Secretary of State,,,
Rhode Island,,,Washington,14941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10169,,,,,,1978 Secretary of State,,,
Rhode Island,,,Bristol,9258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4879,,,,,,1978 Treasurer,,,
Rhode Island,,,Kent,34402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14475,,,,,,1978 Treasurer,,,
Rhode Island,,,Newport,13702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6965,,,,,,1978 Treasurer,,,
Rhode Island,,,Providence,132405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42084,,,,,,1978 Treasurer,,,
Rhode Island,,,Washington,15415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9650,,,,,,1978 Treasurer,,,
Rhode Island,,,Bristol,13534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6224,,,,,,1980 Attorney General,,,
Rhode Island,,,Kent,47739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19526,,,,,,1980 Attorney General,,,
Rhode Island,,,Newport,21405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9266,,,,,,1980 Attorney General,,,
Rhode Island,,,Providence,162607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66996,,,,,,1980 Attorney General,,,
Rhode Island,,,Washington,25325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12040,,,,,,1980 Attorney General,,,
Rhode Island,,,Bristol,11922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7746,,,,,,1980 Lt. Gubernatorial,,,
Rhode Island,,,Kent,44770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20729,,,,,,1980 Lt. Gubernatorial,,,
Rhode Island,,,Newport,20222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9705,,,,,,1980 Lt. Gubernatorial,,,
Rhode Island,,,Providence,153637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69246,,,,,,1980 Lt. Gubernatorial,,,
Rhode Island,,,Washington,22998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13504,,,,,,1980 Lt. Gubernatorial,,,
Rhode Island,,,Bristol,9178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10746,,,,,,1980 Secretary of State,,,
Rhode Island,,,Kent,31776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35291,,,,,,1980 Secretary of State,,,
Rhode Island,,,Newport,14971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15888,,,,,,1980 Secretary of State,,,
Rhode Island,,,Providence,125034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102850,,,,,,1980 Secretary of State,,,
Rhode Island,,,Washington,16055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21533,,,,,,1980 Secretary of State,,,
Rhode Island,,,Bristol,13941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459,,,,,,1980 Treasurer,,,
Rhode Island,,,Kent,49017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670,,,,,,1980 Treasurer,,,
Rhode Island,,,Newport,21076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8713,,,,,,1980 Treasurer,,,
Rhode Island,,,Providence,177511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47395,,,,,,1980 Treasurer,,,
Rhode Island,,,Washington,25238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10878,,,,,,1980 Treasurer,,,
Rhode Island,,,Bristol,8780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7841,,,,,,1982 Attorney General,,,
Rhode Island,,,Kent,31128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26487,,,,,,1982 Attorney General,,,
Rhode Island,,,Newport,14774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10930,,,,,,1982 Attorney General,,,
