State,Year,Office,County,D#,R%,GB#,Wor.#,CL#,ST#,Cit.#,Justice#,Delta#,PF#,Proh.#,Pop.#,ND#,Comm.#,SL#,Prog.#,S&L#,S#,SW#,U#,UL#,AI#,IND#,I1#,I2#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,R#,I#,W/I#,CM#,Mod.#,Comp.#,Year / Office,Town,I3#,I4#
Rhode Island,1908,President,Providence,18880,32037,,,,,,,,,653,,,,161,,,1228,,,,,812,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1908,President,Washington,1278,3043,,,,,,,,,132,,,,5,,,64,,,,,57,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Bristol,1077,1126,,,,,,,,,27,,,,7,437,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Kent,2030,2170,,,,,,,,,44,,,,11,1284,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Newport,2487,2583,,,,,,,,,59,,,,12,1279,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Providence,23127,19695,,,,,,,,,403,,,,195,13090,,1899,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1912,President,Washington,1691,2129,,,,,,,,,83,,,,11,788,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Bristol,1292,1574,,,,,,,,,18,,,,10,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Kent,2632,4038,,,,,,,,,43,,,,16,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Newport,2932,4003,,,,,,,,,43,,,,11,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Providence,31314,32406,,,,,,,,,308,,,,142,,,1722,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1916,President,Washington,2224,2837,,,,,,,,,58,,,,1,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1920,President,Bristol,1569,3692,,,,1,,,,,37,,,,13,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1920,President,Kent,3394,8474,,,,2,,,,,46,,,,29,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1920,President,Newport,2228,9319,,,,8,,,,,47,,,,22,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1920,President,Providence,45859,79558,,,,88,,,,,337,,,,415,,,3534,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1920,President,Washington,2012,6420,,,,1,,,,,43,,,,16,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1924,President,Bristol,2500,4076,,2,2,,,,,,,,,,3,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1924,President,Kent,5429,11100,,11,0,,,,,,,,,,14,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1924,President,Newport,3975,9608,,18,0,,,,,,,,,,13,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1924,President,Providence,62336,92464,,245,36,,,,,,,,,,226,6243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1924,President,Washington,2366,8038,,13,0,,,,,,,,,,12,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1928,President,Bristol,4080,3780,,2,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1928,President,Kent,7460,11487,,30,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1928,President,Newport,6748,8578,,18,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1928,President,Providence,97185,85884,,227,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1928,President,Washington,3500,7793,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1932,President,Bristol,4775,3833,,,,,,,,,7,,,5,15,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1932,President,Kent,10398,11096,,,,,,,,,17,,,14,28,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1932,President,Newport,7838,8633,,,,,,,,,12,,,18,26,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1932,President,Providence,118546,84397,,,,,,,,,128,,,491,351,,,2631,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1932,President,Washington,5047,7307,,,,,,,,,19,,,18,13,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1936,President,Bristol,5327,4867,,,,,,,,,,,,4,23,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1936,President,Kent,13238,13550,,,,,,,,,,,,26,54,,,,,1151,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1936,President,Newport,9499,9358,,,,,,,,,,,,14,48,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1936,President,Providence,131218,88492,,,,,,,,,,,,361,775,,,,,17234,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1936,President,Washington,5956,8764,,,,,,,,,,,,6,29,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1940,President,Bristol,5967,5314,,,,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1940,President,Kent,14333,14790,,,,,,,,,8,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1940,President,Newport,10645,9882,,,,,,,,,4,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1940,President,Providence,145236,99434,,,,,,,,,53,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1940,President,Washington,6001,9233,,,,,,,,,6,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1944,President,Bristol,6287,4919,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1944,President,Kent,14059,13710,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1944,President,Newport,11375,9435,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1944,President,Providence,137216,87190,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1944,President,Washington,6419,8233,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1948,President,Bristol,7562,5343,,,,,,,,,,,,,0,65,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1948,President,Kent,15287,16299,,,,,,,,,,,,,3,171,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1948,President,Newport,9254,10756,,,,,,,,,,,,,11,101,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1948,President,Providence,149254,93867,,,,,,,,,,,,,111,2169,,347,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1948,President,Washington,7379,9522,,,,,,,,,,,,,6,113,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1952,President,Bristol,8313,8468,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1952,President,Kent,17824,27745,,,,,,,,,,,,,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1952,President,Newport,11116,15136,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1952,President,Providence,157592,146197,,,,,,,,,,,,,64,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1952,President,Washington,8448,13389,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1956,President,Bristol,6748,10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1956,President,Kent,16298,31548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1956,President,Newport,9433,16063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Rhode Island,1956,President,Providence,121861,153860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1956,President,Washington,7450,14278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1960,President,Bristol,11099,7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1960,President,Kent,30662,24344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1960,President,Newport,15677,11942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1960,President,Providence,189014,91028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Rhode Island,1960,President,Washington,11580,12651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rhode Island,1964,President,Bristol,14306,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1964,President,Kent,44476,12297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1964,President,Newport,19782,7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1964,President,Providence,219465,43432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1964,President,Washington,17434,7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1968,President,Bristol,11561,7403,,,,,,,,,,,,,,,,,17,,,483,,,,,,,,,6,4,1,0,,,,,,,,,,
Rhode Island,1968,President,Kent,35609,22493,,,,,,,,,,,,,,,,,45,,,2519,,,,,,,,,4,7,0,1,,,,,,,,,,
Rhode Island,1968,President,Newport,16251,10504,,,,,,,,,,,,,,,,,28,,,1043,,,,,,,,,1,3,0,0,,,,,,,,,,
Rhode Island,1968,President,Providence,169246,70320,,,,,,,,,,,,,,,,,260,,,10347,,,,,,,,,9,9,5,3,,,,,,,,,,
Rhode Island,1968,President,Washington,13851,11639,,,,,,,,,,,,,,,,,33,,,1286,,,,,,,,,6,2,1,0,,,,,,,,,,
Rhode Island,1972,President,Bristol,9928,12009,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,1,2,1,0,,,,,,,,,,
Rhode Island,1972,President,Kent,29004,40534,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,5,2,3,0,,,,,,,,,,
Rhode Island,1972,President,Newport,12844,19142,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,5,2,0,0,,,,,,,,,,
Rhode Island,1972,President,Providence,129232,129418,,,,,,,,,,,,,,,,,487,,,,,,,,,,,,11,6,0,2,,,,,,,,,,
Rhode Island,1972,President,Washington,13637,19280,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,3,7,1,0,,,,,,,,,,
Rhode Island,1976,President,Bristol,11228,10131,,,,,,,,,,,,11,3,,,,21,,,,,,,,,,31,,,,,,,,,,,,,,,
Rhode Island,1976,President,Kent,35855,34131,,,,,,,,,,,,45,25,,,,50,,,,,,,,,,107,,,,,,,,,,,,,,,
Rhode Island,1976,President,Newport,17768,15155,,,,,,,,,,,,16,13,,,,38,,,,,,,,,,117,,,,,,,,,,,,,,,
Rhode Island,1976,President,Providence,144805,103976,,,,,,,,,,,,238,129,,,,289,,,,,,,,,,380,,,,,,,,,,,,,,,
Rhode Island,1976,President,Washington,17980,17856,,,,,,,,,,,,24,18,,,,64,,,,,,,,,,80,,,,,,,,,,,,,,,
Rhode Island,1980,President,Bristol,9851,8508,,2,,,,,,,,,,19,,,,6,4,,,,,3358,,,,,104,,,,,,,,,,,,,,,
Rhode Island,1980,President,Kent,31350,28331,,18,,,,,,,,,,27,,,,24,8,,,,,10793,,,,,454,,,,,,,,,,,,,,,
Rhode Island,1980,President,Newport,13904,14555,,3,,,,,,,,,,5,,,,13,4,,,,,5575,,,,,297,,,,,,,,,,,,,,,
Rhode Island,1980,President,Providence,126808,86467,,51,,,,,,,,,,149,,,,110,52,,,,,32994,,,,,1296,,,,,,,,,,,,,,,
Rhode Island,1980,President,Washington,16429,16932,,3,,,,,,,,,,18,,,,17,22,,,,,7099,,,,,307,,,,,,,,,,,,,,,
Rhode Island,1984,President,Bristol,9386,11635,,3,,,12,,,,,,,2,,,,,5,,,20,,,,,,,18,3,,,,,,,,,,,,,,
Rhode Island,1984,President,Kent,31352,40427,,9,,,62,,,,,,,12,,,,,9,,,73,,,,,,,43,6,,,,,,,,,,,,,,
Rhode Island,1984,President,Newport,14466,19629,,4,,,10,,,,,,,5,,,,,2,,,51,,,,,,,38,4,,,,,,,,,,,,,,
Rhode Island,1984,President,Providence,124109,116024,,62,,,130,,,,,,,42,,,,,39,,,316,,,,,,,143,33,,,,,,,,,,,,,,
Rhode Island,1984,President,Washington,17793,24365,,13,,,26,,,,,,,14,,,,,6,,,50,,,,,,,35,3,,,,,,,,,,,,,,
Rhode Island,1988,President,Bristol,11168,10626,,,,,,,,13,,8,,,,,,1,5,,,,,,,,,,50,12,,,,,,,,,,,,,,
Rhode Island,1988,President,Kent,37221,34314,,,,,,,,38,,27,,,,,,12,21,,,,,,,,,,137,31,,,,,,,,,,,,,,
Rhode Island,1988,President,Newport,17597,16923,,,,,,,,13,,18,,,,,,4,15,,,,,,,,,,88,6,,,,,,,,,,,,,,
Rhode Island,1988,President,Providence,135927,94248,,,,,,,,106,,89,,,,,,66,77,,,,,,,,,,456,190,,,,,,,,,,,,,,
Rhode Island,1988,President,Washington,23210,21650,,,,,,,,25,,17,,,,,,13,12,,,,,,,,,,94,41,,,,,,,,,,,,,,
Rhode Island,1992,President,Bristol,11414,8208,,,,,,,,,,,,,,,,,,,,6,,5132,25,11,,,31,84,,,,,,,,,,,,,,
Rhode Island,1992,President,Kent,35934,25217,,,,,,,,,,,,,,,,,,,,39,,20690,62,40,,,82,361,,,,,,,,,,,,,,
Rhode Island,1992,President,Newport,17584,12386,,,,,,,,,,,,,,,,,,,,16,,9366,22,20,,,57,193,,,,,,,,,,,,,,
Rhode Island,1992,President,Providence,125358,69579,,,,,,,,,,,,,,,,,,,,136,,56575,336,157,,,323,977,,,,,,,,,,,,,,
Rhode Island,1992,President,Washington,23009,16211,,,,,,,,,,,,,,,,,,,,18,,13282,49,34,,,78,263,,,,,,,,,,,,,,
Rhode Island,1996,President,Bristol,12257,6988,,4,,,,,,,,,,,,,,,,,,57,,,,28,1990,283,64,,,,,,,,,,,,,,,
Rhode Island,1996,President,Kent,41018,19992,,34,,,,,,,,,,,,,,,,,,176,,,,61,9240,839,166,,,,,,,,,,,,,,,
Rhode Island,1996,President,Newport,18951,11500,,11,,,,,,,,,,,,,,,,,,97,,,,48,3785,583,121,,,,,,,,,,,,,,,
Rhode Island,1996,President,Providence,134866,49901,,117,,,,,,,,,,,,,,,,,,520,,,,225,22724,3165,604,,,,,,,,,,,,,,,
Rhode Island,1996,President,Washington,25958,16302,,20,,,,,,,,,,,,,,,,,,171,,,,73,5984,1170,154,,,,,,,,,,,,,,,
Rhode Island,2000,President,Bristol,13424,8375,,6,,,,,,,,,,,,,,1,0,,,4,,,,16,107,1283,36,,20,,,,,,,,,,,,,
Rhode Island,2000,President,Kent,43265,25291,,30,,,,,,,,,,,,,,14,2,,,17,,,,40,480,4140,135,,56,,,,,,,,,,,,,
Rhode Island,2000,President,Newport,20790,14258,,21,,,,,,,,,,,,,,4,3,,,8,,,,31,158,2427,96,,42,,,,,,,,,,,,,
Rhode Island,2000,President,Providence,142469,61378,,118,,,,,,,,,,,,,,26,26,,,48,,,,133,1271,12352,339,,148,,,,,,,,,,,,,
Rhode Island,2000,President,Washington,29560,21253,,24,,,,,,,,,,,,,,7,3,,,20,,,,51,257,4850,136,,63,,,,,,,,,,,,,
Rhode Island,2004,President,Bristol,14448,9855,,14,,,,,,,,,,,,,,,,,,6,,,,,233,61,60,,55,,,,,,,,,,,,,
Rhode Island,2004,President,Kent,42830,33699,,43,,,,,,,,,,,,,,,,,,62,,,,,860,189,159,,176,,,,,,,,,,,,,
Rhode Island,2004,President,Newport,22992,16622,,20,,,,,,,,,,,,,,,,,,37,,,,,454,119,93,,89,,,,,,,,,,,,,
