State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1900,President,Kimball,48,137,,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Knox,1630,1600,,9,43,65,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Lancaster,5677,7465,,18,41,306,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Lincoln,1169,1386,,5,21,31,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Logan,102,107,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Loup,137,149,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Madison,54,85,,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,McPherson,1690,2060,,2,12,46,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Merrick,996,1212,,6,6,98,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Nance,853,1091,,1,21,26,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Nemaha,1779,1783,,15,15,56,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Nuckolls,1480,1471,,3,13,30,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Otoe,2327,2718,,6,17,86,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Pawnee,1121,1632,,4,15,96,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Perkins,231,184,,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Phelps,979,1202,,2,25,49,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Pierce,913,919,,1,3,19,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Platte,2117,1608,,5,15,33,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Polk,1376,1023,,3,11,67,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Red Willow,905,1192,,6,16,38,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Richardson,2529,2491,,5,8,38,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Rock,243,481,,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Saline,2018,2238,,8,22,76,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Sarpy,1090,792,,8,4,34,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Saunders,2762,2325,,14,12,74,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Scotts Bluff,276,400,,5,9,16,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Seward,1865,1937,,0,9,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Sheridan,703,626,,4,18,22,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Sherman,743,503,,24,17,15,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Sioux,248,199,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Stanton,751,788,,0,11,11,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Thayer,1516,1825,,3,4,26,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Thomas,80,65,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Thurston,656,803,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,
