State,Year,Office,County,D#,R#,IDB#,Cit.#,WW#,NA#,NER#,WL#,BL#,Justice#,PF#,Proh.#,IGR#,GR#,SD#,GB#,ND#,UL#,Pop.#,CF#,Comm.#,FL#,SW#,S&L#,SE#,S#,Ind.#,SL#,Wor.#,SI#,Indus.#,IL#,Prog.#,U#,AI#,I1#,I2#,IND#,NL#,RefM#,Ref.#,LMN#,G#,L#,W/I1#,W/2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,D1#,D2#,Indus#,PII#,NU#,Res.#,IG#,Am.#,RW#,W/I2#,Eco,Reso,QRT#,TPC#,NRA#,ER#,IR#,HG#,SA#,PO#,Mid-P.,W/I#,Ind.All#
Minnesota,1884,President,Isanti,113,1243,,,,,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Jackson,146,652,,,,,,,,,,17,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Kanabec,40,280,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Kandiyohi,212,1858,,,,,,,,,,13,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Kittson,186,315,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Lac Qui Parle,220,966,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Lake,6,74,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Le Sueur,1861,1618,,,,,,,,,,45,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Lincoln,154,599,,,,,,,,,,5,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Lyon,242,1223,,,,,,,,,,99,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Marshall,1578,1071,,,,,,,,,,105,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Martin,157,584,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,McLeod,260,736,,,,,,,,,,109,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Meeker,859,1456,,,,,,,,,,118,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Mille Lacs,140,301,,,,,,,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Morrison,1010,687,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Mower,780,1666,,,,,,,,,,38,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Murray,244,627,,,,,,,,,,18,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Nicollet,701,1129,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Nobles,246,491,,,,,,,,,,131,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Norman,295,916,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Olmsted,1539,2127,,,,,,,,,,155,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Otter Tail,1510,3425,,,,,,,,,,44,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
