State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,2012,President,Missoula,32824,22652,,,,,,,,,,,,,,,,,1716,,,,,,1,27,10,2,,,,,,,,,
Montana,2012,President,Musselshell,492,1833,,,,,,,,,,,,,,,,,82,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Park,3783,4709,,,,,,,,,,,,,,,,,276,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Petroleum,49,240,,,,,,,,,,,,,,,,,9,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Phillips,471,1688,,,,,,,,,,,,,,,,,69,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Pondera,975,1673,,,,,,,,,,,,,,,,,71,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Powder River,170,833,,,,,,,,,,,,,,,,,24,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Powell,888,1806,,,,,,,,,,,,,,,,,82,,,,,,0,1,0,0,,,,,,,,,
Montana,2012,President,Prairie,167,520,,,,,,,,,,,,,,,,,16,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Ravalli,7285,14307,,,,,,,,,,,,,,,,,614,,,,,,0,5,0,0,,,,,,,,,
Montana,2012,President,Richland,1002,3510,,,,,,,,,,,,,,,,,133,,,,,,0,0,1,0,,,,,,,,,
Montana,2012,President,Roosevelt,2086,1514,,,,,,,,,,,,,,,,,72,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Rosebud,1422,2004,,,,,,,,,,,,,,,,,97,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Sanders,1720,3980,,,,,,,,,,,,,,,,,201,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Sheridan,665,1207,,,,,,,,,,,,,,,,,56,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Silver Bow,10857,5430,,,,,,,,,,,,,,,,,469,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Stillwater,1248,3337,,,,,,,,,,,,,,,,,117,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Sweet Grass,475,1594,,,,,,,,,,,,,,,,,48,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Teton,1082,2113,,,,,,,,,,,,,,,,,86,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Toole,582,1440,,,,,,,,,,,,,,,,,80,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Treasure,114,319,,,,,,,,,,,,,,,,,22,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Valley,1385,2337,,,,,,,,,,,,,,,,,137,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Wheatland,272,693,,,,,,,,,,,,,,,,,27,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Wibaux,98,421,,,,,,,,,,,,,,,,,25,,,,,,0,0,0,0,,,,,,,,,
Montana,2012,President,Yellowstone,26403,40500,,,,,,,,,,,,,,,,,1904,,,,,,0,0,0,0,,,,,,,,,
Montana,2016,President,Beaverhead,1143,3353,,,,,,,,,,,,,,,,,265,,,70,,18,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Big Horn,2094,1853,,,,,,,,,,,,,,,,,185,,,71,,21,0,12,0,0,1,0,0,0,,,,,
Montana,2016,President,Blaine,1202,1268,,,,,,,,,,,,,,,,,102,,,73,,26,0,12,0,1,0,0,0,0,,,,,
Montana,2016,President,Broadwater,573,2348,,,,,,,,,,,,,,,,,169,,,37,,5,0,0,1,0,0,0,0,0,,,,,
Montana,2016,President,Carbon,1828,3748,,,,,,,,,,,,,,,,,307,,,70,,14,0,20,4,0,0,0,0,0,,,,,
Montana,2016,President,Carter,70,678,,,,,,,,,,,,,,,,,24,,,6,,1,0,2,5,0,0,0,0,0,,,,,
Montana,2016,President,Cascade,12175,19632,,,,,,,,,,,,,,,,,1996,,,446,,135,1,163,20,2,0,1,0,0,,,,,
Montana,2016,President,Chouteau,732,1679,,,,,,,,,,,,,,,,,131,,,37,,10,0,11,3,0,0,0,0,0,,,,,
Montana,2016,President,Custer,1176,3657,,,,,,,,,,,,,,,,,302,,,35,,15,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Daniels,168,730,,,,,,,,,,,,,,,,,51,,,6,,0,0,3,4,0,0,0,0,0,,,,,
Montana,2016,President,Dawson,787,3320,,,,,,,,,,,,,,,,,184,,,33,,7,35,37,6,0,0,0,0,0,,,,,
Montana,2016,President,Deer Lodge,2058,1763,,,,,,,,,,,,,,,,,276,,,74,,23,0,8,4,0,0,0,0,0,,,,,
Montana,2016,President,Fallon,154,1279,,,,,,,,,,,,,,,,,45,,,4,,2,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Fergus,1202,4269,,,,,,,,,,,,,,,,,302,,,52,,15,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Flathead,13293,30240,,,,,,,,,,,,,,,,,2199,,,656,,106,926,71,4,0,1,0,0,0,,,,,
Montana,2016,President,Gallatin,24246,23802,,,,,,,,,,,,,,,,,4015,,,1061,,168,0,472,54,0,1,0,0,0,,,,,
Montana,2016,President,Garfield,34,653,,,,,,,,,,,,,,,,,27,,,1,,1,0,2,0,0,0,0,0,0,,,,,
Montana,2016,President,Glacier,3121,1620,,,,,,,,,,,,,,,,,203,,,95,,22,0,13,1,0,0,0,0,0,,,,,
Montana,2016,President,Golden Valley,71,365,,,,,,,,,,,,,,,,,29,,,3,,3,0,3,0,0,0,0,0,0,,,,,
Montana,2016,President,Granite,472,1192,,,,,,,,,,,,,,,,,83,,,25,,3,0,2,0,0,0,0,0,0,,,,,
Montana,2016,President,Hill,2371,3478,,,,,,,,,,,,,,,,,438,,,118,,21,0,16,3,0,0,0,0,0,,,,,
Montana,2016,President,Jefferson,1998,4177,,,,,,,,,,,,,,,,,394,,,75,,24,0,32,14,0,0,0,0,0,,,,,
Montana,2016,President,Judith Basin,235,872,,,,,,,,,,,,,,,,,79,,,12,,3,0,7,0,0,0,0,0,0,,,,,
Montana,2016,President,Lake,4776,7530,,,,,,,,,,,,,,,,,534,,,229,,41,0,56,15,0,0,0,0,0,,,,,
Montana,2016,President,Lewis and Clark,14478,16895,,,,,,,,,,,,,,,,,2210,,,559,,103,818,194,34,5,0,0,0,0,,,,,
Montana,2016,President,Liberty,206,698,,,,,,,,,,,,,,,,,47,,,2,,3,0,4,1,0,0,0,0,0,,,,,
Montana,2016,President,Lincoln,2041,6729,,,,,,,,,,,,,,,,,396,,,96,,22,0,40,6,0,0,0,0,0,,,,,
Montana,2016,President,Madison,154,862,,,,,,,,,,,,,,,,,37,,,7,,0,0,31,4,0,0,0,0,0,,,,,
Montana,2016,President,McCone,1180,3297,,,,,,,,,,,,,,,,,195,,,58,,13,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Meagher,193,729,,,,,,,,,,,,,,,,,41,,,10,,2,0,2,0,0,0,0,0,0,,,,,
Montana,2016,President,Mineral,519,1330,,,,,,,,,,,,,,,,,108,,,35,,11,0,7,2,0,0,0,0,0,,,,,
Montana,2016,President,Missoula,31543,22250,,,,,,,,,,,,,,,,,3357,,,1704,,172,1520,160,15,1,0,0,0,0,,,,,
Montana,2016,President,Musselshell,332,1967,,,,,,,,,,,,,,,,,94,,,18,,5,0,15,10,0,0,0,0,0,,,,,
Montana,2016,President,Park,3595,4980,,,,,,,,,,,,,,,,,500,,,200,,31,0,45,8,0,0,0,0,0,,,,,
Montana,2016,President,Petroleum,30,278,,,,,,,,,,,,,,,,,12,,,1,,1,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Phillips,318,1723,,,,,,,,,,,,,,,,,99,,,19,,2,0,10,0,0,0,0,0,0,,,,,
Montana,2016,President,Pondera,738,1799,,,,,,,,,,,,,,,,,135,,,34,,10,0,7,0,0,0,0,0,0,,,,,
Montana,2016,President,Powder River,127,884,,,,,,,,,,,,,,,,,39,,,1,,0,0,2,0,0,0,0,0,0,,,,,
Montana,2016,President,Powell,551,2029,,,,,,,,,,,,,,,,,163,,,41,,10,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Prairie,100,556,,,,,,,,,,,,,,,,,30,,,1,,2,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Ravalli,6223,14810,,,,,,,,,,,,,,,,,992,,,261,,60,0,178,31,1,0,0,0,0,,,,,
Montana,2016,President,Richland,671,3908,,,,,,,,,,,,,,,,,239,,,23,,6,0,24,0,0,0,0,0,0,,,,,
Montana,2016,President,Roosevelt,1560,1797,,,,,,,,,,,,,,,,,180,,,95,,16,0,4,0,0,0,0,0,0,,,,,
Montana,2016,President,Rosebud,987,2253,,,,,,,,,,,,,,,,,152,,,33,,15,0,12,1,0,0,0,0,0,,,,,
Montana,2016,President,Sanders,1218,4286,,,,,,,,,,,,,,,,,299,,,94,,13,0,38,5,0,0,0,0,0,,,,,
Montana,2016,President,Sheridan,477,1241,,,,,,,,,,,,,,,,,92,,,20,,2,0,1,2,0,0,0,0,0,,,,,
Montana,2016,President,Silver Bow,8619,6376,,,,,,,,,,,,,,,,,1057,,,293,,94,0,10,2,0,1,0,0,0,,,,,
Montana,2016,President,Stillwater,908,3661,,,,,,,,,,,,,,,,,251,,,35,,11,0,7,0,0,0,0,0,0,,,,,
Montana,2016,President,Sweet Grass,402,1595,,,,,,,,,,,,,,,,,77,,,23,,3,0,4,3,0,0,0,0,0,,,,,
Montana,2016,President,Teton,808,2170,,,,,,,,,,,,,,,,,162,,,27,,12,0,8,1,0,0,0,0,0,,,,,
Montana,2016,President,Toole,402,1497,,,,,,,,,,,,,,,,,96,,,29,,6,0,5,2,0,0,0,0,0,,,,,
Montana,2016,President,Treasure,59,351,,,,,,,,,,,,,,,,,26,,,6,,1,0,0,0,0,0,0,0,0,,,,,
Montana,2016,President,Valley,886,2698,,,,,,,,,,,,,,,,,234,,,44,,14,0,17,1,0,0,0,0,0,,,,,
Montana,2016,President,Wheatland,179,702,,,,,,,,,,,,,,,,,43,,,14,,6,0,2,0,0,0,0,0,0,,,,,
Montana,2016,President,Wibaux,55,463,,,,,,,,,,,,,,,,,18,,,0,,1,0,0,4,0,0,0,0,0,,,,,
Montana,2016,President,Yellowstone,22171,40920,,,,,,,,,,,,,,,,,4316,,,898,,239,1383,528,26,0,3,0,1,1,,,,,
Montana,1928,US Senate,Beaverhead,1456,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Big Horn,1306,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Blaine,1568,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Broadwater,891,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Carbon,2650,1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Carter,584,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Cascade,8570,6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Chouteau,1576,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Custer,2071,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Daniels,968,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Dawson,1748,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Deer Lodge,4053,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Fallon,627,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Fergus,3752,3284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Flathead,3098,3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Gallatin,3339,3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Garfield,767,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Glacier,1098,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Golden Valley,514,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Granite,740,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Hill,2716,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Jefferson,988,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Judith Basin,1298,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Lake,1555,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Lewis and Clark,3936,3656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Liberty,499,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Lincoln,1388,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Madison,1286,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,McCone,835,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Meagher,498,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Mineral,600,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Missoula,4127,4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Musselshell,1921,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Park,2371,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Petroleum,503,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Phillips,1328,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Pondera,1256,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Powder River,530,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Powell,1675,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Prairie,519,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Ravalli,1735,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Richland,1302,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Roosevelt,1495,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Rosebud,1500,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Sanders,1301,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Sheridan,1025,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Silver Bow,12266,8597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Stillwater,1004,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Sweet Grass,664,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Teton,1180,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Toole,1322,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Treasure,271,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Valley,1711,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Wheatland,795,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Wibaux,510,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1928,US Senate,Yellowstone,4369,5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Beaverhead,1340,1335,0,0,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Big Horn,1415,891,4,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Blaine,1877,769,4,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Broadwater,781,645,1,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Carbon,2387,1466,10,45,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Carter,744,451,4,0,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Cascade,8927,4899,22,40,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Chouteau,1974,1237,6,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Custer,1984,1090,27,0,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Daniels,1035,439,3,2,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Dawson,1588,891,1,0,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Deer Lodge,3153,2335,21,9,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Fallon,916,508,1,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Fergus,3630,2592,9,4,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Flathead,3625,2123,30,13,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Gallatin,3523,1852,6,4,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Garfield,867,687,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Glacier,1062,690,2,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Golden Valley,584,320,2,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Granite,681,501,3,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Hill,2861,1345,4,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Jefferson,958,795,8,2,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Judith Basin,1212,762,5,24,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Lake,1724,1066,14,2,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Lewis and Clark,3941,3233,7,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Liberty,604,220,0,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Lincoln,1392,623,58,9,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Madison,1174,1059,4,3,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,McCone,868,454,4,1,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Meagher,523,554,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Mineral,586,199,9,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Missoula,4431,2712,150,4,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Musselshell,1577,995,119,37,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Park,2300,1534,6,1,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Petroleum,485,399,0,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Phillips,1737,968,3,3,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Pondera,1518,848,3,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Powder River,622,522,3,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Powell,1633,925,6,6,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Prairie,640,628,0,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Ravalli,2240,1522,19,7,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Richland,1464,1012,1,3,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Roosevelt,1377,848,3,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Rosebud,2011,787,5,4,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Sanders,1154,575,210,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Sheridan,1148,766,8,6,,,,,,,,,967,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Silver Bow,10623,6762,168,87,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Stillwater,1093,1090,3,12,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Sweet Grass,709,664,1,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Teton,1102,768,2,3,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Toole,1374,824,1,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Treasure,284,215,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Valley,2452,941,6,9,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Wheatland,1036,600,0,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Wibaux,661,256,0,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1930,US Senate,Yellowstone,4667,3532,19,5,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Beaverhead,1477,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Big Horn,1666,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Blaine,1603,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Broadwater,630,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Carbon,2056,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Carter,423,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Cascade,12525,11585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Chouteau,1754,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Custer,2737,2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Daniels,1022,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Dawson,2279,2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Deer Lodge,5188,2415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Fallon,754,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Fergus,3249,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Flathead,7388,7236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Gallatin,4441,6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Garfield,444,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Glacier,2319,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Golden Valley,272,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Granite,666,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Hill,3671,3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Jefferson,819,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Judith Basin,875,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Lake,2715,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Lewis and Clark,6341,6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Liberty,497,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Lincoln,3163,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Madison,1145,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,McCone,856,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Meagher,407,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Mineral,849,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Missoula,10002,9450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Musselshell,1215,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Park,2581,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1960,US Senate,Petroleum,230,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
