State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,1908,President,Ravalli,859,1045,209,,,,,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Rosebud,235,515,19,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Sanders,325,473,55,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Silver Bow,6255,4618,2126,,,,,277,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Sweet Grass,264,526,35,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Teton,358,622,46,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Valley,503,843,67,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1908,President,Yellowstone,1114,1803,155,,,,,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1912,President,Beaverhead,713,708,110,,,,,,,,320,,,,,,,,,,,,,,1,,,,,,,,,,,,
Montana,1912,President,Blaine,318,204,108,,,,,,,,507,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Broadwater,451,205,80,,,,,,,,197,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Carbon,796,646,388,,,,,,,,766,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Cascade,1633,1079,838,,,,,,,,999,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Chouteau,402,561,129,,,,,,,,259,,,,,,,,,,,,,,3,,,,,,,,,,,,
Montana,1912,President,Custer,1068,695,247,,,,,,,,1192,,,,,,,,,,,,,,1,,,,,,,,,,,,
Montana,1912,President,Dawson,719,678,220,,,,,,,,1165,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Deer Lodge,1197,1060,139,,,,,,,,464,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Fergus,1393,745,421,,,,,,,,1104,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Flathead,1106,493,446,,,,,,,,1256,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Gallatin,1407,683,212,,,,,,,,929,,,,,,,,,,,,,,10,,,,,,,,,,,,
Montana,1912,President,Granite,346,195,92,,,,,,,,256,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Hill,624,536,323,,,,,,,,545,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Jefferson,479,239,176,,,,,,,,299,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Lewis and Clark,1505,1062,391,,,,,,,,1375,,,,,,,,,,,,,,2,,,,,,,,,,,,
Montana,1912,President,Lincoln,346,218,235,,,,,,,,206,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Madison,822,506,78,,,,,,,,457,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Meagher,473,321,75,,,,,,,,327,,,,,,,,,,,,,,3,,,,,,,,,,,,
Montana,1912,President,Missoula,1523,589,773,,,,,,,,1773,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Musselshell,470,483,215,,,,,,,,400,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Park,666,609,245,,,,,,,,687,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Powell,545,335,147,,,,,,,,418,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Ravalli,858,316,282,,,,,,,,896,,,,,,,,,,,,,,8,,,,,,,,,,,,
Montana,1912,President,Rosebud,313,392,80,,,,,,,,368,,,,,,,,,,,,,,3,,,,,,,,,,,,
Montana,1912,President,Sanders,414,257,161,,,,,,,,375,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Silver Bow,4542,2232,3320,,,,,,,,1802,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Sweet Grass,277,181,60,,,,,,,,424,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Teton,646,612,287,,,,,,,,446,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1912,President,Valley,696,668,362,,,,,,,,858,,,,,,,,,,,,,,1,,,,,,,,,,,,
Montana,1912,President,Yellowstone,1193,1004,245,,,,,,,,1386,,,,,,,,,,,,,,0,,,,,,,,,,,,
Montana,1916,President,Beaverhead,1463,1455,89,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Big Horn,740,497,15,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Blaine,1261,857,72,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Broadwater,1100,584,53,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Carbon,1926,1708,379,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Cascade,6612,3253,758,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Chouteau,2738,1486,183,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Custer,2602,1615,141,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Dawson,2835,2105,187,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Deer Lodge,4171,1860,109,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
