State,Year,Office,County,D#,R#,Prog.#,S#,AI#,L#,G#,I1#,I2#,I3#,I4#,I5#,NL#,Ref.#,W/I1#,W/2#,W/3#,D1#,D2#,D3#,D4#,D5#,I#,Ind.#,C#,O#,Others
Mississippi,1912,President,Pontotoc,1009,47,112,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Prentiss,839,85,141,33,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Quitman,195,4,15,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Rankin,718,7,15,25,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Scott,722,7,11,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Sharkey,157,3,8,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Simpson,606,19,32,25,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Smith,854,12,40,11,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Sunflower,462,9,23,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Tallahatchie,695,16,28,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Tate,612,23,57,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Tippah,1056,34,51,34,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Tishomingo,701,65,102,36,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Tunica,188,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Union,962,23,81,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Warren,1135,55,125,24,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Washington,731,20,72,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Wayne,569,15,25,46,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Webster,655,32,102,55,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Wilkinson,379,8,10,20,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Winston,743,9,41,29,,,,,,,,,,,,,,,,,,,,,,,
