State,Year,Office,County,D#,R#,Jeff.#,Nat.#,Wor.#,ST#,Jobless#,Indus.#,CL#,RO#,PF#,WL#,Cons.#,SW#,Proh.#,S#,WC#,Comm.#,Pop.#,SL#,IND#,Prog.#,Labor#,UL#,Am.#,AI#,I#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,Wash.#,GI.A.C.#,C#,WorComm#,CWL#,Consumer#,Patriot#,Mil.Wor.#,W/I#,GB#,IndGov#,MilWor#,UP#,BM#,IR#,GBL#,Peoples#,SWL#,KS#,Year / Office,Ind.Gov.#
Pennsylvania,1988,President,Lawrence,21884,15829,,,,,,,,,,19,82,,,,,,19,,,,,,,,,,,,49,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Lebanon,11912,24415,,,,,,,,,,20,154,,,,,,36,,,,,,,,,,,,53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Lehigh,42801,56363,,,,,,,,,,35,416,,,,,,68,,,,,,,,,,,,379,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Luzerne,58553,59059,,,,,,,,,,40,173,,,,,,120,,,,,,,,,,,,100,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Lycoming,13528,24792,,,,,,,,,,31,289,,,,,,20,,,,,,,,,,,,58,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,McKean,5300,9323,,,,,,,,,,2,81,,,,,,12,,,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Mercer,24278,21301,,,,,,,,,,14,164,,,,,,27,,,,,,,,,,,,81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Mifflin,4790,8170,,,,,,,,,,3,80,,,,,,8,,,,,,,,,,,,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Monroe,9859,17185,,,,,,,,,,4,221,,,,,,15,,,,,,,,,,,,72,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Montgomery,109834,170294,,,,,,,,,,62,841,,,,,,140,,,,,,,,,,,,1526,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Montour,2031,3617,,,,,,,,,,2,26,,,,,,7,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Northampton,39264,42748,,,,,,,,,,43,561,,,,,,51,,,,,,,,,,,,261,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Northumberland,14255,20207,,,,,,,,,,22,251,,,,,,23,,,,,,,,,,,,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Perry,3910,8545,,,,,,,,,,11,31,,,,,,6,,,,,,,,,,,,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Philadelphia,449566,219053,,,,,,,,,,349,1773,,,,,,334,,,,,,,,,,,,1820,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Pike,3097,6659,,,,,,,,,,5,111,,,,,,13,,,,,,,,,,,,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Potter,2119,4432,,,,,,,,,,4,14,,,,,,6,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Schuylkill,24797,32666,,,,,,,,,,51,148,,,,,,54,,,,,,,,,,,,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Snyder,2658,9054,,,,,,,,,,6,36,,,,,,9,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Somerset,13815,16809,,,,,,,,,,23,65,,,,,,14,,,,,,,,,,,,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Sullivan,1091,1808,,,,,,,,,,2,6,,,,,,6,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Susquehanna,4871,9077,,,,,,,,,,17,36,,,,,,22,,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Tioga,4807,9471,,,,,,,,,,11,28,,,,,,12,,,,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Union,3163,7912,,,,,,,,,,6,25,,,,,,5,,,,,,,,,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Venango,8624,11468,,,,,,,,,,16,87,,,,,,18,,,,,,,,,,,,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Warren,6790,8991,,,,,,,,,,14,129,,,,,,11,,,,,,,,,,,,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Washington,47527,28651,,,,,,,,,,34,148,,,,,,54,,,,,,,,,,,,106,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Wayne,3775,9926,,,,,,,,,,3,118,,,,,,14,,,,,,,,,,,,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Westmoreland,76710,61472,,,,,,,,,,76,655,,,,,,131,,,,,,,,,,,,185,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,Wyoming,2797,6607,,,,,,,,,,4,21,,,,,,5,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1988,President,York,37691,72408,,,,,,,,,,45,568,,,,,,73,,,,,,,,,,,,276,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Adams,9576,13552,,,,,,,,,,,,,,,,,,,,,,,,,6313,,,,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Allegheny,324004,183035,,,,,,,,,,,,,,,,,,,,,,,,,103470,,,,3158,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Armstrong,12995,9122,,,,,,,,,,,,,,,,,,,,,,,,,6166,,,,33,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Beaver,44877,21361,,,,,,,,,,,,,,,,,,,,,,,,,15954,,,,118,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Bedford,5840,9216,,,,,,,,,,,,,,,,,,,,,,,,,3731,,,,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Berks,46031,52939,,,,,,,,,,,,,,,,,,,,,,,,,31663,,,,676,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Blair,14857,21447,,,,,,,,,,,,,,,,,,,,,,,,,8284,,,,148,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Bradford,6903,10221,,,,,,,,,,,,,,,,,,,,,,,,,5452,,,,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Bucks,97902,94584,,,,,,,,,,,,,,,,,,,,,,,,,53931,,,,1971,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Butler,22303,23656,,,,,,,,,,,,,,,,,,,,,,,,,15013,,,,113,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Cambria,34334,20770,,,,,,,,,,,,,,,,,,,,,,,,,11070,,,,136,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Cameron,824,1173,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Carbon,9072,7243,,,,,,,,,,,,,,,,,,,,,,,,,5222,,,,112,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Centre,21177,20478,,,,,,,,,,,,,,,,,,,,,,,,,9356,,,,170,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Chester,59643,74002,,,,,,,,,,,,,,,,,,,,,,,,,34536,,,,943,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Clarion,5584,6477,,,,,,,,,,,,,,,,,,,,,,,,,3619,,,,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Clearfield,12247,11553,,,,,,,,,,,,,,,,,,,,,,,,,6989,,,,46,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Clinton,5397,4471,,,,,,,,,,,,,,,,,,,,,,,,,2654,,,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Columbia,8261,9742,,,,,,,,,,,,,,,,,,,,,,,,,5683,,,,35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Crawford,12813,14112,,,,,,,,,,,,,,,,,,,,,,,,,7392,,,,297,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Cumberland,26635,43447,,,,,,,,,,,,,,,,,,,,,,,,,14344,,,,123,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Dauphin,36990,45479,,,,,,,,,,,,,,,,,,,,,,,,,16063,,,,261,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Delaware,111210,108587,,,,,,,,,,,,,,,,,,,,,,,,,43728,,,,2314,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Elk,5016,4908,,,,,,,,,,,,,,,,,,,,,,,,,3885,,,,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Erie,56381,39283,,,,,,,,,,,,,,,,,,,,,,,,,21510,,,,519,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Fayette,30577,12820,,,,,,,,,,,,,,,,,,,,,,,,,10162,,,,266,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Forest,890,801,,,,,,,,,,,,,,,,,,,,,,,,,448,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Franklin,13440,23387,,,,,,,,,,,,,,,,,,,,,,,,,6941,,,,49,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Fulton,1588,2558,,,,,,,,,,,,,,,,,,,,,,,,,869,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Greene,8438,3482,,,,,,,,,,,,,,,,,,,,,,,,,3186,,,,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Huntingdon,5153,7249,,,,,,,,,,,,,,,,,,,,,,,,,3273,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Indiana,15194,10966,,,,,,,,,,,,,,,,,,,,,,,,,7089,,,,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Jefferson,5998,7271,,,,,,,,,,,,,,,,,,,,,,,,,4403,,,,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Juniata,2601,3980,,,,,,,,,,,,,,,,,,,,,,,,,1819,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lackawanna,45054,33443,,,,,,,,,,,,,,,,,,,,,,,,,15667,,,,759,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lancaster,44255,88447,,,,,,,,,,,,,,,,,,,,,,,,,26807,,,,612,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lawrence,20830,12359,,,,,,,,,,,,,,,,,,,,,,,,,7950,,,,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lebanon,12350,21512,,,,,,,,,,,,,,,,,,,,,,,,,9005,,,,137,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lehigh,46711,42631,,,,,,,,,,,,,,,,,,,,,,,,,24853,,,,589,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Luzerne,56623,49285,,,,,,,,,,,,,,,,,,,,,,,,,21007,,,,172,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Lycoming,13315,20536,,,,,,,,,,,,,,,,,,,,,,,,,9170,,,,124,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,McKean,5331,6965,,,,,,,,,,,,,,,,,,,,,,,,,4019,,,,70,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Mercer,23264,16081,,,,,,,,,,,,,,,,,,,,,,,,,10277,,,,197,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Mifflin,4946,6300,,,,,,,,,,,,,,,,,,,,,,,,,3382,,,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Monroe,13468,14557,,,,,,,,,,,,,,,,,,,,,,,,,9257,,,,201,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Montgomery,136572,125704,,,,,,,,,,,,,,,,,,,,,,,,,53738,,,,2276,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Montour,2150,3096,,,,,,,,,,,,,,,,,,,,,,,,,1373,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Northampton,42203,34429,,,,,,,,,,,,,,,,,,,,,,,,,20234,,,,593,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Northumberland,12814,15057,,,,,,,,,,,,,,,,,,,,,,,,,7782,,,,115,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Perry,4086,7871,,,,,,,,,,,,,,,,,,,,,,,,,3334,,,,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Philadelphia,434904,133328,,,,,,,,,,,,,,,,,,,,,,,,,65455,,,,2417,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Pike,4382,6084,,,,,,,,,,,,,,,,,,,,,,,,,3019,,,,110,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Potter,1892,3452,,,,,,,,,,,,,,,,,,,,,,,,,1687,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Schuylkill,23679,25780,,,,,,,,,,,,,,,,,,,,,,,,,13398,,,,134,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Snyder,2952,6934,,,,,,,,,,,,,,,,,,,,,,,,,2686,,,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Somerset,12493,13858,,,,,,,,,,,,,,,,,,,,,,,,,6333,,,,57,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Sullivan,1030,1340,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Susquehanna,5368,7356,,,,,,,,,,,,,,,,,,,,,,,,,3946,,,,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Tioga,4868,7823,,,,,,,,,,,,,,,,,,,,,,,,,3804,,,,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Union,3623,6362,,,,,,,,,,,,,,,,,,,,,,,,,2255,,,,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Venango,8230,8545,,,,,,,,,,,,,,,,,,,,,,,,,4695,,,,74,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Warren,6972,6585,,,,,,,,,,,,,,,,,,,,,,,,,4795,,,,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Washington,46143,21977,,,,,,,,,,,,,,,,,,,,,,,,,16083,,,,131,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Wayne,4817,8184,,,,,,,,,,,,,,,,,,,,,,,,,3727,,,,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Westmoreland,69817,47315,,,,,,,,,,,,,,,,,,,,,,,,,37036,,,,225,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,Wyoming,3158,5143,,,,,,,,,,,,,,,,,,,,,,,,,2525,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1992,President,York,46113,60130,,,,,,,,,,,,,,,,,,,,,,,,,27743,,,,205,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Adams,10774,15338,,,,,,,,,,,,,,,,,,,,,,,72,,,25,3186,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Allegheny,284480,204067,,,,,,,,,,,,,,,,,,,,,,,5322,,,545,42309,,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Armstrong,11130,11052,,,,,,,,,,,,,,,,,,,,,,,73,,,25,3452,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Beaver,39578,26048,,,,,,,,,,,,,,,,,,,,,,,122,,,53,8276,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Bedford,5954,10064,,,,,,,,,,,,,,,,,,,,,,,29,,,13,2041,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Berks,49887,56289,,,,,,,,,,,,,,,,,,,,,,,204,,,173,13788,,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Blair,15036,21282,,,,,,,,,,,,,,,,,,,,,,,123,,,34,4014,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Bradford,7736,10393,,,,,,,,,,,,,,,,,,,,,,,80,,,20,2712,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Bucks,103313,94899,,,,,,,,,,,,,,,,,,,,,,,762,,,366,24544,,3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Butler,21990,32038,,,,,,,,,,,,,,,,,,,,,,,133,,,39,6145,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Cambria,30391,20341,,,,,,,,,,,,,,,,,,,,,,,313,,,68,7837,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Cameron,822,1113,,,,,,,,,,,,,,,,,,,,,,,5,,,2,283,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Carbon,9457,7193,,,,,,,,,,,,,,,,,,,,,,,73,,,25,2992,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Centre,21145,20935,,,,,,,,,,,,,,,,,,,,,,,75,,,120,4173,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Chester,64783,77029,,,,,,,,,,,,,,,,,,,,,,,323,,,222,14067,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Clarion,5954,6916,,,,,,,,,,,,,,,,,,,,,,,95,,,16,2064,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Clearfield,11991,12987,,,,,,,,,,,,,,,,,,,,,,,137,,,26,3758,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Clinton,5658,4293,,,,,,,,,,,,,,,,,,,,,,,57,,,18,1424,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Columbia,8379,8234,,,,,,,,,,,,,,,,,,,,,,,18,,,13,3654,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Crawford,12943,14659,,,,,,,,,,,,,,,,,,,,,,,182,,,45,3519,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Cumberland,28749,43943,,,,,,,,,,,,,,,,,,,,,,,144,,,73,5669,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Dauphin,40936,44417,,,,,,,,,,,,,,,,,,,,,,,178,,,115,6967,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Delaware,115946,92628,,,,,,,,,,,,,,,,,,,,,,,1578,,,342,21883,,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Elk,5749,4889,,,,,,,,,,,,,,,,,,,,,,,34,,,12,2293,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Erie,57508,39884,,,,,,,,,,,,,,,,,,,,,,,597,,,119,10386,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Fayette,26359,14019,,,,,,,,,,,,,,,,,,,,,,,262,,,66,5722,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Forest,964,902,,,,,,,,,,,,,,,,,,,,,,,4,,,2,325,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Franklin,14980,25392,,,,,,,,,,,,,,,,,,,,,,,80,,,37,4127,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Fulton,1620,2665,,,,,,,,,,,,,,,,,,,,,,,15,,,2,554,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Greene,7620,4002,,,,,,,,,,,,,,,,,,,,,,,31,,,7,2052,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Huntingdon,5285,7324,,,,,,,,,,,,,,,,,,,,,,,29,,,13,1813,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Indiana,13868,12874,,,,,,,,,,,,,,,,,,,,,,,62,,,17,3674,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Jefferson,5846,8156,,,,,,,,,,,,,,,,,,,,,,,76,,,14,2322,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Juniata,2896,4128,,,,,,,,,,,,,,,,,,,,,,,16,,,10,911,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lackawanna,46377,26930,,,,,,,,,,,,,,,,,,,,,,,944,,,105,8189,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lancaster,49120,92875,,,,,,,,,,,,,,,,,,,,,,,692,,,280,11601,,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lawrence,18993,13088,,,,,,,,,,,,,,,,,,,,,,,65,,,18,4002,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lebanon,14187,21885,,,,,,,,,,,,,,,,,,,,,,,153,,,100,4235,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lehigh,48568,45103,,,,,,,,,,,,,,,,,,,,,,,483,,,201,10947,,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Luzerne,60174,43577,,,,,,,,,,,,,,,,,,,,,,,174,,,188,12424,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Lycoming,13516,21535,,,,,,,,,,,,,,,,,,,,,,,171,,,61,3855,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,McKean,5509,6838,,,,,,,,,,,,,,,,,,,,,,,95,,,20,2350,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Mercer,23003,17213,,,,,,,,,,,,,,,,,,,,,,,264,,,59,5108,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Mifflin,5327,6888,,,,,,,,,,,,,,,,,,,,,,,58,,,21,1392,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Monroe,16547,17326,,,,,,,,,,,,,,,,,,,,,,,262,,,56,4650,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Montgomery,143664,121047,,,,,,,,,,,,,,,,,,,,,,,497,,,357,24392,,4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,1996,President,Montour,2183,2785,,,,,,,,,,,,,,,,,,,,,,,18,,,8,784,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
