State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Yakima,35225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37656,,,,,,,,,,,,,,,2012 Treasurer,,,,
Washington,,,Adams,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Asotin,4803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4021,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Benton,41461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33618,,,,,,,,,,,,,,,,,,,,425,,,,,2016 Attorney General,,,,
Washington,,,Chelan,17507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12244,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Clallam,21809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14346,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Clark,111601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72392,,,,,,,,,,,,,,,,,,,,1181,,,,,2016 Attorney General,,,,
Washington,,,Columbia,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Cowlitz,24289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17247,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Douglas,7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6166,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
