State,Year,Office,County,D#,R#,Prog.#,S#,SW#,Soc.Lib#,Comm.#,Proh.#,A#,SR#,AI#,Ref.#,NL#,G#,L#,PF#,NA#,Wor.#,Eco.#,Tea#,Obj.#,Just.#,Am.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,I1#,I2#,I3#,I4#,I5#,I6#,V#,C#,Ind.#,TEA#
Florida,1912,President,Alachua,1304,221,75,75,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Baker,168,37,93,2,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Bradford,656,95,40,56,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Brevard,357,61,82,8,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Calhoun,332,67,59,50,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Citrus,417,11,44,10,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Clay,279,26,21,10,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Columbia,520,66,50,11,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,DeSoto,847,110,78,89,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Duval,3514,243,485,77,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Escambia,1593,72,202,41,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Franklin,266,58,23,5,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Gadsden,609,75,54,2,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hamilton,405,46,24,22,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hernando,272,18,22,29,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Hillsborough,2641,159,269,164,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Holmes,411,52,110,20,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Jackson,1205,163,68,115,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Jefferson,459,47,39,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lafayette,473,73,11,51,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lake,596,92,63,21,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Lee,432,38,97,31,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Leon,546,56,46,3,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Levy,375,74,24,29,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Liberty,206,32,18,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Madison,480,16,30,3,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Manatee,712,55,108,63,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Marion,1165,179,117,62,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Miami-Dade,1171,99,291,33,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Monroe,1023,414,152,26,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Nassau,441,38,17,5,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Orange,1256,228,134,101,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Osceola,512,110,159,44,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Palm Beach,458,31,146,13,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Pasco,485,60,74,36,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Pinellas,853,87,250,39,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Polk,1520,106,141,70,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Putnam,774,229,53,51,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Santa Rosa,592,70,48,95,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Saint Johns,836,45,132,15,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Saint Lucie,352,45,36,9,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Sumter,417,22,71,29,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Suwannee,714,54,29,15,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Taylor,236,56,19,43,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Volusia,942,162,72,122,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Wakulla,215,25,15,2,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Walton,612,74,296,5,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1912,President,Washington,694,82,68,48,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Alachua,2030,440,,33,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Baker,439,52,,30,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Bay,725,279,,99,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Bradford,1302,153,,13,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Brevard,599,174,,76,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Broward,382,158,,110,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Calhoun,539,209,,68,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Citrus,601,46,,25,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Clay,380,79,,47,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Columbia,861,226,,28,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,DeSoto,1755,385,,228,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Duval,5456,1339,,581,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Escambia,2183,416,,99,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Franklin,312,81,,32,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Gadsden,875,57,,40,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Hamilton,675,113,,15,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Hernando,446,38,,38,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Hillsborough,4627,691,,622,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Holmes,763,427,,182,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Jackson,1975,410,,34,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Jefferson,646,104,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Lafayette,849,45,,30,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Lake,886,330,,68,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Lee,751,167,,135,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Leon,875,191,,42,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Levy,712,216,,25,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Liberty,280,57,,14,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Madison,721,22,,22,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Manatee,1033,289,,116,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Marion,1567,462,,151,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Miami-Dade,1654,629,,301,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Monroe,730,345,,249,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Nassau,420,94,,40,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Okaloosa,603,303,,29,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Orange,1261,415,,51,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Osceola,511,453,,100,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Palm Beach,725,311,,194,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Pasco,779,236,,82,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Pinellas,1503,555,,173,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Polk,2574,578,,158,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Putnam,879,418,,93,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Santa Rosa,896,111,,19,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Seminole,706,155,,80,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Saint Johns,1133,326,,136,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Saint Lucie,703,134,,110,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Sumter,599,70,,30,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Suwannee,1209,56,,126,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Taylor,547,51,,11,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Volusia,1541,886,,109,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Wakulla,387,121,,32,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Walton,753,549,,79,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1916,President,Washington,626,159,,144,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Alachua,3310,1119,,112,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Baker,346,115,,19,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Bay,818,551,,71,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Bradford,1269,248,,8,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Brevard,894,659,,63,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Broward,415,442,,107,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Calhoun,861,99,,20,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Citrus,651,94,,25,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Clay,558,486,,38,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Columbia,1248,162,,68,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,DeSoto,2496,1077,,197,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Duval,13650,6628,,450,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Escambia,3485,1227,,205,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Flagler,206,74,,73,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Franklin,587,276,,24,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Gadsden,1922,38,,18,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Hamilton,706,151,,15,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Hernando,622,132,,29,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Hillsborough,6976,3772,,968,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Holmes,869,537,,42,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Jackson,2443,508,,67,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Jefferson,754,239,,19,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Lafayette,618,69,,10,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Lake,1720,734,,52,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Lee,938,626,,54,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Leon,1412,452,,58,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Levy,882,377,,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Liberty,416,5,,18,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Madison,920,30,,14,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Manatee,1790,884,,70,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Marion,2436,1232,,82,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Miami-Dade,4288,3077,,375,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Monroe,979,510,,149,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Nassau,900,281,,22,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Okaloosa,568,411,,20,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Okeechobee,237,58,,28,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Orange,2035,1447,,123,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Osceola,728,1035,,41,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Palm Beach,1488,1892,,308,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Pasco,1166,630,,53,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Pinellas,2848,2529,,202,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Polk,3918,1782,,159,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Putnam,1557,1181,,89,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Santa Rosa,813,333,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Seminole,1485,767,,73,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Saint Johns,1810,1221,,94,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Saint Lucie,1167,707,,64,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Sumter,921,219,,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Suwannee,1486,382,,111,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Taylor,563,128,,8,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Volusia,2763,2175,,126,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Wakulla,530,119,,3,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Walton,1297,619,,36,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1920,President,Washington,750,307,,87,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Alachua,1995,528,174,55,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Baker,215,124,25,8,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Bay,838,318,45,37,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Bradford,539,94,17,6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Brevard,872,515,88,18,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Broward,421,407,86,46,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Calhoun,406,56,37,2,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Charlotte,321,167,30,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Citrus,423,30,49,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Clay,339,171,71,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Collier,148,15,5,11,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Columbia,776,85,61,24,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Desoto,641,230,10,29,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Dixie,257,14,0,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Duval,5908,3291,1210,377,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Escambia,2290,1274,615,113,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Flagler,202,75,65,30,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Franklin,417,109,16,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Gadsden,681,47,65,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Glades,212,83,25,17,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Hamilton,619,143,33,16,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Hardee,795,264,67,28,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Hendry,132,21,11,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Hernando,300,59,36,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Highlands,457,265,58,9,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Hillsborough,4470,1585,765,199,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Holmes,658,377,117,15,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Jackson,1771,320,82,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Jefferson,566,66,43,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Lafayette,358,33,11,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Lake,1381,948,158,54,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Lee,845,552,80,59,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Leon,947,92,44,20,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Levy,524,214,55,14,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Liberty,193,18,10,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Madison,538,23,30,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Manatee,1064,629,181,35,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Marion,1528,359,94,76,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Miami-Dade,3474,2753,1014,3170,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Monroe,835,262,113,11,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Nassau,617,106,32,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Okaloosa,642,183,83,39,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Okeechobee,182,57,19,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Orange,1883,1653,216,143,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Osceola,884,589,65,68,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Palm Beach,1543,1726,375,0,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Pasco,780,472,143,43,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Pinellas,2633,2872,302,152,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Polk,3070,1530,461,171,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Putnam,889,574,89,45,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Santa Rosa,693,229,38,12,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Sarasota,204,187,47,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Seminole,945,372,253,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Saint Johns,1023,517,187,62,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Saint Lucie,722,524,150,10,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Sumter,481,108,73,9,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Suwannee,977,111,70,6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Taylor,476,100,7,19,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Union,322,16,7,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Volusia,2042,1631,204,75,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Wakulla,332,34,15,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Walton,825,220,56,41,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1924,President,Washington,562,206,37,21,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Alachua,1965,132,,1806,,,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Baker,242,676,,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Bay,1190,974,,20,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Bradford,679,534,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Brevard,1063,1830,,36,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Broward,1564,2889,,41,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Calhoun,727,409,,24,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Charlotte,441,593,,21,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Citrus,816,505,,9,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Clay,394,1088,,17,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Collier,256,151,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Columbia,1276,418,,11,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,DeSoto,748,1382,,16,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Dixie,342,463,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Duval,9316,16919,,249,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Escambia,3772,4443,,60,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Flagler,219,325,,7,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Franklin,417,334,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Gadsden,1184,346,,10,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Gilchrist,392,125,,3,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Glades,281,331,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Gulf,275,156,,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Hamilton,741,167,,73,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1928,President,Hardee,826,2087,,43,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
