State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,1904,President,Barnes,451,2041,,,117,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Benson,143,1111,,,7,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Billings,37,256,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Bottineau,753,2094,,,166,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Burleigh,237,1340,,,24,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Cass,609,3788,,,159,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Cavalier,771,1664,,,48,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Dickey,336,998,,,75,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Eddy,162,596,,,13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Emmons,281,653,,,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Foster,223,618,,,12,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Grand Forks,828,2807,,,143,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
