State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,1948,President,Towner,1100,1145,,,9,,,,,,,,,40,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1948,President,Traill,1874,2328,,,14,,,,,,,,,254,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1948,President,Walsh,4170,2646,,,10,,,,,,,,,196,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1948,President,Ward,5189,5514,,,43,,,,,,,,,576,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1948,President,Wells,1492,2385,,,27,,,,,,,,,74,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1948,President,Williams,2571,2133,,,38,,,,,,,,,743,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Adams,633,1561,,,,,,,3,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Barnes,2120,5534,,,,,,,20,,,22,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Benson,1353,3192,,,,,,,6,,,31,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Billings,143,674,,,,,,,0,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Bottineau,1094,3911,,,,,,,3,,,23,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Bowman,540,1375,,,,,,,5,,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Burke,811,1986,,,,,,,8,,,16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Burleigh,2400,9526,,,,,,,4,,,25,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Cass,9193,18094,,,,,,,6,,,36,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Cavalier,1496,3519,,,,,,,4,,,27,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Dickey,1150,2917,,,,,,,7,,,12,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Divide,807,1999,,,,,,,4,,,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Dunn,664,2237,,,,,,,1,,,13,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Eddy,728,1534,,,,,,,0,,,11,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Emmons,522,3369,,,,,,,2,,,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Foster,862,1558,,,,,,,0,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Golden Valley,376,1186,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Grand Forks,5639,10939,,,,,,,11,,,61,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Grant,403,2465,,,,,,,5,,,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Griggs,872,1727,,,,,,,3,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Hettinger,297,2330,,,,,,,2,,,12,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Kidder,468,2195,,,,,,,3,,,13,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,LaMoure,1145,3202,,,,,,,4,,,19,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Logan,369,2165,,,,,,,1,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,McHenry,1228,4227,,,,,,,3,,,31,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,McIntosh,276,3043,,,,,,,4,,,25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,McKenzie,846,2260,,,,,,,11,,,23,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,McLean,2295,5184,,,,,,,4,,,58,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Mercer,512,2994,,,,,,,1,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Morton,2079,6309,,,,,,,14,,,23,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Mountrail,1437,2516,,,,,,,9,,,28,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Nelson,1418,2443,,,,,,,4,,,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Oliver,143,1132,,,,,,,1,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Pembina,1891,4012,,,,,,,6,,,34,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Pierce,773,2806,,,,,,,4,,,24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Ramsey,1794,4670,,,,,,,5,,,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Ransom,1265,3051,,,,,,,12,,,15,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Renville,767,1571,,,,,,,1,,,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Richland,2541,6022,,,,,,,9,,,44,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Rolette,1160,2188,,,,,,,2,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Sargent,1090,2124,,,,,,,3,,,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Sheridan,267,2016,,,,,,,2,,,22,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Sioux,336,968,,,,,,,5,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Slope,290,682,,,,,,,4,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Stark,1332,5322,,,,,,,12,,,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Steele,911,1513,,,,,,,1,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Stutsman,3156,6713,,,,,,,20,,,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Towner,843,1960,,,,,,,7,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Traill,1484,3884,,,,,,,2,,,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Walsh,3494,4761,,,,,,,14,,,28,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Ward,4966,10130,,,,,,,29,,,68,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Wells,1016,3709,,,,,,,5,,,28,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1952,President,Williams,2999,4307,,,,,,,6,,,28,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Adams,723,1338,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Barnes,2730,4475,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Benson,1851,2340,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Billings,248,437,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Bottineau,1718,2923,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Bowman,715,1007,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Burke,936,1415,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Burleigh,3231,9199,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Cass,9821,16932,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Cavalier,1836,2450,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Dickey,1435,2327,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Divide,1194,1296,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Dunn,1055,1567,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Eddy,973,1239,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Emmons,825,2789,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Foster,1062,1234,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Golden Valley,567,824,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Grand Forks,6231,10289,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Grant,718,1872,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Griggs,1173,1212,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Hettinger,796,1882,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Kidder,708,1523,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,LaMoure,1694,2433,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Logan,547,1807,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,McHenry,1825,3019,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,McIntosh,498,2689,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,McKenzie,1405,1609,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,McLean,2609,3653,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Mercer,666,2555,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Morton,2628,5232,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Mountrail,1891,1699,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Nelson,1794,1821,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Oliver,279,788,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Pembina,1887,3077,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Pierce,1340,1997,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Ramsey,2103,3821,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Ransom,1808,2361,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Renville,1025,1035,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Richland,3171,4971,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Rolette,1728,1444,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Sargent,1473,1662,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Sheridan,472,1646,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Sioux,476,718,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Slope,397,433,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Stark,1778,4251,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Steele,1148,1188,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Stutsman,3825,5718,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Towner,1169,1391,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Traill,1969,3090,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Walsh,3238,3946,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Ward,5762,9042,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Wells,1434,2912,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1956,President,Williams,4157,4188,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Adams,832,1232,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Barnes,3223,4403,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Benson,2181,2259,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Billings,400,368,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Bottineau,1974,3092,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Bowman,847,1038,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Burke,1076,1609,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Burleigh,5761,9492,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Cass,12213,17498,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Cavalier,2312,2430,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Dickey,1433,2420,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Divide,1243,1348,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Dunn,1321,1462,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Eddy,1152,1188,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Emmons,2058,1785,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Foster,1182,1351,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Golden Valley,672,825,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Grand Forks,8341,10997,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Grant,955,1794,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Griggs,1279,1278,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Hettinger,1219,1541,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Kidder,868,1574,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,LaMoure,1575,2511,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Logan,898,1601,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,McHenry,2231,2715,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,McIntosh,628,2694,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,McKenzie,1514,1715,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,McLean,2771,3398,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Mercer,844,2395,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Morton,4866,4028,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Mountrail,2264,1894,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Nelson,1783,1934,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Oliver,494,703,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Pembina,2460,3348,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Pierce,1848,1464,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Ramsey,2813,3599,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Ransom,1806,2324,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Renville,1217,1012,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Richland,4003,4711,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Rolette,2335,1277,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Sargent,1655,1591,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Sheridan,539,1552,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Sioux,688,571,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Slope,431,475,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Stark,4197,3223,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Steele,1173,1209,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Stutsman,4481,5905,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Towner,1292,1410,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Traill,2084,3218,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Walsh,4009,4036,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Ward,7954,9680,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Wells,1885,2641,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1960,President,Williams,4683,4492,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Adams,1010,877,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Barnes,4007,2987,,,,,,,,,,,,,,,,,,,0,14,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Benson,2566,1489,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Billings,348,340,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Bottineau,2546,2060,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Bowman,1070,756,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Burke,1454,974,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Burleigh,8120,7239,,,,,,,,,,,,,,,,,,,46,14,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Cass,15674,12972,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Cavalier,2810,1417,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Dickey,1818,1808,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Divide,1498,779,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Dunn,1351,1079,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Eddy,1337,747,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Emmons,1556,1759,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Foster,1315,927,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Golden Valley,602,722,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Grand Forks,10740,7367,,,,,,,,,,,,,,,,,,,54,14,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Grant,1063,1421,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Griggs,1505,885,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Hettinger,1275,1188,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Kidder,1047,1104,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,LaMoure,2145,1604,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Logan,951,1187,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,McHenry,2643,1728,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,McIntosh,950,1891,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,McKenzie,1584,1352,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,McLean,3339,2204,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Mercer,1310,1540,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Morton,5173,2955,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Mountrail,2548,1131,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Nelson,2186,1101,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Oliver,548,469,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Pembina,3198,1961,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Pierce,1893,1178,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Ramsey,3572,2409,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Ransom,2063,1647,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Renville,1356,640,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Richland,4525,3425,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Rolette,2566,892,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Sargent,1840,1189,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Sheridan,724,1187,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Sioux,695,314,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Slope,436,329,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Stark,4270,2888,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1964,President,Steele,1404,796,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
