State,Year,Office,County,D#,R#,Prog.#,U#,Proh.#,S#,Comm.#,SL#,AI#,I#,Ref.#,NL#,G#,L#,ST#,IL#,BL#,Cit.#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,I1#,I2#,I3#,I4#,T#,DN#,SW#,DS#,IHT#,Wor.#,W/I#,Town
Maine,1908,President,Androscoggin,3095,4381,,,96,183,,,,,,,,,,60,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Aroostook,1157,4783,,,145,53,,,,,,,,,,29,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Cumberland,5735,10593,,,270,372,,,,,,,,,,168,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Franklin,930,2173,,,51,15,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Hancock,1846,3169,,,36,77,,,,,,,,,,25,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Kennebec,2871,6133,,,132,99,,,,,,,,,,59,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Knox,1932,2228,,,40,230,,,,,,,,,,22,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Lincoln,1196,1693,,,50,51,,,,,,,,,,10,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Oxford,2093,4179,,,66,63,,,,,,,,,,75,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Penobscot,3525,7336,,,117,102,,,,,,,,,,30,,,,1,,,,,,,,,,,,,,,,,,
Maine,1908,President,Piscataquis,828,2157,,,63,7,,,,,,,,,,5,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Sagadahoc,838,1776,,,65,65,,,,,,,,,,31,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Somerset,1676,3688,,,62,198,,,,,,,,,,24,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Waldo,1335,2491,,,32,68,,,,,,,,,,14,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,Washington,2256,3507,,,47,60,,,,,,,,,,25,,,,0,,,,,,,,,,,,,,,,,,
Maine,1908,President,York,4090,6700,,,215,115,,,,,,,,,,115,,,,0,,,,,,,,,,,,,,,,,,
Maine,1912,President,Androscoggin,4516,859,4424,,61,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Aroostook,1924,898,4799,,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Cumberland,8480,5154,6537,,135,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Franklin,1421,668,1633,,43,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Hancock,2655,1399,1932,,20,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Kennebec,4397,1782,5296,,76,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Knox,2751,1097,1392,,26,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Lincoln,1633,457,1527,,21,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Oxford,2941,1234,3068,,38,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Penobscot,5093,3367,5294,,183,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Piscataquis,1210,807,1705,,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Sagadahoc,1331,885,1129,,44,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Somerset,2317,1235,2479,,39,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Waldo,2145,881,1636,,33,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,Washington,3178,1862,1893,,33,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1912,President,York,5121,3960,3751,,74,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Androscoggin,5464,4496,,,47,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Aroostook,2425,5770,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Cumberland,9795,11768,,,77,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Franklin,1908,1988,,,26,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Hancock,3303,3192,,,21,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Kennebec,5527,6731,,,50,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Knox,3434,2211,,,22,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Lincoln,1718,1781,,,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Oxford,3625,4026,,,33,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Penobscot,7294,7324,,,70,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Piscataquis,1763,2142,,,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Sagadahoc,1791,1828,,,20,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Somerset,3134,3567,,,24,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Waldo,2539,2418,,,21,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,Washington,3459,3891,,,37,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1916,President,York,6854,6375,,,64,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1920,President,Androscoggin,5757,9565,,,,290,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,
Maine,1920,President,Aroostook,1407,11191,,,,36,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Maine,1920,President,Cumberland,10484,24623,,,,434,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,
Maine,1920,President,Franklin,1668,3820,,,,33,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Hancock,2154,5604,,,,55,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Kennebec,5466,12333,,,,154,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
Maine,1920,President,Knox,2971,4979,,,,221,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
Maine,1920,President,Lincoln,1256,3668,,,,58,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1920,President,Oxford,3906,7301,,,,89,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Maine,1920,President,Penobscot,6110,14145,,,,126,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
Maine,1920,President,Piscataquis,1788,4049,,,,31,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
Maine,1920,President,Sagadahoc,1709,3857,,,,73,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Maine,1920,President,Somerset,2770,6533,,,,275,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Maine,1920,President,Waldo,1666,4383,,,,74,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Maine,1920,President,Washington,2997,6768,,,,88,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
Maine,1920,President,York,6852,13536,,,,177,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
Maine,1924,President,Androscoggin,4733,9680,1743,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Aroostook,1510,9554,626,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Cumberland,7078,26187,2398,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Franklin,1123,3389,156,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Hancock,1392,5474,195,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Kennebec,4184,13122,827,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Knox,1770,4919,272,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Lincoln,878,3311,82,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Oxford,2563,7062,466,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Penobscot,3618,15081,1386,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Piscataquis,974,4031,300,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Sagadahoc,1084,3518,193,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Somerset,1822,6855,579,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Waldo,1125,4003,149,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,Washington,2106,6010,483,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1924,President,York,6004,16244,1527,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1928,President,Androscoggin,10940,11790,,,,124,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Aroostook,5771,14545,,,,41,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Cumberland,15648,33190,,,,157,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1928,President,Franklin,1487,4923,,,,22,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Hancock,1773,8140,,,,33,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Kennebec,8226,15541,,,,92,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Knox,2332,6660,,,,88,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Lincoln,1181,4470,,,,18,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Oxford,4015,9409,,,,66,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Penobscot,9114,21750,,,,96,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Piscataquis,1353,4792,,,,16,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Sagadahoc,1583,4605,,,,20,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Somerset,3251,8055,,,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Waldo,1402,4851,,,,41,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,Washington,3073,8531,,,,35,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1928,President,York,10030,18671,,,,119,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1932,President,Androscoggin,14441,9838,,,,251,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Aroostook,9409,14054,,,,122,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Cumberland,20655,32864,,,,465,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Franklin,3171,4521,,,,35,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Hancock,4369,7942,,,,75,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Kennebec,12110,14451,,,,188,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Knox,4765,6169,,,,168,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Lincoln,2602,4666,,,,37,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Oxford,7179,8264,,,,194,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Penobscot,13058,18987,,,,247,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Piscataquis,2849,4198,,,,45,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Sagadahoc,2763,4220,,,,44,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Somerset,6040,7144,,,,258,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Waldo,3907,4505,,,,51,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,Washington,6829,7507,,,,85,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1932,President,York,14760,17301,,,,224,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Androscoggin,16657,10480,,250,13,56,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Aroostook,7704,14708,,218,25,45,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Cumberland,22895,30021,,904,24,111,46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Franklin,2859,4957,,82,7,15,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Hancock,3315,9151,,187,10,25,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Kennebec,11268,14987,,706,21,67,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Knox,3991,6567,,252,17,24,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Lincoln,1850,5252,,87,17,10,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Oxford,5836,8778,,619,16,91,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Penobscot,9732,19077,,2318,75,127,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Piscataquis,3051,4057,,151,13,15,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Sagadahoc,3273,3707,,125,4,13,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Somerset,5282,7558,,334,18,61,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Waldo,2678,5309,,159,5,13,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,Washington,7925,6387,,129,15,29,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1936,President,York,18017,17827,,1060,54,81,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Androscoggin,19273,10394,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Aroostook,9877,13888,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Cumberland,26911,29795,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Franklin,3224,4548,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Hancock,4315,8539,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Kennebec,15861,14877,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Knox,4197,6530,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Lincoln,2415,5244,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Oxford,7502,8656,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Penobscot,14757,18674,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Piscataquis,3499,3806,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Sagadahoc,4575,3504,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Somerset,6534,7526,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Waldo,3214,5170,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,Washington,8048,6253,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1940,President,York,22276,16547,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Androscoggin,19078,10927,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Aroostook,8017,11678,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Cumberland,26857,29349,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Franklin,2646,4127,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Hancock,3241,7143,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Kennebec,14070,14335,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Knox,3758,5590,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Lincoln,2102,4919,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Oxford,6377,8053,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Penobscot,13292,16934,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Piscataquis,2957,3536,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Sagadahoc,4003,3883,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Somerset,5331,7167,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Waldo,1807,4291,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,Washington,5709,5380,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1944,President,York,21386,18122,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1948,President,Androscoggin,17405,11443,214,,,66,,37,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Aroostook,7183,9459,57,,,27,,14,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Cumberland,18913,30284,527,,,130,,31,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Franklin,2135,3741,29,,,12,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Hancock,1878,6863,48,,,35,,6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Kennebec,11163,13923,114,,,46,,14,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Knox,1924,5374,80,,,14,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Lincoln,1095,4743,42,,,8,,6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Oxford,5183,7444,127,,,17,,11,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Penobscot,10705,16367,152,,,72,,19,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Piscataquis,2181,3227,25,,,5,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Sagadahoc,2556,3745,61,,,8,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1948,President,Somerset,4034,6301,63,,,10,,10,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Waldo,1469,4371,29,,,16,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,Washington,3538,5130,54,,,17,,9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1948,President,York,20554,17819,262,,,65,,66,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Androscoggin,17560,18049,34,,,10,,23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Aroostook,7561,16851,28,,,19,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1952,President,Cumberland,20831,46957,57,,,28,,25,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Franklin,2137,5885,10,,,0,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Hancock,2111,10596,18,,,2,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Kennebec,12113,21207,10,,,7,,14,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Knox,2414,8793,11,,,5,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Lincoln,1299,6766,6,,,2,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Oxford,5757,11575,28,,,10,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Penobscot,11222,24614,22,,,15,,12,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Piscataquis,2261,4652,9,,,1,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Sagadahoc,2850,5799,10,,,4,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Somerset,4815,9805,18,,,7,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Waldo,1545,6363,9,,,2,,6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,Washington,3806,7396,10,,,5,,8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1952,President,York,20524,27045,52,,,21,,22,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1956,President,Androscoggin,15842,20385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Aroostook,6089,16001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Cumberland,19438,49696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Franklin,1680,6307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Hancock,1704,11316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Kennebec,11483,23028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Knox,2037,8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Lincoln,1164,7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Oxford,4653,12607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Penobscot,8568,27806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Piscataquis,1541,5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Sagadahoc,2301,6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Somerset,4119,10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Waldo,1384,6590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,Washington,2555,8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1956,President,York,17910,29256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1960,President,Androscoggin,26097,14654,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Aroostook,14799,18698,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Cumberland,33553,47271,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1960,President,Franklin,3304,6136,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Hancock,3363,12119,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1960,President,Kennebec,18252,21699,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Knox,3816,9083,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Maine,1960,President,Lincoln,2337,7562,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Oxford,8951,11715,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Penobscot,19175,28459,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Piscataquis,2859,4959,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Sagadahoc,3965,6386,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Somerset,6956,10142,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Waldo,2845,6844,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,Washington,4716,9118,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Maine,1960,President,York,26171,25763,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Maine,1964,President,Androscoggin,30080,7441,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Maine,1964,President,Aroostook,17552,9994,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Maine,1964,President,Cumberland,50844,22365,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
Maine,1964,President,Franklin,5784,2887,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Maine,1964,President,Hancock,7415,6304,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
Maine,1964,President,Kennebec,24813,11307,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
Maine,1964,President,Knox,7022,4404,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Maine,1964,President,Lincoln,5099,3984,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
Maine,1964,President,Oxford,13616,5340,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
Maine,1964,President,Penobscot,28766,14449,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
