State,Year,Office,County,D1#,R#,SD#,D2#,AS#,Nat.#,Wor.#,AF#,Lib.#,TC#,NP#,HR#,Cit.#,GB#,FL#,Proh.#,Labor#,UL#,Pop.#,SW#,S#,Comm.#,SL#,SE#,CW#,ST#,Prog.#,U#,AI#,Ind.#,Tisch#,I1#,I2#,I3#,I4#,Ref.#,NL#,G#,L#,WL#,UC#,W/I#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D#,FN#,WW#,I#,WAC#,W/I1#,IND#,Am.#,CON#,SD#.1,PU#,Tisch #,W/I7#,W/I8#,W/I9#,SqD#,CD#,T#
Michigan,1908,LG,Ogemaw,,1178,,,,,,,,,,,,,,80,,,,,22,,1,,,,,,,,,,,,,,,,,,,0,,,,,,485,,,,,,1,,,,,,,,,,,
Michigan,1908,LG,Ontonagon,,1239,,,,,,,,,,,,,,20,,,,,47,,4,,,,,,,,,,,,,,,,,,,0,,,,,,433,,,,,,7,,,,,,,,,,,
Michigan,1908,LG,Osceola,,2647,,,,,,,,,,,,,,136,,,,,6,,15,,,,,,,,,,,,,,,,,,,0,,,,,,841,,,,,,9,,,,,,,,,,,
Michigan,1908,LG,Oscoda,,329,,,,,,,,,,,,,,9,,,,,3,,0,,,,,,,,,,,,,,,,,,,0,,,,,,116,,,,,,0,,,,,,,,,,,
Michigan,1908,LG,Otsego,,847,,,,,,,,,,,,,,33,,,,,13,,1,,,,,,,,,,,,,,,,,,,0,,,,,,302,,,,,,2,,,,,,,,,,,
Michigan,1908,LG,Ottawa,,5554,,,,,,,,,,,,,,256,,,,,159,,9,,,,,,,,,,,,,,,,,,,0,,,,,,2535,,,,,,10,,,,,,,,,,,
Michigan,1908,LG,Presque Isle,,1691,,,,,,,,,,,,,,19,,,,,51,,0,,,,,,,,,,,,,,,,,,,0,,,,,,314,,,,,,2,,,,,,,,,,,
Michigan,1908,LG,Roscommon,,429,,,,,,,,,,,,,,19,,,,,17,,0,,,,,,,,,,,,,,,,,,,0,,,,,,152,,,,,,2,,,,,,,,,,,
Michigan,1908,LG,Saginaw,,9049,,,,,,,,,,,,,,251,,,,,566,,68,,,,,,,,,,,,,,,,,,,0,,,,,,7466,,,,,,20,,,,,,,,,,,
Michigan,1908,LG,Saint Clair,,6959,,,,,,,,,,,,,,229,,,,,259,,26,,,,,,,,,,,,,,,,,,,0,,,,,,4122,,,,,,8,,,,,,,,,,,
Michigan,1908,LG,Saint Joseph,,3408,,,,,,,,,,,,,,152,,,,,69,,5,,,,,,,,,,,,,,,,,,,0,,,,,,2866,,,,,,21,,,,,,,,,,,
Michigan,1908,LG,Sanilac,,4083,,,,,,,,,,,,,,345,,,,,42,,1,,,,,,,,,,,,,,,,,,,0,,,,,,1557,,,,,,2,,,,,,,,,,,
Michigan,1908,LG,Schoolcraft,,1372,,,,,,,,,,,,,,39,,,,,11,,4,,,,,,,,,,,,,,,,,,,0,,,,,,282,,,,,,2,,,,,,,,,,,
Michigan,1908,LG,Shiawassee,,4010,,,,,,,,,,,,,,518,,,,,112,,7,,,,,,,,,,,,,,,,,,,0,,,,,,2564,,,,,,3,,,,,,,,,,,
Michigan,1908,LG,Tuscola,,4375,,,,,,,,,,,,,,383,,,,,45,,4,,,,,,,,,,,,,,,,,,,0,,,,,,1638,,,,,,1,,,,,,,,,,,
Michigan,1908,LG,Van Buren,,4437,,,,,,,,,,,,,,193,,,,,121,,10,,,,,,,,,,,,,,,,,,,0,,,,,,2408,,,,,,33,,,,,,,,,,,
Michigan,1908,LG,Washtenaw,,5232,,,,,,,,,,,,,,308,,,,,75,,23,,,,,,,,,,,,,,,,,,,0,,,,,,5045,,,,,,12,,,,,,,,,,,
Michigan,1908,LG,Wayne,,46258,,,,,,,,,,,,,,1563,,,,,1986,,236,,,,,,,,,,,,,,,,,,,0,,,,,,28132,,,,,,30,,,,,,,,,,,
Michigan,1908,LG,Wexford,,2811,,,,,,,,,,,,,,235,,,,,32,,6,,,,,,,,,,,,,,,,,,,0,,,,,,918,,,,,,6,,,,,,,,,,,
Michigan,1938,LG,Alcona,,1329,,,,,,,,,,,,,,,,,,,3,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,671,,,,,,,,,,0,,,,,0,1,1
Michigan,1938,LG,Alger,,1412,,,,,,,,,,,,,,,,,,,4,,1,,0,,,,,,,,,,,,,,,,,0,,,,,,2564,,,,,,,,,,1,,,,,0,5,1
Michigan,1938,LG,Allegan,,8751,,,,,,,,,,,,,,,,,,,39,,1,,1,,,,,,,,,,,,,,,,,0,,,,,,3223,,,,,,,,,,0,,,,,2,10,1
Michigan,1938,LG,Alpena,,3468,,,,,,,,,,,,,,,,,,,4,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,2032,,,,,,,,,,0,,,,,1,2,0
Michigan,1938,LG,Antrim,,2341,,,,,,,,,,,,,,,,,,,9,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,1057,,,,,,,,,,1,,,,,2,5,1
Michigan,1938,LG,Arenac,,1854,,,,,,,,,,,,,,,,,,,3,,1,,1,,,,,,,,,,,,,,,,,0,,,,,,1300,,,,,,,,,,0,,,,,0,3,0
Michigan,1938,LG,Baraga,,1944,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,2166,,,,,,,,,,0,,,,,1,5,1
Michigan,1938,LG,Barry,,5234,,,,,,,,,,,,,,,,,,,5,,0,,1,,,,,,,,,,,,,,,,,0,,,,,,2180,,,,,,,,,,1,,,,,0,10,1
Michigan,1938,LG,Bay,,10956,,,,,,,,,,,,,,,,,,,27,,5,,0,,,,,,,,,,,,,,,,,0,,,,,,11035,,,,,,,,,,8,,,,,1,14,0
Michigan,1938,LG,Benzie,,1890,,,,,,,,,,,,,,,,,,,8,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,1118,,,,,,,,,,0,,,,,0,5,2
