State,Year,Office,County,D#,R#,Liberty#,I1#,I2#,I3#,Proh.#,Pop.#,SD#,FL#,S#,Wor.#,Prog.#,Ref.#,C#,L#,NP#,SoJ,W/I#,I#,Year / Office
South Dakota,1892,President,Aurora,207,461,,314,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Beadle,206,984,,672,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Bon Homme,260,879,,636,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brookings,189,1082,,827,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brown,279,1446,,1465,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Brule,200,538,,484,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Buffalo,13,78,,63,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Butte,28,154,,202,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Campbell,77,390,,204,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Charles Mix,115,516,,268,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Clark,197,731,,621,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Clay,164,918,,629,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Codington,408,882,,401,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Custer,166,503,,352,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Davison,120,569,,640,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Day,362,752,,818,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Deuel,126,441,,440,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Douglas,109,541,,414,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Edmunds,156,386,,331,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Fall River,262,569,,228,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Faulk,107,473,,162,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Grant,188,605,,692,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hamlin,161,537,,359,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hand,70,526,,587,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hanson,196,378,,470,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hughes,102,459,,169,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hutchinson,254,1034,,317,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Hyde,51,184,,91,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Jerauld,45,327,,323,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Kingsbury,175,951,,929,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lake,196,742,,769,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lawrence,546,2140,,1495,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Lincoln,206,1130,,699,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Marshall,114,477,,494,,,,,,,,,,,,,,,,,
South Dakota,1892,President,McCook,262,573,,699,,,,,,,,,,,,,,,,,
South Dakota,1892,President,McPherson,221,487,,256,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Meade,128,427,,613,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Miner,290,486,,484,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Minnehaha,484,2208,,1529,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Moody,96,735,,548,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Pennington,147,959,,787,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Potter,57,320,,249,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Roberts,68,538,,250,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Sanborn,95,564,,355,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Spink,171,1133,,832,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Stanley,29,76,,50,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Sully,39,278,,167,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Turner,429,1108,,418,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Union,241,860,,885,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Walworth,45,187,,191,,,,,,,,,,,,,,,,,
South Dakota,1892,President,Yankton,228,1166,,766,,,,,,,,,,,,,,,,,
South Dakota,1896,President,Aurora,479,387,,,,,12,,,,,,,,,,,,,,
South Dakota,1896,President,Beadle,915,935,,,,,24,,,,,,,,,,,,,,
South Dakota,1896,President,Bon Homme,893,1163,,,,,7,,,,,,,,,,,,,,
South Dakota,1896,President,Brookings,1288,1263,,,,,42,,,,,,,,,,,,,,
South Dakota,1896,President,Brown,1867,1618,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Brule,668,441,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Buffalo,79,68,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Butte,286,222,,,,,2,,,,,,,,,,,,,,
South Dakota,1896,President,Campbell,369,449,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Charles Mix,594,698,,,,,11,,,,,,,,,,,,,,
South Dakota,1896,President,Clark,816,695,,,,,33,,,,,,,,,,,,,,
South Dakota,1896,President,Clay,1061,1238,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Codington,759,1041,,,,,23,,,,,,,,,,,,,,
South Dakota,1896,President,Custer,515,429,,,,,3,,,,,,,,,,,,,,
South Dakota,1896,President,Davison,733,616,,,,,16,,,,,,,,,,,,,,
South Dakota,1896,President,Day,1230,1171,,,,,35,,,,,,,,,,,,,,
South Dakota,1896,President,Delano,1,4,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Deuel,668,698,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Douglas,380,533,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Edmunds,510,371,,,,,7,,,,,,,,,,,,,,
South Dakota,1896,President,Fall River,555,530,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Faulk,237,430,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Grant,902,1029,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Gregory,116,110,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Hamlin,559,702,,,,,13,,,,,,,,,,,,,,
South Dakota,1896,President,Hand,567,451,,,,,8,,,,,,,,,,,,,,
South Dakota,1896,President,Hanson,658,420,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Hughes,327,462,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Hutchinson,458,1413,,,,,14,,,,,,,,,,,,,,
South Dakota,1896,President,Hyde,121,223,,,,,2,,,,,,,,,,,,,,
South Dakota,1896,President,Jackson,30,18,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Jerauld,336,274,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Kingsbury,1051,950,,,,,28,,,,,,,,,,,,,,
South Dakota,1896,President,Lake,999,864,,,,,11,,,,,,,,,,,,,,
South Dakota,1896,President,Lawrence,2905,2210,,,,,35,,,,,,,,,,,,,,
South Dakota,1896,President,Lincoln,1393,1516,,,,,14,,,,,,,,,,,,,,
South Dakota,1896,President,Lyman,78,114,,,,,1,,,,,,,,,,,,,,
South Dakota,1896,President,Marshall,694,553,,,,,16,,,,,,,,,,,,,,
South Dakota,1896,President,McCook,1047,678,,,,,12,,,,,,,,,,,,,,
South Dakota,1896,President,McPherson,361,512,,,,,6,,,,,,,,,,,,,,
South Dakota,1896,President,Meade,802,550,,,,,4,,,,,,,,,,,,,,
South Dakota,1896,President,Miner,705,582,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Minnehaha,2667,2429,,,,,50,,,,,,,,,,,,,,
South Dakota,1896,President,Moody,1012,780,,,,,7,,,,,,,,,,,,,,
South Dakota,1896,President,Nowlin,23,16,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Pennington,1038,739,,,,,8,,,,,,,,,,,,,,
South Dakota,1896,President,Potter,390,333,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Pratt,6,6,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Presho,43,67,,,,,1,,,,,,,,,,,,,,
South Dakota,1896,President,Roberts,929,1324,,,,,22,,,,,,,,,,,,,,
South Dakota,1896,President,Sanborn,500,530,,,,,15,,,,,,,,,,,,,,
South Dakota,1896,President,Scobey,4,8,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Spink,1061,1132,,,,,13,,,,,,,,,,,,,,
South Dakota,1896,President,Stanley,140,89,,,,,2,,,,,,,,,,,,,,
South Dakota,1896,President,Sterling,19,17,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Sully,198,262,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Turner,950,1616,,,,,21,,,,,,,,,,,,,,
South Dakota,1896,President,Union,1491,1297,,,,,17,,,,,,,,,,,,,,
South Dakota,1896,President,Unorganized to Butte,108,77,,,,,0,,,,,,,,,,,,,,
South Dakota,1896,President,Walworth,286,250,,,,,5,,,,,,,,,,,,,,
South Dakota,1896,President,Yankton,1330,1423,,,,,16,,,,,,,,,,,,,,
South Dakota,1896,President,Ziebach,18,14,,,,,0,,,,,,,,,,,,,,
South Dakota,1900,President,Aurora,486,503,,,,,22,0,0,,,,,,,,,,,,
South Dakota,1900,President,Beadle,915,1220,,,,,55,6,0,,,,,,,,,,,,
South Dakota,1900,President,Bon Homme,1028,1271,,,,,9,4,2,,,,,,,,,,,,
South Dakota,1900,President,Brookings,1084,1707,,,,,171,8,6,,,,,,,,,,,,
South Dakota,1900,President,Brown,1722,2197,,,,,64,25,29,,,,,,,,,,,,
South Dakota,1900,President,Brule,716,644,,,,,5,0,1,,,,,,,,,,,,
South Dakota,1900,President,Buffalo,100,87,,,,,1,0,0,,,,,,,,,,,,
South Dakota,1900,President,Butte,420,492,,,,,1,10,2,,,,,,,,,,,,
South Dakota,1900,President,Campbell,250,626,,,,,6,5,2,,,,,,,,,,,,
South Dakota,1900,President,Charles Mix,1058,1108,,,,,17,5,9,,,,,,,,,,,,
South Dakota,1900,President,Clark,752,996,,,,,86,5,0,,,,,,,,,,,,
South Dakota,1900,President,Clay,1037,1387,,,,,30,3,2,,,,,,,,,,,,
South Dakota,1900,President,Codington,805,1225,,,,,69,2,1,,,,,,,,,,,,
South Dakota,1900,President,Custer,415,483,,,,,3,3,1,,,,,,,,,,,,
South Dakota,1900,President,Davison,782,853,,,,,47,12,3,,,,,,,,,,,,
South Dakota,1900,President,Day,1092,1558,,,,,105,5,4,,,,,,,,,,,,
South Dakota,1900,President,Deuel,604,1052,,,,,9,9,2,,,,,,,,,,,,
South Dakota,1900,President,Douglas,567,649,,,,,10,0,2,,,,,,,,,,,,
South Dakota,1900,President,Edmunds,553,621,,,,,16,4,1,,,,,,,,,,,,
South Dakota,1900,President,Fall River,421,521,,,,,3,3,0,,,,,,,,,,,,
South Dakota,1900,President,Faulk,302,618,,,,,22,7,1,,,,,,,,,,,,
South Dakota,1900,President,Grant,716,1305,,,,,47,6,2,,,,,,,,,,,,
South Dakota,1900,President,Gregory,259,323,,,,,4,0,1,,,,,,,,,,,,
South Dakota,1900,President,Hamlin,509,928,,,,,35,6,0,,,,,,,,,,,,
South Dakota,1900,President,Hand,594,592,,,,,18,1,2,,,,,,,,,,,,
South Dakota,1900,President,Hanson,607,607,,,,,21,2,0,,,,,,,,,,,,
South Dakota,1900,President,Hughes,272,537,,,,,4,3,2,,,,,,,,,,,,
South Dakota,1900,President,Hutchinson,534,1528,,,,,15,3,0,,,,,,,,,,,,
South Dakota,1900,President,Hyde,115,286,,,,,7,2,0,,,,,,,,,,,,
South Dakota,1900,President,Jerauld,357,374,,,,,37,2,0,,,,,,,,,,,,
South Dakota,1900,President,Kingsbury,868,1330,,,,,75,5,11,,,,,,,,,,,,
South Dakota,1900,President,Lake,901,1172,,,,,32,2,2,,,,,,,,,,,,
South Dakota,1900,President,Lawrence,2619,3435,,,,,24,41,19,,,,,,,,,,,,
South Dakota,1900,President,Lincoln,1226,1908,,,,,27,18,3,,,,,,,,,,,,
South Dakota,1900,President,Lyman,210,429,,,,,3,2,0,,,,,,,,,,,,
South Dakota,1900,President,Marshall,728,829,,,,,19,4,3,,,,,,,,,,,,
South Dakota,1900,President,McCook,989,978,,,,,5,11,0,,,,,,,,,,,,
South Dakota,1900,President,McPherson,297,898,,,,,30,8,1,,,,,,,,,,,,
South Dakota,1900,President,Meade,565,550,,,,,2,5,3,,,,,,,,,,,,
South Dakota,1900,President,Miner,697,662,,,,,15,2,3,,,,,,,,,,,,
South Dakota,1900,President,Minnehaha,2440,3410,,,,,109,7,12,,,,,,,,,,,,
South Dakota,1900,President,Moody,875,1190,,,,,15,8,3,,,,,,,,,,,,
South Dakota,1900,President,Pennington,784,898,,,,,5,4,6,,,,,,,,,,,,
South Dakota,1900,President,Potter,381,375,,,,,23,2,1,,,,,,,,,,,,
South Dakota,1900,President,Roberts,1067,1875,,,,,43,30,4,,,,,,,,,,,,
South Dakota,1900,President,Sanborn,549,628,,,,,39,1,1,,,,,,,,,,,,
South Dakota,1900,President,Spink,1087,1496,,,,,40,15,14,,,,,,,,,,,,
South Dakota,1900,President,Stanley,252,254,,,,,7,0,0,,,,,,,,,,,,
South Dakota,1900,President,Sully,152,294,,,,,4,2,2,,,,,,,,,,,,
South Dakota,1900,President,Turner,871,1977,,,,,31,13,6,,,,,,,,,,,,
South Dakota,1900,President,Union,1358,1571,,,,,23,9,3,,,,,,,,,,,,
South Dakota,1900,President,Walworth,282,478,,,,,7,4,1,,,,,,,,,,,,
South Dakota,1900,President,Yankton,1268,1639,,,,,24,6,3,,,,,,,,,,,,
South Dakota,1904,President,Aurora,407,652,,,,,38,1,,,11,,,,,,,,,,
South Dakota,1904,President,Beadle,493,1818,,,,,57,36,,,60,,,,,,,,,,
South Dakota,1904,President,Bon Homme,886,1547,,,,,25,7,,,18,,,,,,,,,,
South Dakota,1904,President,Brookings,353,2220,,,,,252,27,,,62,,,,,,,,,,
South Dakota,1904,President,Brown,988,2737,,,,,130,20,,,252,,,,,,,,,,
South Dakota,1904,President,Brule,608,693,,,,,5,19,,,18,,,,,,,,,,
South Dakota,1904,President,Buffalo,43,118,,,,,0,9,,,25,,,,,,,,,,
South Dakota,1904,President,Butte,330,793,,,,,1,6,,,48,,,,,,,,,,
South Dakota,1904,President,Campbell,120,685,,,,,18,0,,,2,,,,,,,,,,
South Dakota,1904,President,Charles Mix,823,1765,,,,,30,12,,,92,,,,,,,,,,
South Dakota,1904,President,Clark,276,1409,,,,,102,20,,,101,,,,,,,,,,
South Dakota,1904,President,Clay,361,1723,,,,,39,26,,,77,,,,,,,,,,
South Dakota,1904,President,Codington,582,1741,,,,,55,9,,,25,,,,,,,,,,
South Dakota,1904,President,Custer,228,536,,,,,2,25,,,27,,,,,,,,,,
South Dakota,1904,President,Davison,506,1626,,,,,106,110,,,14,,,,,,,,,,
South Dakota,1904,President,Day,383,2077,,,,,287,16,,,63,,,,,,,,,,
South Dakota,1904,President,Deuel,279,1348,,,,,36,8,,,7,,,,,,,,,,
South Dakota,1904,President,Douglas,499,859,,,,,11,10,,,9,,,,,,,,,,
South Dakota,1904,President,Edmunds,353,786,,,,,31,7,,,16,,,,,,,,,,
South Dakota,1904,President,Fall River,248,777,,,,,21,5,,,40,,,,,,,,,,
South Dakota,1904,President,Faulk,165,727,,,,,57,4,,,11,,,,,,,,,,
South Dakota,1904,President,Grant,309,1454,,,,,81,23,,,20,,,,,,,,,,
South Dakota,1904,President,Gregory,282,675,,,,,9,11,,,29,,,,,,,,,,
South Dakota,1904,President,Hamlin,307,1197,,,,,56,7,,,13,,,,,,,,,,
South Dakota,1904,President,Hand,170,943,,,,,37,238,,,9,,,,,,,,,,
South Dakota,1904,President,Hanson,523,745,,,,,51,8,,,9,,,,,,,,,,
South Dakota,1904,President,Hughes,335,929,,,,,9,2,,,12,,,,,,,,,,
South Dakota,1904,President,Hutchinson,365,1752,,,,,53,5,,,6,,,,,,,,,,
South Dakota,1904,President,Hyde,91,443,,,,,25,2,,,15,,,,,,,,,,
South Dakota,1904,President,Jerauld,139,586,,,,,67,34,,,25,,,,,,,,,,
South Dakota,1904,President,Kingsbury,344,1896,,,,,112,33,,,56,,,,,,,,,,
South Dakota,1904,President,Lake,260,1728,,,,,69,39,,,94,,,,,,,,,,
South Dakota,1904,President,Lawrence,1347,4247,,,,,32,37,,,818,,,,,,,,,,
South Dakota,1904,President,Lincoln,378,2471,,,,,69,20,,,132,,,,,,,,,,
South Dakota,1904,President,Lyman,306,986,,,,,13,15,,,21,,,,,,,,,,
South Dakota,1904,President,Marshall,292,996,,,,,107,10,,,61,,,,,,,,,,
South Dakota,1904,President,McCook,693,1284,,,,,6,5,,,50,,,,,,,,,,
South Dakota,1904,President,McPherson,144,727,,,,,50,8,,,5,,,,,,,,,,
South Dakota,1904,President,Meade,268,754,,,,,15,60,,,49,,,,,,,,,,
South Dakota,1904,President,Miner,475,893,,,,,40,9,,,40,,,,,,,,,,
South Dakota,1904,President,Minnehaha,1046,4455,,,,,190,57,,,269,,,,,,,,,,
South Dakota,1904,President,Moody,295,1471,,,,,66,87,,,39,,,,,,,,,,
South Dakota,1904,President,Pennington,392,1126,,,,,11,28,,,75,,,,,,,,,,
South Dakota,1904,President,Potter,275,525,,,,,10,8,,,18,,,,,,,,,,
South Dakota,1904,President,Roberts,584,2282,,,,,99,16,,,61,,,,,,,,,,
South Dakota,1904,President,Sanborn,265,1013,,,,,64,11,,,15,,,,,,,,,,
South Dakota,1904,President,Spink,492,2127,,,,,140,27,,,68,,,,,,,,,,
South Dakota,1904,President,Stanley,396,547,,,,,10,0,,,11,,,,,,,,,,
South Dakota,1904,President,Sully,50,364,,,,,5,5,,,15,,,,,,,,,,
South Dakota,1904,President,Turner,521,2395,,,,,76,14,,,23,,,,,,,,,,
South Dakota,1904,President,Union,730,1813,,,,,49,23,,,39,,,,,,,,,,
South Dakota,1904,President,Walworth,176,654,,,,,9,4,,,17,,,,,,,,,,
South Dakota,1904,President,Yankton,788,1968,,,,,32,17,,,46,,,,,,,,,,
South Dakota,1908,President,Aurora,694,686,,,,,48,,,,4,,,,,,,0,,,
South Dakota,1908,President,Beadle,1105,1776,,,,,96,,,,57,,,,,,,2,,,
South Dakota,1908,President,Bon Homme,1014,1324,,,,,47,,,,10,,,,,,,1,,,
South Dakota,1908,President,Brookings,588,1697,,,,,337,,,,45,,,,,,,2,,,
South Dakota,1908,President,Brown,1772,2646,,,,,128,,,,182,,,,,,,3,,,
South Dakota,1908,President,Brule,823,753,,,,,12,,,,20,,,,,,,1,,,
South Dakota,1908,President,Buffalo,69,105,,,,,0,,,,4,,,,,,,0,,,
South Dakota,1908,President,Butte,915,1636,,,,,27,,,,139,,,,,,,0,,,
South Dakota,1908,President,Campbell,175,627,,,,,29,,,,3,,,,,,,0,,,
South Dakota,1908,President,Charles Mix,1391,1863,,,,,32,,,,46,,,,,,,2,,,
South Dakota,1908,President,Clark,557,1234,,,,,87,,,,36,,,,,,,3,,,
South Dakota,1908,President,Clay,803,1291,,,,,41,,,,19,,,,,,,0,,,
South Dakota,1908,President,Codington,831,1618,,,,,75,,,,30,,,,,,,2,,,
South Dakota,1908,President,Custer,428,487,,,,,5,,,,64,,,,,,,2,,,
South Dakota,1908,President,Davison,1081,1276,,,,,135,,,,11,,,,,,,3,,,
South Dakota,1908,President,Day,813,1616,,,,,256,,,,40,,,,,,,4,,,
South Dakota,1908,President,Deuel,425,1022,,,,,125,,,,4,,,,,,,2,,,
South Dakota,1908,President,Douglas,647,836,,,,,7,,,,3,,,,,,,0,,,
South Dakota,1908,President,Edmunds,658,726,,,,,56,,,,7,,,,,,,1,,,
South Dakota,1908,President,Fall River,466,726,,,,,43,,,,25,,,,,,,0,,,
South Dakota,1908,President,Faulk,421,835,,,,,74,,,,5,,,,,,,0,,,
South Dakota,1908,President,Grant,628,1122,,,,,111,,,,12,,,,,,,1,,,
South Dakota,1908,President,Gregory,1266,1550,,,,,53,,,,64,,,,,,,1,,,
South Dakota,1908,President,Hamlin,434,1095,,,,,59,,,,8,,,,,,,1,,,
South Dakota,1908,President,Hand,655,851,,,,,135,,,,9,,,,,,,0,,,
South Dakota,1908,President,Hanson,630,668,,,,,66,,,,8,,,,,,,0,,,
South Dakota,1908,President,Hughes,349,795,,,,,19,,,,30,,,,,,,0,,,
South Dakota,1908,President,Hutchinson,619,1507,,,,,51,,,,6,,,,,,,0,,,
South Dakota,1908,President,Hyde,212,455,,,,,22,,,,17,,,,,,,0,,,
South Dakota,1908,President,Jerauld,403,582,,,,,93,,,,12,,,,,,,2,,,
South Dakota,1908,President,Kingsbury,799,1537,,,,,163,,,,33,,,,,,,0,,,
South Dakota,1908,President,Lake,636,1415,,,,,65,,,,39,,,,,,,2,,,
South Dakota,1908,President,Lawrence,1564,2735,,,,,37,,,,1036,,,,,,,5,,,
South Dakota,1908,President,Lincoln,699,1887,,,,,84,,,,46,,,,,,,3,,,
South Dakota,1908,President,Lyman,1183,1524,,,,,81,,,,76,,,,,,,5,,,
South Dakota,1908,President,Marshall,453,874,,,,,116,,,,25,,,,,,,2,,,
South Dakota,1908,President,McCook,826,1209,,,,,66,,,,17,,,,,,,3,,,
South Dakota,1908,President,McPherson,157,785,,,,,9,,,,6,,,,,,,2,,,
South Dakota,1908,President,Meade,792,953,,,,,30,,,,84,,,,,,,1,,,
South Dakota,1908,President,Miner,720,906,,,,,42,,,,12,,,,,,,0,,,
South Dakota,1908,President,Minnehaha,1948,4125,,,,,254,,,,106,,,,,,,5,,,
South Dakota,1908,President,Moody,623,1275,,,,,80,,,,30,,,,,,,0,,,
South Dakota,1908,President,Pennington,1160,1702,,,,,26,,,,78,,,,,,,0,,,
South Dakota,1908,President,Potter,400,614,,,,,24,,,,5,,,,,,,14,,,
South Dakota,1908,President,Roberts,777,1562,,,,,101,,,,119,,,,,,,1,,,
South Dakota,1908,President,Sanborn,513,847,,,,,103,,,,5,,,,,,,0,,,
South Dakota,1908,President,Spink,1121,1847,,,,,126,,,,34,,,,,,,2,,,
South Dakota,1908,President,Stanley,1598,2313,,,,,74,,,,104,,,,,,,3,,,
South Dakota,1908,President,Sully,154,368,,,,,5,,,,11,,,,,,,1,,,
South Dakota,1908,President,Turner,793,1792,,,,,112,,,,11,,,,,,,0,,,
South Dakota,1908,President,Union,1009,1392,,,,,51,,,,5,,,,,,,1,,,
South Dakota,1908,President,Walworth,351,825,,,,,24,,,,13,,,,,,,1,,,
South Dakota,1908,President,Yankton,1118,1644,,,,,97,,,,31,,,,,,,4,,,
South Dakota,1912,President,Aurora,801,,,,,,68,,,,43,,652,,,,,,,,
South Dakota,1912,President,Beadle,1464,,,,,,70,,,,166,,1493,,,,,,,,
South Dakota,1912,President,Bennett,179,,,,,,3,,,,3,,68,,,,,,,,
South Dakota,1912,President,Bon Homme,1059,,,,,,40,,,,45,,1228,,,,,,,,
South Dakota,1912,President,Brookings,740,,,,,,208,,,,58,,1389,,,,,,,,
South Dakota,1912,President,Brown,2488,,,,,,289,,,,385,,1746,,,,,,,,
South Dakota,1912,President,Brule,842,,,,,,18,,,,67,,643,,,,,,,,
South Dakota,1912,President,Buffalo,105,,,,,,3,,,,4,,83,,,,,,,,
South Dakota,1912,President,Butte,601,,,,,,24,,,,189,,649,,,,,,,,
South Dakota,1912,President,Campbell,150,,,,,,32,,,,10,,574,,,,,,,,
South Dakota,1912,President,Charles Mix,1625,,,,,,44,,,,59,,1817,,,,,,,,
South Dakota,1912,President,Clark,668,,,,,,83,,,,36,,949,,,,,,,,
South Dakota,1912,President,Clay,929,,,,,,48,,,,27,,1262,,,,,,,,
South Dakota,1912,President,Codington,1111,,,,,,90,,,,71,,1195,,,,,,,,
South Dakota,1912,President,Corson,455,,,,,,16,,,,49,,508,,,,,,,,
South Dakota,1912,President,Custer,419,,,,,,8,,,,91,,395,,,,,,,,
South Dakota,1912,President,Davison,1266,,,,,,98,,,,68,,1364,,,,,,,,
South Dakota,1912,President,Day,787,,,,,,224,,,,111,,1209,,,,,,,,
South Dakota,1912,President,Deuel,441,,,,,,72,,,,15,,887,,,,,,,,
South Dakota,1912,President,Dewey,411,,,,,,12,,,,42,,509,,,,,,,,
South Dakota,1912,President,Douglas,714,,,,,,16,,,,11,,765,,,,,,,,
South Dakota,1912,President,Edmunds,729,,,,,,89,,,,26,,640,,,,,,,,
South Dakota,1912,President,Fall River,712,,,,,,31,,,,100,,846,,,,,,,,
South Dakota,1912,President,Faulk,615,,,,,,92,,,,23,,568,,,,,,,,
South Dakota,1912,President,Grant,619,,,,,,80,,,,55,,828,,,,,,,,
South Dakota,1912,President,Gregory,1176,,,,,,25,,,,96,,1348,,,,,,,,
South Dakota,1912,President,Hamlin,474,,,,,,35,,,,17,,1058,,,,,,,,
South Dakota,1912,President,Hand,826,,,,,,87,,,,44,,738,,,,,,,,
South Dakota,1912,President,Hanson,632,,,,,,42,,,,21,,708,,,,,,,,
South Dakota,1912,President,Harding,325,,,,,,64,,,,113,,600,,,,,,,,
South Dakota,1912,President,Hughes,544,,,,,,23,,,,63,,447,,,,,,,,
South Dakota,1912,President,Hutchinson,647,,,,,,29,,,,12,,1451,,,,,,,,
South Dakota,1912,President,Hyde,232,,,,,,17,,,,53,,398,,,,,,,,
South Dakota,1912,President,Jerauld,436,,,,,,155,,,,11,,545,,,,,,,,
South Dakota,1912,President,Kingsbury,747,,,,,,152,,,,113,,1152,,,,,,,,
South Dakota,1912,President,Lake,657,,,,,,51,,,,79,,1174,,,,,,,,
South Dakota,1912,President,Lawrence,2412,,,,,,41,,,,326,,1692,,,,,,,,
South Dakota,1912,President,Lincoln,719,,,,,,72,,,,56,,1674,,,,,,,,
South Dakota,1912,President,Lyman,766,,,,,,34,,,,135,,990,,,,,,,,
South Dakota,1912,President,Marshall,541,,,,,,69,,,,45,,601,,,,,,,,
South Dakota,1912,President,McCook,962,,,,,,74,,,,56,,1063,,,,,,,,
South Dakota,1912,President,McPherson,327,,,,,,13,,,,6,,649,,,,,,,,
South Dakota,1912,President,Meade,975,,,,,,71,,,,152,,1032,,,,,,,,
South Dakota,1912,President,Mellette,320,,,,,,7,,,,5,,261,,,,,,,,
South Dakota,1912,President,Miner,720,,,,,,48,,,,39,,851,,,,,,,,
South Dakota,1912,President,Minnehaha,2576,,,,,,195,,,,256,,3051,,,,,,,,
South Dakota,1912,President,Moody,637,,,,,,101,,,,119,,932,,,,,,,,
South Dakota,1912,President,Pennington,1135,,,,,,32,,,,117,,1073,,,,,,,,
South Dakota,1912,President,Perkins,832,,,,,,40,,,,177,,1052,,,,,,,,
South Dakota,1912,President,Potter,423,,,,,,22,,,,17,,439,,,,,,,,
South Dakota,1912,President,Roberts,812,,,,,,85,,,,201,,1361,,,,,,,,
South Dakota,1912,President,Sanborn,577,,,,,,78,,,,19,,880,,,,,,,,
South Dakota,1912,President,Spink,1347,,,,,,118,,,,128,,1432,,,,,,,,
South Dakota,1912,President,Stanley,1051,,,,,,46,,,,137,,981,,,,,,,,
South Dakota,1912,President,Sully,242,,,,,,19,,,,19,,292,,,,,,,,
South Dakota,1912,President,Tripp,982,,,,,,32,,,,82,,1153,,,,,,,,
South Dakota,1912,President,Turner,906,,,,,,82,,,,22,,1603,,,,,,,,
South Dakota,1912,President,Union,965,,,,,,86,,,,22,,1396,,,,,,,,
South Dakota,1912,President,Walworth,451,,,,,,30,,,,55,,585,,,,,,,,
South Dakota,1912,President,Yankton,1289,,,,,,67,,,,61,,1511,,,,,,,,
South Dakota,1912,President,Ziebach,349,,,,,,10,,,,36,,371,,,,,,,,
