State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1904,President,Greenville,2489,66,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Greenwood,1332,1,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Hampton,1079,0,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Horry,980,40,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Kershaw,850,25,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Lancaster,1504,69,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Laurens,1779,50,,,,,,,,,,,,,,,,1,,,,,,,,
South Carolina,1904,President,Lee,1128,18,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Lexington,2403,60,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Marion,1507,49,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Marlboro,755,14,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Newberry,1364,33,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Oconee,720,62,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Orangeburg,2941,238,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Pickens,914,6,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Richland,1220,122,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Saluda,938,7,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Spartanburg,2621,84,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Sumter,919,137,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Union,1593,58,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,Williamsburg,1476,187,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1904,President,York,1198,25,,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Abbeville,1095,9,4,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Aiken,1452,2,4,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Anderson,2158,25,66,16,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Bamberg,616,3,1,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Barnwell,1139,15,5,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Beaufort,464,50,62,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Berkeley,323,5,13,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Calhoun,460,15,16,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Charleston,1760,34,100,54,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Cherokee,1259,16,7,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Chester,1286,0,20,0,,,,,,,,,,,,,,0,,,,,,,,
