State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,2004,President,Cherokee,6466,12090,,,,,29,,62,,,,,30,16,,21,,,,,,,,,
South Carolina,2004,President,Chester,5790,5798,,,,,30,,46,,,,,26,7,,32,,,,,,,,,
South Carolina,2004,President,Chesterfield,6729,7252,,,,,12,,29,,,,,14,7,,6,,,,,,,,,
South Carolina,2004,President,Clarendon,7087,6061,,,,,12,,21,,,,,9,2,,8,,,,,,,,,
South Carolina,2004,President,Colleton,6699,7264,,,,,34,,56,,,,,24,9,,20,,,,,,,,,
South Carolina,2004,President,Darlington,11829,13416,,,,,62,,52,,,,,47,20,,28,,,,,,,,,
South Carolina,2004,President,Dillon,4832,4301,,,,,40,,22,,,,,12,5,,23,,,,,,,,,
South Carolina,2004,President,Dorchester,14733,26006,,,,,283,,148,,,,,79,31,,37,,,,,,,,,
South Carolina,2004,President,Edgefield,4051,5611,,,,,34,,22,,,,,16,4,,8,,,,,,,,,
South Carolina,2004,President,Fairfield,5764,3531,,,,,77,,15,,,,,15,4,,29,,,,,,,,,
South Carolina,2004,President,Florence,21442,27689,,,,,65,,137,,,,,101,35,,76,,,,,,,,,
South Carolina,2004,President,Georgetown,10602,12606,,,,,36,,152,,,,,57,32,,108,,,,,,,,,
South Carolina,2004,President,Greenville,55347,111481,,,,,566,,655,,,,,438,177,,169,,,,,,,,,
South Carolina,2004,President,Greenwood,8954,14264,,,,,51,,77,,,,,46,17,,33,,,,,,,,,
South Carolina,2004,President,Hampton,4832,3097,,,,,58,,11,,,,,7,2,,9,,,,,,,,,
South Carolina,2004,President,Horry,29547,50447,,,,,575,,310,,,,,159,207,,102,,,,,,,,,
South Carolina,2004,President,Jasper,3840,2933,,,,,8,,28,,,,,19,7,,11,,,,,,,,,
South Carolina,2004,President,Kershaw,8515,14160,,,,,48,,76,,,,,61,18,,37,,,,,,,,,
South Carolina,2004,President,Lancaster,7631,12916,,,,,52,,104,,,,,64,34,,13,,,,,,,,,
South Carolina,2004,President,Laurens,9205,14466,,,,,44,,67,,,,,31,9,,7,,,,,,,,,
South Carolina,2004,President,Lee,4960,2901,,,,,4,,10,,,,,6,7,,10,,,,,,,,,
South Carolina,2004,President,Lexington,25393,67132,,,,,171,,295,,,,,255,66,,120,,,,,,,,,
South Carolina,2004,President,Marion,7767,5589,,,,,6,,11,,,,,8,50,,3,,,,,,,,,
South Carolina,2004,President,Marlboro,4984,3423,,,,,80,,29,,,,,11,7,,24,,,,,,,,,
South Carolina,2004,President,McCormick,2648,2396,,,,,73,,30,,,,,14,7,,29,,,,,,,,,
South Carolina,2004,President,Newberry,4483,7654,,,,,42,,78,,,,,29,39,,84,,,,,,,,,
South Carolina,2004,President,Oconee,8395,18811,,,,,72,,127,,,,,65,20,,42,,,,,,,,,
South Carolina,2004,President,Orangeburg,24698,12695,,,,,53,,65,,,,,29,10,,14,,,,,,,,,
South Carolina,2004,President,Pickens,10287,29759,,,,,113,,141,,,,,130,25,,55,,,,,,,,,
South Carolina,2004,President,Richland,76283,56212,,,,,227,,467,,,,,313,125,,174,,,,,,,,,
South Carolina,2004,President,Saluda,3001,4537,,,,,5,,24,,,,,6,4,,1,,,,,,,,,
South Carolina,2004,President,Spartanburg,33633,62004,,,,,368,,300,,,,,226,68,,159,,,,,,,,,
South Carolina,2004,President,Sumter,18695,18074,,,,,41,,74,,,,,64,23,,32,,,,,,,,,
South Carolina,2004,President,Union,5236,6592,,,,,27,,35,,,,,15,13,,16,,,,,,,,,
South Carolina,2004,President,Williamsburg,9044,4795,,,,,13,,25,,,,,19,7,,15,,,,,,,,,
South Carolina,2004,President,York,24226,45234,,,,,121,,259,,,,,206,54,,81,,,,,,,,,
South Carolina,2008,President,Abbeville,4593,6264,,,,,55,,,38,,,,25,26,,,,,,,,,,,
South Carolina,2008,President,Aiken,26101,42849,,,,,227,,,184,,,,249,160,,,,,,,,,,,
South Carolina,2008,President,Allendale,3029,947,,,,,9,,,10,,,,11,18,,,,,,,,,,,
South Carolina,2008,President,Anderson,24132,48690,,,,,321,,,245,,,,287,112,,,,,,,,,,,
South Carolina,2008,President,Bamberg,4426,2309,,,,,14,,,14,,,,20,31,,,,,,,,,,,
South Carolina,2008,President,Barnwell,4931,4769,,,,,28,,,23,,,,17,30,,,,,,,,,,,
South Carolina,2008,President,Beaufort,30396,37821,,,,,86,,,156,,,,260,151,,,,,,,,,,,
South Carolina,2008,President,Berkeley,27755,36205,,,,,207,,,149,,,,278,187,,,,,,,,,,,
South Carolina,2008,President,Calhoun,3970,3695,,,,,18,,,17,,,,26,12,,,,,,,,,,,
South Carolina,2008,President,Charleston,82698,69822,,,,,380,,,419,,,,758,357,,,,,,,,,,,
South Carolina,2008,President,Cherokee,7215,13305,,,,,76,,,47,,,,63,60,,,,,,,,,,,
South Carolina,2008,President,Chester,7478,6318,,,,,53,,,46,,,,50,36,,,,,,,,,,,
South Carolina,2008,President,Chesterfield,7842,8325,,,,,38,,,49,,,,59,46,,,,,,,,,,,
South Carolina,2008,President,Clarendon,8673,6758,,,,,30,,,27,,,,32,32,,,,,,,,,,,
South Carolina,2008,President,Colleton,8616,8525,,,,,42,,,42,,,,51,45,,,,,,,,,,,
South Carolina,2008,President,Darlington,14505,14544,,,,,58,,,64,,,,78,85,,,,,,,,,,,
South Carolina,2008,President,Dillon,7408,5874,,,,,28,,,42,,,,32,33,,,,,,,,,,,
South Carolina,2008,President,Dorchester,21806,29929,,,,,158,,,177,,,,232,103,,,,,,,,,,,
South Carolina,2008,President,Edgefield,5075,6334,,,,,26,,,22,,,,35,28,,,,,,,,,,,
South Carolina,2008,President,Fairfield,7591,3912,,,,,35,,,22,,,,27,32,,,,,,,,,,,
South Carolina,2008,President,Florence,28012,29861,,,,,125,,,115,,,,151,109,,,,,,,,,,,
South Carolina,2008,President,Georgetown,14199,15790,,,,,61,,,68,,,,89,83,,,,,,,,,,,
South Carolina,2008,President,Greenville,70886,116363,,,,,1566,,,526,,,,893,423,,,,,,,,,,,
South Carolina,2008,President,Greenwood,12348,16995,,,,,97,,,69,,,,100,58,,,,,,,,,,,
South Carolina,2008,President,Hampton,5816,3439,,,,,18,,,15,,,,34,28,,,,,,,,,,,
South Carolina,2008,President,Horry,38879,64609,,,,,273,,,401,,,,367,269,,,,,,,,,,,
South Carolina,2008,President,Jasper,5389,3365,,,,,17,,,16,,,,32,35,,,,,,,,,,,
South Carolina,2008,President,Kershaw,11226,16466,,,,,65,,,55,,,,105,68,,,,,,,,,,,
South Carolina,2008,President,Lancaster,12139,16441,,,,,72,,,82,,,,108,79,,,,,,,,,,,
South Carolina,2008,President,Laurens,10578,15334,,,,,129,,,74,,,,106,61,,,,,,,,,,,
South Carolina,2008,President,Lee,5960,3074,,,,,35,,,21,,,,33,30,,,,,,,,,,,
South Carolina,2008,President,Lexington,33303,74960,,,,,304,,,286,,,,423,236,,,,,,,,,,,
South Carolina,2008,President,Marion,9608,5416,,,,,8,,,8,,,,9,15,,,,,,,,,,,
South Carolina,2008,President,Marlboro,6794,3996,,,,,29,,,26,,,,48,47,,,,,,,,,,,
South Carolina,2008,President,McCormick,2755,2437,,,,,20,,,17,,,,24,25,,,,,,,,,,,
South Carolina,2008,President,Newberry,6708,9616,,,,,34,,,55,,,,68,43,,,,,,,,,,,
South Carolina,2008,President,Oconee,9481,21164,,,,,132,,,118,,,,146,91,,,,,,,,,,,
South Carolina,2008,President,Orangeburg,27263,12115,,,,,85,,,63,,,,102,126,,,,,,,,,,,
South Carolina,2008,President,Pickens,11691,32552,,,,,375,,,159,,,,243,108,,,,,,,,,,,
South Carolina,2008,President,Richland,105656,57941,,,,,298,,,321,,,,516,305,,,,,,,,,,,
South Carolina,2008,President,Saluda,3323,5191,,,,,20,,,22,,,,19,28,,,,,,,,,,,
South Carolina,2008,President,Spartanburg,41632,65042,,,,,705,,,301,,,,380,268,,,,,,,,,,,
South Carolina,2008,President,Sumter,25431,18581,,,,,102,,,78,,,,92,74,,,,,,,,,,,
South Carolina,2008,President,Union,5935,7449,,,,,50,,,36,,,,37,44,,,,,,,,,,,
South Carolina,2008,President,Williamsburg,11279,5004,,,,,60,,,9,,,,41,50,,,,,,,,,,,
South Carolina,2008,President,York,37918,54500,,,,,258,,,319,,,,527,174,,,,,,,,,,,
South Carolina,2012,President,Abbeville,4543,5981,,,,,52,,,,,,,71,24,,,,,,,,,,,
South Carolina,2012,President,Aiken,25322,44042,,,,,164,,,,,,,624,211,,,,,,,,,,,
South Carolina,2012,President,Allendale,3297,838,,,,,10,,,,,,,9,9,,,,,,,,,,,
South Carolina,2012,President,Anderson,22405,48709,,,,,207,,,,,,,717,174,,,,,,,,,,,
South Carolina,2012,President,Bamberg,4624,2194,,,,,17,,,,,,,34,13,,,,,,,,,,,
South Carolina,2012,President,Barnwell,5188,4659,,,,,13,,,,,,,43,20,,,,,,,,,,,
South Carolina,2012,President,Beaufort,29848,42687,,,,,90,,,,,,,503,169,,,,,,,,,,,
South Carolina,2012,President,Berkeley,28542,38475,,,,,202,,,,,,,757,219,,,,,,,,,,,
South Carolina,2012,President,Calhoun,4045,3707,,,,,25,,,,,,,37,20,,,,,,,,,,,
South Carolina,2012,President,Charleston,81487,77629,,,,,227,,,,,,,1854,510,,,,,,,,,,,
South Carolina,2012,President,Cherokee,7231,13314,,,,,68,,,,,,,117,43,,,,,,,,,,,
South Carolina,2012,President,Chester,7891,6367,,,,,34,,,,,,,81,34,,,,,,,,,,,
South Carolina,2012,President,Chesterfield,7958,8490,,,,,40,,,,,,,59,47,,,,,,,,,,,
South Carolina,2012,President,Clarendon,9091,7071,,,,,39,,,,,,,57,34,,,,,,,,,,,
South Carolina,2012,President,Colleton,8475,8443,,,,,33,,,,,,,84,51,,,,,,,,,,,
South Carolina,2012,President,Darlington,15457,14434,,,,,50,,,,,,,137,72,,,,,,,,,,,
South Carolina,2012,President,Dillon,7523,5427,,,,,30,,,,,,,23,32,,,,,,,,,,,
South Carolina,2012,President,Dorchester,23445,32531,,,,,138,,,,,,,546,195,,,,,,,,,,,
South Carolina,2012,President,Edgefield,4967,6512,,,,,22,,,,,,,64,21,,,,,,,,,,,
South Carolina,2012,President,Fairfield,7777,3999,,,,,25,,,,,,,67,27,,,,,,,,,,,
South Carolina,2012,President,Florence,28614,28961,,,,,133,,,,,,,290,124,,,,,,,,,,,
South Carolina,2012,President,Georgetown,14163,16526,,,,,40,,,,,,,187,49,,,,,,,,,,,
South Carolina,2012,President,Greenville,68070,121685,,,,,641,,,,,,,2282,511,,,,,,,,,,,
South Carolina,2012,President,Greenwood,11972,16348,,,,,71,,,,,,,207,74,,,,,,,,,,,
South Carolina,2012,President,Hampton,5834,3312,,,,,14,,,,,,,35,11,,,,,,,,,,,
South Carolina,2012,President,Horry,38885,72127,,,,,178,,,,,,,907,296,,,,,,,,,,,
South Carolina,2012,President,Jasper,5757,4169,,,,,27,,,,,,,43,25,,,,,,,,,,,
South Carolina,2012,President,Kershaw,11259,16324,,,,,62,,,,,,,214,87,,,,,,,,,,,
South Carolina,2012,President,Lancaster,13419,19333,,,,,53,,,,,,,261,78,,,,,,,,,,,
South Carolina,2012,President,Laurens,10318,14746,,,,,99,,,,,,,178,75,,,,,,,,,,,
South Carolina,2012,President,Lee,5977,2832,,,,,28,,,,,,,42,28,,,,,,,,,,,
South Carolina,2012,President,Lexington,34148,76662,,,,,269,,,,,,,1176,368,,,,,,,,,,,
South Carolina,2012,President,Marion,9688,5164,,,,,7,,,,,,,21,12,,,,,,,,,,,
South Carolina,2012,President,Marlboro,6100,3676,,,,,55,,,,,,,35,44,,,,,,,,,,,
South Carolina,2012,President,McCormick,2653,2467,,,,,23,,,,,,,45,9,,,,,,,,,,,
South Carolina,2012,President,Newberry,6913,9260,,,,,30,,,,,,,89,59,,,,,,,,,,,
South Carolina,2012,President,Oconee,8550,21611,,,,,94,,,,,,,296,115,,,,,,,,,,,
South Carolina,2012,President,Orangeburg,30720,12022,,,,,86,,,,,,,143,70,,,,,,,,,,,
South Carolina,2012,President,Pickens,11156,33474,,,,,186,,,,,,,568,165,,,,,,,,,,,
South Carolina,2012,President,Richland,103989,53105,,,,,474,,,,,,,1001,585,,,,,,,,,,,
South Carolina,2012,President,Saluda,3328,5135,,,,,16,,,,,,,58,27,,,,,,,,,,,
South Carolina,2012,President,Spartanburg,41461,66969,,,,,303,,,,,,,915,258,,,,,,,,,,,
South Carolina,2012,President,Sumter,27589,19274,,,,,130,,,,,,,202,114,,,,,,,,,,,
South Carolina,2012,President,Union,5796,6584,,,,,42,,,,,,,71,48,,,,,,,,,,,
South Carolina,2012,President,Williamsburg,11335,4824,,,,,38,,,,,,,41,66,,,,,,,,,,,
South Carolina,2012,President,York,39131,59546,,,,,180,,,,,,,1130,223,,,,,,,,,,,
South Carolina,2016,President,Abbeville,3741,6763,,,,,38,12,56,,,,,129,36,,,,,,,,,,,
South Carolina,2016,President,Aiken,25455,46025,,,,,213,109,791,,,,,1798,460,,,,,,,,,,,
South Carolina,2016,President,Allendale,2735,789,,,,,11,12,12,,,,,22,11,,,,,,,,,,,
South Carolina,2016,President,Anderson,21097,56232,,,,,236,112,776,,,,,1592,438,,,,,,,,,,,
South Carolina,2016,President,Bamberg,3898,2204,,,,,16,7,21,,,,,51,17,,,,,,,,,,,
South Carolina,2016,President,Barnwell,4400,4889,,,,,24,7,43,,,,,87,35,,,,,,,,,,,
South Carolina,2016,President,Beaufort,32138,42922,,,,,142,92,743,,,,,2005,482,,,,,,,,,,,
South Carolina,2016,President,Berkeley,30705,44587,,,,,230,118,864,,,,,2470,543,,,,,,,,,,,
South Carolina,2016,President,Calhoun,3573,3787,,,,,15,6,39,,,,,105,24,,,,,,,,,,,
South Carolina,2016,President,Charleston,89299,75443,,,,,428,226,1985,,,,,7283,1681,,,,,,,,,,,
South Carolina,2016,President,Cherokee,6092,15167,,,,,52,30,96,,,,,242,80,,,,,,,,,,,
South Carolina,2016,President,Chester,6579,7265,,,,,30,29,64,,,,,175,50,,,,,,,,,,,
South Carolina,2016,President,Chesterfield,6858,9312,,,,,60,24,95,,,,,185,47,,,,,,,,,,,
South Carolina,2016,President,Clarendon,7732,7386,,,,,25,24,74,,,,,127,27,,,,,,,,,,,
South Carolina,2016,President,Colleton,7627,9091,,,,,60,29,103,,,,,262,79,,,,,,,,,,,
South Carolina,2016,President,Darlington,13888,14989,,,,,73,38,168,,,,,385,133,,,,,,,,,,,
South Carolina,2016,President,Dillon,5834,5637,,,,,23,28,43,,,,,79,54,,,,,,,,,,,
South Carolina,2016,President,Dorchester,24055,34987,,,,,215,82,731,,,,,2050,447,,,,,,,,,,,
South Carolina,2016,President,Edgefield,4491,6842,,,,,42,14,68,,,,,152,35,,,,,,,,,,,
South Carolina,2016,President,Fairfield,6945,4027,,,,,32,21,73,,,,,120,49,,,,,,,,,,,
South Carolina,2016,President,Florence,26710,29573,,,,,116,74,350,,,,,853,255,,,,,,,,,,,
South Carolina,2016,President,Georgetown,13310,17389,,,,,57,36,202,,,,,498,165,,,,,,,,,,,
South Carolina,2016,President,Greenville,74483,127832,,,,,884,315,3645,,,,,6511,1495,,,,,,,,,,,
South Carolina,2016,President,Greenwood,10711,16961,,,,,81,49,221,,,,,580,160,,,,,,,,,,,
South Carolina,2016,President,Hampton,5170,3488,,,,,14,14,32,,,,,69,19,,,,,,,,,,,
South Carolina,2016,President,Horry,39410,89288,,,,,197,201,737,,,,,2276,811,,,,,,,,,,,
South Carolina,2016,President,Jasper,5956,5187,,,,,25,17,68,,,,,139,35,,,,,,,,,,,
South Carolina,2016,President,Kershaw,10330,17542,,,,,72,59,289,,,,,560,143,,,,,,,,,,,
South Carolina,2016,President,Lancaster,13812,23719,,,,,97,49,336,,,,,764,161,,,,,,,,,,,
South Carolina,2016,President,Laurens,8889,16816,,,,,122,40,201,,,,,373,125,,,,,,,,,,,
South Carolina,2016,President,Lee,5199,2803,,,,,25,11,33,,,,,63,22,,,,,,,,,,,
South Carolina,2016,President,Lexington,35230,80026,,,,,416,210,1733,,,,,3584,894,,,,,,,,,,,
South Carolina,2016,President,Marion,8569,5444,,,,,6,7,17,,,,,103,8,,,,,,,,,,,
South Carolina,2016,President,Marlboro,5954,4267,,,,,27,22,46,,,,,70,65,,,,,,,,,,,
South Carolina,2016,President,McCormick,2479,2652,,,,,20,13,32,,,,,47,33,,,,,,,,,,,
South Carolina,2016,President,Newberry,6217,10017,,,,,34,52,109,,,,,313,65,,,,,,,,,,,
South Carolina,2016,President,Oconee,7998,24178,,,,,92,101,316,,,,,725,225,,,,,,,,,,,
South Carolina,2016,President,Orangeburg,26318,11931,,,,,64,44,120,,,,,308,125,,,,,,,,,,,
South Carolina,2016,President,Pickens,10354,36236,,,,,163,225,549,,,,,1194,328,,,,,,,,,,,
South Carolina,2016,President,Richland,108000,52469,,,,,467,232,2233,,,,,3938,1383,,,,,,,,,,,
South Carolina,2016,President,Saluda,2813,5526,,,,,18,12,48,,,,,105,42,,,,,,,,,,,
South Carolina,2016,President,Spartanburg,39997,76277,,,,,357,157,1099,,,,,2443,760,,,,,,,,,,,
South Carolina,2016,President,Sumter,24047,18745,,,,,83,64,301,,,,,644,202,,,,,,,,,,,
South Carolina,2016,President,Union,4729,7061,,,,,33,21,63,,,,,137,48,,,,,,,,,,,
South Carolina,2016,President,Williamsburg,9953,4864,,,,,31,20,52,,,,,84,50,,,,,,,,,,,
South Carolina,2016,President,York,41593,66754,,,,,299,181,1339,,,,,3504,687,,,,,,,,,,,
South Carolina,1954,US Senate,Abbeville,,,,,,,,,,,,,,,,,,,1006,1476,,0,,,,
South Carolina,1954,US Senate,Aiken,,,,,,,,,,,,,,,,,,,5845,3435,,0,,,,
South Carolina,1954,US Senate,Allendale,,,,,,,,,,,,,,,,,,,551,883,,1,,,,
South Carolina,1954,US Senate,Anderson,,,,,,,,,,,,,,,,,,,3770,4908,,8,,,,
South Carolina,1954,US Senate,Bamberg,,,,,,,,,,,,,,,,,,,951,1228,,3,,,,
South Carolina,1954,US Senate,Barnwell,,,,,,,,,,,,,,,,,,,255,3864,,2,,,,
South Carolina,1954,US Senate,Beaufort,,,,,,,,,,,,,,,,,,,1286,903,,1,,,,
South Carolina,1954,US Senate,Berkeley,,,,,,,,,,,,,,,,,,,2020,2243,,0,,,,
South Carolina,1954,US Senate,Calhoun,,,,,,,,,,,,,,,,,,,711,356,,2,,,,
South Carolina,1954,US Senate,Charleston,,,,,,,,,,,,,,,,,,,12112,6192,,11,,,,
South Carolina,1954,US Senate,Cherokee,,,,,,,,,,,,,,,,,,,1975,1677,,3,,,,
South Carolina,1954,US Senate,Chester,,,,,,,,,,,,,,,,,,,1520,1278,,3,,,,
South Carolina,1954,US Senate,Chesterfield,,,,,,,,,,,,,,,,,,,1486,1870,,0,,,,
South Carolina,1954,US Senate,Clarendon,,,,,,,,,,,,,,,,,,,1690,780,,0,,,,
South Carolina,1954,US Senate,Colleton,,,,,,,,,,,,,,,,,,,1841,1601,,4,,,,
South Carolina,1954,US Senate,Darlington,,,,,,,,,,,,,,,,,,,3001,2495,,8,,,,
South Carolina,1954,US Senate,Dillon,,,,,,,,,,,,,,,,,,,1251,915,,0,,,,
South Carolina,1954,US Senate,Dorchester,,,,,,,,,,,,,,,,,,,1313,2075,,0,,,,
South Carolina,1954,US Senate,Edgefield,,,,,,,,,,,,,,,,,,,2014,259,,2,,,,
South Carolina,1954,US Senate,Fairfield,,,,,,,,,,,,,,,,,,,1318,740,,3,,,,
South Carolina,1954,US Senate,Florence,,,,,,,,,,,,,,,,,,,5899,2181,,14,,,,
South Carolina,1954,US Senate,Georgetown,,,,,,,,,,,,,,,,,,,2105,819,,0,,,,
South Carolina,1954,US Senate,Greenville,,,,,,,,,,,,,,,,,,,16520,3561,,24,,,,
South Carolina,1954,US Senate,Greenwood,,,,,,,,,,,,,,,,,,,3146,1549,,0,,,,
South Carolina,1954,US Senate,Hampton,,,,,,,,,,,,,,,,,,,1087,740,,6,,,,
South Carolina,1954,US Senate,Horry,,,,,,,,,,,,,,,,,,,3009,1667,,6,,,,
South Carolina,1954,US Senate,Jasper,,,,,,,,,,,,,,,,,,,602,292,,1,,,,
South Carolina,1954,US Senate,Kershaw,,,,,,,,,,,,,,,,,,,2699,1409,,5,,,,
South Carolina,1954,US Senate,Lancaster,,,,,,,,,,,,,,,,,,,2588,2547,,5,,,,
South Carolina,1954,US Senate,Laurens,,,,,,,,,,,,,,,,,,,3609,1228,,7,,,,
South Carolina,1954,US Senate,Lee,,,,,,,,,,,,,,,,,,,1079,1046,,4,,,,
South Carolina,1954,US Senate,Lexington,,,,,,,,,,,,,,,,,,,3713,1656,,20,,,,
South Carolina,1954,US Senate,Marion,,,,,,,,,,,,,,,,,,,1475,1074,,1,,,,
South Carolina,1954,US Senate,Marlboro,,,,,,,,,,,,,,,,,,,1089,1731,,0,,,,
South Carolina,1954,US Senate,McCormick,,,,,,,,,,,,,,,,,,,487,331,,1,,,,
South Carolina,1954,US Senate,Newberry,,,,,,,,,,,,,,,,,,,3541,943,,10,,,,
South Carolina,1954,US Senate,Oconee,,,,,,,,,,,,,,,,,,,1878,1341,,4,,,,
South Carolina,1954,US Senate,Orangeburg,,,,,,,,,,,,,,,,,,,3764,1821,,9,,,,
South Carolina,1954,US Senate,Pickens,,,,,,,,,,,,,,,,,,,3312,647,,4,,,,
South Carolina,1954,US Senate,Richland,,,,,,,,,,,,,,,,,,,12983,4953,,25,,,,
South Carolina,1954,US Senate,Saluda,,,,,,,,,,,,,,,,,,,1550,604,,2,,,,
South Carolina,1954,US Senate,Spartanburg,,,,,,,,,,,,,,,,,,,10218,5442,,43,,,,
South Carolina,1954,US Senate,Sumter,,,,,,,,,,,,,,,,,,,3387,817,,7,,,,
South Carolina,1954,US Senate,Union,,,,,,,,,,,,,,,,,,,2398,1537,,9,,,,
South Carolina,1954,US Senate,Williamsburg,,,,,,,,,,,,,,,,,,,1994,1544,,2,,,,
South Carolina,1954,US Senate,York,,,,,,,,,,,,,,,,,,,3397,2867,,3,,,,
South Carolina,1968,US Senate,Abbeville,,1323,,,,,,,,,,,,,,,,,4181,,,0,,,,
South Carolina,1968,US Senate,Aiken,,11690,,,,,,,,,,,,,,,,,14833,,,0,,,,
South Carolina,1968,US Senate,Allendale,,692,,,,,,,,,,,,,,,,,2501,,,0,,,,
South Carolina,1968,US Senate,Anderson,,7832,,,,,,,,,,,,,,,,,15123,,,0,,,,
South Carolina,1968,US Senate,Bamberg,,1350,,,,,,,,,,,,,,,,,3327,,,0,,,,
South Carolina,1968,US Senate,Barnwell,,2165,,,,,,,,,,,,,,,,,3647,,,0,,,,
South Carolina,1968,US Senate,Beaufort,,2508,,,,,,,,,,,,,,,,,5504,,,0,,,,
South Carolina,1968,US Senate,Berkeley,,4609,,,,,,,,,,,,,,,,,9299,,,0,,,,
South Carolina,1968,US Senate,Calhoun,,1023,,,,,,,,,,,,,,,,,2010,,,0,,,,
South Carolina,1968,US Senate,Charleston,,20304,,,,,,,,,,,,,,,,,36361,,,0,,,,
South Carolina,1968,US Senate,Cherokee,,4202,,,,,,,,,,,,,,,,,5683,,,0,,,,
South Carolina,1968,US Senate,Chester,,2380,,,,,,,,,,,,,,,,,5794,,,0,,,,
South Carolina,1968,US Senate,Chesterfield,,2747,,,,,,,,,,,,,,,,,6779,,,0,,,,
South Carolina,1968,US Senate,Clarendon,,2392,,,,,,,,,,,,,,,,,5300,,,0,,,,
South Carolina,1968,US Senate,Colleton,,3294,,,,,,,,,,,,,,,,,4835,,,0,,,,
South Carolina,1968,US Senate,Darlington,,5280,,,,,,,,,,,,,,,,,8415,,,0,,,,
South Carolina,1968,US Senate,Dillon,,2424,,,,,,,,,,,,,,,,,3933,,,0,,,,
South Carolina,1968,US Senate,Dorchester,,3909,,,,,,,,,,,,,,,,,6766,,,0,,,,
South Carolina,1968,US Senate,Edgefield,,1420,,,,,,,,,,,,,,,,,2328,,,0,,,,
South Carolina,1968,US Senate,Fairfield,,1411,,,,,,,,,,,,,,,,,4485,,,0,,,,
South Carolina,1968,US Senate,Florence,,9015,,,,,,,,,,,,,,,,,15542,,,0,,,,
South Carolina,1968,US Senate,Georgetown,,3613,,,,,,,,,,,,,,,,,6178,,,8,,,,
South Carolina,1968,US Senate,Greenville,,26642,,,,,,,,,,,,,,,,,29865,,,0,,,,
South Carolina,1968,US Senate,Greenwood,,4432,,,,,,,,,,,,,,,,,9797,,,0,,,,
South Carolina,1968,US Senate,Hampton,,1601,,,,,,,,,,,,,,,,,3572,,,0,,,,
South Carolina,1968,US Senate,Horry,,6383,,,,,,,,,,,,,,,,,9708,,,0,,,,
South Carolina,1968,US Senate,Jasper,,752,,,,,,,,,,,,,,,,,2267,,,0,,,,
South Carolina,1968,US Senate,Kershaw,,4291,,,,,,,,,,,,,,,,,6035,,,0,,,,
South Carolina,1968,US Senate,Lancaster,,3976,,,,,,,,,,,,,,,,,8458,,,0,,,,
South Carolina,1968,US Senate,Laurens,,4766,,,,,,,,,,,,,,,,,6899,,,0,,,,
South Carolina,1968,US Senate,Lee,,2039,,,,,,,,,,,,,,,,,3242,,,0,,,,
South Carolina,1968,US Senate,Lexington,,11043,,,,,,,,,,,,,,,,,12434,,,0,,,,
South Carolina,1968,US Senate,Marion,,2060,,,,,,,,,,,,,,,,,4552,,,0,,,,
South Carolina,1968,US Senate,Marlboro,,1940,,,,,,,,,,,,,,,,,4290,,,0,,,,
South Carolina,1968,US Senate,McCormick,,570,,,,,,,,,,,,,,,,,1535,,,0,,,,
South Carolina,1968,US Senate,Newberry,,4375,,,,,,,,,,,,,,,,,5874,,,0,,,,
South Carolina,1968,US Senate,Oconee,,3917,,,,,,,,,,,,,,,,,4934,,,0,,,,
South Carolina,1968,US Senate,Orangeburg,,6407,,,,,,,,,,,,,,,,,14672,,,0,,,,
South Carolina,1968,US Senate,Pickens,,6369,,,,,,,,,,,,,,,,,6386,,,0,,,,
South Carolina,1968,US Senate,Richland,,22826,,,,,,,,,,,,,,,,,31425,,,7,,,,
South Carolina,1968,US Senate,Saluda,,1962,,,,,,,,,,,,,,,,,2764,,,0,,,,
South Carolina,1968,US Senate,Spartanburg,,18201,,,,,,,,,,,,,,,,,26615,,,0,,,,
South Carolina,1968,US Senate,Sumter,,5634,,,,,,,,,,,,,,,,,10608,,,0,,,,
South Carolina,1968,US Senate,Union,,2805,,,,,,,,,,,,,,,,,6626,,,0,,,,
South Carolina,1968,US Senate,Williamsburg,,3669,,,,,,,,,,,,,,,,,6890,,,0,,,,
South Carolina,1968,US Senate,York,,6537,,,,,,,,,,,,,,,,,11788,,,0,,,,
South Carolina,1972,US Senate,Abbeville,,2856,,,,,,,,,,,,,,,,,1862,,,0,,,,
South Carolina,1972,US Senate,Aiken,,17565,,,,,,,,,,,,,,,,,9977,,,0,,,,
South Carolina,1972,US Senate,Allendale,,1709,,,,,,,,,,,,,,,,,1398,,,0,,,,
South Carolina,1972,US Senate,Anderson,,14438,,,,,,,,,,,,,,,,,8845,,,0,,,,
South Carolina,1972,US Senate,Bamberg,,2476,,,,,,,,,,,,,,,,,1803,,,0,,,,
South Carolina,1972,US Senate,Barnwell,,3915,,,,,,,,,,,,,,,,,1697,,,0,,,,
South Carolina,1972,US Senate,Beaufort,,5378,,,,,,,,,,,,,,,,,3340,,,0,,,,
South Carolina,1972,US Senate,Berkeley,,8272,,,,,,,,,,,,,,,,,5458,,,0,,,,
South Carolina,1972,US Senate,Calhoun,,1763,,,,,,,,,,,,,,,,,1351,,,5,,,,
