State,Year,Office,County,D#,R#,GR#,Justice#,C#,FLR#,IND#,I#,New#,PF#,LU#,T#,S&L,SW#,Labor#,S#,Comm.#,SL#,Proh.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,GD#,Prog.#,GWP#,Ref.#,NL#,G#,SD#,NA#,Cit.#,L#,P&P,KISS#,ABC#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,GR#.1,M#,W/I#,ER#,CRE#,RJF#,PoV#,Loc.#,Year / Office,Town,S&L#,P&P#
Vermont,1896,President,Grand Isle,158,426,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Lamoille,440,2061,,,,,,,,,,,,,,,,,27,,0,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Orange,567,3067,,,,,,,,,,,,,,,,,69,,0,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Orleans,442,3412,,,,,,,,,,,,,,,,,46,,0,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Rutland,1661,6794,,,,,,,,,,,,,,,,,89,,5,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Washington,1396,4476,,,,,,,,,,,,,,,,,66,,8,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Windham,670,4829,,,,,,,,,,,,,,,,,50,,0,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1896,President,Windsor,674,6128,,,,,,,,,,,,,,,,,34,,0,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Addison,467,3286,,,,,,,,,,,,,,,,,24,25,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Bennington,871,2666,,,,,,,,,,,,,,,,,8,30,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Caledonia,817,2957,,,,,,,,,,,,,,,,,50,25,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Chittenden,1822,3907,,,,,,,,,,,,,,,,,27,53,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Essex,358,758,,,,,,,,,,,,,,,,,2,5,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Franklin,1316,2738,,,,,,,,,,,,,,,,,54,17,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Grand Isle,146,356,,,,,,,,,,,,,,,,,10,5,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Lamoille,418,1742,,,,,,,,,,,,,,,,,26,15,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Orange,740,2515,,,,,,,,,,,,,,,,,62,22,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Orleans,441,2749,,,,,,,,,,,,,,,,,18,14,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Rutland,1874,5901,,,,,,,,,,,,,,,,,45,49,0,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Washington,1622,3819,,,,,,,,,,,,,,,,,31,65,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Windham,1014,3948,,,,,,,,,,,,,,,,,11,23,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1900,President,Windsor,943,5227,,,,,,,,,,,,,,,,,15,19,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Addison,366,3146,,,,,,,,,,,,,,19,,,76,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Bennington,745,2419,,,,,,,,,,,,,,44,,,48,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Caledonia,580,2944,,,,,,,,,,,,,,26,,,61,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Chittenden,1432,3848,,,,,,,,,,,,,,97,,,73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Essex,233,750,,,,,,,,,,,,,,5,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Franklin,881,2522,,,,,,,,,,,,,,13,,,76,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Grand Isle,109,343,,,,,,,,,,,,,,4,,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Lamoille,296,1521,,,,,,,,,,,,,,1,,,43,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Orange,587,2259,,,,,,,,,,,,,,14,,,69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Orleans,328,2563,,,,,,,,,,,,,,3,,,42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Rutland,1367,5772,,,,,,,,,,,,,,248,,,97,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Washington,1247,3807,,,,,,,,,,,,,,148,,,80,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Windham,809,3735,,,,,,,,,,,,,,153,,,55,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1904,President,Windsor,797,4830,,,,,,,,,,,,,,84,,,57,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Addison,444,2986,,,,,34,,,,,,,,,,,,73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Bennington,748,2453,,,,,53,,,,,,,,,,,,54,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Caledonia,764,2700,,,,,76,,,,,,,,,,,,78,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Chittenden,1650,3806,,,,,60,,,,,,,,,,,,55,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Essex,327,744,,,,,5,,,,,,,,,,,,17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Franklin,1048,2360,,,,,43,,,,,,,,,,,,80,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Grand Isle,188,364,,,,,4,,,,,,,,,,,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Lamoille,311,1455,,,,,24,,,,,,,,,,,,51,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Orange,667,2262,,,,,40,,,,,,,,,,,,69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
