County,Town,1876PVI,1880PVI,1884PVI,1888PVI,1892PVI,1896PVI,1900PVI,1904PVI,1908PVI,1912PVI,1916PVI,1920PVI,1924PVI,1928PVI,1932PVI,1936PVI,1940PVI,1944PVI,1948PVI,1952PVI,1956PVI,1960PVI,1964PVI,1968PVI,1972PVI,1976PVI,1980PVI,1984PVI,1988PVI,1992PVI,1996PVI,2000PVI,2004PVI,2008PVI,2012PVI,2016PVI
Thomas,,,,,,D+03.45,D+10.41,D+12.39,R+00.95,R+02.86,D+09.99,D+14.11,D+10.41,D+03.58,R+03.31,R+01.45,D+03.63,R+03.91,R+11.65,R+08.14,R+08.62,R+09.58,R+08.27,R+09.63,R+10.84,R+11.73,R+07.84,R+11.99,R+18.03,R+13.59,R+14.25,R+25.28,R+29.33,R+27.72,R+29.69,R+33.14,R+35.71
Trego,,,,,,R+01.47,D+03.16,D+06.25,R+01.67,R+04.73,D+03.25,D+06.76,R+04.33,R+10.67,R+03.89,D+03.60,D+03.89,R+05.81,R+14.51,R+10.49,R+12.68,R+16.19,R+11.99,R+09.34,R+11.13,R+11.32,R+04.30,R+09.11,R+14.41,R+06.74,R+04.60,R+15.69,R+22.01,R+21.57,R+25.38,R+30.69,R+35.22
Wabaunsee,,,,,,D+00.58,D+00.50,R+02.84,R+10.02,R+10.71,R+06.10,R+08.85,R+13.51,R+15.34,R+14.75,R+10.47,R+12.81,R+23.66,R+29.71,R+25.17,R+22.92,R+22.39,R+19.96,R+20.54,R+21.89,R+20.31,R+13.36,R+13.48,R+15.98,R+10.32,R+09.48,R+16.93,R+19.57,R+19.36,R+21.95,R+23.27,R+24.75
Wallace,,,,,,R+03.90,R+07.46,R+10.74,R+21.02,R+18.07,R+03.78,D+02.93,R+03.42,R+12.25,R+10.68,R+05.12,R+10.63,R+21.18,R+23.80,R+18.25,R+17.63,R+19.55,R+16.84,R+15.31,R+17.03,R+19.22,R+11.51,R+16.96,R+26.55,R+21.70,R+25.96,R+35.46,R+37.46,R+36.82,R+38.56,R+42.40,R+44.22
Washington,,,,,,D+01.67,D+02.14,R+01.34,R+07.25,R+07.56,R+04.75,R+05.05,R+09.13,R+10.59,R+08.38,R+06.08,R+12.25,R+25.06,R+30.06,R+25.51,R+22.96,R+21.88,R+18.03,R+18.38,R+20.76,R+19.19,R+14.00,R+18.63,R+21.07,R+16.02,R+16.87,R+24.58,R+28.98,R+28.31,R+29.65,R+32.27,R+34.82
Wichita,,,,,,R+02.53,R+02.78,R+04.21,R+10.42,R+07.89,R+02.51,R+01.31,R+06.74,R+12.20,R+04.13,D+05.07,D+01.61,R+09.27,R+16.65,R+14.33,R+15.71,R+17.03,R+09.38,R+05.87,R+11.44,R+14.36,R+05.89,R+09.63,R+19.85,R+15.55,R+18.89,R+29.48,R+31.25,R+31.11,R+34.40,R+36.67,R+35.81
Wilson,,,,,,R+02.06,R+00.25,D+00.30,R+07.20,R+07.32,R+03.51,R+00.68,R+01.59,R+06.48,R+13.92,R+12.86,R+11.78,R+19.11,R+21.32,R+17.74,R+15.52,R+16.89,R+16.81,R+16.22,R+18.13,R+18.77,R+11.68,R+12.94,R+16.05,R+12.03,R+11.32,R+16.39,R+20.16,R+22.18,R+24.41,R+27.05,R+31.53
Woodson,,,,,,R+01.31,R+01.20,R+01.30,R+06.10,R+04.67,R+03.92,R+05.22,R+04.58,R+05.77,R+11.64,R+12.00,R+11.93,R+19.28,R+21.96,R+19.75,R+18.61,R+17.47,R+15.66,R+16.08,R+16.74,R+15.77,R+09.28,R+09.84,R+12.37,R+07.72,R+05.34,R+11.25,R+15.80,R+16.81,R+19.60,R+23.06,R+28.04
Wyandotte,,,,,,R+01.63,R+00.47,D+01.40,R+05.04,R+02.69,D+09.30,D+09.03,D+05.06,R+01.07,R+07.42,R+05.11,R+03.11,R+00.32,D+01.96,D+05.93,D+09.39,D+09.12,D+07.14,D+05.42,D+08.32,D+08.55,D+08.89,D+12.41,D+14.99,D+18.39,D+20.08,D+16.81,D+16.92,D+18.43,D+17.18,D+16.97,D+15.70
*Kentucky,,,,,,,,,,,,D+01.14,D+07.60,D+13.88,D+06.50,R+00.14,R+01.32,R+00.21,D+01.73,D+03.13,D+05.44,D+04.34,R+00.24,R+00.40,R+00.24,R+03.08,R+00.09,D+03.58,D+01.66,R+01.59,R+01.77,R+02.90,R+06.10,R+08.38,R+10.34,R+12.71,R+15.15
Adair,,,,,,,,,,,,,,,,R+09.02,R+13.05,R+15.41,R+12.46,R+10.86,R+08.50,R+06.22,R+10.96,R+15.09,R+16.51,R+14.38,R+08.66,R+08.59,R+10.38,R+14.92,R+17.91,R+20.44,R+24.23,R+25.29,R+27.67,R+30.15,R+32.16
Allen,,,,,,,,,,,,,,,,R+12.15,R+14.16,R+17.35,R+17.15,R+14.50,R+09.17,R+05.68,R+10.69,R+15.97,R+20.17,R+17.26,R+06.40,R+04.99,R+08.05,R+12.09,R+12.47,R+14.29,R+18.68,R+20.70,R+23.83,R+26.00,R+29.98
Anderson,,,,,,,,,,,,,,,,D+07.39,D+04.92,D+06.89,D+09.26,D+11.49,D+15.83,D+12.85,D+05.19,D+04.15,D+02.14,R+03.04,D+02.79,D+09.25,D+01.72,R+06.62,R+05.78,R+05.56,R+09.24,R+14.41,R+17.97,R+19.75,R+23.08
Ballard,,,,,,,,,,,,,,,,D+31.30,D+23.93,D+22.73,D+26.92,D+30.59,D+33.04,D+34.62,D+28.67,D+22.13,D+24.02,D+17.15,D+19.83,D+26.93,D+18.78,D+13.69,D+13.66,D+13.47,D+06.85,R+02.93,R+12.02,R+19.33,R+25.78
Barren,,,,,,,,,,,,,,,,D+02.41,D+01.59,D+01.62,D+04.53,D+07.09,D+10.50,D+11.87,D+05.90,D+03.00,D+01.41,R+03.43,D+03.64,D+05.11,R+01.73,R+04.09,R+03.33,R+05.13,R+11.00,R+15.22,R+18.56,R+19.88,R+22.96
Bath,,,,,,,,,,,,,,,,D+04.83,D+02.54,D+02.54,D+04.97,D+08.03,D+12.64,D+12.63,D+06.98,D+06.32,D+06.53,D+02.81,D+10.62,D+16.64,D+10.55,D+08.23,D+10.44,D+08.13,D+01.54,D+00.99,D+00.38,R+06.08,R+14.34
Bell,,,,,,,,,,,,,,,,R+09.35,R+05.90,R+03.48,R+02.75,R+00.18,D+02.46,R+01.11,R+04.74,R+02.84,R+01.33,R+04.49,R+02.50,D+04.70,D+05.75,D+01.77,D+01.94,D+02.12,R+01.25,R+07.18,R+17.27,R+26.24,R+30.58
Boone,,,,,,,,,,,,,,,,D+06.77,D+11.73,D+10.15,D+09.46,D+11.71,D+11.54,D+07.33,R+03.01,R+06.87,R+05.61,R+10.84,R+06.59,R+03.17,R+09.23,R+14.72,R+17.56,R+18.93,R+19.86,R+20.87,R+21.11,R+21.41,R+22.49
Bourbon,,,,,,,,,,,,,,,,D+02.04,D+01.11,D+02.50,D+09.40,D+14.45,D+15.96,D+15.02,D+10.78,D+11.25,D+12.05,D+03.62,D+04.21,D+12.29,D+07.43,R+00.15,R+01.05,R+01.31,R+03.56,R+07.90,R+10.98,R+12.40,R+15.05
Boyd,,,,,,,,,,,,,,,,R+05.97,R+03.65,R+00.29,D+01.42,D+02.69,D+04.98,D+02.70,R+02.56,R+02.31,R+00.44,R+03.27,R+00.40,D+05.05,D+06.02,D+05.15,D+04.80,D+04.16,D+01.80,R+00.70,R+05.93,R+10.12,R+15.35
Boyle,,,,,,,,,,,,,,,,D+06.28,D+04.20,D+04.99,D+08.50,D+09.50,D+11.40,D+09.61,D+02.73,D+03.96,D+05.10,R+01.30,D+00.13,D+05.80,D+02.65,R+03.33,R+03.69,R+05.36,R+08.73,R+11.15,R+13.38,R+15.34,R+15.80
Bracken,,,,,,,,,,,,,,,,R+04.21,R+00.94,R+01.98,D+01.71,D+05.14,D+07.03,D+05.23,R+03.07,R+01.06,D+03.71,R+02.00,D+04.92,D+11.82,D+04.09,R+03.24,R+02.82,R+06.35,R+15.72,R+17.52,R+15.50,R+16.01,R+23.16
Breathitt,,,,,,,,,,,,,,,,D+16.52,D+12.06,D+11.40,D+16.44,D+20.86,D+25.79,D+20.74,D+13.64,D+19.25,D+22.55,D+19.92,D+23.84,D+26.94,D+20.48,D+14.43,D+17.24,D+19.63,D+13.89,D+07.93,R+00.27,R+14.21,R+21.63
Breckinridge,,,,,,,,,,,,,,,,R+03.91,R+07.39,R+07.22,R+05.87,R+03.63,D+01.56,D+02.10,R+02.57,R+02.04,R+02.76,R+05.35,D+00.53,D+03.10,R+00.68,R+03.74,R+03.14,R+04.18,R+10.67,R+14.84,R+15.65,R+16.30,R+21.94
Bullitt,,,,,,,,,,,,,,,,D+11.00,D+15.25,D+18.21,D+18.16,D+17.88,D+18.32,D+14.26,D+04.22,D+04.76,D+07.24,D+01.38,D+04.97,D+06.50,R+01.56,R+06.08,R+04.44,R+05.56,R+10.69,R+15.22,R+18.54,R+20.08,R+23.62
Butler,,,,,,,,,,,,,,,,R+22.70,R+24.58,R+26.83,R+25.84,R+24.93,R+19.18,R+16.13,R+22.15,R+25.53,R+25.57,R+22.47,R+13.48,R+13.31,R+15.66,R+17.07,R+18.53,R+19.99,R+22.77,R+23.45,R+23.47,R+25.11,R+29.82
Caldwell,,,,,,,,,,,,,,,,R+01.79,R+03.04,R+02.73,R+00.31,D+01.81,D+03.33,D+03.29,R+03.31,R+05.58,R+04.38,R+08.14,D+02.28,D+09.81,D+05.37,D+01.49,D+03.67,D+03.15,R+04.82,R+11.08,R+15.24,R+18.54,R+24.53
Calloway,,,,,,,,,,,,,,,,D+28.53,D+26.24,D+27.31,D+29.59,D+31.50,D+32.84,D+30.44,D+19.42,D+14.55,D+15.17,D+05.71,D+11.43,D+18.22,D+09.27,D+01.42,D+01.71,D+00.14,R+05.67,R+09.33,R+11.82,R+14.47,R+17.82
Campbell,,,,,,,,,,,,,,,,D+02.81,D+00.34,R+02.87,R+05.13,R+02.55,R+01.15,R+04.38,R+05.39,R+04.45,R+06.30,R+08.10,R+07.62,R+05.97,R+08.03,R+12.11,R+13.55,R+13.46,R+13.26,R+13.27,R+13.62,R+13.96,R+13.91
Carlisle,,,,,,,,,,,,,,,,D+29.47,D+24.82,D+24.38,D+27.03,D+30.67,D+32.14,D+32.22,D+24.66,D+18.86,D+22.14,D+12.70,D+17.74,D+23.77,D+12.57,D+09.43,D+09.47,D+08.16,D+01.20,R+07.59,R+14.75,R+21.27,R+28.48
Carroll,,,,,,,,,,,,,,,,D+16.27,D+17.82,D+19.16,D+23.76,D+26.10,D+27.70,D+25.42,D+19.82,D+19.43,D+20.08,D+15.40,D+17.86,D+22.04,D+13.52,D+06.08,D+10.16,D+08.92,D+00.45,R+04.25,R+06.48,R+07.48,R+14.12
Carter,,,,,,,,,,,,,,,,R+09.18,R+13.39,R+15.37,R+12.96,R+09.61,R+04.10,R+03.66,R+06.66,R+05.37,R+04.73,R+03.48,D+02.35,D+04.20,D+04.80,D+05.28,D+03.96,D+00.71,R+01.99,R+00.40,R+03.32,R+10.74,R+20.47
Casey,,,,,,,,,,,,,,,,R+15.49,R+22.92,R+25.04,R+24.05,R+23.64,R+18.91,R+15.50,R+21.13,R+26.78,R+28.29,R+24.46,R+18.71,R+20.07,R+20.80,R+21.24,R+22.88,R+26.31,R+29.24,R+29.79,R+31.55,R+33.43,R+36.34
Christian,,,,,,,,,,,,,,,,D+01.78,R+03.49,R+03.93,D+01.81,D+07.63,D+12.31,D+14.07,D+10.51,D+07.24,D+05.66,D+00.32,D+03.69,D+05.85,R+02.84,R+07.56,R+07.48,R+08.26,R+10.59,R+13.55,R+14.89,R+14.17,R+15.67
Clark,,,,,,,,,,,,,,,,D+10.35,D+07.94,D+06.87,D+10.70,D+13.80,D+14.97,D+12.92,D+04.86,D+01.91,D+01.77,R+04.97,D+00.59,D+08.93,D+02.77,R+02.79,R+01.89,R+02.76,R+06.73,R+10.76,R+13.95,R+16.93,R+19.03
Clay,,,,,,,,,,,,,,,,R+24.76,R+27.89,R+31.30,R+30.06,R+26.36,R+20.19,R+22.38,R+26.54,R+20.25,R+20.64,R+18.73,R+14.07,R+16.37,R+14.22,R+16.14,R+20.32,R+20.97,R+21.30,R+24.09,R+28.07,R+34.52,R+38.23
Clinton,,,,,,,,,,,,,,,,R+30.95,R+34.86,R+35.08,R+34.18,R+32.41,R+27.07,R+24.79,R+29.20,R+32.91,R+31.57,R+24.85,R+19.85,R+22.09,R+22.00,R+22.87,R+23.70,R+23.94,R+25.46,R+26.37,R+30.99,R+34.90,R+36.56
Crittenden,,,,,,,,,,,,,,,,R+09.84,R+14.14,R+16.11,R+15.58,R+12.98,R+08.29,R+06.61,R+11.56,R+16.28,R+17.09,R+15.01,R+04.91,R+01.74,R+02.22,R+03.40,R+03.79,R+03.10,R+08.01,R+12.51,R+17.70,R+23.94,R+31.01
Cumberland,,,,,,,,,,,,,,,,R+24.45,R+28.40,R+30.66,R+30.84,R+27.84,R+20.35,R+15.82,R+20.34,R+22.39,R+22.32,R+20.70,R+16.10,R+17.34,R+18.29,R+19.89,R+20.68,R+21.98,R+24.41,R+23.83,R+25.33,R+29.53,R+33.15
Daviess,,,,,,,,,,,,,,,,D+06.19,D+07.08,D+06.58,D+05.32,D+07.47,D+04.48,R+04.11,R+06.60,R+02.21,D+01.64,R+03.03,R+02.36,D+03.54,D+02.78,R+00.12,R+00.44,R+03.16,R+07.98,R+10.43,R+09.61,R+10.77,R+15.47
Edmonson,,,,,,,,,,,,,,,,R+17.29,R+23.55,R+24.51,R+22.67,R+21.24,R+16.20,R+14.21,R+18.55,R+22.66,R+24.53,R+20.59,R+11.90,R+11.95,R+13.45,R+12.82,R+13.44,R+15.20,R+16.34,R+15.25,R+18.36,R+22.07,R+27.05
Elliott,,,,,,,,,,,,,,,,D+26.61,D+19.77,D+17.41,D+22.14,D+27.25,D+31.72,D+28.70,D+21.94,D+21.77,D+24.12,D+25.42,D+28.91,D+30.39,D+31.67,D+31.66,D+28.60,D+23.75,D+17.67,D+18.07,D+15.43,D+04.32,R+12.39
Estill,,,,,,,,,,,,,,,,R+07.35,R+11.32,R+11.39,R+08.51,R+06.56,R+03.23,R+02.75,R+08.91,R+12.48,R+11.78,R+10.77,R+05.79,R+03.59,R+06.62,R+10.12,R+10.63,R+10.83,R+13.44,R+15.10,R+19.17,R+24.71,R+27.89
Fayette,,,,,,,,,,,,,,,,R+04.23,R+04.48,R+03.03,D+01.31,D+02.02,D+01.41,R+01.74,R+07.28,R+07.20,R+06.54,R+07.77,R+06.52,R+02.54,R+01.71,R+05.39,R+05.71,R+05.01,R+04.07,R+02.98,R+01.69,R+01.34,D+01.27
Fleming,,,,,,,,,,,,,,,,R+04.14,R+06.92,R+07.54,R+04.03,R+00.03,D+04.11,D+04.81,R+00.04,R+02.71,R+05.27,R+06.05,D+03.06,D+05.54,R+00.38,R+02.06,R+00.34,R+05.23,R+12.08,R+12.18,R+11.72,R+16.08,R+23.65
Floyd,,,,,,,,,,,,,,,,D+11.95,D+10.02,D+11.90,D+16.50,D+19.21,D+22.38,D+18.61,D+15.10,D+19.06,D+21.19,D+18.81,D+21.29,D+26.62,D+26.59,D+24.65,D+24.72,D+23.16,D+18.51,D+15.14,D+04.80,R+11.87,R+22.70
Franklin,,,,,,,,,,,,,,,,D+13.92,D+14.83,D+18.22,D+22.57,D+23.38,D+25.31,D+22.37,D+14.38,D+14.87,D+15.81,D+07.62,D+09.01,D+16.55,D+09.62,D+01.50,D+02.82,D+04.80,D+03.86,D+00.56,R+02.07,R+02.77,R+02.55
Fulton,,,,,,,,,,,,,,,,D+25.96,D+21.85,D+23.58,D+27.57,D+30.28,D+27.84,D+26.54,D+21.52,D+10.00,D+04.94,D+00.55,D+08.00,D+15.66,D+09.36,D+05.15,D+07.11,D+09.89,D+06.53,D+00.30,R+05.49,R+09.58,R+14.00
Gallatin,,,,,,,,,,,,,,,,D+13.81,D+19.87,D+17.83,D+19.28,D+23.25,D+29.04,D+28.57,D+17.19,D+14.27,D+16.90,D+10.28,D+14.73,D+18.05,D+11.78,D+08.84,D+08.84,D+06.54,R+01.26,R+08.17,R+11.30,R+11.67,R+19.15
Garrard,,,,,,,,,,,,,,,,R+04.77,R+09.10,R+08.52,R+06.13,R+06.04,R+02.32,D+00.76,R+04.68,R+09.42,R+13.19,R+12.59,R+04.92,R+03.53,R+06.27,R+07.85,R+09.15,R+14.49,R+19.17,R+20.74,R+23.22,R+26.80,R+29.75
Grant,,,,,,,,,,,,,,,,D+04.60,D+06.46,D+05.98,D+07.52,D+11.60,D+16.94,D+16.13,D+06.10,D+02.53,D+02.28,R+04.24,D+05.07,D+13.09,D+03.90,R+04.81,R+04.92,R+05.02,R+09.83,R+15.03,R+17.11,R+18.20,R+24.55
Graves,,,,,,,,,,,,,,,,D+25.00,D+23.66,D+24.62,D+26.09,D+29.19,D+32.74,D+31.47,D+21.04,D+15.26,D+15.44,D+05.57,D+11.13,D+14.82,D+07.11,D+07.23,D+06.91,D+04.80,R+01.80,R+08.39,R+13.58,R+19.54,R+26.28
Grayson,,,,,,,,,,,,,,,,R+06.27,R+11.34,R+11.81,R+11.35,R+11.48,R+08.52,R+09.63,R+14.38,R+14.50,R+15.34,R+13.21,R+06.50,R+07.37,R+10.81,R+12.63,R+13.64,R+15.05,R+17.59,R+19.68,R+20.65,R+21.67,R+26.92
Green,,,,,,,,,,,,,,,,R+09.67,R+12.95,R+13.66,R+10.60,R+10.13,R+07.06,R+04.89,R+12.48,R+15.19,R+15.65,R+14.12,R+06.12,R+05.22,R+06.66,R+09.91,R+13.24,R+18.53,R+25.09,R+25.30,R+26.49,R+28.62,R+31.41
Greenup,,,,,,,,,,,,,,,,R+02.79,R+04.15,R+04.73,R+02.11,D+00.73,D+06.00,D+06.60,D+00.95,R+01.46,D+00.65,D+00.91,D+04.01,D+06.41,D+06.80,D+06.35,D+05.55,D+03.58,D+00.46,R+01.26,R+06.45,R+11.18,R+18.08
Hancock,,,,,,,,,,,,,,,,R+00.35,R+04.40,R+07.12,R+07.53,R+03.55,D+01.80,D+01.82,R+04.01,R+02.75,R+00.19,R+04.62,D+01.10,D+07.61,D+03.42,R+00.67,D+02.04,D+01.36,R+04.56,R+06.82,R+03.56,R+03.90,R+13.45
Hardin,,,,,,,,,,,,,,,,D+04.48,D+06.48,D+07.76,D+09.51,D+09.18,D+10.28,D+06.68,R+00.42,D+00.26,D+00.63,R+05.24,R+02.08,D+01.83,R+04.40,R+10.41,R+10.38,R+09.11,R+10.75,R+15.13,R+15.51,R+13.32,R+14.78
Harlan,,,,,,,,,,,,,,,,R+15.47,R+08.53,D+03.23,D+06.75,D+09.65,D+14.27,D+07.53,D+03.39,D+06.87,D+08.68,D+05.23,D+05.97,D+13.59,D+14.29,D+12.09,D+11.13,D+09.35,D+05.31,R+03.88,R+18.25,R+30.84,R+36.28
Harrison,,,,,,,,,,,,,,,,D+12.28,D+11.29,D+12.58,D+17.06,D+19.78,D+20.74,D+19.92,D+15.06,D+14.29,D+14.05,D+05.41,D+07.70,D+14.89,D+07.87,D+00.99,D+02.47,D+01.51,R+04.57,R+10.59,R+13.30,R+15.64,R+20.36
Hart,,,,,,,,,,,,,,,,D+00.24,R+04.73,R+06.30,R+02.20,R+01.61,D+02.57,D+06.41,D+01.78,R+01.09,R+05.54,R+05.79,D+05.61,D+07.27,D+03.05,D+00.98,D+00.50,R+02.78,R+09.76,R+12.62,R+15.77,R+18.25,R+21.82
Henderson,,,,,,,,,,,,,,,,D+06.74,D+14.25,D+17.43,D+16.59,D+18.42,D+15.95,D+09.85,D+05.42,D+07.18,D+11.34,D+04.83,D+07.65,D+15.91,D+11.91,D+06.75,D+07.36,D+07.40,D+03.69,R+02.13,R+03.74,R+05.15,R+11.76
Henry,,,,,,,,,,,,,,,,D+13.83,D+10.40,D+12.68,D+17.16,D+19.10,D+22.87,D+23.63,D+18.24,D+16.37,D+15.36,D+09.94,D+14.50,D+19.61,D+11.42,D+05.30,D+08.25,D+03.80,R+06.55,R+11.46,R+12.89,R+13.26,R+18.49
Hickman,,,,,,,,,,,,,,,,D+30.83,D+26.72,D+27.16,D+26.73,D+28.99,D+29.71,D+28.92,D+25.99,D+17.79,D+12.71,D+05.65,D+14.49,D+18.97,D+06.84,D+03.30,D+05.44,D+07.80,D+01.83,R+07.09,R+12.97,R+18.32,R+24.68
Hopkins,,,,,,,,,,,,,,,,D+10.71,D+09.22,D+10.56,D+13.15,D+15.01,D+17.93,D+15.49,D+08.24,D+06.33,D+06.61,R+01.83,D+00.73,D+11.52,D+07.44,D+01.61,D+04.15,D+02.29,R+05.14,R+11.62,R+15.41,R+19.28,R+25.67
Jackson,,,,,,,,,,,,,,,,R+40.74,R+47.60,R+47.74,R+44.64,R+42.19,R+35.19,R+31.18,R+35.71,R+38.02,R+38.13,R+35.64,R+30.97,R+29.41,R+28.00,R+29.94,R+33.12,R+32.81,R+33.18,R+34.70,R+36.53,R+39.46,R+40.90
Jefferson,,,,,,,,,,,,,,,,R+04.37,R+03.97,D+01.62,D+03.49,D+00.55,R+00.67,R+00.22,R+00.73,D+01.31,D+00.93,R+00.56,R+01.26,D+01.24,D+03.17,D+01.51,D+02.48,D+02.09,D+00.74,D+01.32,D+02.23,D+03.03,D+04.80
Jessamine,,,,,,,,,,,,,,,,D+03.44,R+00.63,D+00.35,D+04.64,D+06.67,D+09.53,D+07.10,R+01.66,R+06.79,R+09.40,R+13.27,R+08.38,R+03.71,R+09.80,R+16.13,R+16.64,R+15.79,R+16.83,R+18.92,R+20.75,R+22.37,R+22.50
Johnson,,,,,,,,,,,,,,,,R+17.64,R+20.27,R+18.96,R+19.39,R+18.22,R+12.90,R+12.06,R+15.21,R+14.29,R+13.25,R+12.96,R+09.52,R+07.19,R+05.02,R+03.24,R+02.90,R+03.58,R+06.94,R+11.46,R+19.00,R+28.65,R+35.04
Kenton,,,,,,,,,,,,,,,,D+06.28,D+08.04,D+06.55,D+04.36,D+07.82,D+08.57,D+02.60,R+01.78,R+02.34,R+02.69,R+05.23,R+05.90,R+04.45,R+07.40,R+12.23,R+14.76,R+15.13,R+14.75,R+14.81,R+14.35,R+14.33,R+14.72
Knott,,,,,,,,,,,,,,,,D+29.51,D+22.06,D+24.03,D+29.71,D+31.37,D+34.47,D+31.46,D+25.65,D+26.52,D+27.53,D+26.32,D+29.58,D+32.29,D+31.90,D+30.34,D+28.71,D+26.75,D+21.65,D+16.53,D+03.71,R+17.05,R+27.63
Knox,,,,,,,,,,,,,,,,R+18.70,R+18.91,R+18.29,R+18.68,R+17.36,R+11.72,R+12.31,R+15.02,R+12.03,R+11.72,R+13.76,R+10.16,R+07.13,R+06.33,R+07.88,R+09.60,R+09.90,R+10.90,R+14.57,R+21.51,R+27.79,R+32.64
Larue,,,,,,,,,,,,,,,,D+07.79,D+06.65,D+07.27,D+06.82,D+05.16,D+09.19,D+06.47,R+04.72,R+01.34,R+00.55,R+04.95,D+04.74,D+08.74,D+00.59,R+05.56,R+03.92,R+04.49,R+11.21,R+17.26,R+20.09,R+21.71,R+25.67
Laurel,,,,,,,,,,,,,,,,R+19.49,R+21.64,R+23.04,R+21.90,R+20.99,R+17.01,R+16.31,R+21.37,R+22.90,R+23.48,R+21.03,R+13.66,R+13.35,R+14.63,R+16.78,R+18.42,R+21.10,R+23.28,R+23.96,R+28.88,R+33.61,R+35.53
Lawrence,,,,,,,,,,,,,,,,R+01.38,R+06.25,R+07.29,R+05.39,R+03.15,D+02.49,D+04.12,R+00.53,R+02.68,R+00.89,R+00.21,D+03.19,D+04.43,D+03.73,D+03.52,D+01.45,D+00.06,R+03.51,R+06.98,R+11.91,R+20.67,R+28.84
Lee,,,,,,,,,,,,,,,,R+04.77,R+11.29,R+13.34,R+10.03,R+08.88,R+04.78,R+05.52,R+12.74,R+12.48,R+11.62,R+11.49,R+07.48,R+07.33,R+09.10,R+09.73,R+09.66,R+11.10,R+15.19,R+19.04,R+22.29,R+27.49,R+31.42
Leslie,,,,,,,,,,,,,,,,R+39.07,R+43.12,R+41.47,R+38.55,R+32.91,R+27.21,R+28.29,R+31.52,R+23.41,R+19.61,R+21.04,R+19.71,R+20.15,R+17.07,R+18.81,R+19.38,R+16.81,R+19.17,R+22.82,R+29.55,R+39.56,R+42.57
Letcher,,,,,,,,,,,,,,,,R+04.35,R+03.79,D+01.14,D+01.20,D+02.06,D+06.14,D+03.57,R+00.67,D+02.51,D+04.14,D+02.46,D+05.54,D+09.66,D+11.81,D+11.64,D+11.47,D+11.44,D+06.81,D+00.52,R+11.50,R+26.42,R+32.82
Lewis,,,,,,,,,,,,,,,,R+17.58,R+20.04,R+21.90,R+21.27,R+20.42,R+15.06,R+11.32,R+14.75,R+16.49,R+18.08,R+16.56,R+08.39,R+07.75,R+09.95,R+11.64,R+12.65,R+15.01,R+19.45,R+19.87,R+19.93,R+22.47,R+29.54
Lincoln,,,,,,,,,,,,,,,,R+01.62,R+04.52,R+05.29,R+01.04,R+00.34,D+01.89,D+03.23,R+03.98,R+04.88,R+04.00,R+06.75,R+00.40,D+04.09,D+01.29,R+02.67,R+03.66,R+06.59,R+11.64,R+15.69,R+20.07,R+23.23,R+27.06
Livingston,,,,,,,,,,,,,,,,D+04.01,D+05.29,D+05.06,D+06.29,D+11.49,D+16.16,D+15.36,D+07.38,D+04.50,D+07.75,D+02.60,D+11.81,D+18.02,D+12.05,D+08.85,D+08.65,D+09.89,D+03.87,R+03.66,R+11.81,R+19.68,R+26.41
Logan,,,,,,,,,,,,,,,,D+07.81,D+11.62,D+15.05,D+17.77,D+19.98,D+21.73,D+21.13,D+13.03,D+07.81,D+06.11,D+01.25,D+09.06,D+13.38,D+05.50,R+01.13,R+01.62,R+02.05,R+05.55,R+10.66,R+15.67,R+18.35,R+21.73
Lyon,,,,,,,,,,,,,,,,D+10.85,D+07.86,D+08.74,D+12.41,D+15.66,D+20.25,D+19.60,D+12.87,D+08.37,D+07.61,D+03.80,D+12.02,D+19.13,D+15.97,D+12.61,D+10.85,D+09.92,D+03.52,R+01.90,R+07.78,R+13.92,R+19.77
Madison,,,,,,,,,,,,,,,,R+01.52,R+08.10,R+06.86,R+02.30,R+00.58,D+03.39,D+06.02,D+01.05,R+02.03,R+03.52,R+06.15,R+01.68,D+03.08,D+00.16,R+05.14,R+05.78,R+06.70,R+08.80,R+10.34,R+12.99,R+15.88,R+17.16
Magoffin,,,,,,,,,,,,,,,,R+05.36,R+10.64,R+08.18,R+04.35,R+01.45,D+04.65,D+06.46,D+01.56,D+00.67,D+01.93,D+04.56,D+07.96,D+09.44,D+13.50,D+13.02,D+09.91,D+07.48,D+02.19,R+00.33,R+03.00,R+14.79,R+24.96
Marion,,,,,,,,,,,,,,,,D+16.28,D+10.72,D+09.08,D+10.89,D+15.00,D+16.67,D+10.66,D+11.80,D+17.27,D+14.50,D+11.02,D+13.83,D+17.06,D+11.68,D+07.51,D+09.08,D+06.48,D+00.11,R+03.24,R+03.78,R+04.98,R+10.69
Marshall,,,,,,,,,,,,,,,,D+17.38,D+18.38,D+17.07,D+18.35,D+21.76,D+26.83,D+25.81,D+13.37,D+08.66,D+12.34,D+04.66,D+11.55,D+17.83,D+12.85,D+09.27,D+06.68,D+04.42,R+01.06,R+05.85,R+11.84,R+17.85,R+23.78
Martin,,,,,,,,,,,,,,,,R+25.32,R+31.36,R+31.10,R+30.25,R+26.41,R+17.23,R+18.43,R+22.37,R+15.52,R+15.45,R+19.39,R+15.46,R+11.20,R+09.17,R+08.88,R+07.48,R+04.34,R+06.51,R+13.24,R+23.39,R+34.06,R+39.20
