State,Year,Office,County,D#,R#,Prog.#,C#,I#,Ref.#,L#,Proh.#,S#,Comm.#,U#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,G/R,NP1#,NP23,NP3#,NP4#,NP5#
Georgia,1912,President,Appling,360,90,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Baker,183,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Baldwin,621,24,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Banks,133,9,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bartow,963,89,553,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Ben Hill,535,34,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Berrien,709,35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bibb,1741,105,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Brooks,695,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bryan,400,114,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Bulloch,932,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Burke,440,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Butts,490,27,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Calhoun,300,61,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Camden,238,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Candler,443,6,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Carroll,1192,81,431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Catoosa,286,63,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Charlton,150,22,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chatham,3864,238,332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chattahoochee,137,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Chattooga,578,69,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Cherokee,603,21,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clarke,956,66,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clay,369,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clayton,443,3,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Clinch,283,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Cobb,1329,37,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Coffee,895,28,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Colquitt,699,8,507,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Columbia,234,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Coweta,1044,35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Crawford,249,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Crisp,644,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dade,287,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dawson,170,23,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Decatur,500,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,DeKalb,1888,48,431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dodge,684,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dooly,609,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Dougherty,617,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Douglas,266,18,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Early,501,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Echols,144,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Effingham,375,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Elbert,882,13,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Emanuel,715,22,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Fannin,451,164,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Fayette,363,12,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Floyd,1838,63,374,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Forsyth,325,15,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Franklin,694,26,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Fulton,7313,507,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Gilmer,488,52,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Glascock,109,3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Glynn,470,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Gordon,663,58,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Grady,452,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Greene,525,10,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Gwinnett,997,55,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Habersham,485,45,317,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Hall,1145,116,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Hancock,549,13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Haralson,384,19,701,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Harris,585,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Hart,459,11,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Heard,526,11,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Henry,536,15,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Houston,760,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Irwin,428,6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jackson,1123,46,568,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jasper,644,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jeff Davis,268,19,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jefferson,899,45,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jenkins,272,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,L. B. Johnson,285,23,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Jones,426,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Laurens,1107,24,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Lee,213,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Liberty,251,29,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Lincoln,264,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Lowndes,847,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Lumpkin,297,29,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,McDuffie,271,9,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,McIntosh,113,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Macon,411,19,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Madison,564,13,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Marion,240,15,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Meriwether,862,26,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Miller,150,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Milton,387,18,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Mitchell,1046,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Monroe,702,18,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Montgomery,854,52,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Morgan,537,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Murray,366,68,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Muscogee,1817,51,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Newton,840,57,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Oconee,208,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Oglethorpe,400,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Paulding,350,25,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Pickens,317,197,456,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Pierce,408,63,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Pike,753,34,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Polk,706,36,539,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Pulaski,1080,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Putnam,460,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Quitman,152,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Rabun,323,16,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Randolph,514,55,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Richmond,1871,177,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Rockdale,432,11,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Schley,213,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Screven,460,21,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Spalding,736,26,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Stephens,405,14,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Stewart,452,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Sumter,1004,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Talbot,446,8,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Taliaferro,225,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Tattnall,592,18,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Taylor,342,17,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Telfair,694,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Terrell,500,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Thomas,1012,50,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Tift,305,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Toombs,327,20,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Towns,230,89,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Troup,1434,24,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Turner,382,32,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Twiggs,310,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Union,319,88,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Upson,445,7,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Walker,771,215,404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Walton,885,40,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Ware,972,54,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Warren,266,11,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Washington,1440,27,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Wayne,380,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Webster,150,2,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,White,152,11,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Whitfield,772,102,443,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Wilcox,525,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Wilkes,657,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Wilkinson,365,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1912,President,Worth,500,12,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Appling,413,44,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bacon,287,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Baker,435,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Baldwin,579,65,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Banks,989,126,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Barrow,712,148,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bartow,1325,92,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Ben Hill,627,8,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Berrien,2102,32,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bibb,2048,201,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bleckley,362,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Brooks,969,103,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bryan,295,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Bulloch,1410,29,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Burke,673,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Butts,595,52,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Calhoun,265,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Camden,251,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Campbell,508,77,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Candler,442,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Carroll,1621,118,413,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Catoosa,624,32,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Charlton,169,52,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Chatham,3797,368,616,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Chattahoochee,156,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Chattooga,1006,20,240,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Cherokee,855,292,461,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Clarke,1036,113,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Clay,225,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Clayton,517,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Clinch,374,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Cobb,1750,137,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Coffee,2091,120,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Colquitt,1305,53,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Columbia,521,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Coweta,1179,85,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Crawford,411,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Crisp,577,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Dade,616,25,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Dawson,440,273,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Decatur,1147,35,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,DeKalb,1690,12,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Dodge,788,64,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Dooly,737,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Dougherty,836,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Douglas,416,61,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Early,442,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Echols,173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Effingham,450,8,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Elbert,1756,0,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Emanuel,1500,28,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Evans,334,34,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Fannin,720,166,933,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Fayette,494,25,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Floyd,2137,50,386,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Forsyth,1146,166,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Franklin,1540,44,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Fulton,8945,1311,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Gilmer,742,258,560,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Glascock,126,8,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Glynn,477,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Gordon,1010,190,242,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Grady,675,39,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Greene,676,53,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Gwinnett,1528,222,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Habersham,1032,48,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Hall,1662,141,367,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Hancock,562,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Haralson,837,137,779,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Harris,550,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Hart,750,22,237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Heard,439,11,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Henry,868,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Houston,806,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Irwin,503,31,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jackson,1185,71,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jasper,537,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jeff Davis,299,14,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jefferson,588,63,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jenkins,402,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,L. B. Johnson,715,20,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Jones,398,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Laurens,1269,64,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Lee,316,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Liberty,245,26,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Lincoln,333,5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Lowndes,1870,60,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Lumpkin,455,55,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,McDuffie,466,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,McIntosh,114,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Macon,440,21,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Madison,1241,19,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Marion,330,42,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Meriwether,1118,36,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Miller,464,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Mitchell,921,41,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Monroe,721,52,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Montgomery,1002,21,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Morgan,643,59,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Murray,1162,301,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Muscogee,1833,110,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Newton,943,102,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Oconee,497,0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Oglethorpe,657,18,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Paulding,670,10,783,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Pickens,497,420,344,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Pierce,489,85,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Pike,766,65,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Polk,1172,0,713,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Pulaski,383,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Putnam,462,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Quitman,125,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Rabun,633,87,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Randolph,645,43,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Richmond,2708,238,524,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Rockdale,490,73,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Schley,222,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Screven,625,36,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Spalding,835,41,152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Stephens,500,15,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Stewart,474,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Sumter,1065,38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Talbot,511,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Taliaferro,255,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Tattnall,574,49,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Taylor,405,57,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Telfair,773,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Terrell,677,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Thomas,1298,42,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Tift,1034,42,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Toombs,425,33,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Towns,358,481,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Troup,1227,38,240,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Turner,400,145,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Twiggs,365,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Union,532,523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Upson,734,18,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Walker,1883,439,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Walton,1305,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1916,President,Ware,1066,133,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
