State,Year,Office,County,D#,R#,Pop.#,Prog.#,Proh.#,SD#,SL#,UR#,S#,Labor#,Comm.#,Wor.#,Am.#,L#,IND#,I#,Ref.#,NL#,G#,3rdP#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,AI#,I1#,I2#,U#
Maryland,1904,President,Queen Anne's,2258,1487,,,130,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Somerset,1580,1874,,,21,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Saint Mary's,1247,1174,,,177,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Talbot,1861,1999,,,89,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Washington,4064,4581,,,103,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Wicomico,2593,2179,,,127,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1904,President,Worcester,2000,1450,,,146,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Allegany,4791,5178,,,218,,,,385,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Anne Arundel,3435,2926,,,52,,,,22,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Baltimore,10297,10197,,,282,,,,182,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Baltimore City,49139,51528,,,1082,,,,1413,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Calvert,714,1070,,,15,,,,3,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Caroline,1915,1584,,,97,,,,22,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Carroll,3641,3406,,,148,,,,4,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Cecil,2847,2378,,,49,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Charles,1167,1643,,,22,,,,11,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
