State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1916,President,Socorro,1558,1954,,,,,,,16,,,,6,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Taos,910,1320,,,,,,,46,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Torrance,679,948,,,,,,,68,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Union,1996,1495,,,,,,,246,,,,12,,,,,,,,,,,,,,,,,,,,,
New Mexico,1916,President,Valencia,383,1540,,,,,,,14,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Bernalillo,4808,4969,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Chaves,2080,1765,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Colfax,2709,3351,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Curry,2143,884,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,De Baca,693,412,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Dona Ana,1318,2627,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Eddy,1611,982,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Grant,1879,2230,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Guadalupe,1224,1599,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Hidalgo,551,443,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Lea,733,255,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Lincoln,1047,1456,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Luna,1000,834,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,McKinley,989,1525,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Mora,2179,2478,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Otero,1095,1229,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Quay,1813,1213,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Rio Arriba,2056,3986,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Roosevelt,1178,571,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,San Juan,884,1194,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,San Miguel,831,985,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Sandoval,3990,5535,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Santa Fe,1700,3060,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Sierra,642,862,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Socorro,1807,3150,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Taos,1359,2519,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Torrance,1125,1751,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Union,2273,2930,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,
New Mexico,1920,President,Valencia,951,2839,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Bernalillo,6023,7078,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Catron,418,499,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Chaves,2168,1519,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Colfax,3067,3512,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Curry,1738,669,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,De Baca,574,270,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Dona Ana,1775,2823,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Eddy,1524,658,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Grant,2085,1756,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Guadalupe,1056,1329,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Harding,714,721,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Hidalgo,476,261,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Lea,552,138,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Lincoln,837,1087,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Luna,596,709,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,McKinley,1150,1653,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Mora,2087,2197,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Otero,886,832,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Quay,1548,851,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
