State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,2016,President,Bernalillo,143417,94698,,,,,,,,,,,,,,,474,,2181,,,3614,29682,445,151,,,,,,,,,
New Mexico,2016,President,Catron,427,1464,,,,,,,,,,,,,,,12,,11,,,23,111,0,1,,,,,,,,,
New Mexico,2016,President,Chaves,5534,12872,,,,,,,,,,,,,,,32,,102,,,86,1609,22,14,,,,,,,,,
New Mexico,2016,President,Cibola,3741,3195,,,,,,,,,,,,,,,16,,43,,,73,970,20,5,,,,,,,,,
New Mexico,2016,President,Colfax,2129,2585,,,,,,,,,,,,,,,12,,31,,,37,527,5,6,,,,,,,,,
New Mexico,2016,President,Curry,3121,9035,,,,,,,,,,,,,,,39,,112,,,74,973,10,6,,,,,,,,,
New Mexico,2016,President,De Baca,193,620,,,,,,,,,,,,,,,0,,2,,,6,89,0,0,,,,,,,,,
New Mexico,2016,President,Dona Ana,37947,25374,,,,,,,,,,,,,,,157,,566,,,953,5471,115,65,,,,,,,,,
New Mexico,2016,President,Eddy,5033,13147,,,,,,,,,,,,,,,27,,83,,,84,1275,12,6,,,,,,,,,
New Mexico,2016,President,Grant,6276,5288,,,,,,,,,,,,,,,25,,80,,,218,899,19,6,,,,,,,,,
New Mexico,2016,President,Guadalupe,970,595,,,,,,,,,,,,,,,1,,5,,,18,238,0,0,,,,,,,,,
New Mexico,2016,President,Harding,156,311,,,,,,,,,,,,,,,2,,0,,,3,55,0,0,,,,,,,,,
New Mexico,2016,President,Hidalgo,784,910,,,,,,,,,,,,,,,2,,27,,,6,137,3,3,,,,,,,,,
New Mexico,2016,President,Lea,3930,12495,,,,,,,,,,,,,,,26,,80,,,56,1098,17,10,,,,,,,,,
New Mexico,2016,President,Lincoln,2331,5896,,,,,,,,,,,,,,,9,,36,,,59,560,9,2,,,,,,,,,
New Mexico,2016,President,Los Alamos,5562,3359,,,,,,,,,,,,,,,29,,291,,,120,1512,7,5,,,,,,,,,
New Mexico,2016,President,Luna,3195,3478,,,,,,,,,,,,,,,13,,50,,,66,481,5,7,,,,,,,,,
New Mexico,2016,President,McKinley,13576,5104,,,,,,,,,,,,,,,58,,173,,,284,2412,76,20,,,,,,,,,
New Mexico,2016,President,Mora,1536,665,,,,,,,,,,,,,,,4,,5,,,35,194,1,1,,,,,,,,,
New Mexico,2016,President,Otero,6124,11887,,,,,,,,,,,,,,,67,,162,,,169,1613,23,15,,,,,,,,,
New Mexico,2016,President,Quay,1017,2212,,,,,,,,,,,,,,,8,,17,,,15,299,2,2,,,,,,,,,
New Mexico,2016,President,Rio Arriba,9592,3599,,,,,,,,,,,,,,,17,,28,,,188,1425,16,13,,,,,,,,,
New Mexico,2016,President,Roosevelt,1454,3884,,,,,,,,,,,,,,,11,,58,,,48,482,8,5,,,,,,,,,
New Mexico,2016,President,San Juan,27707,25905,,,,,,,,,,,,,,,129,,553,,,627,6657,76,36,,,,,,,,,
New Mexico,2016,President,San Miguel,12865,27946,,,,,,,,,,,,,,,125,,503,,,352,4200,97,22,,,,,,,,,
New Mexico,2016,President,Sandoval,7285,2313,,,,,,,,,,,,,,,25,,35,,,160,915,10,8,,,,,,,,,
New Mexico,2016,President,Santa Fe,50793,14332,,,,,,,,,,,,,,,75,,295,,,1452,4362,95,30,,,,,,,,,
New Mexico,2016,President,Sierra,1612,3010,,,,,,,,,,,,,,,12,,20,,,78,442,6,1,,,,,,,,,
New Mexico,2016,President,Socorro,3313,2616,,,,,,,,,,,,,,,15,,39,,,60,802,20,3,,,,,,,,,
New Mexico,2016,President,Taos,10668,2727,,,,,,,,,,,,,,,6,,31,,,617,1179,27,5,,,,,,,,,
New Mexico,2016,President,Torrance,1785,3714,,,,,,,,,,,,,,,16,,36,,,66,692,9,6,,,,,,,,,
New Mexico,2016,President,Union,320,1216,,,,,,,,,,,,,,,7,,9,,,13,134,1,2,,,,,,,,,
New Mexico,2016,President,Valencia,10841,13215,,,,,,,,,,,,,,,63,,161,,,219,3046,28,19,,,,,,,,,
New Mexico,1964,US Senate,Bernalillo,49796,47900,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Catron,542,645,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Chaves,7863,9167,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Colfax,2915,2058,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Curry,5232,4990,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,De Baca,638,588,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Dona Ana,9379,8677,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Eddy,10247,7631,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Grant,4630,2625,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
New Mexico,1964,US Senate,Guadalupe,1724,985,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Harding,404,504,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Hidalgo,910,708,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Lea,7892,7725,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Lincoln,1538,1781,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Los Alamos,3041,2659,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Luna,2060,1845,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,McKinley,6295,3378,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
New Mexico,1964,US Senate,Mora,1549,979,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Otero,5527,4061,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Quay,2117,2297,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Rio Arriba,6576,3156,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Roosevelt,2647,2900,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,San Juan,6372,7236,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,San Miguel,5477,2879,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Sandoval,3312,1153,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Santa Fe,11520,6976,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
New Mexico,1964,US Senate,Sierra,1549,1564,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Socorro,2397,1745,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Taos,4110,2092,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Torrance,1390,1245,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Union,1110,1236,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1964,US Senate,Valencia,7450,4177,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Bernalillo,39220,40068,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Catron,395,647,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Chaves,4764,7181,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Colfax,2547,1628,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Curry,4087,3537,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,De Baca,394,557,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Dona Ana,7839,5730,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Eddy,7434,5799,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Grant,3826,2182,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Guadalupe,1208,986,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Harding,351,401,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Hidalgo,785,392,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Lea,5447,5163,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Lincoln,1019,1478,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Los Alamos,3222,1619,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
New Mexico,1966,US Senate,Luna,1650,1354,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,McKinley,3566,2725,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Mora,1167,1173,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Otero,4417,2838,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Quay,1849,1648,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Rio Arriba,5107,2885,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Roosevelt,1796,1995,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,San Juan,4932,5712,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,San Miguel,4193,3371,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Sandoval,2471,1254,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Santa Fe,9213,6877,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
New Mexico,1966,US Senate,Sierra,1118,1308,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Socorro,1901,1862,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Taos,3308,2297,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Torrance,1169,1172,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Union,1031,998,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1966,US Senate,Valencia,5779,4151,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
New Mexico,1970,US Senate,Bernalillo,45917,45999,,,,,,,,,,,,,,,,,,,,,,,,,,,1281,,,,,
New Mexico,1970,US Senate,Catron,466,559,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
New Mexico,1970,US Senate,Chaves,4879,6867,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,
New Mexico,1970,US Senate,Colfax,2529,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,
New Mexico,1970,US Senate,Curry,3851,4483,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,
New Mexico,1970,US Senate,De Baca,504,458,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
New Mexico,1970,US Senate,Dona Ana,8879,7378,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,
New Mexico,1970,US Senate,Eddy,6337,5958,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,
New Mexico,1970,US Senate,Grant,4273,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,
New Mexico,1970,US Senate,Guadalupe,1208,867,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
New Mexico,1970,US Senate,Harding,293,370,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
New Mexico,1970,US Senate,Hidalgo,773,524,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
New Mexico,1970,US Senate,Lea,5234,7102,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,
New Mexico,1970,US Senate,Lincoln,1193,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
New Mexico,1970,US Senate,Los Alamos,2897,2917,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,
New Mexico,1970,US Senate,Luna,1577,1751,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,
New Mexico,1970,US Senate,McKinley,4616,3593,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,
New Mexico,1970,US Senate,Mora,1238,746,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
New Mexico,1970,US Senate,Otero,4714,3616,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,
New Mexico,1970,US Senate,Quay,1960,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,
New Mexico,1970,US Senate,Rio Arriba,5857,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,
New Mexico,1970,US Senate,Roosevelt,1918,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,
New Mexico,1970,US Senate,San Juan,4398,7170,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,
New Mexico,1970,US Senate,San Miguel,4325,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,
New Mexico,1970,US Senate,Sandoval,3492,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,
New Mexico,1970,US Senate,Santa Fe,11950,6198,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,
New Mexico,1970,US Senate,Sierra,1206,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
New Mexico,1970,US Senate,Socorro,2197,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,
New Mexico,1970,US Senate,Taos,3727,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,
New Mexico,1970,US Senate,Torrance,1262,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
New Mexico,1970,US Senate,Union,922,971,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
New Mexico,1970,US Senate,Valencia,6894,4351,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,
New Mexico,1972,US Senate,Bernalillo,55878,74118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Catron,435,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Chaves,6691,9240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Colfax,2088,2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Curry,4502,6169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,De Baca,458,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Dona Ana,10742,13016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Eddy,7271,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Grant,4858,3771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Guadalupe,1255,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Harding,274,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Hidalgo,913,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Lea,10372,5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Lincoln,1207,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Los Alamos,2948,4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Luna,1954,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,McKinley,5312,4776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Mora,1119,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Otero,4433,5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Quay,1846,2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Rio Arriba,5337,4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Roosevelt,2683,3575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,San Juan,6374,9122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,San Miguel,4310,4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Sandoval,3453,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Santa Fe,11022,11763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Sierra,1204,1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Socorro,2089,2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Taos,3409,3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Torrance,1303,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Union,940,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1972,US Senate,Valencia,7135,7345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1976,US Senate,Bernalillo,51876,88976,,,,,,,,,,,,,,,486,,,,,,,,,,,393,,,,,,
New Mexico,1976,US Senate,Catron,449,664,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Chaves,5502,12269,,,,,,,,,,,,,,,14,,,,,,,,,,,14,,,,,,
New Mexico,1976,US Senate,Colfax,2201,2740,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Curry,4285,6402,,,,,,,,,,,,,,,17,,,,,,,,,,,4,,,,,,
New Mexico,1976,US Senate,De Baca,489,620,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
New Mexico,1976,US Senate,Dona Ana,10960,14885,,,,,,,,,,,,,,,26,,,,,,,,,,,56,,,,,,
New Mexico,1976,US Senate,Eddy,7589,9178,,,,,,,,,,,,,,,19,,,,,,,,,,,11,,,,,,
New Mexico,1976,US Senate,Grant,4225,5159,,,,,,,,,,,,,,,15,,,,,,,,,,,10,,,,,,
New Mexico,1976,US Senate,Guadalupe,1626,799,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,
New Mexico,1976,US Senate,Harding,271,406,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,
New Mexico,1976,US Senate,Hidalgo,808,1001,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Lea,6336,8719,,,,,,,,,,,,,,,21,,,,,,,,,,,11,,,,,,
New Mexico,1976,US Senate,Lincoln,1258,2450,,,,,,,,,,,,,,,5,,,,,,,,,,,7,,,,,,
New Mexico,1976,US Senate,Los Alamos,3959,4406,,,,,,,,,,,,,,,9,,,,,,,,,,,10,,,,,,
New Mexico,1976,US Senate,Luna,2526,3295,,,,,,,,,,,,,,,8,,,,,,,,,,,9,,,,,,
New Mexico,1976,US Senate,McKinley,6434,4794,,,,,,,,,,,,,,,19,,,,,,,,,,,15,,,,,,
New Mexico,1976,US Senate,Mora,1482,845,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Otero,4774,6436,,,,,,,,,,,,,,,10,,,,,,,,,,,48,,,,,,
New Mexico,1976,US Senate,Quay,1732,2376,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,
New Mexico,1976,US Senate,Rio Arriba,6946,3233,,,,,,,,,,,,,,,16,,,,,,,,,,,139,,,,,,
New Mexico,1976,US Senate,Roosevelt,2138,4157,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,
New Mexico,1976,US Senate,San Juan,7030,12391,,,,,,,,,,,,,,,22,,,,,,,,,,,26,,,,,,
New Mexico,1976,US Senate,San Miguel,5108,3091,,,,,,,,,,,,,,,38,,,,,,,,,,,40,,,,,,
New Mexico,1976,US Senate,Sandoval,4820,4378,,,,,,,,,,,,,,,13,,,,,,,,,,,44,,,,,,
New Mexico,1976,US Senate,Santa Fe,13193,12490,,,,,,,,,,,,,,,62,,,,,,,,,,,137,,,,,,
New Mexico,1976,US Senate,Sierra,1322,1887,,,,,,,,,,,,,,,8,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Socorro,2495,2415,,,,,,,,,,,,,,,21,,,,,,,,,,,11,,,,,,
New Mexico,1976,US Senate,Taos,4472,2899,,,,,,,,,,,,,,,20,,,,,,,,,,,45,,,,,,
New Mexico,1976,US Senate,Torrance,1291,1674,,,,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,
New Mexico,1976,US Senate,Union,757,1322,,,,,,,,,,,,,,,0,,,,,,,,,,,9,,,,,,
New Mexico,1976,US Senate,Valencia,8028,8324,,,,,,,,,,,,,,,18,,,,,,,,,,,24,,,,,,
New Mexico,1978,US Senate,Bernalillo,54153,60919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Catron,614,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Chaves,4571,10385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Colfax,1840,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Curry,2305,5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,De Baca,389,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Dona Ana,9077,11880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Eddy,5847,7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Grant,4369,3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Guadalupe,1401,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Harding,257,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Hidalgo,584,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Lea,3748,6353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Lincoln,1008,2377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Los Alamos,2705,4570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Luna,2036,2606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,McKinley,4639,4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Mora,1432,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Otero,4053,5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Quay,1230,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Rio Arriba,6554,3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Roosevelt,1294,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,San Juan,5459,9659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,San Miguel,4636,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Sandoval,4897,4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Santa Fe,13197,10072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Sierra,1281,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Socorro,2372,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Taos,4085,2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Torrance,1568,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Union,474,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1978,US Senate,Valencia,7970,6604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Bernalillo,74322,63043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Catron,556,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Chaves,6008,10473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Cibola,3412,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Colfax,2627,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Curry,3896,5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,De Baca,497,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Dona Ana,11211,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Eddy,8281,7698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Grant,5570,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Guadalupe,1421,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Harding,297,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1982,US Senate,Hidalgo,1018,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
