County or equivalent,State,Interstate(s)
Windham,VT,91
Windsor,VT,91
Orange,VT,91
Caledonia,VT,91
Orleans,VT,91
Yellowstone,MT,94
Treasure,MT,94
Rosebud,MT,94
Custer,MT,94
Prairie,MT,94
Dawson,MT,94
Wibaux,MT,94
Golden Valley,ND,94
Billings,ND,94
Stark,ND,94
Morton,ND,94
Burleigh,ND,94
Kidder,ND,94
Stutsman,ND,94
Barnes,ND,94
Cass,ND,94
Clay,MN,94
Wilkin,MN,94
Otter Tail,MN,94
Grant,MN,94
Douglas,MN,94
Todd,MN,94
Stearns,MN,94
Wright,MN,94
Hennepin,MN,94
Ramsey,MN,94
Washington,MN,94
Saint Croix,WI,94
Dunn,WI,94
Eau Claire,WI,94
Trempealeau,WI,94
Jackson,WI,94
Monroe,WI,94
Juneau,WI,94
Sauk,WI,94
Columbia,WI,94
Dane,WI,94
Jefferson,WI,94
Waukesha,WI,94
Milwaukee,WI,94
Racine,WI,94
Kenosha,WI,94
Lake,IL,94
Cook,IL,94
Lake,IN,94
Porter,IN,94
LaPorte,IN,94
Berrien,MI,94
Van Buren,MI,94
Kalamazoo,MI,94
Calhoun,MI,94
Jackson,MI,94
Washtenaw,MI,94
Wayne,MI,94
Macomb,MI,94
Saint Clair,MI,94
Miami-Dade,FL,95
Broward,FL,95
Palm Beach,FL,95
Martin,FL,95
Saint Lucie,FL,95
Indian River,FL,95
Brevard,FL,95
Volusia,FL,95
Flagler,FL,95
Saint Johns,FL,95
Duval,FL,95
Nassau,FL,95
Camden,GA,95
Glynn,GA,95
McIntosh,GA,95
Liberty,GA,95
Bryan,GA,95
Chatham,GA,95
Effingham,GA,95
Jasper,SC,95
Hampton,SC,95
Colleton,SC,95
Dorchester,SC,95
Orangeburg,SC,95
Clarendon,SC,95
Sumter,SC,95
Florence,SC,95
Darlington,SC,95
Marlboro,SC,95
Dillon,SC,95
Robeson,NC,95
Cumberland,NC,95
Harnett,NC,95
Johnston,NC,95
Wilson,NC,95
Nash,NC,95
Halifax,NC,95
Northampton,NC,95
Greensville,VA,95
Emporia City,VA,95
Sussex,VA,95
Prince George,VA,95
Petersburg City,VA,95
Colonial Heights City,VA,95
Chesterfield,VA,95
Richmond City,VA,95
Henrico,VA,95
Hanover,VA,95
Caroline,VA,95
Spotsylania,VA,95
Fredericksburg City,VA,95
Stafford,VA,95
Prince William,VA,95
Fairfax,VA,95
Alexandria City,VA,95
Washington,DC,95
Prince George's,MD,95
Howard,MD,95
Baltimore,MD,95
Baltimore City,MD,95
Harford,MD,95
Cecil,MD,95
New Castle,DE,95
Delaware,PA,95
Philadelphia,PA,95
Bucks,PA,95
Burlington,NJ,95
Mercer,NJ,95
Middlesex,NJ,95
Union,NJ,95
Essex,NJ,95
Hudson,NJ,95
Bergen,NJ,95
New York,NY,95
Bronx,NY,95
Westchester,NY,95
Fairfield,CT,95
New Haven,CT,95
Middlesex,CT,95
New London,CT,95
Washington,RI,95
Kent,RI,95
Providence,RI,95
Bristol,MA,95
Norfolk,MA,95
Middlesex,MA,95
Essex,MA,95
Rockingham,NH,95
York,ME,95
Cumberland,ME,95
Androscoggin,ME,95
Kennebec,ME,95
Somerset,ME,95
Waldo,ME,95
Penobscot,ME,95
Aroostook,ME,95
Muskegon,MI,96
Ottawa,MI,96
Kent,MI,96
Ionia,MI,96
Clinton,MI,96
Eaton,MI,96
Ingham,MI,96
Livingston,MI,96
Oakland,MI,96
Wayne,MI,96
Anne Arundel,MD,97
Bedford,PA,99
Blair,PA,99
Centre,PA,99
Steuben,NY,99
