State,Year,Office,County/City,D#,R#,Prog.#,FL#,S#,U#,SD#,PF#,Proh.#,Comm.#,JI#,Labor#,SL#,SW#,SR#,I1#,I2#,I3#,Ref.#,NL#,IG#,G#,L#,W/I#,ID#,CON#,Match,Others,W/I1#,W/I2#,County / City,Soc. D#,AI#,I#,Year / Office
Virginia,1912,President,Accomac,1825,153,110,,1,,,,25,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Albemarle,1215,144,126,,15,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Alexandria,346,86,153,,8,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Alleghany,394,125,263,,10,,,,15,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Amelia,325,32,50,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Amherst,765,64,60,,8,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Appomattox,654,28,51,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Augusta,1556,568,272,,11,,,,73,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bath,329,159,39,,3,,,,11,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bedford,1219,142,343,,9,,,,20,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bland,289,206,118,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Botetourt,889,517,191,,2,,,,9,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Brunswick,643,67,43,,5,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Buchanan,524,223,389,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Buckingham,603,97,110,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Campbell,810,97,126,,11,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Caroline,590,144,126,,0,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Carroll,765,874,346,,0,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Charles City,121,37,23,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Charlotte,609,175,123,,10,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Chesterfield,702,61,75,,8,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Clarke,576,39,14,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Craig,337,62,150,,1,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Culpeper,752,108,49,,1,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Cumberland,362,10,31,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Dickenson,529,398,157,,5,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Dinwiddie,512,58,75,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Elizabeth City,347,43,56,,8,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Essex,278,72,11,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fairfax,992,187,150,,6,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fauquier,1187,182,87,,2,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Floyd,409,222,712,,5,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fluvanna,409,53,58,,5,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Franklin,1238,415,601,,5,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Frederick,922,181,112,,3,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Giles,725,267,247,,4,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Gloucester,510,74,56,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Goochland,322,114,82,,6,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Grayson,842,832,290,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Greene,238,141,95,,0,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Greensville,294,31,72,,1,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Halifax,1260,426,127,,15,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Hanover,609,87,4,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Henrico,952,93,105,,16,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Henry,707,216,369,,8,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Highland,313,221,84,,0,,,,14,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Isle of Wight,708,75,101,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,James City,128,10,15,,1,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King and Queen,246,68,48,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King George,256,48,103,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,King William,305,69,63,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lancaster,479,82,16,,1,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lee,1023,699,577,,9,,,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Loudoun,1386,256,87,,4,,,,35,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Louisa,578,91,141,,6,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lunenburg,508,66,50,,4,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Madison,402,210,63,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Mathews,523,45,34,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Mecklenburg,1039,191,91,,1,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Middlesex,374,128,22,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Montgomery,684,349,531,,2,,,,27,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nansemond,544,53,65,,2,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nelson,706,163,95,,5,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,New Kent,160,30,46,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Norfolk,1089,422,215,,11,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Northampton,726,83,76,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Northumberland,470,102,52,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Nottoway,683,72,70,,4,,,,7,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Orange,619,87,57,,0,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Page,703,340,138,,10,,,,26,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Patrick,698,434,350,,3,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Pittsylvania,1558,527,321,,15,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Powhatan,230,109,51,,11,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince Edward,584,72,46,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince George,204,42,48,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Princess Anne,422,40,63,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Prince William,814,82,93,,5,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Pulaski,781,196,484,,13,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Rappahannock,356,94,9,,13,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Richmond,342,110,40,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Roanoke,696,108,191,,9,,,,15,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Rockbridge,949,433,212,,13,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Rockingham,1761,937,421,,25,,,,47,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Russell,1298,588,623,,6,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Scott,1311,557,1075,,12,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Shenandoah,1336,706,493,,7,,,,12,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Smyth,1022,609,578,,6,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Southampton,861,95,49,,0,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Spotsylvania,390,58,158,,0,,,,11,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Stafford,347,141,183,,2,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Surry,360,57,37,,6,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Sussex,435,59,53,,0,,,,14,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Tazewell,979,586,871,,19,,,,7,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Warren,571,122,39,,2,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Warwick,123,17,30,,1,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Washington,1721,590,996,,4,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Westmoreland,341,69,43,,2,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Wise,1279,851,573,,34,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Wythe,1110,633,650,,5,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,York,211,34,26,,3,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Alexandria City,951,132,104,,11,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Bristol City,405,86,64,,8,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Buena Vista City,155,43,48,,8,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Charlottesville City,454,39,24,,4,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Clifton Forge City,293,63,61,,34,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Danville City,1066,93,79,,11,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Fredericksburg City,414,51,100,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Hampton City,353,13,31,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Lynchburg City,1487,111,218,,19,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Newport News City,938,100,231,,53,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Norfolk City,3539,195,451,,33,,,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Petersburgh City,1122,75,44,,2,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Portsmouth City,1529,64,321,,16,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Radford City,185,36,95,,8,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Richmond City,5632,405,483,,91,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Roanoke City,1913,268,502,,39,,,,16,,,,5,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Staunton City,632,65,287,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Suffolk City,480,71,63,,2,,,,17,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Williamsburg City,113,11,14,,0,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1912,President,Winchester City,447,141,63,,3,,,,22,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Accomac,1745,299,,,,,0,,26,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Albemarle,1376,223,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Alexandria,515,412,,,,,14,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Alleghany,544,432,,,,,3,,14,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Amelia,403,80,,,,,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Amherst,1142,93,,,,,10,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Appomattox,700,133,,,,,2,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Augusta,1751,845,,,,,8,,40,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Bath,387,219,,,,,0,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Bedford,1628,298,,,,,7,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Bland,356,420,,,,,0,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Botetourt,900,775,,,,,2,,13,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Brunswick,772,82,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Buchanan,720,827,,,,,1,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Buckingham,625,181,,,,,7,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Campbell,1007,185,,,,,67,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Caroline,637,198,,,,,0,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Carroll,858,1424,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Charles City,139,57,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Charlotte,856,227,,,,,9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Chesterfield,699,141,,,,,10,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Clarke,590,49,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Craig,369,200,,,,,2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Culpeper,849,184,,,,,1,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Cumberland,446,73,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Dickenson,650,753,,,,,27,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Dinwiddie,592,85,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Elizabeth City,411,132,,,,,10,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Essex,302,77,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Fairfax,1179,472,,,,,5,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Fauquier,1204,367,,,,,2,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Floyd,472,893,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Fluvanna,513,81,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Franklin,1481,1094,,,,,6,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Frederick,1194,366,,,,,11,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Giles,839,596,,,,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Gloucester,582,142,,,,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Goochland,413,193,,,,,5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Grayson,967,1244,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Greene,221,239,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Greensville,392,76,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Halifax,1781,493,,,,,15,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Hanover,760,102,,,,,7,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Henrico,690,140,,,,,15,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Henry,851,567,,,,,6,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Highland,370,310,,,,,0,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Isle of Wight,679,140,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,James City,127,34,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,King and Queen,271,127,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,King George,223,217,,,,,1,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,King William,342,119,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Lancaster,461,58,,,,,0,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Lee,1287,1569,,,,,11,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Loudoun,1490,404,,,,,2,,26,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Louisa,710,263,,,,,8,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Lunenburg,814,110,,,,,12,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Madison,572,348,,,,,0,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Mathews,549,90,,,,,0,,15,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Mecklenburg,1317,222,,,,,0,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Middlesex,373,155,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Montgomery,765,891,,,,,1,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Nansemond,663,70,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Nelson,1063,249,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,New Kent,192,69,,,,,1,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Norfolk,1612,684,,,,,19,,8,,,,14,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Northampton,802,109,,,,,0,,9,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Northumberland,503,111,,,,,0,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Nottoway,608,91,,,,,4,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Orange,608,153,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Page,842,613,,,,,4,,17,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Patrick,872,815,,,,,1,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Pittsylvania,2012,801,,,,,30,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Powhatan,233,112,,,,,1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Prince Edward,668,108,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Prince George,258,72,,,,,1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Princess Anne,515,67,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Prince William,754,192,,,,,2,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Pulaski,1057,721,,,,,0,,86,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Rappahannock,401,84,,,,,7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Richmond,329,180,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Roanoke,850,460,,,,,26,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Rockbridge,1049,601,,,,,6,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Rockingham,1650,1322,,,,,15,,25,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Russell,1570,1410,,,,,4,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Scott,1319,1743,,,,,13,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Shenandoah,1440,1425,,,,,37,,24,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Smyth,1134,1321,,,,,5,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Southampton,1045,128,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Spotsylvania,398,249,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Stafford,444,422,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Surry,430,90,,,,,4,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Sussex,486,96,,,,,2,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Tazewell,1108,1591,,,,,11,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Warren,583,214,,,,,0,,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Warwick,97,53,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Washington,1863,1717,,,,,2,,7,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Westmoreland,338,126,,,,,1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Wise,1468,1862,,,,,33,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Wythe,1334,1370,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,York,247,51,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Alexandria City,1038,364,,,,,6,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Bristol City,489,184,,,,,3,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Buena Vista City,158,92,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Charlottesville City,618,117,,,,,3,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Clifton Forge City,455,104,,,,,48,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Danville City,1151,229,,,,,107,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Fredericksburg City,380,173,,,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Hampton City,350,56,,,,,3,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Harrisonburg City,346,319,,,,,4,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Hopewell City,24,3,,,,,1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Lynchburg City,1465,353,,,,,16,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Newport News City,939,465,,,,,52,,5,,,,4,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Norfolk City,3234,963,,,,,72,,23,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Petersburg City,1155,161,,,,,3,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Portsmouth City,1368,376,,,,,52,,13,,,,2,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Radford City,206,115,,,,,5,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Richmond City,6987,1210,,,,,76,,24,,,,6,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Roanoke City,2246,610,,,,,78,,10,,,,6,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Staunton City,511,311,,,,,0,,11,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Suffolk City,437,158,,,,,1,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Williamsburg City,97,21,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1916,President,Winchester City,468,196,,,,,2,,18,,,,0,,,,,,,,,,,,,,,,,,,,,,
Virginia,1920,President,Accomac,2026,409,,0,1,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,1920,President,Albemarle,1587,541,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,1920,President,Alleghany,663,736,,2,6,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
