State,Year,Office,County,D#,R#,Prog.#,S#,SW#,Proh.#,Am.#,I#,Ref.#,L#,G#,C#,NL#,Cit.#,Labor#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,Pop.#,Year / Office,W/I#
North Carolina,1968,US Senate,Chowan,2527,642,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Clay,1150,1305,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Cleveland,14002,6432,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Columbus,9383,3238,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Craven,7388,3994,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Cumberland,19085,7890,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Currituck,1825,371,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Dare,1642,649,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Davidson,15962,17895,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Davie,3120,4266,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Duplin,7123,3583,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Durham,20534,11313,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Edgecombe,10077,2619,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Forsyth,34493,29350,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Franklin,6754,2042,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Gaston,23656,14866,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Gates,1921,361,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Graham,1383,1564,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Granville,5995,1337,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Greene,3877,745,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Guilford,40858,32050,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Halifax,11309,2589,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Harnett,8847,5658,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Haywood,9710,4881,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Henderson,5699,8885,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Hertford,4394,848,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Hoke,3749,606,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Hyde,1267,473,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Iredell,12821,10634,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Jackson,4206,3291,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Johnston,9434,7967,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Jones,2013,844,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Lee,4565,1936,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Lenoir,9285,4575,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Lincoln,6644,6301,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Macon,5999,3752,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Madison,3007,2718,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Martin,5907,1192,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,McDowell,3391,2811,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Mecklenburg,59664,38116,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Mitchell,1430,3470,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Montgomery,4271,3267,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Moore,6470,4791,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Nash,12004,4686,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,New Hanover,15204,9198,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Northampton,6465,916,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Onslow,7506,3573,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Orange,11197,5415,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Pamlico,2060,949,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Pasquotank,4723,1500,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Pender,3795,1277,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Perquimans,2137,490,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Person,5817,1918,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Pitt,14567,4778,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Polk,2735,2367,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Randolph,10315,14027,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Richmond,6681,2311,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Robeson,15588,2461,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Rockingham,13479,8221,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Rowan,17121,14128,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Rutherford,10099,6097,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Sampson,7999,7181,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Scotland,4287,1026,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Stanly,8128,9354,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Stokes,5142,4792,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Surry,9173,8706,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Swain,1974,1267,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Transylvania,4761,3568,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Tyrrell,772,240,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Union,8385,4250,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Vance,8183,2014,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Wake,36226,21887,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Warren,4444,444,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Washington,2940,1340,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Watauga,4048,4588,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Wayne,10120,6333,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Wilkes,6987,11100,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Wilson,10501,3621,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Yadkin,3210,5941,,,,,,,,,,,,,,,,,,,,,
North Carolina,1968,US Senate,Yancey,2879,2383,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Alamance,11689,17498,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Alexander,3292,5210,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Alleghany,1588,1785,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Anson,3147,2452,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Ashe,4060,5160,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Avery,948,3258,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Beaufort,4269,5180,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Bertie,2402,2181,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Bladen,3055,3200,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Brunswick,4012,4347,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Buncombe,22742,22188,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Burke,8748,12027,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Cabarrus,9208,14654,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Caldwell,7110,10441,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Camden,813,615,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Carteret,5222,6353,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Caswell,2644,2220,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Catawba,12209,19757,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Chatham,4980,4615,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Cherokee,3118,3370,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Chowan,1548,1127,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Clay,998,1274,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Cleveland,8190,10419,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Columbus,5464,5402,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Craven,5197,6961,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Cumberland,15764,18035,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Currituck,1350,770,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Dare,1189,1266,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Davidson,12264,20544,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Davie,2455,4985,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Duplin,4182,5637,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Durham,23381,18847,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Edgecombe,6231,6203,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Forsyth,34331,32924,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Franklin,3149,4619,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Gaston,13448,22270,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Gates,1653,618,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Graham,1295,1475,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Granville,3704,4731,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Greene,1713,1931,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Guilford,43988,39115,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Halifax,5533,7236,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Harnett,4926,8607,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Haywood,7474,5876,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Henderson,5490,9476,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Hertford,2656,1894,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Hoke,1833,1472,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Hyde,655,770,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Iredell,8881,13438,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Jackson,4232,3684,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Johnston,5303,12064,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Jones,1525,1128,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Lee,3188,4357,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Lenoir,7005,7645,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Lincoln,6488,7151,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Macon,2885,2972,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Madison,2955,2637,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Martin,2912,3021,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,McDowell,3670,5050,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Mecklenburg,46248,54545,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Mitchell,1122,3786,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Montgomery,3156,3448,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Moore,5308,7777,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Nash,6674,10680,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,New Hanover,10964,13504,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Northampton,4279,2020,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Onslow,5695,6767,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Orange,16348,7759,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Pamlico,1413,1265,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Pasquotank,3598,2173,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Pender,2044,2494,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Perquimans,1188,699,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Person,3124,4941,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Pitt,9504,10007,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Polk,2335,2622,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Randolph,10078,14803,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Richmond,4899,3721,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Robeson,10564,7506,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Rockingham,10356,9600,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Rowan,11328,16225,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Rutherford,6405,7468,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Sampson,6203,8182,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Scotland,2674,2431,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Stanly,7353,10490,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Stokes,4808,5830,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Surry,7194,8740,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Swain,1615,1580,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Transylvania,3979,4199,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Tyrrell,642,409,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Union,6345,7497,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Vance,4009,5448,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Wake,37054,43056,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Warren,2063,2152,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Washington,2212,1717,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Watauga,4409,4877,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Wayne,7440,11046,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Wilkes,6622,11361,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Wilson,6284,9673,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Yadkin,2565,5976,,,,,,,,,,,,,,,,,,,,,
North Carolina,1972,US Senate,Yancey,2831,2632,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Alamance,7907,10596,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Alexander,3957,5163,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Alleghany,1912,1950,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Anson,3205,1526,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Ashe,3824,4364,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Avery,790,2070,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Beaufort,3343,3523,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Bertie,1707,1171,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Bladen,3093,2047,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Brunswick,4898,4762,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Buncombe,17279,18326,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Burke,7742,8792,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Cabarrus,6128,9309,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Caldwell,5795,6857,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Camden,623,447,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Carteret,4373,5381,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Caswell,1571,1546,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Catawba,9324,15197,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Chatham,3634,3553,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Cherokee,3377,3386,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Chowan,884,794,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Clay,1421,1894,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Cleveland,5600,5243,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Columbus,5610,4020,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Craven,4407,5117,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Cumberland,12358,12987,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Currituck,1165,912,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Dare,1899,2077,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Davidson,10915,13109,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Davie,2509,4491,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Duplin,3659,3805,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Durham,12220,12931,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Edgecombe,3728,4270,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Forsyth,19748,25867,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Franklin,2403,3089,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Gaston,10292,13074,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Gates,991,516,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Graham,1736,1965,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Granville,2715,3655,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Greene,1402,1762,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Guilford,23786,28687,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Halifax,3645,5215,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Harnett,4126,5930,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Haywood,5853,4739,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Henderson,5778,9389,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Hertford,1875,1373,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Hoke,1650,1122,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Hyde,639,623,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Iredell,7210,10183,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Jackson,4228,3602,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Johnston,4602,7958,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Jones,1472,1500,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Lee,2271,3276,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Lenoir,3811,6534,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Lincoln,6966,6852,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Macon,2840,3584,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Madison,2907,2233,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Martin,2040,1977,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,McDowell,4398,4192,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Mecklenburg,31603,41628,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Mitchell,1132,2583,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Montgomery,2798,2746,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Moore,4880,7499,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Nash,3939,7880,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,New Hanover,7015,11295,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Northampton,2614,1427,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Onslow,4345,5134,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Orange,9523,6409,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Pamlico,1222,992,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Pasquotank,1950,1809,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Pender,2282,2441,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Perquimans,765,643,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Person,1191,2622,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Pitt,6668,7786,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Polk,1928,2479,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Randolph,7796,12583,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Richmond,5536,2555,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Robeson,7296,4860,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Rockingham,7557,7884,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Rowan,8015,10624,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Rutherford,6178,5943,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Sampson,6423,8186,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Scotland,1819,1466,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Stanly,7007,8648,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Stokes,5002,5820,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Surry,6440,7009,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Swain,1947,1491,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Transylvania,3046,3234,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Tyrrell,398,272,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Union,4800,5832,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Vance,2598,3653,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Wake,28723,41388,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Warren,2167,1823,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Washington,1733,1069,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Watauga,3667,4454,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Wayne,5134,7991,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Wilkes,9045,11795,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Wilson,3585,5754,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Yadkin,3102,5677,,,,,,,,,,,,,,,,,,,,,
North Carolina,1978,US Senate,Yancey,3553,3254,,,,,,,,,,,,,,,,,,,,,
North Carolina,1980,US Senate,Alamance,13632,18838,,,88,,,,,127,,,,,,,,,,,,,
North Carolina,1980,US Senate,Alexander,4324,6399,,,4,,,,,12,,,,,,,,,,,,,
North Carolina,1980,US Senate,Alleghany,2251,1915,,,2,,,,,4,,,,,,,,,,,,,
North Carolina,1980,US Senate,Anson,5021,1779,,,11,,,,,6,,,,,,,,,,,,,
North Carolina,1980,US Senate,Ashe,4598,5527,,,3,,,,,21,,,,,,,,,,,,,
North Carolina,1980,US Senate,Avery,1512,3218,,,8,,,,,10,,,,,,,,,,,,,
North Carolina,1980,US Senate,Beaufort,6241,6339,,,7,,,,,15,,,,,,,,,,,,,
North Carolina,1980,US Senate,Bertie,3406,1458,,,18,,,,,6,,,,,,,,,,,,,
North Carolina,1980,US Senate,Bladen,5433,2510,,,57,,,,,20,,,,,,,,,,,,,
North Carolina,1980,US Senate,Brunswick,6285,5865,,,40,,,,,62,,,,,,,,,,,,,
North Carolina,1980,US Senate,Buncombe,25374,27038,,,166,,,,,258,,,,,,,,,,,,,
North Carolina,1980,US Senate,Burke,10533,13604,,,27,,,,,42,,,,,,,,,,,,,
North Carolina,1980,US Senate,Cabarrus,9963,15495,,,54,,,,,102,,,,,,,,,,,,,
North Carolina,1980,US Senate,Caldwell,8156,12902,,,20,,,,,41,,,,,,,,,,,,,
North Carolina,1980,US Senate,Camden,1467,505,,,3,,,,,2,,,,,,,,,,,,,
North Carolina,1980,US Senate,Carteret,6938,7619,,,36,,,,,43,,,,,,,,,,,,,
North Carolina,1980,US Senate,Caswell,3452,1969,,,13,,,,,8,,,,,,,,,,,,,
North Carolina,1980,US Senate,Catawba,13452,22609,,,29,,,,,85,,,,,,,,,,,,,
North Carolina,1980,US Senate,Chatham,7188,5426,,,25,,,,,60,,,,,,,,,,,,,
North Carolina,1980,US Senate,Cherokee,3431,3661,,,36,,,,,18,,,,,,,,,,,,,
North Carolina,1980,US Senate,Chowan,2270,1104,,,24,,,,,17,,,,,,,,,,,,,
