State,Year,Office,County,D#,R#,S#,Peace#,Proh.#,Ind. Labor#,Pop.#,IND#,Prog.#,SPI#,SL#,Comm.#,I1#,I2#,I3#,T#,L#,Ref.#,NL#,G#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,Pop. Gov.#,AI#,WF#,I4#,Am.#,W/I#,Year / Office,I#,C#
Oregon,1904,President,Baker,938,1990,335,,52,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Benton,442,1107,74,,136,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Clackamas,684,2783,421,,141,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Clatsop,336,1408,256,,41,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Columbia,221,1301,160,,61,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Coos,490,1712,342,,92,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Crook,266,763,116,,16,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Curry,87,322,38,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Douglas,908,2443,387,,95,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Gilliam,195,568,48,,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Grant,316,1007,123,,32,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Harney,190,395,80,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Jackson,798,1992,307,,133,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Josephine,327,914,208,,47,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Klamath,208,552,25,,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lake,115,394,4,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lane,1166,3501,356,,232,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Lincoln,179,581,118,,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Linn,1206,2346,409,,286,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Malheur,280,799,74,,77,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Marion,1084,4106,297,,312,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Morrow,230,875,156,,78,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Multnomah,2324,13692,1849,,592,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Polk,521,1380,122,,118,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Sherman,163,701,32,,86,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Tillamook,136,729,119,,65,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Umatilla,840,2642,259,,223,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Union,775,1884,202,,116,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Wallowa,255,714,99,,34,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Wasco,536,2092,228,,222,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Washington,492,2296,139,,151,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Wheeler,161,462,22,,12,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1904,President,Yamhill,652,2004,214,,283,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Baker,1596,1689,286,,23,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Benton,773,1183,68,,87,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Clackamas,1866,2776,364,,123,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Clatsop,658,1482,281,,51,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Columbia,454,1242,203,,42,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Coos,894,1850,427,,50,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Crook,548,915,106,,39,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Curry,148,268,33,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Douglas,1359,2092,365,,60,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Gilliam,242,470,40,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Grant,433,748,105,,13,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Harney,329,450,66,,11,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Hood River,359,767,58,,47,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Jackson,1537,2032,380,,98,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Josephine,732,967,299,,20,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Klamath,427,634,79,,11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Lake,239,465,49,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Lane,2174,3313,424,,108,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Lincoln,282,595,121,,15,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Linn,1813,2202,334,,155,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Malheur,543,800,70,,53,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Marion,2239,3788,311,,275,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Morrow,272,680,110,,24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Multnomah,9850,17819,1447,,629,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Polk,1113,1456,159,,75,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Sherman,252,437,36,,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Tillamook,253,641,129,,39,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Umatilla,1568,2328,174,,109,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Union,1191,1510,237,,36,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Wallowa,506,905,108,,20,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Wasco,764,1309,155,,58,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Washington,1153,2319,138,,124,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Wheeler,236,418,9,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1908,President,Yamhill,1246,1980,168,,236,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Baker,1395,648,469,,54,,,,1120,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Benton,986,715,123,,195,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Clackamas,2171,1503,578,,235,,,,2045,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Clatsop,728,722,446,,51,,,,729,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Columbia,507,574,295,,59,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Coos,1081,701,837,,89,,,,949,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Crook,1060,770,289,,63,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Curry,219,102,89,,4,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Douglas,1601,1267,658,,116,,,,1224,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Gilliam,310,348,35,,16,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Grant,413,418,167,,14,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Harney,538,377,140,,8,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Hood River,519,396,121,,54,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Jackson,2079,847,548,,149,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Josephine,702,305,397,,32,,,,794,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Klamath,815,433,163,,30,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Lake,357,297,108,,13,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Lane,2596,1986,773,,343,,,,1815,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Lincoln,375,410,227,,42,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Linn,2134,1301,412,,300,,,,1229,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Malheur,656,648,165,,32,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Marion,2588,2523,580,,475,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Morrow,275,447,121,,20,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Multnomah,13894,9212,3578,,761,,,,12523,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Polk,1201,1043,207,,164,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Sherman,232,244,21,,37,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Tillamook,411,496,157,,45,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Umatilla,1563,1261,304,,132,,,,1044,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Union,1090,671,334,,93,,,,946,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Wallowa,610,353,214,,55,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Wasco,929,775,212,,91,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Washington,1429,1261,290,,224,,,,1455,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Wheeler,222,307,14,,14,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1912,President,Yamhill,1378,1312,271,,350,,,,885,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Baker,3897,2541,324,,324,,69,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Benton,2488,2902,120,,120,,207,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Clackamas,5334,6349,556,,556,,222,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Clatsop,2239,2568,320,,320,,65,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Columbia,1451,2023,182,,182,,92,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Coos,3352,3209,708,,708,,74,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Crook,2699,1675,209,,209,,38,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Curry,512,541,118,,118,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Douglas,3679,3922,420,,420,,117,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Gilliam,870,557,25,,25,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Grant,1210,941,145,,145,,17,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Harney,1239,872,189,,189,,22,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Hood River,1188,1314,158,,158,,58,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Jackson,4874,3538,321,,321,,230,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Jefferson,904,581,62,,62,,60,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Josephine,1656,1660,230,,230,,42,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Klamath,1853,1631,170,,170,,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Lake,971,793,98,,98,,27,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Lane,5880,7253,607,,607,,261,,27,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Lincoln,915,1167,190,,190,,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Linn,4675,4524,318,,318,,253,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Malheur,1937,1682,293,,293,,54,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Marion,5699,8316,473,,473,,475,,25,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Morrow,830,748,92,,92,,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Multnomah,35755,41458,1852,,1852,,1083,,87,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Polk,2844,2899,187,,187,,120,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Sherman,747,717,18,,18,,48,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Tillamook,1175,1547,95,,95,,53,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Umatilla,4606,3664,256,,256,,122,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Union,3086,2253,259,,259,,63,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Wallowa,1960,1198,165,,165,,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Wasco,2287,2243,103,,103,,80,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Washington,3363,4888,219,,219,,222,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Wheeler,570,629,10,,10,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1916,President,Yamhill,3342,4010,219,,219,,443,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Baker,2171,3495,179,,78,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Benton,1719,3752,86,,89,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Clackamas,3740,6928,706,,179,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Clatsop,1687,3498,397,,56,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Columbia,970,2007,173,,58,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Coos,2297,3272,485,,96,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Crook,528,872,40,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Curry,280,599,91,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Deschutes,1072,1649,230,,45,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Douglas,2428,4402,334,,97,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Gilliam,498,821,18,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Grant,497,1310,77,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Harney,479,1026,76,,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Hood River,761,1449,122,,63,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Jackson,2503,4382,247,,135,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Jefferson,300,623,38,,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Josephine,819,1606,99,,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Klamath,901,2742,164,,35,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Lake,358,1136,59,,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Lane,3986,7714,457,,232,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Lincoln,669,1229,140,,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Linn,3177,4693,264,,180,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Malheur,1075,2352,123,,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Marion,3831,8798,327,,287,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Morrow,451,1186,57,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Multnomah,27607,44806,3488,,846,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Polk,1653,2709,123,,97,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Sherman,423,893,30,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Tillamook,828,1664,165,,49,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Umatilla,3255,4979,196,,108,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Union,1899,2844,173,,70,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Wallowa,896,1612,100,,44,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Wasco,1434,2698,122,,58,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Washington,2262,4947,255,,133,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Wheeler,212,797,11,,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1920,President,Yamhill,2353,4102,149,,265,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Baker,2004,2803,,,,,,,1356,,9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Benton,1579,3417,,,,,,,623,,12,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Clackamas,3099,5864,,,,,,,4508,,77,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Clatsop,1373,3313,,,,,,,1158,,37,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Columbia,1015,2483,,,,,,,896,,24,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Coos,1757,3905,,,,,,,2359,,49,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Crook,434,725,,,,,,,266,,4,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Curry,224,664,,,,,,,317,,9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Deschutes,1015,2321,,,,,,,1013,,29,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Douglas,1666,4219,,,,,,,1943,,21,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Gilliam,521,738,,,,,,,207,,4,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Grant,459,1126,,,,,,,380,,14,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Harney,436,851,,,,,,,285,,9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Hood River,683,1214,,,,,,,600,,9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Jackson,1840,4868,,,,,,,2408,,25,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Jefferson,242,374,,,,,,,334,,9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Josephine,650,1756,,,,,,,835,,16,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Klamath,680,2775,,,,,,,1715,,19,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Lake,304,917,,,,,,,295,,4,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Lane,3255,8551,,,,,,,2416,,53,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Lincoln,641,1328,,,,,,,552,,23,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Linn,2618,4141,,,,,,,1575,,21,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Malheur,828,1671,,,,,,,710,,8,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Marion,3996,8351,,,,,,,3631,,38,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Morrow,397,991,,,,,,,462,,8,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Multnomah,21733,48866,,,,,,,26932,,233,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Polk,1621,2755,,,,,,,831,,16,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Sherman,367,756,,,,,,,229,,0,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Tillamook,795,2201,,,,,,,700,,23,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Umatilla,3052,3854,,,,,,,1693,,21,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Union,1816,2428,,,,,,,1398,,21,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Wallowa,973,1253,,,,,,,471,,10,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Wasco,1185,2409,,,,,,,1069,,18,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Washington,2103,4203,,,,,,,2809,,26,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Wheeler,213,685,,,,,,,103,,0,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1924,President,Yamhill,2015,3803,,,,,,,1324,,18,,,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Baker,1861,3721,,,,,,,,64,22,,11,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Benton,1412,4605,,,,,,,,37,17,,24,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Clackamas,5918,9216,,,,,,,,157,130,,65,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Clatsop,2208,4087,,,,,,,,31,37,,91,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Columbia,1775,3519,,,,,,,,34,44,,24,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Coos,3040,4929,,,,,,,,62,67,,28,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Crook,487,877,,,,,,,,10,4,,4,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Curry,453,694,,,,,,,,14,4,,8,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Deschutes,1702,2815,,,,,,,,29,77,,5,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Douglas,2191,5609,,,,,,,,51,55,,48,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Gilliam,515,880,,,,,,,,6,2,,5,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Grant,469,1411,,,,,,,,13,10,,3,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Harney,600,952,,,,,,,,8,6,,5,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Hood River,905,1806,,,,,,,,18,15,,25,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Jackson,2463,8053,,,,,,,,88,41,,31,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Jefferson,308,481,,,,,,,,6,8,,8,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Josephine,959,2625,,,,,,,,44,36,,17,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Klamath,2721,4453,,,,,,,,32,31,,30,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Lake,549,1014,,,,,,,,10,9,,12,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Lane,4213,13647,,,,,,,,179,93,,73,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Lincoln,1464,2100,,,,,,,,46,32,,21,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Linn,2645,5877,,,,,,,,72,45,,52,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Malheur,1016,2164,,,,,,,,18,11,,4,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Marion,6998,11754,,,,,,,,102,69,,48,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Morrow,543,1093,,,,,,,,23,14,,12,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Multnomah,45177,75731,,,,,,,,1219,447,,285,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Polk,1724,3244,,,,,,,,30,20,,16,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Sherman,375,759,,,,,,,,2,5,,3,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Tillamook,1204,2570,,,,,,,,32,28,,16,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Umatilla,2390,5277,,,,,,,,59,34,,20,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Union,2154,3219,,,,,,,,26,30,,15,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Wallowa,935,1326,,,,,,,,39,19,,13,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Wasco,1699,2746,,,,,,,,30,21,,17,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Washington,3544,6162,,,,,,,,91,55,,27,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Wheeler,224,677,,,,,,,,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Oregon,1928,President,Yamhill,2382,5248,,,,,,,,38,25,,28,,,,,,,,,,,,,,,,,,,,,
Oregon,1932,President,Baker,4420,2097,136,,,,,,,,13,8,,,,,,,,,,0,,,,,,,,,,,,
Oregon,1932,President,Benton,3121,4068,219,,,,,,,,15,8,,,,,,,,,,2,,,,,,,,,,,,
Oregon,1932,President,Clackamas,11575,5964,916,,,,,,,,89,64,,,,,,,,,,0,,,,,,,,,,,,
Oregon,1932,President,Clatsop,4473,2570,183,,,,,,,,63,168,,,,,,,,,,0,,,,,,,,,,,,
Oregon,1932,President,Columbia,3643,1975,231,,,,,,,,49,39,,,,,,,,,,0,,,,,,,,,,,,
Oregon,1932,President,Coos,5504,3299,376,,,,,,,,52,65,,,,,,,,,,0,,,,,,,,,,,,
