State,Year,Office,County,D#,R#,ATP#,PMP#,AF#,Labor#,Proh.#,SD#,SW#,SL#,S&L#,Pop.#,S#,Comm.#,Prog.#,CON#,FL#,Delta#,VH#,Cons.#,WL#,WW#,DWL#,PF#,Wor.#,ST#,RTL#,MC#,CL#,6MJ#,NJJ#,NSA#,U#,Am.#,GW#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,L#,NA#,Cit.#,NL#,Ref.#,G#,W/I1#,W/I2#,W/I3#,W/I4#,EG#,ARN#,UIS#,FoC#,DR#,EdB#,JS#,TIC#,RFI#,NS#,RefN#,GWT#,DefLife,PPC#,Boss#,PR#,DDD#,CoC#,Repeal,GR#,PAJ#,VIV#,Tow#,Con#,PC#,S,W,Proh.,Labor,IV#,MiS#,NewDay,FTP#,LM#,I8#,I9#,W/I#,MCE#,LIV#,PNP#,MGB#,OEO#,TTL#,Cmmty,L&O#,TSM#,IHA#,LBE#,MCC#,F#,TW#,TR#,DefNC,IC#,VB#,SSS#,VBN#,PWL#,AA#,JVB#,IVP#,ING#,Roos#,PFE#,TR#.1,TEC#,S1#,S2#,ENC#,C#,WTP#,GSN#,ONJ#,Var#,PD#,CWL#,FEP#,LFG#,RPT#,I10#,I11#,I12#,I13#,I14#,I14#.1,I15#,I16#,Year / Office,D1#,D2#,IA#,None#,I#,OBF#,LWR#,Unity#,All.#
New Jersey,1976,President,Gloucester,38726,34888,,,,18,7,,33,19,,40,9,13,,,,,,,,,,,,,,,,,,,,234,,1161,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Hudson,116241,92636,,,,58,57,,147,44,,122,39,272,,,,,,,,,,,,,,,,,,,,336,,2548,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Hunterdon,12592,19616,,,,9,8,,11,3,,6,3,10,,,,,,,,,,,,,,,,,,,,86,,521,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Mercer,69621,58453,,,,66,12,,47,37,,37,16,94,,,,,,,,,,,,,,,,,,,,197,,1926,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Middlesex,122859,113539,,,,206,29,,60,87,,49,26,115,,,,,,,,,,,,,,,,,,,,476,,2245,,,,,,,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Monmouth,88956,110104,,,,58,33,,60,223,,88,51,94,,,,,,,,,,,,,,,,,,,,272,,2121,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Morris,63749,105921,,,,48,10,,55,46,,91,23,69,,,,,,,,,,,,,,,,,,,,265,,1648,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Ocean,56413,77875,,,,39,16,,19,90,,30,16,22,,,,,,,,,,,,,,,,,,,,239,,1322,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Passaic,76194,85102,,,,102,39,,56,2458,,42,33,79,,,,,,,,,,,,,,,,,,,,360,,1475,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Salem,12826,11639,,,,9,5,,11,3,,9,4,34,,,,,,,,,,,,,,,,,,,,78,,319,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Somerset,36258,51260,,,,43,11,,24,38,,27,19,55,,,,,,,,,,,,,,,,,,,,169,,1081,,,,,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Sussex,14759,23613,,,,16,7,,10,37,,15,2,17,,,,,,,,,,,,,,,,,,,,112,,541,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Union,106267,118019,,,,111,26,,53,151,,54,40,91,,,,,,,,,,,,,,,,,,,,349,,2086,,,,,,,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1976,President,Warren,14238,15254,,,,10,5,,41,3,,18,2,7,,,,,,,,,,,,,,,,,,,,85,,382,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Atlantic,31286,37973,,,,,,,86,,,,76,36,,,,,,,,35,30,,,,,108,13,,,,,,,5582,14,,,,,,800,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Bergen,139474,232043,,,,,,,50,,,,106,185,,,,,,,,34,46,,,,,443,31,,,,,,,38242,43,,,,,,2661,,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Burlington,50083,68415,,,,,,,62,,,,224,42,,,,,,,,13,58,,,,,167,34,,,,,,,11314,30,,,,,,1010,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Camden,80033,87939,,,,,,,40,,,,33,66,,,,,,,,240,73,,,,,551,67,,,,,,,16125,77,,,,,,1267,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Cape May,12708,22729,,,,,,,6,,,,11,9,,,,,,,,10,12,,,,,42,8,,,,,,,2550,6,,,,,,312,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Cumberland,19356,23242,,,,,,,4,,,,22,9,,,,,,,,38,10,,,,,77,4,,,,,,,3253,13,,,,,,324,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Essex,145281,117222,,,,,,,61,,,,820,182,,,,,,,,48,90,,,,,182,69,,,,,,,21271,50,,,,,,1192,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Gloucester,29804,40306,,,,,,,9,,,,15,12,,,,,,,,3,21,,,,,189,21,,,,,,,7533,22,,,,,,851,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Hudson,95622,91207,,,,,,,63,,,,126,132,,,,,,,,145,608,,,,,218,92,,,,,,,8941,64,,,,,,840,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Hunterdon,10029,21403,,,,,,,25,,,,26,8,,,,,,,,39,13,,,,,186,165,,,,,,,3610,252,,,,,,404,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Mercer,60888,53450,,,,,,,25,,,,35,64,,,,,,,,10,39,,,,,206,105,,,,,,,12117,21,,,,,,1153,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Middlesex,97304,122354,,,,,,,661,,,,46,103,,,,,,,,209,75,,,,,289,66,,,,,,,17463,45,,,,,,1787,,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Monmouth,71328,120173,,,,,,,241,,,,57,79,,,,,,,,58,37,,,,,218,194,,,,,,,17444,31,,,,,,1696,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Morris,48965,105260,,,,,,,14,,,,30,26,,,,,,,,10,54,,,,,235,72,,,,,,,17181,13,,,,,,1375,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Ocean,46923,98433,,,,,,,19,,,,38,135,,,,,,,,30,60,,,,,151,63,,,,,,,10073,8,,,,,,1165,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Passaic,61486,82531,,,,,,,718,,,,57,265,,,,,,,,18,308,,,,,168,2611,,,,,,,9385,104,,,,,,904,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Salem,10209,13000,,,,,,,17,,,,5,6,,,,,,,,2,70,,,,,37,9,,,,,,,1800,14,,,,,,265,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Somerset,29470,52591,,,,,,,17,,,,28,58,,,,,,,,337,28,,,,,108,26,,,,,,,8346,69,,,,,,599,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Sussex,10531,27063,,,,,,,5,,,,8,5,,,,,,,,1,15,,,,,72,11,,,,,,,3988,8,,,,,,518,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Union,86074,112288,,,,,,,75,,,,205,1127,,,,,,,,8,59,,,,,220,20,,,,,,,15586,33,,,,,,1157,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1980,President,Warren,10510,16935,,,,,,,0,,,,5,6,,,,,,,,0,12,,,,,60,13,,,,,,,2828,6,,,,,,372,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Atlantic,33240,49158,,,,,,,28,,,,,241,,,,,,,47,16,,,,,,,,,,,,,,,,,,,,,61,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Bergen,155039,268507,,,,,,,115,,,,,119,,,,,,,15,29,,,,,,,,,,,,,,,,,,,,,710,36,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Burlington,57467,89815,,,,,,,54,,,,,36,,,,,,,18,50,,,,,,,,,,,,,,,,,,,,,153,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Camden,90233,109749,,,,,,,92,,,,,90,,,,,,,42,26,,,,,,,,,,,,,,,,,,,,,289,295,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Cape May,13378,28786,,,,,,,25,,,,,9,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,38,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Cumberland,21141,29398,,,,,,,24,,,,,42,,,,,,,13,21,,,,,,,,,,,,,,,,,,,,,31,461,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Essex,173295,136798,,,,,,,100,,,,,181,,,,,,,29,3624,,,,,,,,,,,,,,,,,,,,,239,182,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Gloucester,32702,54041,,,,,,,20,,,,,12,,,,,,,12,21,,,,,,,,,,,,,,,,,,,,,183,19,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Hudson,94304,112834,,,,,,,92,,,,,139,,,,,,,77,160,,,,,,,,,,,,,,,,,,,,,368,193,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Hunterdon,10972,29737,,,,,,,238,,,,,8,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,96,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Mercer,66398,71195,,,,,,,46,,,,,165,,,,,,,21,23,,,,,,,,,,,,,,,,,,,,,177,43,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Middlesex,104905,160221,,,,,,,56,,,,,79,,,,,,,139,16,,,,,,,,,,,,,,,,,,,,,2300,32,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Monmouth,79382,152595,,,,,,,49,,,,,160,,,,,,,77,54,,,,,,,,,,,,,,,,,,,,,409,109,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Morris,53201,137719,,,,,,,73,,,,,40,,,,,,,14,10,,,,,,,,,,,,,,,,,,,,,384,12,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Ocean,51012,124391,,,,,,,49,,,,,38,,,,,,,22,1292,,,,,,,,,,,,,,,,,,,,,165,34,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Passaic,69590,101951,,,,,,,88,,,,,79,,,,,,,98,2862,,,,,,,,,,,,,,,,,,,,,146,40,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Salem,8935,17368,,,,,,,11,,,,,7,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,103,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Somerset,31924,66303,,,,,,,32,,,,,37,,,,,,,42,20,,,,,,,,,,,,,,,,,,,,,164,733,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Sussex,11502,35680,,,,,,,11,,,,,9,,,,,,,8,27,,,,,,,,,,,,,,,,,,,,,83,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Union,92056,135446,,,,,,,52,,,,,64,,,,,,,1010,120,,,,,,,,,,,,,,,,,,,,,258,32,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1984,President,Warren,10647,21938,,,,,,,9,,,,,9,,,,,,,23,13,,,,,,,,,,,,,,,,,,,,,59,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Atlantic,34047,44748,,,,,,,27,,,57,10,,,,,,,100,11,13,,83,,,,,,,,,,,,,,,,,,,132,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Bergen,160655,226885,,,,,,,44,,,257,74,,,,,,,654,132,76,,203,,,,,,,,,,,,,,,,,,,645,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Burlington,61140,87416,,,,,,,26,,,85,18,,,,,,,170,42,18,,73,,,,,,,,,,,,,,,,,,,737,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Camden,90704,100072,,,,,,,203,,,72,103,,,,,,,189,16,25,,76,,,,,,,,,,,,,,,,,,,885,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Cape May,15105,28738,,,,,,,6,,,18,9,,,,,,,47,11,7,,25,,,,,,,,,,,,,,,,,,,89,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Cumberland,21869,26024,,,,,,,81,,,85,7,,,,,,,24,6,14,,39,,,,,,,,,,,,,,,,,,,167,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Essex,156098,111491,,,,,,,71,,,257,198,,,,,,,288,79,82,,6411,,,,,,,,,,,,,,,,,,,469,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Gloucester,35479,51708,,,,,,,18,,,65,14,,,,,,,141,14,19,,40,,,,,,,,,,,,,,,,,,,565,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Hudson,98507,84334,,,,,,,340,,,100,96,,,,,,,139,29,142,,33,,,,,,,,,,,,,,,,,,,437,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Hunterdon,13758,31907,,,,,,,17,,,56,5,,,,,,,50,3,152,,17,,,,,,,,,,,,,,,,,,,200,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Mercer,68712,65384,,,,,,,33,,,213,28,,,,,,,177,13,39,,53,,,,,,,,,,,,,,,,,,,359,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Middlesex,117149,143422,,,,,,,84,,,332,1810,,,,,,,319,27,93,,95,,,,,,,,,,,,,,,,,,,449,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Monmouth,91844,147320,,,,,,,79,,,187,25,,,,,,,266,158,133,,58,,,,,,,,,,,,,,,,,,,606,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Morris,58721,127420,,,,,,,223,,,107,24,,,,,,,143,12,15,,70,,,,,,,,,,,,,,,,,,,454,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Ocean,64474,124587,,,,,,,26,,,136,46,,,,,,,235,42,14,,109,,,,,,,,,,,,,,,,,,,339,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Passaic,66254,88070,,,,,,,223,,,49,49,,,,,,,167,27,50,,2332,,,,,,,,,,,,,,,,,,,226,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Salem,9956,15240,,,,,,,106,,,47,8,,,,,,,40,7,14,,26,,,,,,,,,,,,,,,,,,,141,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1988,President,Somerset,37406,67658,,,,,,,17,,,83,20,,,,,,,63,19,20,,44,,,,,,,,,,,,,,,,,,,774,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
