State,Year,Office,County,D#,R#,L#,G#,NL#,Ref.#,Cit.#,Work.#,NA#,C#,I1#,I2#,I3#,I4#,PF#,SW#,S#,New#,SL#,Union,Comm.#,Proh.#,Prog.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,W/I16#,W/I17#,PoP,AE#,SA#
Arizona,1920,President,Yavapai,2251,3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1920,President,Yuma,1177,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Apache,548,620,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Cochise,3496,3712,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Coconino,711,1045,,,,,,,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Gila,2218,2193,,,,,,,,,,,,,,,,,,,,,1937,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Graham,1252,813,,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Greenlee,768,404,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Maricopa,9177,10611,,,,,,,,,,,,,,,,,,,,,3970,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Mohave,475,738,,,,,,,,,,,,,,,,,,,,,729,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Navajo,684,1060,,,,,,,,,,,,,,,,,,,,,727,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Pima,2594,3559,,,,,,,,,,,,,,,,,,,,,2286,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Pinal,988,1075,,,,,,,,,,,,,,,,,,,,,568,,,,,,,,,,,,,,,,,,,,,
