State,Year,Office,County,D#,R#,ND#,SD#,Prog.#,S#,Comm.#,Wor.#,SL#,GBL#,New#,Nat.#,Proh.#,IND#,Pop.#,GB#,U#,SW#,Comm.#.1,NA#,AI#,I#,Ref.#,NL#,G#,L1#,L2#,IND#.1,WW#,Cit.#,Labor#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,Am.#,L#,I1#,I2#,R1#,R2#,FL#,IR#,W/I#,Year / Office,CM#,Mod.#,Town,T#,New Ref.#
New Hampshire,1876,President,Belknap,2308,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Carroll,2474,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Cheshire,2984,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Coos,2130,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Grafton,5092,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Hillsborough,6790,8190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Merrimack,5687,5660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Rockingham,5576,6422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Strafford,3363,4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1876,President,Sullivan,2106,2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Belknap,2483,2350,,,,,,,,55,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Carroll,2639,2426,,,,,,,,24,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Cheshire,2979,4340,,,,,,,,67,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Coos,2387,1829,,,,,,,,44,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Grafton,5300,4964,,,,,,,,132,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Hillsborough,7001,8689,,,,,,,,56,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Merrimack,5922,5935,,,,,,,,9,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Rockingham,5989,6960,,,,,,,,91,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Strafford,3922,4634,,,,,,,,38,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1880,President,Sullivan,2175,2729,,,,,,,,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Belknap,2381,2368,,,,,,,,88,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Carroll,2443,2286,,,,,,,,130,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Cheshire,2981,3888,,,,,,,,155,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Coos,2394,1987,,,,,,,,38,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Grafton,4917,5171,,,,,,,,121,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Hillsborough,7075,8540,,,,,,,,329,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Merrimack,5513,6005,,,,,,,,321,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Rockingham,5682,6162,,,,,,,,214,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Strafford,3781,4370,,,,,,,,114,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1884,President,Sullivan,2031,2477,,,,,,,,70,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Belknap,2537,2687,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Carroll,2434,2338,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Cheshire,3165,4118,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Coos,2729,2297,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Grafton,5170,5209,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Hillsborough,8439,9460,,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Merrimack,6119,6001,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Rockingham,6553,6450,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Strafford,4270,4580,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Hampshire,1888,President,Sullivan,2040,2588,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Belknap,2472,2663,,,,,,,,,,,123,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Carroll,2267,2253,,,,,,,,,,,89,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Cheshire,2994,4024,,,,,,,,,,,100,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Coos,2639,2419,,,,,,,,,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Grafton,4794,4828,,,,,,,,,,,155,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Hillsborough,8785,9875,,,,,,,,,,,215,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Merrimack,5919,6116,,,,,,,,,,,251,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Rockingham,5961,6380,,,,,,,,,,,168,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Strafford,4229,4666,,,,,,,,,,,108,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1892,President,Sullivan,2021,2434,,,,,,,,,,,58,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Belknap,978,3465,263,,,,,,0,,,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Carroll,1214,2800,175,,,,,,1,,,3,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Cheshire,1272,4818,231,,,,,,5,,,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Coos,1489,3253,149,,,,,,2,,,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Grafton,2306,6199,459,,,,,,6,,,17,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Hillsborough,4965,13080,917,,,,,,176,,,11,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Merrimack,3310,7715,562,,,,,,3,,,4,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Rockingham,2992,7881,390,,,,,,15,,,4,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Strafford,2259,5483,173,,,,,,16,,,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1896,President,Sullivan,865,2750,201,,,,,,4,,,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Belknap,1819,3099,,20,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Carroll,1859,2626,,14,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Cheshire,2120,4435,,8,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Coos,2436,3383,,11,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Grafton,3619,6177,,35,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Hillsborough,8339,12653,,331,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Merrimack,5248,7517,,50,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Rockingham,4719,7363,,184,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Strafford,3792,4987,,118,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1900,President,Sullivan,1538,2559,,19,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Belknap,1761,2867,,,,19,,,,,,,101,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Carroll,1683,2594,,,,19,,,,,,,42,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Cheshire,2002,4364,,,,130,,,,,,,46,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Coos,2241,3343,,,,24,,,,,,,41,,10,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Grafton,3496,6100,,,,55,,,,,,,92,,9,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Hillsborough,8831,12603,,,,332,,,,,,,115,,23,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Merrimack,4740,7433,,,,139,,,,,,,122,,9,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Rockingham,4320,7216,,,,164,,,,,,,120,,15,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Strafford,3553,4869,,,,138,,,,,,,43,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1904,President,Sullivan,1447,2774,,,,70,,,,,,,28,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Belknap,1692,2916,,,,41,,,,,,,99,27,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Carroll,1591,2562,,,,14,,,,,,,37,14,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Cheshire,1917,4160,,,,232,,,,,,,80,37,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Coos,2216,3294,,,,65,,,,,,,31,40,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Grafton,3582,6323,,,,65,,,,,,,95,36,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Hillsborough,8701,12568,,,,295,,,,,,,151,216,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Merrimack,4846,6932,,,,282,,,,,,,156,50,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Rockingham,4118,6814,,,,161,,,,,,,119,81,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Strafford,3523,4822,,,,79,,,,,,,108,41,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1908,President,Sullivan,1469,2758,,,,65,,,,,,,29,42,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Belknap,1862,1741,,,944,103,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Carroll,1820,1454,,,881,41,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Cheshire,2114,2765,,,1252,156,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Coos,2229,1938,,,1103,189,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Grafton,3752,3520,,,2165,93,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Hillsborough,8909,8007,,,4586,699,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Merrimack,4741,4632,,,2119,269,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Rockingham,4306,4231,,,2465,207,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Strafford,3468,2962,,,1265,140,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1912,President,Sullivan,1523,1677,,,1014,84,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Belknap,2310,2579,,,,62,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Carroll,2003,2259,,,,22,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Cheshire,2779,3337,,,,121,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Coos,3247,2762,,,,210,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Grafton,4644,4795,,,,49,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Hillsborough,10939,9927,,,,502,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Merrimack,5967,5970,,,,160,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Rockingham,5637,5866,,,,114,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Strafford,4040,4037,,,,49,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1916,President,Sullivan,2215,2193,,,,29,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Belknap,3464,5628,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Carroll,2279,4214,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Cheshire,3374,6644,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Coos,4985,6114,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Grafton,6102,9650,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Hillsborough,18736,23040,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Merrimack,8976,12748,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Rockingham,6582,13811,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Strafford,5643,8700,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1920,President,Sullivan,2521,4647,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Belknap,3217,5996,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Carroll,2213,4372,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Cheshire,2720,7008,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Coos,4620,6137,,,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Grafton,5360,10493,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Hillsborough,16002,22098,,,4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Merrimack,8283,13587,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Rockingham,6073,14530,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Strafford,6445,9167,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1924,President,Sullivan,2268,5187,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Belknap,3689,6762,,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Carroll,1592,5509,,,,9,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Cheshire,5025,8673,,,,41,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Coos,6006,7891,,,,26,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Grafton,6035,12566,,,,141,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Hillsborough,29457,24465,,,,105,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Merrimack,10139,15724,,,,45,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Rockingham,7782,17590,,,,41,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Strafford,7441,10470,,,,22,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1928,President,Sullivan,3549,5754,,,,26,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Belknap,4911,6048,,,,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Carroll,2873,5269,,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Cheshire,5662,7904,,,,115,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Coos,7928,7189,,,,74,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Grafton,8342,10810,,,,159,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Hillsborough,32458,23308,,,,267,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Merrimack,12805,13986,,,,82,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Rockingham,11363,14902,,,,113,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Strafford,9970,9060,,,,57,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1932,President,Sullivan,4368,5153,,,,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Belknap,5150,6219,,,,,,,,,,,,,,,145,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Carroll,2769,5521,,,,,,,,,,,,,,,32,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Cheshire,6322,8052,,,,,,,,,,,,,,,183,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Coos,8737,6737,,,,,,,,,,,,,,,196,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Grafton,8520,11336,,,,,,,,,,,,,,,142,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Hillsborough,34992,23293,,,,,,,,,,,,,,,2841,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Merrimack,13645,14456,,,,,,,,,,,,,,,194,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Rockingham,12207,15466,,,,,,,,,,,,,,,559,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Strafford,11005,8215,,,,,,,,,,,,,,,464,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1936,President,Sullivan,5113,5347,,,,,,,,,,,,,,,63,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Belknap,5653,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Carroll,2870,5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Cheshire,6916,8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Coos,10100,6650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Grafton,9761,11478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Hillsborough,42580,26201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Merrimack,14692,14923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Rockingham,14001,16223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Strafford,12847,8996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1940,President,Sullivan,5872,5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Belknap,5325,6188,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Carroll,2461,5251,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Cheshire,7098,8334,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Coos,8709,6209,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Grafton,8743,10947,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Hillsborough,42306,25921,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Merrimack,13382,14599,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Rockingham,13170,17144,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Strafford,12497,9388,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1944,President,Sullivan,5972,5935,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,1948,President,Belknap,3822,7152,,,53,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1948,President,Carroll,1869,6127,,,48,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1948,President,Cheshire,6337,9043,,,116,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Hampshire,1948,President,Coos,7930,7005,,,221,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
